metric,mean_alt,mean_null,diff_mean,diff_ci_low,diff_ci_high,p_two_sided,cohens_d,n_alt,n_null,layer_from,layer_to,q_value
residual_fro,0.7913105344772339,0.7619821965694428,0.029328337907791102,0.02822062535583976,0.03051045437157153,0.0,7.3297430956251315,100,100,0,1,0.0
residual_fro,0.8072019588947296,0.7919917893409729,0.015210169553756647,0.01245887577533722,0.018158091247081693,0.0,1.4791794578943784,100,100,1,2,0.0
residual_fro,0.7744251066446304,0.8333175170421601,-0.05889241039752968,-0.06140832838416097,-0.056387953683733893,0.0,-6.414188068144129,100,100,2,3,0.0
residual_fro,0.7201483577489853,0.7552624762058258,-0.035114118456840426,-0.03850873273611065,-0.031331577986478766,0.0,-2.7235713653665647,100,100,3,4,0.0
residual_fro,0.6910360050201416,0.7556047356128692,-0.06456873059272761,-0.06770118202269078,-0.06165804517269136,0.0,-5.967301343246483,100,100,4,5,0.0
residual_fro,0.7388922202587128,0.7821890181303024,-0.043296797871589576,-0.045615787893533793,-0.04076954340934757,0.0,-4.779301918946244,100,100,5,6,0.0
residual_fro,0.6998496502637863,0.7763900375366211,-0.07654038727283474,-0.07908234238624572,-0.07425398270785813,0.0,-8.667626628875933,100,100,6,7,0.0
residual_fro,0.7724546706676483,0.7936684399843216,-0.021213769316673292,-0.029311850398778903,-0.01100619001686567,0.0,-0.6186985160315107,100,100,7,8,0.0
residual_fro,0.7621077519655227,0.8008055078983307,-0.038697755932808,-0.04505417244136327,-0.03121075992286198,0.0,-1.479842854280171,100,100,8,9,0.0
residual_fro,0.8343245047330856,0.8472561198472977,-0.012931615114212036,-0.0159714142084121,-0.00987190219759943,0.0,-1.1172485388215334,100,100,9,10,0.0
residual_fro,1.1249033975601197,1.1036110997200013,0.021292297840118435,0.005756026819348475,0.03716125863790515,0.012,0.3744687211504401,100,100,10,11,0.012
