metric,mean_alt,mean_null,diff_mean,diff_ci_low,diff_ci_high,p_two_sided,cohens_d,n_alt,n_null,layer_from,layer_to,q_value
residual_fro,0.853154999613762,0.8309913116693497,0.022163687944412258,0.021366745948791434,0.022960052654147155,0.0,8.221355218496909,100,100,0,1,0.0
residual_fro,0.8794159734249115,0.8858446818590164,-0.006428708434104924,-0.008171414077281933,-0.004666831448674189,0.0,-0.9799597719364143,100,100,1,2,0.0
residual_fro,0.8377530694007873,0.9099351865053177,-0.07218211710453037,-0.07505846068263057,-0.06945712073147298,0.0,-7.365495014355551,100,100,2,3,0.0
residual_fro,0.7866953152418137,0.8242219287157059,-0.03752661347389219,-0.04010828500986094,-0.034861190631985665,0.0,-4.142546027802618,100,100,3,4,0.0
residual_fro,0.8095149636268616,0.8398841810226441,-0.030369217395782466,-0.03988680300116538,-0.02074119316041471,0.0,-0.8965284569776821,100,100,4,5,0.0
residual_fro,0.8540806770324707,0.8741319340467453,-0.02005125701427457,-0.02828066445887094,-0.012469769999384862,0.0,-0.6696215330462773,100,100,5,6,0.0
residual_fro,0.8341414624452591,0.9018092143535614,-0.06766775190830232,-0.07659183467924593,-0.0595245881825685,0.0,-2.1106873434581495,100,100,6,7,0.0
residual_fro,0.8967561823129654,0.9271495032310486,-0.030393320918083222,-0.0371504836082458,-0.022977785930037513,0.0,-1.179243179715749,100,100,7,8,0.0
residual_fro,0.982854254245758,0.968368974328041,0.014485279917716976,-0.020642825171351454,0.04908438818156723,0.436,0.11470034091615537,100,100,8,9,0.436
residual_fro,1.0907323896884917,1.104413464665413,-0.01368107497692117,-0.042233274370431874,0.01616819564998146,0.406,-0.13299780804974612,100,100,9,10,0.436
residual_fro,1.45470663189888,1.4985304915904998,-0.04382385969161984,-0.07085631674528114,-0.018082308262586493,0.0,-0.47371469303146424,100,100,10,11,0.0
k_used,6.0,6.0,0.0,0.0,0.0,2.0,,100,100,0,1,1.0
k_used,6.0,6.0,0.0,0.0,0.0,2.0,,100,100,1,2,1.0
k_used,6.0,6.0,0.0,0.0,0.0,2.0,,100,100,2,3,1.0
k_used,6.0,6.0,0.0,0.0,0.0,2.0,,100,100,3,4,1.0
k_used,6.55,6.29,0.2599999999999998,0.1299999999999999,0.3899999999999997,0.0,0.5433318764904064,100,100,4,5,0.0
k_used,6.83,6.45,0.3799999999999999,0.2599999999999998,0.5002499999999998,0.0,0.8577580323126748,100,100,5,6,0.0
k_used,6.92,6.54,0.3799999999999999,0.2699999999999996,0.4900000000000002,0.0,0.942297970834337,100,100,6,7,0.0
k_used,6.97,6.81,0.16000000000000014,0.08000000000000007,0.23999999999999935,0.0,0.5262923204430952,100,100,7,8,0.0
k_used,7.33,7.07,0.2599999999999998,0.1299999999999999,0.3899999999999997,0.0,0.5246847793171233,100,100,8,9,0.0
k_used,7.86,7.66,0.20000000000000018,0.040000000000000036,0.35000000000000053,0.018,0.3560344974581563,100,100,9,10,0.028285714285714282
k_used,8.82,8.04,0.7800000000000011,0.5800000000000001,0.9500000000000011,0.0,1.1405693701485036,100,100,10,11,0.0
