metric,mean_alt,mean_null,diff_mean,diff_ci_low,diff_ci_high,p_two_sided,cohens_d,n_alt,n_null,layer,level_from,level_to,q_value
G,0.9907673448660071,0.9876311091213,0.0031362357447071165,0.002869471802869933,0.003408875407195999,0.0,3.1820548504988673,100,100,0,1,2,0.0
G,0.9860677339150793,0.989668290052149,-0.003600556137069666,-0.00408325427953912,-0.0031222819289520947,0.0,-2.0137541801951007,100,100,0,2,3,0.0
G,0.9877721418369383,0.9901105250801358,-0.0023383832431974616,-0.0026695663034562805,-0.0019980691489718734,0.0,-1.8591785184457996,100,100,0,3,4,0.0
G,0.9875190078899975,0.9908437899010524,-0.0033247820110549053,-0.003723576236941975,-0.0029002134779377215,0.0,-2.147090431089925,100,100,0,4,5,0.0
G,0.9892255023419857,0.990493430334897,-0.0012679279929113108,-0.0015674549366156282,-0.0009916807413099388,0.0,-1.225467768269959,100,100,0,5,6,0.0
G,0.9904582784833416,0.9884182314551068,0.0020400470282347927,0.0017499166602417487,0.002341058117044756,0.0,1.9144926713158943,100,100,0,6,7,0.0
G,0.990470328182928,0.9896156917436728,0.0008546364392552075,0.0005792041227340644,0.0011410002808722951,0.0,0.8270964493286295,100,100,0,7,8,0.0
G,0.989903463386354,0.9918548968188347,-0.0019514334324806093,-0.002158668801271457,-0.0017134840381289955,0.0,-2.4578795585031274,100,100,0,8,9,0.0
G,0.9931491817543432,0.9895782235141785,0.0035709582401647344,0.0033725966304423175,0.0037741626816256645,0.0,4.986158131652981,100,100,0,9,10,0.0
G,0.98809448134568,0.9858536729495677,0.0022408083961122927,0.0018922099025355577,0.0025833669698663354,0.0,1.7710423565567484,100,100,1,1,2,0.0
G,0.9864934742001313,0.9887431864317447,-0.00224971223161341,-0.0026623968692642552,-0.0018761508278190677,0.0,-1.6513592891947966,100,100,1,2,3,0.0
G,0.9873851036651742,0.9888870250336708,-0.0015019213684965838,-0.0018395448374490032,-0.0011693929656396984,0.0,-1.244440377294414,100,100,1,3,4,0.0
G,0.985666257278787,0.9887481608707753,-0.003081903591988344,-0.003426020723746795,-0.0027090818691701936,0.0,-2.336119970549848,100,100,1,4,5,0.0
G,0.9854523985958288,0.9875896617580974,-0.002137263162268588,-0.0025779718894215235,-0.0017410986872065438,0.0,-1.3584124379542986,100,100,1,5,6,0.0
G,0.9902112030987702,0.98546664972012,0.004744553378650207,0.004300120233732616,0.005173062420399918,0.0,2.9966684513442248,100,100,1,6,7,0.0
G,0.9893109499225542,0.987381650821557,0.0019292991009971505,0.0016098693010232422,0.0022226166679154115,0.0,1.6690230066909637,100,100,1,7,8,0.0
G,0.9869253406496276,0.9903412137935086,-0.003415873143881032,-0.0036649324669249805,-0.0031715373039361895,0.0,-3.6803655627533125,100,100,1,8,9,0.0
G,0.9906389091284502,0.9868629264490947,0.0037759826793555273,0.003420817116293212,0.004121642849665127,0.0,3.033664001251006,100,100,1,9,10,0.0
G,0.9753921649919616,0.9689791201807205,0.006413044811241053,0.005443496615380539,0.007363858112255103,0.0,1.7740487182221845,100,100,2,1,2,0.0
G,0.9700772270664336,0.9760068822995065,-0.0059296552330728725,-0.006870824251583913,-0.004886351258024016,0.0,-1.5554910217970885,100,100,2,2,3,0.0
G,0.9733210494229718,0.9743146962641724,-0.0009936468412006239,-0.0017292317310969613,-0.0002548462523117111,0.014,-0.35637174456693954,100,100,2,3,4,0.01497029702970297
G,0.9622791541625583,0.9779219596584638,-0.015642805495905576,-0.016302653874740742,-0.014883632074958774,0.0,-6.08229844683844,100,100,2,4,5,0.0
G,0.9620335356186306,0.972170767122318,-0.010137231503687394,-0.011398236221571831,-0.008912079456507838,0.0,-2.2712177681118995,100,100,2,5,6,0.0
G,0.9807687061708124,0.9708813521043648,0.009887354066447585,0.008651023554364349,0.011080584550163993,0.0,2.4056028405842778,100,100,2,6,7,0.0
G,0.9777124304520706,0.9747574816114374,0.002954948840633187,0.0021755765579995674,0.0037328444606845724,0.0,1.0314792011562346,100,100,2,7,8,0.0
