layer_from,layer_to,k_used,variance_threshold,mean_angle,max_angle,angles
0,1,5,,0.35261017084121704,0.42036446928977966,[0.28713968 0.3444785  0.34707266 0.36399546 0.42036447]
1,2,5,,0.35886210203170776,0.4116508662700653,[0.30395967 0.31214172 0.3777971  0.388761   0.41165087]
2,3,5,,0.34135571122169495,0.3975810408592224,[0.26718965 0.31336257 0.34872884 0.3799163  0.39758104]
3,4,5,,0.314618319272995,0.36690688133239746,[0.25109217 0.299333   0.309591   0.34616855 0.36690688]
4,5,5,,0.3042813837528229,0.35082629323005676,[0.26064804 0.2784762  0.29107642 0.3403799  0.3508263 ]
5,6,5,,0.32624876499176025,0.3842323124408722,[0.26948813 0.2922472  0.3156506  0.36962554 0.3842323 ]
6,7,5,,0.31013718247413635,0.3386041522026062,[0.26755556 0.2944191  0.32268688 0.3274202  0.33860415]
7,8,5,,0.33899563550949097,0.4015358090400696,[0.2874075  0.321116   0.33740777 0.34751117 0.4015358 ]
8,9,5,,0.33170607686042786,0.38705506920814514,[0.2717601  0.3190637  0.3343276  0.346324   0.38705507]
9,10,5,,0.3688610792160034,0.434812068939209,[0.31825152 0.35491282 0.3634102  0.37291873 0.43481207]
10,11,5,,0.47741347551345825,0.8265044689178467,[0.30959138 0.33423787 0.3868597  0.5298739  0.82650447]
