layer_from,layer_to,k_used,variance_threshold,mean_angle,max_angle,angles
0,1,6,0.9,0.34699904918670654,0.4097481369972229,[0.27547163 0.32575664 0.34587857 0.3576268  0.36751255 0.40974814]
1,2,6,0.9,0.35576891899108887,0.4320300817489624,[0.29478204 0.30231258 0.33991504 0.37975234 0.38582137 0.43203008]
2,3,6,0.9,0.3367898762226105,0.40773335099220276,[0.2667285  0.29229063 0.3298811  0.33198115 0.3921245  0.40773335]
3,4,6,0.9,0.31567123532295227,0.37519562244415283,[0.25106794 0.2792008  0.30079842 0.32610178 0.36166298 0.37519562]
4,5,7,0.9,0.31174781918525696,0.3934025764465332,"[0.24004714 0.26007846 0.27953455 0.30798253 0.33007553 0.37111416
 0.39340258]"
5,6,7,0.9,0.32216379046440125,0.40119603276252747,"[0.2554663  0.27634418 0.29185304 0.2992093  0.35903892 0.37203857
 0.40119603]"
6,7,7,0.9,0.31378087401390076,0.3785403370857239,"[0.2595195  0.2837925  0.2949853  0.30610195 0.32858512 0.3449415
 0.37854034]"
7,8,7,0.9,0.33652326464653015,0.39837217330932617,"[0.28345722 0.29259107 0.3105558  0.33833274 0.3605762  0.37177745
 0.39837217]"
8,9,8,0.9,0.3851417303085327,0.7433360815048218,"[0.26756123 0.30840382 0.31518066 0.33705577 0.35592633 0.36249506
 0.3911748  0.7433361 ]"
9,10,9,0.9,0.3715486228466034,0.465151846408844,"[0.30069238 0.31470883 0.33558902 0.3498755  0.35343188 0.3935672
 0.40545622 0.4254649  0.46515185]"
10,11,10,0.9,0.461190789937973,1.0019044876098633,"[0.29308206 0.30820364 0.313784   0.34192696 0.3528471  0.35498863
 0.3905775  0.5862803  0.66831315 1.0019045 ]"
