layer,total_components,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,k85,k90,k95
0,90,0.2721170485019684,0.2085811197757721,0.1536761373281479,0.12391471862792969,0.09887386858463287,0.0799141377210617,0.03969201445579529,0.014107427559792995,0.0009643532102927566,0.0006647275877185166,5,6,7
1,90,0.25429731607437134,0.21482233703136444,0.16726820170879364,0.11961033195257187,0.101194366812706,0.0809444859623909,0.03608119860291481,0.015029127709567547,0.0009959163144230843,0.0008913890342228115,5,6,7
2,90,0.2619974613189697,0.21610072255134583,0.1625785529613495,0.1106211319565773,0.09059664607048035,0.08240459114313126,0.035418637096881866,0.01563926227390766,0.0036050500348210335,0.0024373901542276144,6,6,7
3,90,0.2578437924385071,0.20913749933242798,0.15713512897491455,0.11092308163642883,0.09223470091819763,0.08127835392951965,0.03330080956220627,0.016732873395085335,0.006861481815576553,0.003970788791775703,6,6,8
4,90,0.2583202123641968,0.20881614089012146,0.150120809674263,0.10520695149898529,0.09003545343875885,0.08116425573825836,0.033531345427036285,0.017124781385064125,0.009284567087888718,0.0050211334601044655,6,7,9
5,90,0.26779547333717346,0.1996852159500122,0.1444646567106247,0.10177969932556152,0.09339102357625961,0.07984427362680435,0.033371783792972565,0.017577260732650757,0.010603418573737144,0.005223462358117104,6,7,10
6,90,0.27562347054481506,0.19153274595737457,0.14199788868427277,0.10174734890460968,0.09077505767345428,0.07875210791826248,0.03217421472072601,0.018079444766044617,0.011776289902627468,0.005031142849475145,6,7,11
7,90,0.2829979360103607,0.1862291842699051,0.1384042501449585,0.10047131031751633,0.08811128884553909,0.07678625732660294,0.032012224197387695,0.01804402470588684,0.012978175655007362,0.005281727761030197,6,7,13
8,90,0.28663843870162964,0.18358036875724792,0.13559098541736603,0.09700028598308563,0.08425426483154297,0.07488534599542618,0.03253847733139992,0.017881957814097404,0.014599916525185108,0.006113612093031406,6,8,15
9,90,0.28878429532051086,0.18144933879375458,0.13142113387584686,0.09459545463323593,0.08103469014167786,0.06977054476737976,0.032760318368673325,0.01862531527876854,0.016580812633037567,0.007456570863723755,7,9,17
10,90,0.27855315804481506,0.18303778767585754,0.13078659772872925,0.08940088748931885,0.07916867733001709,0.06509839743375778,0.03181200847029686,0.020604975521564484,0.017872653901576996,0.008714307099580765,7,10,20
11,90,0.304063618183136,0.18035027384757996,0.13135714828968048,0.08347319066524506,0.07257269322872162,0.048027992248535156,0.03005385957658291,0.025745609775185585,0.017421431839466095,0.009474799036979675,8,10,20
