layer,total_components,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,k85,k90,k95,left_out
0,81,0.27153027057647705,0.20873360335826874,0.15388774871826172,0.12370450794696808,0.09905043244361877,0.0798979327082634,0.039666105061769485,0.014112039469182491,0.0010388325899839401,0.0007080314680933952,5,6,7,sentence.1
1,81,0.25396260619163513,0.21465440094470978,0.16746871173381805,0.11936178058385849,0.10152047127485275,0.08103805780410767,0.03607509285211563,0.01503427978605032,0.0010153516195714474,0.0009420898277312517,5,6,7,sentence.1
2,81,0.262020468711853,0.21559715270996094,0.16268153488636017,0.11055789887905121,0.09070222824811935,0.08228244632482529,0.03550635650753975,0.015599468722939491,0.0036282918881624937,0.0026944822166115046,6,6,7,sentence.1
3,81,0.256984680891037,0.20905104279518127,0.15724554657936096,0.11094445735216141,0.09225478023290634,0.08099610358476639,0.0334126316010952,0.016740815714001656,0.00713372090831399,0.004363936372101307,6,6,8,sentence.1
4,81,0.25709331035614014,0.20902542769908905,0.15027475357055664,0.1051858589053154,0.09034711867570877,0.08098209649324417,0.03362060710787773,0.017089204862713814,0.00971861369907856,0.005520757287740707,6,7,9,sentence.1
5,81,0.26692789793014526,0.2000144124031067,0.14427511394023895,0.10170414298772812,0.09369029849767685,0.07967516034841537,0.033444441854953766,0.017529591917991638,0.011209140531718731,0.0054724677465856075,6,7,10,sentence.1
6,81,0.2739870846271515,0.19186338782310486,0.14226356148719788,0.10167063027620316,0.091677725315094,0.07833191752433777,0.032278869301080704,0.018244564533233643,0.012535554356873035,0.0052583892829716206,6,7,11,sentence.1
7,81,0.281197190284729,0.186008021235466,0.1396074891090393,0.10047242045402527,0.08947090059518814,0.07638102024793625,0.031971871852874756,0.018408916890621185,0.013685311190783978,0.005668555852025747,6,7,12,sentence.1
8,81,0.2846713066101074,0.1837662011384964,0.13678687810897827,0.09726277738809586,0.08567532896995544,0.07454939931631088,0.03258522227406502,0.018648715689778328,0.014966023154556751,0.00636872136965394,6,8,14,sentence.1
9,81,0.2850024402141571,0.18368762731552124,0.13243311643600464,0.0954885259270668,0.08247687667608261,0.06964081525802612,0.03250877559185028,0.01998709701001644,0.016704019159078598,0.0074744801968336105,7,8,16,sentence.1
