layer_from,layer_to,k_used,variance_threshold,residual_fro,rotation
0,1,5,,0.7898039221763611,"[[ 0.9863205   0.12913641  0.05336282 -0.06456353 -0.05898865]
 [-0.14008479  0.98191375  0.10482999 -0.06867732 -0.02270963]
 [-0.05235735 -0.12157521  0.9738835  -0.09200563 -0.1598879 ]
 [ 0.04383414  0.06336322  0.08155695  0.9848168  -0.13246875]
 [ 0.05371626  0.0193325   0.17624572  0.11307414  0.9761621 ]]"
1,2,5,,0.803544819355011,"[[ 0.99441934  0.04910955 -0.08275621 -0.03134887 -0.02978419]
 [-0.04993705  0.998124   -0.01641735 -0.00631842  0.03074589]
 [ 0.07938416  0.01960176  0.9934204  -0.07991298  0.00662273]
 [-0.03582718 -0.0108458  -0.07729539 -0.9951423   0.04812562]
 [-0.03241981  0.02889405  0.00482946 -0.04778194 -0.9979017 ]]"
2,3,5,,0.766389012336731,"[[ 0.9387765  -0.33845028 -0.02005794  0.00643707 -0.06087917]
 [ 0.33891353  0.9201705   0.18980354  0.00566531  0.04864606]
 [-0.04357902 -0.18888146  0.9794821  -0.00268469  0.05506602]
 [ 0.00496064  0.00748768  0.00295421 -0.9973911  -0.07156502]
 [-0.04373201  0.05482179  0.06464051  0.07162551 -0.9928613 ]]"
3,4,5,,0.7060384154319763,"[[ 0.9962487   0.05356404  0.05135864  0.01948545  0.04002702]
 [ 0.04735754 -0.9926573   0.10119939 -0.03066085  0.03474738]
 [-0.05558366  0.09437955  0.99019307  0.07195835 -0.04840008]
 [ 0.01780488  0.03501755  0.06539618 -0.9929666  -0.09053944]
 [-0.04288781  0.04035696  0.04859971 -0.08671515  0.9933028 ]]"
4,5,5,,0.6821305751800537,"[[ 0.9880465  -0.12237867 -0.05301897  0.07729886 -0.00122578]
 [ 0.13460192  0.9673948   0.19544335 -0.05596814 -0.06854911]
 [-0.02218699  0.18968557 -0.97486913 -0.08595765 -0.07595095]
 [ 0.07109449 -0.08276708  0.07098556 -0.99135214 -0.01664826]
 [ 0.00999027  0.07962192 -0.05985044 -0.02691968  0.9946124 ]]"
5,6,5,,0.7325989603996277,"[[ 0.98854774  0.11495216 -0.07748894  0.04691886 -0.03678747]
 [-0.13336651  0.9626471  -0.22469783  0.02987013 -0.06436304]
 [-0.05095236 -0.23824148 -0.9655699  -0.00865558 -0.09080008]
 [-0.03212796 -0.01844065 -0.03475942  0.93657494  0.3467662 ]
 [ 0.03685452  0.05474968 -0.09986401 -0.34591725  0.93059796]]"
6,7,5,,0.6930024027824402,"[[ 9.9657130e-01 -7.3864311e-02 -7.4472709e-04  1.7838733e-02
   3.2723922e-02]
 [ 7.4722901e-02  9.9253899e-01 -7.8884393e-02  2.3718929e-02
  -4.9973939e-02]
 [ 7.7730427e-03  8.1172623e-02  9.9284315e-01 -8.5796595e-02
   1.5868021e-02]
 [-2.1550283e-02 -1.0580055e-02  8.5228279e-02  9.9164826e-01
   9.3773626e-02]
 [-2.7151821e-02  5.2051570e-02 -2.7840575e-02 -9.1607012e-02
   9.9367321e-01]]"
7,8,5,,0.7587279677391052,"[[ 0.9991962   0.00980396 -0.02882774  0.01996047  0.01677722]
 [-0.01512841  0.9766718  -0.20698483  0.0213818  -0.05082571]
 [ 0.02523087  0.2107299   0.9748997  -0.01387534  0.06583553]
 [-0.01471668 -0.02539936  0.03406215  0.9763012  -0.21169327]
 [-0.02291299  0.03104328 -0.06882258  0.21398096  0.97364616]]"
8,9,5,,0.7428150773048401,"[[ 9.9737555e-01 -5.9234712e-02 -3.3997868e-03  3.3396576e-02
   2.4623461e-02]
 [ 5.8695983e-02  9.9268591e-01 -1.0546804e-01 -2.2387598e-03
  -9.8591938e-04]
 [ 1.3184649e-02  1.0324628e-01  9.8179561e-01 -1.4977470e-01
   5.3021401e-02]
 [-3.4882531e-02  1.9224193e-02  1.3935146e-01  9.7762448e-01
   1.5246382e-01]
 [-2.0152219e-02 -6.0491650e-03 -7.4320018e-02 -1.4386664e-01
   9.8657811e-01]]"
9,10,5,,0.8241729736328125,"[[ 0.9974913  -0.06279692  0.00852293  0.02844072  0.01364568]
 [ 0.06333916  0.9854559  -0.15343897  0.01603962 -0.03262004]
 [ 0.00125532  0.15530829  0.9867145  -0.01798172  0.04414827]
 [-0.02820131 -0.01358182  0.02434822  0.99512625 -0.09028372]
 [-0.01422784  0.02506235 -0.04675109  0.09129227  0.9943086 ]]"
10,11,5,,1.128238320350647,"[[ 0.9386153  -0.18871678 -0.26339257 -0.00222815  0.11835   ]
 [ 0.22419192  0.9156001   0.16769612 -0.2842726   0.04981538]
 [ 0.2124479  -0.0711247   0.8523891   0.46011823  0.10738352]
 [-0.13047576 -0.10612727  0.04082158 -0.25387782  0.9516264 ]
 [-0.08112504  0.33127135 -0.41745517  0.80188614  0.25765827]]"
