layer_from,layer_to,k_used,variance_threshold,residual_fro,rotation
0,1,6,0.9,0.8512812256813049,"[[ 0.98597246  0.1290562   0.05361423 -0.06544916 -0.06038053 -0.01997173]
 [-0.13979024  0.9819837   0.10462148 -0.06786854 -0.02145306  0.0124341 ]
 [-0.05082822 -0.12121455  0.97278744 -0.08795465 -0.15355915  0.07135578]
 [ 0.04144923  0.06279513  0.08325514  0.97834736 -0.14253998 -0.0996304 ]
 [ 0.04902722  0.01821795  0.17958844  0.10040932  0.9564339  -0.20041133]
 [ 0.04014667  0.00918371 -0.02609543  0.12699908  0.19295132  0.97173244]]"
1,2,6,0.9,0.8744564652442932,"[[ 9.9406672e-01  4.9237456e-02 -8.2076132e-02 -3.2314397e-02
  -2.7666330e-02 -2.9340224e-02]
 [-5.0001692e-02  9.9809271e-01 -1.6185116e-02 -6.6609699e-03
   3.1463251e-02  3.8071866e-03]
 [ 8.0367990e-02  1.9327257e-02  9.9135977e-01 -7.6968342e-02
   2.1577600e-04  6.6701315e-02]
 [-3.4431797e-02 -1.1225410e-02 -8.0236293e-02 -9.9093729e-01
   3.8981594e-02  9.3670852e-02]
 [-3.5127789e-02  2.9638762e-02  1.0520267e-02 -5.5917196e-02
  -9.8020577e-01 -1.8397512e-01]
 [ 2.1274742e-02  2.9309834e-03 -6.0488131e-02  8.8903137e-02
  -1.8953016e-01  9.7573286e-01]]"
2,3,6,0.9,0.8296681642532349,"[[ 0.9387761  -0.33844185 -0.02005503  0.00642121 -0.06089634 -0.00218312]
 [ 0.3385371   0.9196883   0.18936506  0.00205322  0.04679977 -0.03889243]
 [-0.04374484 -0.18908907  0.97929054 -0.00428162  0.05424495 -0.01900026]
 [ 0.00603902  0.00870972  0.00414925 -0.9868361  -0.06600859  0.14720055]
 [-0.04342547  0.05511976  0.06496131  0.07469026 -0.99119896  0.05293469]
 [ 0.01600688  0.02760359  0.02217241  0.14322107  0.06577554  0.98673785]]"
3,4,6,0.9,0.7770872712135315,"[[ 0.99617654  0.05352069  0.05154195  0.0188695   0.03976415 -0.01319411]
 [ 0.04739352 -0.9926344   0.10110053 -0.03034656  0.03488869  0.00844888]
 [-0.05553283  0.09441415  0.99004006  0.07241413 -0.04818209  0.01604429]
 [ 0.01826274  0.03529733  0.06420594 -0.9890321  -0.0888343   0.09067611]
 [-0.0429577   0.04030983  0.04880778 -0.08733942  0.9930063  -0.0214008 ]
 [ 0.01110998  0.0052643  -0.02093238  0.08755893  0.0304493   0.9953979 ]]"
4,5,7,0.9,0.8326146602630615,"[[ 0.9880712  -0.12234835 -0.05289992  0.0766452  -0.00144487 -0.00660255
   0.00525781]
 [ 0.13433427  0.96726346  0.19476569 -0.0534811  -0.0675904   0.02642998
   0.01716909]
 [-0.02237611  0.18940084 -0.9739239  -0.08729621 -0.07635295 -0.03030453
   0.02701841]
 [ 0.07011317 -0.08318208  0.06885768 -0.9822383  -0.01303037  0.12506233
   0.05311498]
 [ 0.01021122  0.07965226 -0.0594023  -0.02875691  0.99381894 -0.0357079
  -0.01563676]
 [-0.00594422 -0.00712867 -0.04654991  0.12103764  0.03650218  0.9904508
  -0.02778027]
 [-0.01065254 -0.01565368  0.01741129  0.05810044  0.02052753  0.0207645
   0.99755204]]"
5,6,7,0.9,0.8587152361869812,"[[ 0.9881602   0.11479016 -0.07808199  0.04572118 -0.0352175   0.03012253
  -0.00527115]
 [-0.13366964  0.9623382  -0.22495365  0.02870599 -0.06258739  0.02071758
   0.0162172 ]
 [-0.05071139 -0.238063   -0.96512604 -0.0078174  -0.09209576 -0.02479356
   0.01134439]
 [-0.03265651 -0.01862235 -0.03563519  0.9349692   0.34879574  0.03617741
  -0.0135044 ]
 [ 0.03877082  0.05613611 -0.09737358 -0.33926558  0.92095697 -0.14941765
  -0.01659689]
 [-0.02148554 -0.02060076 -0.03046429 -0.0877519   0.12688182  0.9870869
   0.00678447]
 [ 0.00830382 -0.01148602  0.0123003   0.00745839  0.02101825 -0.00858805
   0.9995382 ]]"
6,7,7,0.9,0.8323001265525818,"[[ 9.96426642e-01 -7.39022791e-02 -6.32900337e-04  1.81066357e-02
   3.33817117e-02  1.42256049e-02  5.23505732e-03]
 [ 7.43191913e-02  9.92210031e-01 -7.86231607e-02  2.44379472e-02
  -4.78863157e-02  2.94416398e-02 -7.56058330e-03]
 [ 8.06087721e-03  8.13586414e-02  9.92597520e-01 -8.63377675e-02
   1.43035976e-02 -1.85872540e-02 -7.84562156e-03]
 [-2.08864957e-02 -1.02199484e-02  8.47320408e-02  9.90432143e-01
   9.04460922e-02 -5.47168776e-02 -1.22316163e-02]
 [-2.57023890e-02  5.31452261e-02 -2.87733097e-02 -9.41790864e-02
   9.86089706e-01 -1.20141536e-01  3.22346110e-03]
 [-2.06670649e-02 -2.09729653e-02  2.22116318e-02  4.07512635e-02
   1.25794291e-01  9.90516543e-01  5.63820917e-03]
 [-4.64809453e-03  8.35020188e-03  8.20173416e-03  1.16029726e-02
  -3.20669124e-03 -5.86543139e-03  9.99831021e-01]]"
7,8,7,0.9,0.8920339345932007,"[[ 0.9982193   0.00971794 -0.02905903  0.01976569  0.01912969  0.01705779
   0.03964323]
 [-0.01530303  0.9760736  -0.2076565   0.02057489 -0.04806259  0.03365023
  -0.00769863]
 [ 0.02479238  0.2100856   0.9741315  -0.01473612  0.06923975  0.03598816
  -0.00327015]
 [-0.01501676 -0.02677262  0.03254848  0.9744081  -0.20540208  0.07869253
  -0.0120292 ]
 [-0.02116758  0.03386154 -0.06553808  0.21793698  0.9584135  -0.16590315
  -0.02309416]
 [-0.02170837 -0.03310723 -0.04168317 -0.04111583  0.17785904  0.9808235
   0.0368229 ]
 [-0.03955224  0.00951275  0.00315757  0.01762749  0.01223417 -0.03937345
   0.99816054]]"
8,9,8,0.9,1.144790530204773,"[[ 9.97174978e-01 -5.94154783e-02 -3.40882526e-03  3.31157781e-02
   2.43215859e-02 -7.06349080e-03  1.38211958e-02 -1.30782481e-02]
 [ 5.84341697e-02  9.92053807e-01 -1.06097750e-01 -3.27121210e-03
  -2.17360584e-03 -3.06969453e-02  6.90632360e-03 -1.23491511e-02]
 [ 1.28578590e-02  1.02754332e-01  9.80330944e-01 -1.50457934e-01
   5.26946783e-02 -1.98127124e-02 -2.60230713e-02 -4.17556018e-02]
 [-3.51609513e-02  1.82807129e-02  1.38325065e-01  9.75952148e-01
   1.50457948e-01 -6.28123283e-02 -1.08935979e-04 -1.51696792e-02]
 [-2.03597620e-02 -6.88777957e-03 -7.44478106e-02 -1.45408094e-01
   9.84338045e-01 -5.88598661e-02  1.81563273e-02  1.16836485e-02]
 [ 5.05111646e-03  3.28234360e-02  2.22432259e-02  5.00135571e-02
   6.77900612e-02  9.94122267e-01  5.48676997e-02  3.98923177e-03]
 [-1.51820397e-02 -6.69124676e-03  2.18869299e-02 -5.42623317e-03
  -1.97180789e-02 -5.29197492e-02  9.92369235e-01 -1.05972558e-01]
 [-1.24607924e-02 -1.53879113e-02 -4.50878181e-02 -9.90746450e-03
   9.14952438e-03  1.12146959e-02 -1.04628794e-01 -9.93136585e-01]]"
9,10,9,0.9,1.1181124448776245,"[[ 9.96449113e-01 -6.43811524e-02  6.55001914e-03  3.04257590e-02
   1.21295815e-02 -2.41499450e-02 -5.68558183e-03  3.35873514e-02
   9.21144802e-03]
 [ 6.29115924e-02  9.83732760e-01 -1.54002458e-01  1.70488581e-02
  -3.38463150e-02  1.31281989e-03 -3.01930532e-02  4.54988517e-02
  -1.32462401e-02]
 [-7.91834434e-04  1.52348608e-01  9.81450200e-01 -1.62851773e-02
   4.09123786e-02 -5.41913323e-02  2.89122891e-02  8.82742777e-02
   6.39576325e-03]
 [-2.60292143e-02 -1.16893733e-02  2.74731703e-02  9.80371952e-01
  -8.76881629e-02  1.52212694e-01  7.54286125e-02  2.75028893e-03
   2.73282491e-02]
 [-1.50361974e-02  2.25797929e-02 -4.91791666e-02  9.19139683e-02
   9.91634905e-01 -8.86648800e-03  2.70902296e-03  6.12448975e-02
  -3.49370204e-02]
 [-2.59195697e-02 -3.62620433e-03 -4.48702313e-02  1.50290936e-01
  -2.05999985e-02 -9.84535217e-01  1.33278938e-02 -6.76750615e-02
   1.49252322e-02]
 [ 8.53945781e-03  2.44934205e-02 -3.72976661e-02 -7.60493353e-02
   1.21326838e-03  1.55793480e-03  9.95148122e-01  3.07597648e-02
   2.97098048e-02]
 [ 3.26332711e-02  3.32679674e-02  6.34865686e-02  1.35829067e-02
   2.13440433e-02  3.67841311e-02  4.49877270e-02 -7.12186635e-01
  -6.94673240e-01]
 [-2.04306319e-02 -5.04822209e-02 -4.88632917e-02  1.96365956e-02
  -7.15755448e-02 -5.06544784e-02  1.41145790e-03  6.87397301e-01
  -7.16976225e-01]]"
