layer,level_from,level_to,G
0,1,2,0.9907526387108697
0,2,3,0.9860820240444608
0,3,4,0.987665389643775
0,4,5,0.9876293579737345
0,5,6,0.9891504539383782
0,6,7,0.990414309501648
0,7,8,0.9904643323686387
0,8,9,0.9897938874032762
0,9,10,0.993071378601922
1,1,2,0.9879722462760078
1,2,3,0.9862403485510084
1,3,4,0.9871981607543098
1,4,5,0.9855906764666239
1,5,6,0.9851801620589362
1,6,7,0.9900535106658935
1,7,8,0.9891477717293633
1,8,9,0.9866636368963454
1,9,10,0.9905029469066196
2,1,2,0.9748627026875814
2,2,3,0.9693760487768385
2,3,4,0.9727871749136183
2,4,5,0.9618082271681891
2,5,6,0.9613121218151517
2,6,7,0.9805367496278551
2,7,8,0.9773926324314541
2,8,9,0.9647175749142964
2,9,10,0.9784389191203647
3,1,2,0.9613115111986796
3,2,3,0.9445207834243774
3,3,4,0.9578964286380344
3,4,5,0.9415786968337165
3,5,6,0.9227601342731052
3,6,7,0.9674411561754015
3,7,8,0.9644366913371616
3,8,9,0.9444511069191827
3,9,10,0.9618247482511733
4,1,2,0.9435987088415357
4,2,3,0.9328618592686123
4,3,4,0.95074489514033
4,4,5,0.9172563023037381
4,5,6,0.8995712227291531
4,6,7,0.9545492106013828
4,7,8,0.9415720952881708
4,8,9,0.9221992373466492
4,9,10,0.9501408762402005
5,1,2,0.9347187187936571
5,2,3,0.9307385577095879
5,3,4,0.9485704859097799
5,4,5,0.9076076785723368
5,5,6,0.8855003462897406
5,6,7,0.9463283499081929
5,7,8,0.9382278442382812
5,8,9,0.9022752947277493
5,9,10,0.942899219195048
6,1,2,0.9280628456009758
6,2,3,0.9263742764790853
6,3,4,0.9425514287418789
6,4,5,0.8980453941557143
6,5,6,0.868985648949941
6,6,7,0.9345998207728068
6,7,8,0.933274711502923
6,8,9,0.8892560137642754
6,9,10,0.932516692744361
7,1,2,0.921458978123135
7,2,3,0.9189842926131354
7,3,4,0.9341006186273363
7,4,5,0.8818284498320685
7,5,6,0.8486063347922431
7,6,7,0.9247618198394776
7,7,8,0.9258374174435934
7,8,9,0.8770994159910414
7,9,10,0.9246582958433364
8,1,2,0.9047462277942233
8,2,3,0.9134677065743341
8,3,4,0.9255108382966784
8,4,5,0.858711760573917
8,5,6,0.8213470935821533
8,6,7,0.910334406958686
8,7,8,0.9144366489516365
8,8,9,0.8525329113006592
8,9,10,0.910379593902164
9,1,2,0.8837709665298462
9,2,3,0.8967312971750895
9,3,4,0.9136968864334954
9,4,5,0.8407786952124702
9,5,6,0.7906382309065925
9,6,7,0.8884063906139797
9,7,8,0.8953459355566237
9,8,9,0.8126925428708395
9,9,10,0.8957106987635295
10,1,2,0.8622278677092658
10,2,3,0.8761569394005669
10,3,4,0.8971558570861816
10,4,5,0.8040318740738763
10,5,6,0.7381946139865452
10,6,7,0.8572282486491734
10,7,8,0.8718697826067606
10,8,9,0.765058696269989
10,9,10,0.8728296067979601
11,1,2,0.8304770867029826
11,2,3,0.8567266252305773
11,3,4,0.8734029518233405
11,4,5,0.7145566344261169
11,5,6,0.6665320025549994
11,6,7,0.8220522602399191
11,7,8,0.8733891328175862
11,8,9,0.679115539126926
11,9,10,0.8377574788199531
