layer_from,layer_to,k_used,variance_threshold,mean_angle,max_angle,angles,boot_id
0,1,5,,0.3420754373073578,0.39716610312461853,[0.29724422 0.31172785 0.34951624 0.35472274 0.3971661 ],0
1,2,5,,0.3575058877468109,0.4180828034877777,[0.317873   0.33337903 0.3548394  0.3633552  0.4180828 ],0
2,3,5,,0.3720023036003113,0.4554140865802765,[0.31715077 0.33006874 0.36051676 0.39686105 0.4554141 ],0
3,4,5,,0.33674314618110657,0.41212549805641174,[0.279409   0.31259015 0.3295009  0.35009018 0.4121255 ],0
4,5,5,,0.33751600980758667,0.3883741497993469,[0.3037455  0.3175937  0.32917583 0.348691   0.38837415],0
5,6,5,,0.35294991731643677,0.40932002663612366,[0.32268575 0.33167303 0.33711687 0.36395395 0.40932003],0
6,7,5,,0.347472608089447,0.4077596366405487,[0.2953541  0.30973142 0.33911735 0.38540047 0.40775964],0
7,8,5,,0.35861989855766296,0.416346937417984,[0.30632696 0.337654   0.35339347 0.37937814 0.41634694],0
8,9,5,,0.3639904856681824,0.40660586953163147,[0.31811985 0.32941434 0.36522505 0.40058738 0.40660587],0
9,10,5,,0.3791755139827728,0.4525146484375,[0.31617707 0.3396686  0.384277   0.40324032 0.45251465],0
10,11,5,,0.4459298253059387,0.6690041422843933,[0.30836865 0.3335726  0.38686427 0.53183943 0.66900414],0
0,1,5,,0.3394410312175751,0.3941075801849365,[0.29585046 0.3079715  0.34603852 0.35323706 0.39410758],1
1,2,5,,0.3521539568901062,0.4061952829360962,[0.3150464  0.32807678 0.35439637 0.3570551  0.40619528],1
2,3,5,,0.37289535999298096,0.455219030380249,[0.3165068  0.33828336 0.35521904 0.3992486  0.45521903],1
3,4,5,,0.34391558170318604,0.4235636293888092,[0.27979216 0.32144764 0.33440807 0.3603665  0.42356363],1
4,5,5,,0.3411288857460022,0.3878050744533539,[0.30925727 0.31568787 0.33489043 0.35800377 0.38780507],1
5,6,5,,0.35201090574264526,0.4076441824436188,[0.31767595 0.3202365  0.33813837 0.3763596  0.40764418],1
6,7,5,,0.3445974290370941,0.40020403265953064,[0.29774076 0.31154978 0.3373426  0.37615004 0.40020403],1
7,8,5,,0.34803900122642517,0.3982655107975006,[0.29531497 0.32702857 0.34418628 0.37539968 0.3982655 ],1
8,9,5,,0.3561389744281769,0.4099261462688446,[0.30806744 0.32312587 0.35189378 0.38768163 0.40992615],1
9,10,5,,0.37758177518844604,0.454038143157959,[0.31446478 0.3383004  0.38098276 0.40012276 0.45403814],1
10,11,5,,0.571982204914093,1.1964468955993652,[0.31096026 0.35822552 0.4522815  0.5419967  1.1964469 ],1
0,1,5,,0.34055155515670776,0.39403337240219116,[0.2967827  0.3102461  0.34819782 0.35349783 0.39403337],2
1,2,5,,0.354625940322876,0.41617757081985474,[0.31493366 0.32847407 0.35296437 0.36057994 0.41617757],2
2,3,5,,0.373932421207428,0.4562380015850067,[0.31954715 0.33690128 0.35973242 0.39724314 0.456238  ],2
3,4,5,,0.34018880128860474,0.4161641597747803,[0.28119963 0.31500503 0.33455732 0.3540178  0.41616416],2
4,5,5,,0.34272152185440063,0.3915540277957916,[0.30780393 0.3202333  0.33795163 0.35606486 0.39155403],2
5,6,5,,0.3562379479408264,0.41017135977745056,[0.3240912  0.33132288 0.34061942 0.37498477 0.41017136],2
6,7,5,,0.3493385910987854,0.4135318100452423,[0.29826897 0.31190076 0.3400868  0.38290462 0.4135318 ],2
7,8,5,,0.3575443923473358,0.41367506980895996,[0.30169636 0.33945027 0.35194254 0.38095775 0.41367507],2
8,9,5,,0.36504268646240234,0.41069912910461426,[0.31943423 0.3274013  0.36776528 0.3999134  0.41069913],2
9,10,5,,0.38094380497932434,0.454385370016098,[0.32024863 0.3438945  0.38279167 0.40339872 0.45438537],2
10,11,5,,0.47080865502357483,0.772386372089386,[0.31722778 0.3349646  0.4020141  0.5274505  0.7723864 ],2
0,1,5,,0.3402704894542694,0.3937452733516693,[0.29533976 0.31104246 0.34817633 0.3530485  0.39374527],3
1,2,5,,0.35348352789878845,0.40955644845962524,[0.31629533 0.32995507 0.35115272 0.3604581  0.40955645],3
