layer_from,layer_to,k_used,variance_threshold,mean_angle,max_angle,angles,boot_id
0,1,6,0.9,0.3403852880001068,0.3876340389251709,[0.29610163 0.30901822 0.33917555 0.34684232 0.3635398  0.38763404],0
1,2,6,0.9,0.36314883828163147,0.44578877091407776,[0.2970219  0.3264787  0.3479126  0.35892135 0.40276977 0.44578877],0
2,3,6,0.9,0.37296172976493835,0.4481966495513916,[0.30578095 0.31913856 0.3542256  0.39585286 0.41457555 0.44819665],0
3,4,6,0.9,0.33614683151245117,0.40752315521240234,[0.27602682 0.28806153 0.32912898 0.34210822 0.37403223 0.40752316],0
4,5,6,0.9,0.33240944147109985,0.397884339094162,[0.29291347 0.303394   0.30803955 0.3443272  0.3478981  0.39788434],0
5,6,6,0.9,0.34531936049461365,0.3978801965713501,[0.2896184  0.31484032 0.3288196  0.36257994 0.37817746 0.3978802 ],0
6,7,6,0.9,0.3536958396434784,0.43236178159713745,[0.29234627 0.308262   0.3382397  0.3675152  0.38345003 0.43236178],0
7,8,7,0.9,0.3572966456413269,0.4293138384819031,"[0.2929409  0.32352844 0.3414116  0.35798556 0.36265555 0.39324066
 0.42931384]",0
8,9,7,0.9,0.3593929409980774,0.42229366302490234,"[0.31503025 0.31970382 0.3306826  0.3658297  0.36984786 0.39236274
 0.42229366]",0
9,10,7,0.9,0.3833782374858856,0.5255985260009766,"[0.30422184 0.3384719  0.35066307 0.3628845  0.389641   0.4121667
 0.5255985 ]",0
10,11,8,0.9,0.5112563371658325,1.321326494216919,"[0.3002332  0.3057372  0.3413799  0.34665605 0.3967156  0.47797608
 0.60002595 1.3213265 ]",0
0,1,6,0.9,0.3393522799015045,0.38947904109954834,[0.29484951 0.30543545 0.33629546 0.34579065 0.36426374 0.38947904],1
1,2,6,0.9,0.358365535736084,0.4373522400856018,[0.29607773 0.3205855  0.346226   0.3550615  0.39489028 0.43735224],1
2,3,6,0.9,0.37240228056907654,0.4449343681335449,[0.30942288 0.32200634 0.34680882 0.39781603 0.41342515 0.44493437],1
3,4,6,0.9,0.3413738012313843,0.41393449902534485,[0.27161062 0.29646704 0.334391   0.3450603  0.38677928 0.4139345 ],1
4,5,6,0.9,0.33754196763038635,0.401406466960907,[0.2949297  0.3097461  0.31241566 0.34967044 0.35708356 0.40140647],1
5,6,6,0.9,0.34431150555610657,0.38827893137931824,[0.291754   0.3147899  0.32094714 0.36910284 0.38099638 0.38827893],1
6,7,6,0.9,0.34853994846343994,0.42387184500694275,[0.28932753 0.30129853 0.334914   0.3624337  0.37939423 0.42387185],1
7,8,6,0.9,0.3464101254940033,0.40378180146217346,[0.2838459  0.31913552 0.33956358 0.35620368 0.37593013 0.4037818 ],1
8,9,6,0.9,0.35153916478157043,0.41134029626846313,[0.303662   0.3210038  0.33521092 0.35398802 0.38402998 0.4113403 ],1
9,10,6,0.9,0.37137046456336975,0.45533573627471924,[0.30001363 0.33706856 0.36146465 0.36974743 0.40459296 0.45533574],1
10,11,6,0.9,0.47992029786109924,0.8868141770362854,[0.30444103 0.3416627  0.36113906 0.42032692 0.565138   0.8868142 ],1
0,1,6,0.9,0.3392244279384613,0.3865973651409149,[0.29564637 0.30755085 0.33758166 0.34623408 0.36173624 0.38659737],2
1,2,6,0.9,0.3603602945804596,0.445076584815979,[0.2934499  0.32192177 0.34571856 0.3560149  0.39997998 0.44507658],2
2,3,6,0.9,0.37429681420326233,0.44687119126319885,[0.30984443 0.32278612 0.35385525 0.3962209  0.41620293 0.4468712 ],2
3,4,6,0.9,0.33818545937538147,0.4082213044166565,[0.27663457 0.28853866 0.33379006 0.34558344 0.37634486 0.4082213 ],2
4,5,6,0.9,0.3375702202320099,0.40389859676361084,[0.29915893 0.30668864 0.3135439  0.3485753  0.353556   0.4038986 ],2
5,6,6,0.9,0.34799686074256897,0.3950293958187103,[0.29439363 0.3179033  0.32834545 0.37353256 0.37877688 0.3950294 ],2
6,7,6,0.9,0.3537328541278839,0.4350552260875702,[0.29293782 0.30771402 0.33906162 0.3649855  0.38264304 0.43505523],2
7,8,7,0.9,0.3576996624469757,0.42712026834487915,"[0.28916934 0.32439858 0.3425587  0.36006755 0.36645553 0.3941276
 0.42712027]",2
8,9,7,0.9,0.36088675260543823,0.42294731736183167,"[0.3166948  0.32032797 0.33205813 0.36737433 0.37247774 0.39432672
 0.42294732]",2
9,10,7,0.9,0.38530343770980835,0.5236419439315796,"[0.30784506 0.3421361  0.35239545 0.36445996 0.39136016 0.4152851
 0.52364194]",2
10,11,8,0.9,0.48753535747528076,1.1359390020370483,"[0.30095407 0.30691403 0.34908313 0.35584712 0.36400384 0.45522025
 0.63232154 1.135939  ]",2
0,1,6,0.9,0.3394146263599396,0.3887762725353241,[0.29425803 0.30785784 0.33684736 0.34614202 0.36260632 0.38877627],3
1,2,6,0.9,0.3591611385345459,0.4389207065105438,[0.29079217 0.32414883 0.34501958 0.35711715 0.39896837 0.4389207 ],3
2,3,6,0.9,0.3647766411304474,0.44905251264572144,[0.2915577  0.31347296 0.3419289  0.3816948  0.410953   0.4490525 ],3
3,4,6,0.9,0.3296058773994446,0.40446195006370544,[0.27061775 0.27810475 0.32503694 0.33621415 0.3631997  0.40446195],3
4,5,7,0.9,0.33296695351600647,0.4083736538887024,"[0.2883744  0.29187894 0.30034927 0.33661175 0.34574723 0.3594333
 0.40837365]",3
5,6,7,0.9,0.34381166100502014,0.40150880813598633,"[0.2745955  0.30200434 0.31744763 0.35006064 0.3738854  0.38717902
 0.4015088 ]",3
6,7,7,0.9,0.3557184338569641,0.4338524341583252,"[0.2930375  0.30677867 0.33478126 0.3555183  0.3725095  0.39355135
 0.43385243]",3
7,8,7,0.9,0.3611474633216858,0.43324005603790283,"[0.29786122 0.3241825  0.3457838  0.36198527 0.36902055 0.3959589
 0.43324006]",3
8,9,8,0.9,0.37181586027145386,0.47415608167648315,"[0.3103882  0.31253645 0.33539677 0.35197538 0.36501136 0.3846843
 0.4403784  0.47415608]",3
9,10,8,0.9,0.45901572704315186,1.0584858655929565,"[0.30229717 0.32866064 0.34537664 0.36083528 0.38079804 0.40628564
 0.48938665 1.0584859 ]",3
10,11,9,0.9,0.5143901705741882,1.4620333909988403,"[0.2981487  0.30206484 0.32423866 0.34393713 0.34773654 0.40586615
 0.53918475 0.6063011  1.4620334 ]",3
0,1,6,0.9,0.3403201997280121,0.3874548673629761,[0.29470488 0.3081272  0.33914402 0.34683707 0.3656532  0.38745487],4
1,2,6,0.9,0.3587167263031006,0.43698182702064514,[0.29298282 0.32456702 0.34366956 0.35605818 0.39804077 0.43698183],4
2,3,6,0.9,0.368817001581192,0.4484682083129883,[0.29892343 0.3134022  0.3461947  0.39355353 0.4123601  0.4484682 ],4
3,4,6,0.9,0.3330179452896118,0.4111756980419159,[0.2724051  0.2827033  0.3257082  0.33567464 0.37044072 0.4111757 ],4
4,5,6,0.9,0.32793328166007996,0.3943752646446228,[0.28744197 0.299468   0.3037752  0.33822227 0.34431696 0.39437526],4
5,6,6,0.9,0.33904895186424255,0.38917359709739685,[0.2842275  0.30879435 0.32433516 0.35381743 0.3739456  0.3891736 ],4
6,7,7,0.9,0.35292288661003113,0.4343317151069641,"[0.2870298  0.30301288 0.3309131  0.35597748 0.3711919  0.38800347
 0.43433172]",4
7,8,7,0.9,0.35559147596359253,0.4250717759132385,"[0.28944305 0.32091084 0.34019685 0.35852256 0.3631915  0.39180368
 0.42507178]",4
8,9,7,0.9,0.35695362091064453,0.43115749955177307,"[0.30802518 0.3155162  0.32784253 0.35727724 0.36858588 0.39027083
 0.4311575 ]",4
9,10,8,0.9,0.40672022104263306,0.6550630331039429,"[0.29455134 0.3253403  0.34601462 0.36063483 0.37895125 0.4159959
 0.47721034 0.65506303]",4
10,11,8,0.9,0.5058533549308777,1.2412010431289673,"[0.2939103  0.29909056 0.32778347 0.3456313  0.37860888 0.46189204
 0.6987093  1.241201  ]",4
0,1,6,0.9,0.34063443541526794,0.3884755074977875,[0.294828  0.3084688 0.3384532 0.3496732 0.3639079 0.3884755],5
1,2,6,0.9,0.3607542812824249,0.4392193555831909,[0.29455566 0.32011586 0.35165107 0.3568847  0.4020991  0.43921936],5
2,3,6,0.9,0.3707418739795685,0.4475644826889038,[0.30202538 0.3237792  0.3478035  0.38879374 0.41448513 0.44756448],5
3,4,6,0.9,0.33730316162109375,0.41444826126098633,[0.26833117 0.29014078 0.3273077  0.34519365 0.37839743 0.41444826],5
4,5,6,0.9,0.33277907967567444,0.39117008447647095,[0.29254413 0.3044476  0.30618224 0.3473846  0.35494593 0.39117008],5
5,6,6,0.9,0.3431767523288727,0.39145076274871826,[0.28911477 0.31303638 0.32706845 0.35873297 0.37965727 0.39145076],5
6,7,6,0.9,0.34659793972969055,0.4182593524456024,[0.28537962 0.30041614 0.33020443 0.36364824 0.38167992 0.41825935],5
7,8,6,0.9,0.3487144410610199,0.41627249121665955,[0.28930935 0.31510872 0.3408135  0.35334197 0.37744066 0.4162725 ],5
8,9,7,0.9,0.3551120460033417,0.42415955662727356,"[0.30840284 0.3202916  0.3282484  0.35152283 0.36880997 0.38434917
 0.42415956]",5
9,10,7,0.9,0.3787352442741394,0.49124249815940857,"[0.29477733 0.3370145  0.34860602 0.36369717 0.39467284 0.42113644
 0.4912425 ]",5
10,11,7,0.9,0.4909370243549347,1.0549482107162476,"[0.3036572  0.33039096 0.3483791  0.37314475 0.43681294 0.58922595
 1.0549482 ]",5
0,1,6,0.9,0.3394840955734253,0.3870168626308441,[0.2966865  0.30709982 0.33734474 0.34653026 0.36222655 0.38701686],6
1,2,6,0.9,0.362751841545105,0.45039430260658264,[0.2957699  0.3247789  0.34797746 0.35846242 0.39912808 0.4503943 ],6
2,3,6,0.9,0.37633875012397766,0.451044499874115,[0.31301162 0.3253308  0.35378593 0.39771047 0.4171493  0.4510445 ],6
3,4,6,0.9,0.3421923816204071,0.41291344165802,[0.27704436 0.29371005 0.33741406 0.35228974 0.37978256 0.41291344],6
4,5,6,0.9,0.3426213264465332,0.4094616770744324,[0.305258   0.30867723 0.317167   0.35632312 0.3588409  0.40946168],6
5,6,6,0.9,0.35043439269065857,0.3969319760799408,[0.29768082 0.32003233 0.32623795 0.37844485 0.3832784  0.39693198],6
6,7,6,0.9,0.3558221161365509,0.4331184923648834,[0.3018139  0.30665922 0.34227183 0.36585584 0.38521332 0.4331185 ],6
7,8,6,0.9,0.3580065965652466,0.41735872626304626,[0.29596677 0.3316461  0.34684354 0.3687645  0.3874599  0.41735873],6
8,9,7,0.9,0.36545032262802124,0.4267222583293915,"[0.32008994 0.32168242 0.34213257 0.3744591  0.37932083 0.39374498
 0.42672226]",6
