layer_from,layer_to,k_used,variance_threshold,residual_fro,rotation,boot_id
0,1,6,0.9,0.8330119252204895,"[[ 0.98679715 -0.06714993  0.14386036  0.00280472  0.02636106 -0.01799447]
 [ 0.08059116  0.99195635 -0.08270854 -0.04255285 -0.02838299  0.00840786]
 [-0.13906875  0.09309277  0.981828   -0.04813691  0.05418008 -0.05248578]
 [-0.00506787  0.04571776  0.04745807  0.9966253  -0.0415667   0.02533819]
 [-0.0179861   0.02749793 -0.06632881  0.04716193  0.98058224 -0.17537144]
 [ 0.0068741  -0.0010163   0.04272593 -0.0194388   0.17970744  0.98257494]]",0
1,2,6,0.9,0.8921859264373779,"[[-0.9849069  -0.05934609 -0.16191387 -0.01059166 -0.00574116 -0.00867326]
 [-0.09120713  0.97416943  0.20137744 -0.03836429  0.00579746 -0.02483516]
 [-0.14660399 -0.21112779  0.96300364  0.03404222  0.06766666  0.0286124 ]
 [-0.0086503   0.04416275 -0.03006795  0.99729216  0.04899294 -0.00887438]
 [ 0.0052844   0.00594036 -0.06584458 -0.05122985  0.9964455  -0.00855218]
 [-0.00664993  0.03018768 -0.02480751  0.00639885  0.00712057  0.99916834]]",0
2,3,6,0.9,0.9162774085998535,"[[-0.9407839  -0.31683114  0.08531664 -0.05419649 -0.01960647 -0.06279382]
 [-0.30440414  0.9449242   0.0685042  -0.07696729 -0.05378181 -0.03077507]
 [ 0.09964288 -0.03839546  0.9877404  -0.05946244  0.06178526  0.07491875]
 [-0.07433397  0.05703268  0.0626515   0.9909196   0.06396823  0.03581792]
 [-0.04360005  0.044405   -0.06665247 -0.06870249  0.9894699   0.08896092]
 [-0.07006094  0.00612918 -0.06347767 -0.03100478 -0.09880866  0.99010104]]",0
3,4,6,0.9,0.8267039060592651,"[[ 0.9823419   0.17959107 -0.02686163  0.02674064 -0.02136434 -0.0292998 ]
 [-0.17931733  0.98245496  0.03149234 -0.02044046 -0.03173669 -0.01451372]
 [ 0.03259553 -0.02503349  0.99705106 -0.0168591   0.05487216 -0.03008174]
 [-0.02808776  0.01698125  0.01635819  0.99793774  0.04692886  0.02393726]
 [ 0.01284889  0.03430896 -0.05718498 -0.0443116   0.9941168  -0.07180545]
 [ 0.02886676  0.02090577  0.02526278 -0.02719496  0.07109807  0.996141  ]]",0
4,5,6,0.9,0.8149358630180359,"[[ 0.9285766   0.35037732  0.10498141  0.06103047 -0.00832518 -0.012887  ]
 [-0.35809052  0.93235713  0.04288103  0.02208455 -0.01001011  0.00738695]
 [-0.07856257 -0.07268845  0.98294413 -0.10487944 -0.05004588 -0.09413178]
 [-0.05618414 -0.0499634   0.10998925  0.98340714  0.07114304  0.10049114]
 [ 0.00509416  0.01191195  0.04837143 -0.08199459  0.9938747   0.05461022]
 [ 0.01272616 -0.00489847  0.08076789 -0.10476247 -0.06691486  0.9888569 ]]",0
5,6,6,0.9,0.8463661670684814,"[[ 9.9872637e-01  4.8871122e-02 -6.1202329e-03 -4.8732860e-03
   9.7433655e-03  1.0194280e-03]
 [-4.7120802e-02  9.8570263e-01  1.5849261e-01  1.9873984e-02
  -1.9280133e-03 -2.5521006e-02]
 [ 1.2928752e-02 -1.5699068e-01  9.8446959e-01 -4.9157467e-02
   5.7695299e-02 -1.6158720e-02]
 [ 8.1056487e-03 -2.7916705e-02  5.4771934e-02  9.8365366e-01
  -1.6711183e-01  2.5576971e-02]
 [-9.5695592e-03  9.0210708e-03 -4.5032602e-02  1.6482288e-01
   9.7504801e-01  1.4111695e-01]
 [-8.7816600e-04  2.2250867e-02  2.5184827e-02 -4.9232025e-02
  -1.3389437e-01  9.8920089e-01]]",0
6,7,6,0.9,0.869072675704956,"[[ 0.9885517   0.08298265  0.10680842  0.03219032 -0.05852875 -0.00309653]
 [-0.10204502  0.98021704  0.16512373  0.01111516 -0.02488352 -0.02743576]
 [-0.08348798 -0.17058513  0.97186065 -0.12259725  0.05600923 -0.03535972]
 [-0.03266401 -0.02938897  0.10716632  0.9827239   0.1435153  -0.01555325]
 [ 0.0656324   0.04341911 -0.06071216 -0.13399476  0.98596174 -0.00677523]
 [-0.00275725  0.02097934  0.04052785  0.01045837  0.01004034  0.99884915]]",0
7,8,7,0.9,0.9462660551071167,"[[ 9.8777783e-01 -1.5271927e-01  2.9334048e-02 -1.0387731e-03
   1.3762114e-03 -8.5791503e-04  1.0371456e-02]
 [ 1.4273442e-01  9.6276659e-01  2.0982388e-01  4.4012811e-02
   7.9650939e-02 -9.2852404e-03 -1.7713504e-02]
 [-6.0062669e-02 -2.0136829e-01  9.7655416e-01 -3.1068832e-02
  -1.1201131e-02  3.2584734e-02 -5.7285274e-03]
 [-7.2512659e-03 -5.0762415e-02  1.7986605e-02  9.9329805e-01
   3.9955720e-02  9.3679659e-02 -5.8052223e-03]
 [-1.2832473e-02 -7.5238317e-02 -8.7910490e-03 -5.0269857e-02
   9.9329466e-01  6.9789916e-02  8.0834953e-03]
 [ 5.6549837e-03  2.5769364e-02 -3.1042239e-02 -8.8698603e-02
  -7.2567172e-02  9.9250907e-01  1.1517564e-02]
 [-8.0666980e-03  1.7507071e-02  9.5429607e-03  7.8093717e-03
  -5.6310212e-03 -1.1424457e-02  9.9965698e-01]]",0
8,9,7,0.9,0.9504668116569519,"[[ 0.9670215  -0.2343465  -0.07855529 -0.02114908 -0.05518596  0.01248977
  -0.01146257]
 [ 0.2245052   0.9688674  -0.08916906 -0.03244958 -0.03220088  0.02551077
  -0.01419584]
 [-0.09719466 -0.06919563 -0.992461   -0.02451442  0.01299696 -0.00230735
  -0.00332333]
 [-0.0097993   0.01064431 -0.02768002  0.86787885 -0.49222973  0.05066083
  -0.03089112]
 [ 0.06444705  0.02666341 -0.00900427  0.48555225  0.86622643  0.09401999
  -0.0102702 ]
 [-0.02299805 -0.0245496   0.00291328 -0.08747487 -0.05559176  0.992659
   0.05239934]
 [ 0.0155451   0.01275323 -0.00657843  0.03566962 -0.004452   -0.04908839
   0.99792314]]",0
9,10,7,0.9,1.0220670700073242,"[[ 0.97387964 -0.1891067  -0.10643401 -0.05303618  0.03637681  0.01469348
  -0.01081278]
 [ 0.16102923  0.9578371  -0.23195203  0.00744547 -0.02304257  0.04094304
  -0.0235173 ]
 [ 0.14476675  0.21058597  0.9611996   0.04047013  0.0915836  -0.01824326
  -0.02081225]
 [-0.03325184 -0.00286291 -0.09398483  0.27819297  0.9454191   0.13597625
  -0.01884079]
 [ 0.055413   -0.02806433 -0.01280671  0.95278484 -0.28722918  0.05845457
   0.04755264]
 [-0.01737841 -0.03129609  0.04247157 -0.09289557 -0.11147647  0.987769
  -0.01305513]
 [ 0.01386885  0.02578596  0.01281663 -0.0409146   0.03183509  0.01344592
   0.9980532 ]]",0
