layer,level_from,level_to,G,boot_id
0,1,2,0.9878559197698321,0
0,2,3,0.9897238754090809,0
0,3,4,0.990346298331306,0
0,4,5,0.9911195635795593,0
0,5,6,0.9917477255775815,0
0,6,7,0.9891415919576373,0
0,7,8,0.9900041336104983,0
0,8,9,0.9923172082219806,0
0,9,10,0.9900055016790118,0
1,1,2,0.9868727241243634,0
1,2,3,0.9884764949480692,0
1,3,4,0.989456866468702,0
1,4,5,0.9889750253586542,0
1,5,6,0.9898861192521595,0
1,6,7,0.987426621573312,0
1,7,8,0.9879088032813299,0
1,8,9,0.9911491274833679,0
1,9,10,0.9886003448849633,0
2,1,2,0.971768149307796,0
2,2,3,0.9766677334195092,0
2,3,4,0.9755833773385911,0
2,4,5,0.9793741617883954,0
2,5,6,0.979213209379287,0
2,6,7,0.9775667389233907,0
2,7,8,0.9778475903329396,0
2,8,9,0.9787450659842718,0
2,9,10,0.9761120563461667,0
3,1,2,0.9568328545207069,0
3,2,3,0.9577416834377107,0
3,3,4,0.9614442558515639,0
3,4,5,0.9724791191873097,0
3,5,6,0.9660967191060384,0
3,6,7,0.9642082764988854,0
3,7,8,0.9624052473476955,0
3,8,9,0.9666502731187003,0
3,9,10,0.9560143379938035,0
4,1,2,0.9470041422616868,0
4,2,3,0.9439264450754438,0
4,3,4,0.9482976623943874,0
4,4,5,0.9605099445297605,0
4,5,6,0.9556909345445179,0
4,6,7,0.9551772219794137,0
4,7,8,0.9509112721397763,0
4,8,9,0.9535879521142869,0
4,9,10,0.926600090094975,0
5,1,2,0.934143861134847,0
5,2,3,0.92111508335386,0
5,3,4,0.9381345425333295,0
5,4,5,0.9472355360076541,0
5,5,6,0.9497488907405308,0
5,6,7,0.9482916763850621,0
5,7,8,0.943911748273032,0
5,8,9,0.9479515382221767,0
5,9,10,0.9274481620107379,0
6,1,2,0.9248710955892291,0
6,2,3,0.9059010289964222,0
6,3,4,0.934310413542248,0
6,4,5,0.9355744861421131,0
6,5,6,0.9436215871856326,0
6,6,7,0.941006254582178,0
6,7,8,0.9363567261468797,0
6,8,9,0.9374754570779347,0
6,9,10,0.9229221571059454,0
7,1,2,0.9093998386746361,0
7,2,3,0.8903134351684934,0
7,3,4,0.9208006745293027,0
7,4,5,0.9222598104249864,0
7,5,6,0.9292538137662978,0
7,6,7,0.9284307985078721,0
7,7,8,0.9299780158769517,0
7,8,9,0.9322650375820342,0
7,9,10,0.916097723302387,0
8,1,2,0.8833870234943572,0
8,2,3,0.8681843138876415,0
8,3,4,0.9063230014982677,0
8,4,5,0.9074314946220035,0
8,5,6,0.9090957755134219,0
8,6,7,0.9133777164277577,0
8,7,8,0.9230654835700989,0
8,8,9,0.9238455125263759,0
8,9,10,0.9070688628015064,0
9,1,2,0.8706594790731158,0
9,2,3,0.8373689168975467,0
9,3,4,0.8865737687973749,0
9,4,5,0.8906559490022206,0
9,5,6,0.8792113292784918,0
9,6,7,0.8876824833097912,0
9,7,8,0.9071660410790217,0
9,8,9,0.9213875049636477,0
9,9,10,0.9002267292567662,0
10,1,2,0.8582198534693036,0
10,2,3,0.8094251468068078,0
10,3,4,0.8626446156274705,0
10,4,5,0.8614777156284877,0
10,5,6,0.856056599389939,0
10,6,7,0.8603964249293009,0
10,7,8,0.8845643060547965,0
10,8,9,0.9243403502873012,0
10,9,10,0.9074927398136684,0
11,1,2,0.7621056579408192,0
11,2,3,0.7012919386227926,0
11,3,4,0.7982805626732963,0
11,4,5,0.8504658795538402,0
11,5,6,0.8250927669661385,0
11,6,7,0.8413905160767692,0
11,7,8,0.8482844119980222,0
11,8,9,0.9047078660556248,0
11,9,10,0.8842146595319113,0
0,1,2,0.9852957328160604,1
0,2,3,0.9865905543168386,1
0,3,4,0.9874746302763621,1
0,4,5,0.9894779423872629,1
0,5,6,0.98766028881073,1
0,6,7,0.9865949749946594,1
0,7,8,0.9883963167667389,1
0,8,9,0.9912616511185964,1
0,9,10,0.9876803259054819,1
1,1,2,0.9863457083702087,1
1,2,3,0.9875157574812571,1
1,3,4,0.9881362517674764,1
1,4,5,0.9890617628892263,1
1,5,6,0.9882222513357798,1
1,6,7,0.9868060151735941,1
1,7,8,0.9879354337851206,1
1,8,9,0.9910977780818939,1
1,9,10,0.9869649608929952,1
2,1,2,0.9769683877627054,1
2,2,3,0.9802992939949036,1
2,3,4,0.9757445057233175,1
2,4,5,0.980612446864446,1
2,5,6,0.9753436942895254,1
2,6,7,0.9756621221701304,1
2,7,8,0.9789299170176188,1
2,8,9,0.9793687462806702,1
2,9,10,0.9726441701253256,1
3,1,2,0.9643369813760122,1
3,2,3,0.9638580481211344,1
3,3,4,0.9607654611269633,1
3,4,5,0.971115400393804,1
3,5,6,0.960312177737554,1
3,6,7,0.9618234435717264,1
3,7,8,0.9670176009337107,1
3,8,9,0.9702324271202087,1
3,9,10,0.9502018988132477,1
4,1,2,0.9511687258879343,1
4,2,3,0.9584010740121206,1
4,3,4,0.9522755444049835,1
4,4,5,0.9631644090016683,1
4,5,6,0.9528776307900747,1
4,6,7,0.9545916616916656,1
4,7,8,0.9566856523354849,1
4,8,9,0.9607323805491129,1
4,9,10,0.9308251937230428,1
5,1,2,0.9387750029563904,1
5,2,3,0.9459047913551331,1
5,3,4,0.9452410439650217,1
5,4,5,0.9515149891376495,1
5,5,6,0.9478968878587087,1
5,6,7,0.9491142133871714,1
5,7,8,0.9484217663606008,1
5,8,9,0.9531375070412954,1
5,9,10,0.9345275362332662,1
6,1,2,0.9338990449905396,1
6,2,3,0.9363216161727905,1
6,3,4,0.9402908186117808,1
6,4,5,0.943223218123118,1
6,5,6,0.9418189823627472,1
6,6,7,0.9462100664774576,1
6,7,8,0.942921370267868,1
6,8,9,0.9471406837304434,1
6,9,10,0.9250424901644388,1
7,1,2,0.9223369558652242,1
7,2,3,0.9256316820780436,1
7,3,4,0.9336258371671041,1
7,4,5,0.9336636165777842,1
7,5,6,0.9295262694358826,1
7,6,7,0.9349897503852844,1
7,7,8,0.9368695418039957,1
7,8,9,0.9401430090268453,1
7,9,10,0.9155418475468954,1
8,1,2,0.9003015458583832,1
8,2,3,0.9073957006136576,1
8,3,4,0.922819604476293,1
8,4,5,0.9220769206682841,1
8,5,6,0.9169250428676605,1
8,6,7,0.9249636828899384,1
8,7,8,0.9311140775680542,1
8,8,9,0.9326866467793783,1
8,9,10,0.9017511904239655,1
9,1,2,0.8824955026308695,1
9,2,3,0.8792369961738586,1
9,3,4,0.9056824048360189,1
9,4,5,0.9051108161608378,1
9,5,6,0.8907503187656403,1
9,6,7,0.8932094673315684,1
9,7,8,0.9158786733945211,1
9,8,9,0.9333447913328806,1
9,9,10,0.8910340269406637,1
10,1,2,0.8655088543891907,1
10,2,3,0.8473505973815918,1
10,3,4,0.8866622149944305,1
10,4,5,0.8835963706175486,1
10,5,6,0.8733886877695719,1
10,6,7,0.8670913974444071,1
10,7,8,0.9004400273164114,1
10,8,9,0.9387648204962412,1
10,9,10,0.8973245620727539,1
11,1,2,0.752007802327474,1
11,2,3,0.7860976755619049,1
11,3,4,0.8422773778438568,1
11,4,5,0.8846056759357452,1
11,5,6,0.8432276050249735,1
11,6,7,0.8454716801643372,1
11,7,8,0.8637209236621857,1
11,8,9,0.9138602018356323,1
11,9,10,0.8679261803627014,1
0,1,2,0.9867789972396124,2
0,2,3,0.9888818831670851,2
0,3,4,0.9894374240012396,2
0,4,5,0.9903699017706371,2
0,5,6,0.9896162492888314,2
0,6,7,0.9869638653028578,2
0,7,8,0.9884587412788755,2
0,8,9,0.9913932340485709,2
0,9,10,0.9889192808242071,2
1,1,2,0.9860939099675133,2
1,2,3,0.9880012302171617,2
1,3,4,0.9888815170242673,2
1,4,5,0.9884720671744573,2
1,5,6,0.9889524153300694,2
1,6,7,0.9864237422034854,2
1,7,8,0.9866117210615248,2
1,8,9,0.9904071120988756,2
1,9,10,0.9876128066153753,2
2,1,2,0.9735872660364423,2
2,2,3,0.9775004244986034,2
2,3,4,0.9754723111788431,2
2,4,5,0.9789491097132365,2
2,5,6,0.9769616950125921,2
2,6,7,0.9762226854051862,2
2,7,8,0.9763148058028448,2
2,8,9,0.9785648612749009,2
2,9,10,0.9733697175979614,2
3,1,2,0.9602419137954712,2
3,2,3,0.9606916194870359,2
3,3,4,0.9614188727878389,2
3,4,5,0.9719203000976926,2
3,5,6,0.963201329821632,2
3,6,7,0.9625291398593357,2
3,7,8,0.9625100124449957,2
3,8,9,0.9692639396304176,2
3,9,10,0.9541373479933966,2
4,1,2,0.9477922717730204,2
4,2,3,0.9490020275115967,2
4,3,4,0.9501551588376363,2
4,4,5,0.9622843662897745,2
4,5,6,0.9538133768808275,2
4,6,7,0.9549575107438224,2
4,7,8,0.9515084226926168,2
4,8,9,0.9549330160731361,2
4,9,10,0.9292801164445423,2
5,1,2,0.9349678045227414,2
5,2,3,0.9302923168454852,2
5,3,4,0.9410776212101891,2
5,4,5,0.9505442295755658,2
5,5,6,0.9494720072973342,2
5,6,7,0.9481181388809568,2
5,7,8,0.9419931059791928,2
5,8,9,0.9458223609697252,2
5,9,10,0.9286280104092189,2
6,1,2,0.9256813327471415,2
6,2,3,0.9156700770060221,2
6,3,4,0.9371672386214847,2
6,4,5,0.9406176862262544,2
6,5,6,0.943055388473329,2
6,6,7,0.9417137418474469,2
6,7,8,0.93402403876895,2
6,8,9,0.9352892154739016,2
6,9,10,0.9220797078950065,2
7,1,2,0.909949038709913,2
7,2,3,0.9016762574513754,2
7,3,4,0.925171264580318,2
7,4,5,0.9279711303256807,2
7,5,6,0.930086822736831,2
7,6,7,0.9299007370358422,2
7,7,8,0.9289880025954473,2
7,8,9,0.9301317163876125,2
7,9,10,0.9150472311746507,2
8,1,2,0.8849018613497416,2
8,2,3,0.8807583848635355,2
8,3,4,0.9117542420114789,2
8,4,5,0.9143072508630299,2
8,5,6,0.9114930317515418,2
8,6,7,0.9151038101741246,2
8,7,8,0.9208408792813619,2
8,8,9,0.9225360864684695,2
8,9,10,0.9048544622602916,2
9,1,2,0.8703605901627314,2
9,2,3,0.852218957174392,2
9,3,4,0.8923816709291368,2
9,4,5,0.8975253388995216,2
9,5,6,0.8834709752173651,2
9,6,7,0.8865171926362174,2
9,7,8,0.9057041520164126,2
9,8,9,0.9217566705885387,2
9,9,10,0.8977417803945995,2
10,1,2,0.8566554018429348,2
10,2,3,0.8245810866355896,2
10,3,4,0.869590373266311,2
10,4,5,0.8723998126529512,2
10,5,6,0.8645275320325579,2
10,6,7,0.8589052302496774,2
10,7,8,0.8839639482044038,2
10,8,9,0.9239170948664347,2
10,9,10,0.9015410059974307,2
11,1,2,0.7582964812006269,2
