layer_from,layer_to,k_used,variance_threshold,mean_angle,max_angle,angles,boot_id
0,1,5,,0.3715762197971344,0.4463465213775635,[0.31601158 0.33966288 0.35668108 0.39917898 0.44634652],0
1,2,5,,0.39284631609916687,0.4679166376590729,[0.34041792 0.3567881  0.383225   0.41588408 0.46791664],0
2,3,5,,0.3919007182121277,0.4688953459262848,[0.31968468 0.35736227 0.375401   0.43816045 0.46889535],0
3,4,5,,0.3493340015411377,0.4040828347206116,[0.29744074 0.3294591  0.34444338 0.37124398 0.40408283],0
4,5,5,,0.3413212299346924,0.449079692363739,[0.27995613 0.29714346 0.33181083 0.34861612 0.4490797 ],0
5,6,5,,0.3245201110839844,0.3672822117805481,[0.28110275 0.29361203 0.32779273 0.3528107  0.3672822 ],0
6,7,5,,0.34117546677589417,0.3828950524330139,[0.30367774 0.32469463 0.3366399  0.3579699  0.38289505],0
7,8,5,,0.36122074723243713,0.39852041006088257,[0.31151983 0.34643057 0.36737284 0.3822599  0.3985204 ],0
8,9,5,,0.36364197731018066,0.43326348066329956,[0.32123798 0.3371936  0.35526446 0.37125024 0.43326348],0
9,10,5,,0.38594189286231995,0.43096664547920227,[0.34858787 0.3670715  0.3899856  0.39309785 0.43096665],0
10,11,5,,0.4513476490974426,0.868317186832428,[0.30014813 0.33705017 0.36358002 0.3876427  0.8683172 ],0
0,1,5,,0.3694702982902527,0.43992528319358826,[0.31673136 0.33704388 0.35613066 0.39752036 0.43992528],1
1,2,5,,0.389195054769516,0.463309109210968,[0.3365847  0.35670635 0.3782748  0.41110024 0.4633091 ],1
2,3,5,,0.3899109661579132,0.460438996553421,[0.3197025  0.3526249  0.3720602  0.44472826 0.460439  ],1
3,4,5,,0.3560779392719269,0.40974903106689453,[0.30711797 0.32968086 0.36055005 0.37329173 0.40974903],1
4,5,5,,0.3411267399787903,0.4435597062110901,[0.27549005 0.30070847 0.331656   0.3542194  0.4435597 ],1
5,6,5,,0.32488805055618286,0.37548258900642395,[0.27491865 0.29457968 0.31953728 0.3599222  0.3754826 ],1
6,7,5,,0.3380061984062195,0.37931907176971436,[0.30241308 0.31944847 0.341465   0.34738532 0.37931907],1
7,8,5,,0.359066367149353,0.40444695949554443,[0.30880022 0.34830648 0.3636087  0.37016946 0.40444696],1
8,9,5,,0.3561089336872101,0.4111279547214508,[0.31559438 0.33090246 0.35239062 0.37052926 0.41112795],1
9,10,5,,0.3858763575553894,0.4246622622013092,[0.34161377 0.36168048 0.3930736  0.40835175 0.42466226],1
10,11,5,,0.4578119218349457,0.860508918762207,[0.30768746 0.3431374  0.38015395 0.39757165 0.8605089 ],1
