layer_from,layer_to,k_used,variance_threshold,mean_angle,max_angle,angles,boot_id
0,1,6,0.9,0.3687337636947632,0.4308229386806488,[0.30640164 0.33390665 0.34438917 0.3827521  0.41413006 0.43082294],0
1,2,6,0.9,0.39433422684669495,0.473044216632843,[0.32316622 0.3394782  0.38129026 0.4134495  0.4355771  0.47304422],0
2,3,6,0.9,0.38847804069519043,0.4975458085536957,[0.31930855 0.3325376  0.36405993 0.38092312 0.43649313 0.4975458 ],0
3,4,6,0.9,0.344719797372818,0.3959760367870331,[0.28338134 0.31606126 0.33442712 0.36037073 0.3781024  0.39597604],0
4,5,6,0.9,0.33615946769714355,0.44361886382102966,[0.256984   0.2961537  0.3286359  0.33949593 0.35206857 0.44361886],0
5,6,6,0.9,0.3254261910915375,0.36966875195503235,[0.27303267 0.28852463 0.3188822  0.34892783 0.35352108 0.36966875],0
6,7,6,0.9,0.3407677114009857,0.38406580686569214,[0.2965766  0.31779745 0.3259942  0.35108098 0.36909127 0.3840658 ],0
7,8,6,0.9,0.35870304703712463,0.39900335669517517,[0.30159363 0.33234763 0.35285607 0.38018993 0.38622773 0.39900336],0
8,9,6,0.9,0.3628605902194977,0.4488528370857239,[0.31230587 0.3370657  0.34837386 0.36022872 0.37033665 0.44885284],0
9,10,7,0.9,0.37938374280929565,0.42878457903862,"[0.334631   0.3516322  0.36380908 0.37349042 0.39108068 0.4122582
 0.42878458]",0
10,11,7,0.9,0.42111942172050476,0.8629409074783325,"[0.28843245 0.3239755  0.33151612 0.34278044 0.36849454 0.42969602
 0.8629409 ]",0
0,1,6,0.9,0.3662360608577728,0.4227011203765869,[0.3075418  0.3305508  0.34332925 0.38019973 0.41309345 0.42270112],1
1,2,6,0.9,0.39017006754875183,0.46976763010025024,[0.31816387 0.33580598 0.37448418 0.40727267 0.43552607 0.46976763],1
2,3,6,0.9,0.38554513454437256,0.48896437883377075,[0.31776065 0.33272487 0.35583875 0.37985474 0.43812743 0.48896438],1
3,4,6,0.9,0.35135379433631897,0.40068474411964417,[0.2953971  0.3212863  0.34146163 0.3679012  0.3813918  0.40068474],1
4,5,6,0.9,0.33730509877204895,0.44090884923934937,[0.26031917 0.29956153 0.32701725 0.34650078 0.34952304 0.44090885],1
5,6,6,0.9,0.3251207768917084,0.3689711391925812,[0.26774895 0.29153922 0.3136683  0.346971   0.361826   0.36897114],1
6,7,6,0.9,0.33725491166114807,0.3786732256412506,[0.29122803 0.31682473 0.3247197  0.34273505 0.36934876 0.37867323],1
7,8,6,0.9,0.3539879024028778,0.39309176802635193,[0.29868025 0.32781863 0.35395002 0.36844853 0.38193828 0.39309177],1
8,9,6,0.9,0.35688838362693787,0.4259350001811981,[0.3042475  0.32887608 0.3500137  0.36279967 0.36945838 0.425935  ],1
9,10,6,0.9,0.3824678659439087,0.4312557578086853,[0.3373703  0.3465013  0.36666605 0.40262833 0.41038534 0.43125576],1
10,11,6,0.9,0.44181275367736816,0.8564389944076538,[0.29272038 0.33332145 0.35946584 0.3799658  0.42896405 0.856439  ],1
0,1,6,0.9,0.3674594461917877,0.42574870586395264,[0.3063127  0.33431944 0.34438705 0.38148722 0.4125015  0.4257487 ],2
1,2,6,0.9,0.3928724229335785,0.47240930795669556,[0.32287705 0.33810353 0.3785097  0.41153657 0.4337984  0.4724093 ],2
2,3,6,0.9,0.3892620801925659,0.4980244040489197,[0.31907624 0.33387882 0.3631826  0.38285404 0.43855643 0.4980244 ],2
3,4,6,0.9,0.3478355407714844,0.395475834608078,[0.28932127 0.31940803 0.33730206 0.36331242 0.3821936  0.39547583],2
4,5,6,0.9,0.3382134437561035,0.448910117149353,[0.25995046 0.2964095  0.32992232 0.3419154  0.35217294 0.44891012],2
5,6,6,0.9,0.3274652361869812,0.37285542488098145,[0.2711786  0.29087386 0.31829667 0.35167685 0.35991    0.37285542],2
6,7,6,0.9,0.33901265263557434,0.3804853558540344,[0.29643887 0.31717312 0.32643726 0.3486608  0.36488044 0.38048536],2
7,8,6,0.9,0.35825231671333313,0.39661407470703125,[0.30067608 0.33239642 0.35337177 0.3804152  0.3860405  0.39661407],2
8,9,6,0.9,0.36287423968315125,0.4450264573097229,[0.31095657 0.3398276  0.35047302 0.36083344 0.37012842 0.44502646],2
9,10,7,0.9,0.3812517523765564,0.42863747477531433,"[0.33421406 0.35365397 0.3669328  0.37307298 0.39826366 0.41398725
 0.42863747]",2
10,11,7,0.9,0.43888145685195923,0.8944204449653625,"[0.28721943 0.32976905 0.3484451  0.36266848 0.37803942 0.47160846
 0.89442044]",2
0,1,6,0.9,0.3681620657444,0.4290001392364502,[0.3057257  0.33448288 0.34560913 0.38142735 0.4127273  0.42900014],3
1,2,6,0.9,0.39034637808799744,0.4676364064216614,[0.31847602 0.33999404 0.37752926 0.40787792 0.43056452 0.4676364 ],3
2,3,6,0.9,0.3810668885707855,0.4838743209838867,[0.31361595 0.3246629  0.3551503  0.37579453 0.43330336 0.48387432],3
3,4,6,0.9,0.339962363243103,0.3951384127140045,[0.281797   0.3100373  0.3264748  0.35537204 0.37095454 0.3951384 ],3
4,5,6,0.9,0.33197399973869324,0.44612857699394226,[0.2513226  0.28932962 0.32184866 0.3353609  0.3478537  0.44612858],3
5,6,6,0.9,0.3213546574115753,0.36946794390678406,[0.26647192 0.28213266 0.31887972 0.34382805 0.34734768 0.36946794],3
6,7,6,0.9,0.3403068780899048,0.3749540150165558,[0.29978606 0.32146066 0.32701373 0.3483517  0.3702752  0.37495402],3
7,8,6,0.9,0.36028361320495605,0.40389707684516907,[0.30373356 0.33410448 0.35546967 0.3772187  0.38727814 0.40389708],3
8,9,7,0.9,0.3631095886230469,0.4503623843193054,"[0.27250364 0.33568367 0.35035458 0.35310903 0.3641436  0.41561016
 0.45036238]",3
9,10,7,0.9,0.37843701243400574,0.4285047948360443,"[0.33878624 0.3528     0.36343184 0.36908498 0.38782668 0.4086247
 0.4285048 ]",3
10,11,7,0.9,0.4253738522529602,0.8656406998634338,"[0.30093518 0.3289816  0.33750606 0.34645003 0.36739457 0.43070903
 0.8656407 ]",3
0,1,6,0.9,0.3675123453140259,0.4278365671634674,[0.30570215 0.3343514  0.3432832  0.38075104 0.41314986 0.42783657],4
1,2,6,0.9,0.3917897045612335,0.4706469476222992,[0.3184288  0.3397405  0.37847084 0.40855598 0.43489513 0.47064695],4
2,3,6,0.9,0.38119959831237793,0.48317623138427734,[0.31361693 0.3260398  0.356304   0.37718618 0.43087447 0.48317623],4
3,4,6,0.9,0.34197208285331726,0.3964322805404663,[0.28291646 0.31090942 0.33036673 0.3604914  0.3707162  0.39643228],4
4,5,6,0.9,0.3323654234409332,0.44089823961257935,[0.25331903 0.29291552 0.3224291  0.33750623 0.34712452 0.44089824],4
5,6,6,0.9,0.3205648958683014,0.367130309343338,[0.2664511  0.2845695  0.31354406 0.34161112 0.3500834  0.3671303 ],4
6,7,6,0.9,0.3368171453475952,0.37434908747673035,[0.29596493 0.31666532 0.32119474 0.34447372 0.36825502 0.3743491 ],4
7,8,6,0.9,0.3553313910961151,0.3955695927143097,[0.30065173 0.3284445  0.3526045  0.37502983 0.379688   0.3955696 ],4
8,9,7,0.9,0.3579540550708771,0.44382089376449585,"[0.26397038 0.3287083  0.34546518 0.3539048  0.35752597 0.4122829
 0.4438209 ]",4
9,10,7,0.9,0.37516266107559204,0.4291553199291229,"[0.33167174 0.3474177  0.35521972 0.369178   0.38754618 0.40594992
 0.42915532]",4
10,11,7,0.9,0.42140820622444153,0.8567954897880554,"[0.29093102 0.32245356 0.3247432  0.3422045  0.3648878  0.44784176
 0.8567955 ]",4
0,1,6,0.9,0.36826542019844055,0.43153116106987,[0.304574   0.33466983 0.34456533 0.38016295 0.41408932 0.43153116],5
1,2,6,0.9,0.39094436168670654,0.46832138299942017,[0.31899664 0.33491382 0.38088977 0.40963322 0.43291125 0.46832138],5
2,3,6,0.9,0.38422343134880066,0.488679438829422,[0.31804687 0.32704377 0.35667306 0.37788612 0.43701112 0.48867944],5
3,4,6,0.9,0.3447224199771881,0.39246031641960144,[0.28766033 0.31391105 0.3349869  0.36079055 0.37852553 0.39246032],5
4,5,6,0.9,0.3368307054042816,0.43657195568084717,[0.25854543 0.29885906 0.3290982  0.3438344  0.35407504 0.43657196],5
5,6,6,0.9,0.32682961225509644,0.3710156977176666,[0.27089164 0.29158258 0.3137     0.3506816  0.36310625 0.3710157 ],5
6,7,6,0.9,0.338015079498291,0.38063234090805054,[0.29095948 0.31664905 0.32643762 0.34492335 0.36848858 0.38063234],5
7,8,6,0.9,0.3574106693267822,0.3955576717853546,[0.3020406  0.3324218  0.35607117 0.37340662 0.3849661  0.39555767],5
8,9,6,0.9,0.3597123324871063,0.43883204460144043,[0.30465055 0.33217952 0.34603202 0.36318696 0.37339288 0.43883204],5
9,10,7,0.9,0.3823889195919037,0.43207648396492004,"[0.33112198 0.35446677 0.36947867 0.3833858  0.39372447 0.4124685
 0.43207648]",5
10,11,7,0.9,0.4941202998161316,1.0588099956512451,"[0.30810893 0.33950594 0.35794014 0.37897944 0.41498584 0.60051167
 1.05881   ]",5
0,1,6,0.9,0.3685271441936493,0.4259149432182312,[0.30894825 0.33425093 0.34609687 0.38301244 0.41293946 0.42591494],6
1,2,6,0.9,0.39284053444862366,0.4743158519268036,[0.32423735 0.33843562 0.3773198  0.41033378 0.43240076 0.47431585],6
2,3,6,0.9,0.391394704580307,0.5016640424728394,[0.31933665 0.3386711  0.3625754  0.38444564 0.44167516 0.50166404],6
3,4,6,0.9,0.35045480728149414,0.3969336748123169,[0.29414478 0.32487544 0.33896446 0.36569637 0.38211414 0.39693367],6
4,5,6,0.9,0.3395359516143799,0.45253634452819824,[0.2626178  0.29709175 0.32917842 0.34532943 0.3504619  0.45253634],6
5,6,6,0.9,0.32796570658683777,0.3708927035331726,[0.27064005 0.29163545 0.31914616 0.35289195 0.36258784 0.3708927 ],6
6,7,6,0.9,0.34057843685150146,0.38102972507476807,[0.29684773 0.31906846 0.3312516  0.3489583  0.36631477 0.38102973],6
7,8,6,0.9,0.3610042333602905,0.4021970331668854,[0.29867095 0.33513644 0.35735682 0.38201216 0.390652   0.40219703],6
8,9,6,0.9,0.36249303817749023,0.43668442964553833,[0.30794457 0.34093115 0.35243222 0.3639012  0.37306464 0.43668443],6
9,10,7,0.9,0.3853866755962372,0.4350910186767578,"[0.33755377 0.35445663 0.36876813 0.3785494  0.40702915 0.41625866
 0.43509102]",6
10,11,6,0.9,0.44197341799736023,0.864163339138031,[0.28503686 0.33075586 0.36086634 0.3767462  0.4342718  0.86416334],6
0,1,6,0.9,0.3680684268474579,0.42894983291625977,[0.3054527  0.33409357 0.34622142 0.3807451  0.41294792 0.42894983],7
1,2,6,0.9,0.38902243971824646,0.46555760502815247,[0.31735578 0.33412284 0.37845582 0.40569794 0.43294466 0.4655576 ],7
2,3,6,0.9,0.3805243968963623,0.4832420349121094,[0.3124494  0.322831   0.35512784 0.37482557 0.43467042 0.48324203],7
3,4,6,0.9,0.34060952067375183,0.3911876082420349,[0.2855756  0.31093493 0.32424033 0.35665277 0.3750658  0.3911876 ],7
4,5,6,0.9,0.3328689634799957,0.44327685236930847,[0.25095612 0.2897605  0.3254378  0.33743387 0.35034868 0.44327685],7
5,6,6,0.9,0.3218402862548828,0.36820998787879944,[0.2660542  0.28295362 0.31229618 0.34701025 0.35451743 0.36821   ],7
6,7,6,0.9,0.33564791083335876,0.37377896904945374,[0.2933986  0.31330127 0.32201388 0.34578434 0.3656105  0.37377897],7
7,8,6,0.9,0.3574075698852539,0.39827612042427063,[0.29936334 0.32902017 0.35448137 0.377314   0.38599047 0.39827612],7
8,9,7,0.9,0.35777178406715393,0.4384879469871521,"[0.2648742  0.33223948 0.34467718 0.35182562 0.35720497 0.415093
 0.43848795]",7
9,10,7,0.9,0.37669306993484497,0.4203672409057617,"[0.33693302 0.35633183 0.36223865 0.36661717 0.38763765 0.40672594
 0.42036724]",7
10,11,8,0.9,0.4259704053401947,0.8683047294616699,"[0.30287224 0.3146314  0.3202011  0.34606034 0.3760116  0.42992088
 0.44976088 0.8683047 ]",7
0,1,6,0.9,0.36808279156684875,0.4231369197368622,[0.3102701  0.33245468 0.34630325 0.38294578 0.41338614 0.42313692],8
1,2,6,0.9,0.39275240898132324,0.47307196259498596,[0.3220894  0.33607322 0.37601274 0.40975007 0.43951684 0.47307196],8
2,3,6,0.9,0.38950932025909424,0.4943942427635193,[0.3190831  0.33692545 0.36521253 0.38227332 0.4391672  0.49439424],8
3,4,6,0.9,0.3513448238372803,0.39627358317375183,[0.2991193  0.3218739  0.33581808 0.36619142 0.38879278 0.39627358],8
4,5,6,0.9,0.3391415774822235,0.4532729983329773,[0.25735965 0.29410428 0.3327902  0.34499913 0.35232309 0.453273  ],8
5,6,6,0.9,0.32634690403938293,0.37282711267471313,[0.26923415 0.28898805 0.31258276 0.35194203 0.3625075  0.3728271 ],8
6,7,6,0.9,0.33633074164390564,0.3781421184539795,[0.2952992  0.31246686 0.3229871  0.34685722 0.3622319  0.37814212],8
7,8,6,0.9,0.35576653480529785,0.4011267423629761,[0.2949092  0.3252217  0.35201272 0.37710217 0.3842266  0.40112674],8
8,9,6,0.9,0.35448315739631653,0.42315566539764404,[0.3027225  0.33443856 0.34116513 0.36076134 0.36465588 0.42315567],8
9,10,6,0.9,0.38247251510620117,0.43062636256217957,[0.34305963 0.34652764 0.36121967 0.39916104 0.41424084 0.43062636],8
10,11,6,0.9,0.4368397891521454,0.8332154154777527,[0.2885173  0.32796228 0.35793418 0.3880783  0.42533115 0.8332154 ],8
0,1,6,0.9,0.36944401264190674,0.4319375455379486,[0.3061138  0.33587506 0.34527716 0.38292423 0.41453633 0.43193755],9
1,2,6,0.9,0.3950628340244293,0.4736175835132599,[0.32472828 0.33929038 0.38194802 0.41522822 0.43556452 0.47361758],9
2,3,6,0.9,0.3901696503162384,0.49842292070388794,[0.32106727 0.33382553 0.36721447 0.3830737  0.43741414 0.49842292],9
3,4,6,0.9,0.3453011214733124,0.39217159152030945,[0.28646988 0.3147793  0.33492887 0.36183727 0.38161975 0.3921716 ],9
4,5,6,0.9,0.33814048767089844,0.44543957710266113,[0.25802153 0.29694775 0.3315815  0.3419339  0.35491866 0.44543958],9
5,6,6,0.9,0.3281133472919464,0.3723430931568146,[0.2734786  0.29057527 0.3181227  0.35224068 0.3619196  0.3723431 ],9
6,7,6,0.9,0.3398157060146332,0.3827325999736786,[0.29729772 0.31574643 0.3258952  0.3511347  0.3660877  0.3827326 ],9
7,8,6,0.9,0.3586157262325287,0.39662688970565796,[0.30096835 0.3327088  0.35245538 0.38237175 0.3865632  0.3966269 ],9
8,9,6,0.9,0.3620513677597046,0.45022666454315186,[0.309768   0.336137   0.34427387 0.3600704  0.37183225 0.45022666],9
9,10,7,0.9,0.3810407519340515,0.42617398500442505,"[0.33628875 0.35480148 0.36591583 0.375879   0.39466387 0.41356224
 0.42617399]",9
10,11,7,0.9,0.49620649218559265,1.0872591733932495,"[0.2920477  0.32912347 0.3440603  0.37450847 0.4033723  0.6430741
 1.0872592 ]",9
0,1,6,0.9,0.3678327798843384,0.4279082417488098,[0.30530757 0.3358765  0.34483308 0.3806986  0.41237274 0.42790824],10
1,2,6,0.9,0.3916313350200653,0.46991679072380066,[0.3205187  0.33676907 0.37920848 0.4099861  0.43338868 0.4699168 ],10
2,3,6,0.9,0.3845332860946655,0.48981302976608276,[0.31640798 0.32709035 0.35975122 0.3791236  0.43501365 0.48981303],10
3,4,6,0.9,0.3433523178100586,0.39132654666900635,[0.28680465 0.31300175 0.33014983 0.3602835  0.3785476  0.39132655],10
4,5,6,0.9,0.3355158865451813,0.44569504261016846,[0.25493363 0.29313982 0.32760736 0.34013736 0.35158202 0.44569504],10
5,6,6,0.9,0.3247913122177124,0.37174805998802185,[0.26781902 0.28658608 0.3144351  0.34989256 0.35826698 0.37174806],10
6,7,6,0.9,0.3368332087993622,0.3757011294364929,[0.2965515  0.3146216  0.32377976 0.34641528 0.36392984 0.37570113],10
7,8,6,0.9,0.3577321469783783,0.39597219228744507,[0.30082014 0.3308746  0.35337487 0.38027424 0.38507673 0.3959722 ],10
8,9,7,0.9,0.3607969284057617,0.44645681977272034,"[0.2682862  0.33230707 0.3459969  0.3530766  0.3625406  0.41691414
 0.44645682]",10
9,10,7,0.9,0.3789409101009369,0.4250025451183319,"[0.33562505 0.35661826 0.3612502  0.3722548  0.39253247 0.4093031
 0.42500255]",10
10,11,7,0.9,0.42025306820869446,0.8412853479385376,"[0.29078075 0.3234855  0.32885152 0.3468567  0.37589812 0.4346135
 0.84128535]",10
0,1,6,0.9,0.36730992794036865,0.42332908511161804,[0.3081439  0.33523428 0.34533033 0.38121575 0.41060624 0.4233291 ],11
1,2,6,0.9,0.39110103249549866,0.47145166993141174,[0.32119343 0.33885258 0.37504253 0.4102969  0.42976913 0.47145167],11
2,3,6,0.9,0.38760316371917725,0.49317264556884766,[0.3169787  0.3349104  0.36001524 0.3816945  0.43884748 0.49317265],11
3,4,6,0.9,0.348005086183548,0.398101806640625,[0.29258052 0.3189993  0.33554867 0.36272258 0.3800778  0.3981018 ],11
4,5,6,0.9,0.33746328949928284,0.4542257785797119,[0.25813502 0.29146603 0.3266227  0.34154296 0.35278726 0.45422578],11
5,6,6,0.9,0.3254173994064331,0.37053635716438293,[0.2651391  0.28776515 0.31687352 0.3537283  0.35846192 0.37053636],11
6,7,6,0.9,0.33836832642555237,0.374646931886673,[0.30173528 0.31856775 0.3277918  0.3453805  0.36208776 0.37464693],11
7,8,6,0.9,0.36034345626831055,0.40270012617111206,[0.30028138 0.33597305 0.3542452  0.3781957  0.3906653  0.40270013],11
8,9,7,0.9,0.3622148931026459,0.4437602162361145,"[0.27124336 0.32728583 0.3496372  0.35295248 0.36871704 0.42190826
 0.44376022]",11
9,10,7,0.9,0.3811720311641693,0.42797574400901794,"[0.3412918  0.35445526 0.3634367  0.3685617  0.40165246 0.41083077
 0.42797574]",11
10,11,7,0.9,0.42585229873657227,0.8686354756355286,"[0.28898826 0.32531512 0.32849568 0.3513987  0.3767689  0.4413641
 0.8686355 ]",11
0,1,6,0.9,0.3670867383480072,0.42700111865997314,[0.3067694  0.33152235 0.3438894  0.3806604  0.4126778  0.42700112],12
1,2,6,0.9,0.38923582434654236,0.4679051339626312,[0.31728566 0.33638123 0.37462103 0.40763682 0.431585   0.46790513],12
2,3,6,0.9,0.38151851296424866,0.4840754270553589,[0.3142936  0.32744858 0.35375378 0.37546423 0.43407568 0.48407543],12
3,4,6,0.9,0.3422263562679291,0.39439883828163147,[0.28416052 0.31179625 0.33016676 0.35928583 0.3735497  0.39439884],12
4,5,6,0.9,0.33164262771606445,0.43938499689102173,[0.25200263 0.2908294  0.32337204 0.33812958 0.3461373  0.439385  ],12
5,6,6,0.9,0.31949353218078613,0.36317503452301025,[0.26485735 0.2833097  0.3118483  0.3453571  0.34841368 0.36317503],12
6,7,6,0.9,0.3355036675930023,0.37402066588401794,[0.29366124 0.3154553  0.32195228 0.3421864  0.36574605 0.37402067],12
7,8,6,0.9,0.35390225052833557,0.3953026533126831,[0.29677883 0.32887313 0.3502853  0.36865303 0.38352042 0.39530265],12
8,9,7,0.9,0.3546752631664276,0.4346410930156708,"[0.25961238 0.32504255 0.33951846 0.351799   0.35790542 0.41420797
 0.4346411 ]",12
9,10,7,0.9,0.37427398562431335,0.4228779077529907,"[0.33492652 0.34672552 0.35647807 0.363492   0.38969812 0.40571982
 0.4228779 ]",12
10,11,8,0.9,0.4355570077896118,0.9347862601280212,"[0.29429153 0.31098402 0.32164    0.34384114 0.3718593  0.42637607
 0.48067778 0.93478626]",12
0,1,6,0.9,0.3684023320674896,0.4315308630466461,[0.3063965  0.33437446 0.34333137 0.3814227  0.4133581  0.43153086],13
1,2,6,0.9,0.3930416405200958,0.4724014401435852,[0.3214784  0.33677468 0.3806325  0.41329354 0.43366933 0.47240144],13
2,3,6,0.9,0.386743426322937,0.4954685866832733,[0.31851467 0.33171496 0.35972583 0.37900877 0.4360279  0.4954686 ],13
3,4,6,0.9,0.3450961410999298,0.39184755086898804,[0.28474417 0.3156894  0.33629346 0.3644444  0.37755787 0.39184755],13
4,5,6,0.9,0.3357209861278534,0.43615561723709106,[0.25842953 0.29731867 0.32695025 0.34211072 0.3533611  0.43615562],13
5,6,6,0.9,0.32467392086982727,0.36631375551223755,[0.26888615 0.29052803 0.3125353  0.35134292 0.35843745 0.36631376],13
6,7,6,0.9,0.33779194951057434,0.3810896575450897,[0.2937364  0.31596383 0.32547492 0.34317586 0.36731127 0.38108966],13
7,8,6,0.9,0.3567241132259369,0.39671915769577026,[0.29935747 0.33246106 0.35276482 0.37417805 0.38486403 0.39671916],13
8,9,6,0.9,0.3587062358856201,0.4416770935058594,[0.3051336  0.33055776 0.34431642 0.3616141  0.36893842 0.4416771 ],13
9,10,7,0.9,0.38020387291908264,0.43157121539115906,"[0.33484146 0.35184622 0.36356562 0.37352702 0.39519647 0.410879
 0.43157122]",13
