layer,total_components,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,k85,k90,k95,boot_id
0,90,0.2427583932876587,0.19575485587120056,0.18260300159454346,0.13832560181617737,0.11490003764629364,0.07383230328559875,0.03319557011127472,0.01200052909553051,0.0007289181230589747,0.0005245147040113807,5,6,7,0
1,90,0.2533663809299469,0.19192582368850708,0.1755799502134323,0.14392414689064026,0.10819919407367706,0.07186564803123474,0.03542955219745636,0.012668387033045292,0.000767961610108614,0.0006669362192042172,5,6,7,0
2,90,0.2515071928501129,0.1921844333410263,0.16874131560325623,0.14063873887062073,0.11132685095071793,0.07292818278074265,0.03555653616786003,0.014943704009056091,0.0012222715886309743,0.000997354043647647,5,6,7,0
3,90,0.2691980302333832,0.18793754279613495,0.1650838553905487,0.13055960834026337,0.10506094992160797,0.0687396302819252,0.03532750904560089,0.017715442925691605,0.0028354853857308626,0.001986004179343581,5,6,7,0
4,90,0.2921052873134613,0.18299278616905212,0.1551966518163681,0.1187029480934143,0.10498547554016113,0.06948846578598022,0.03179875388741493,0.01733139529824257,0.003537613432854414,0.0027853618375957012,5,6,7,0
5,90,0.30202817916870117,0.17670033872127533,0.15278127789497375,0.11595647037029266,0.10355427861213684,0.06871054321527481,0.03142640367150307,0.016827648505568504,0.003942789509892464,0.0030753284227102995,5,6,7,0
6,90,0.31174561381340027,0.17081347107887268,0.14785952866077423,0.11885574460029602,0.09942671656608582,0.06564155220985413,0.030947992578148842,0.01572786085307598,0.005127231124788523,0.0036226643715053797,6,6,8,0
7,90,0.3349235951900482,0.16034787893295288,0.13959355652332306,0.12119441479444504,0.0933624804019928,0.060311537235975266,0.030082356184720993,0.01515957061201334,0.005736400838941336,0.004554152488708496,6,6,8,0
8,90,0.33468207716941833,0.15310651063919067,0.13980135321617126,0.12334008514881134,0.09137766063213348,0.06005873531103134,0.02956710383296013,0.015373329631984234,0.007050506770610809,0.005341226700693369,6,6,9,0
9,90,0.30749940872192383,0.15524128079414368,0.1487826257944107,0.12524519860744476,0.09597258269786835,0.05881641060113907,0.02951827459037304,0.015759382396936417,0.008210363797843456,0.006357603240758181,6,7,10,0
10,90,0.29265058040618896,0.16176199913024902,0.1412089765071869,0.11976965516805649,0.10478643327951431,0.059194087982177734,0.02701297402381897,0.017699159681797028,0.010511654429137707,0.007622473873198032,6,7,12,0
11,90,0.44045716524124146,0.1324463188648224,0.10896521806716919,0.09570859372615814,0.06986404955387115,0.04425978288054466,0.020136404782533646,0.017400074750185013,0.008904119953513145,0.007776154670864344,6,7,11,0
0,90,0.24344779551029205,0.1944894939661026,0.1833099126815796,0.1382492482662201,0.11538995057344437,0.07316769659519196,0.03312700241804123,0.01198673341423273,0.0012679871870204806,0.0009281547972932458,5,6,7,1
1,90,0.25477367639541626,0.19148023426532745,0.17557398974895477,0.1436532735824585,0.10903968662023544,0.07155878841876984,0.0351417176425457,0.012623731046915054,0.0009740439127199352,0.000597950245719403,5,6,7,1
2,90,0.25263088941574097,0.19314657151699066,0.16821037232875824,0.13969117403030396,0.11275483667850494,0.0733075886964798,0.03522363677620888,0.014950914308428764,0.0013854019343852997,0.0012808130122721195,5,6,7,1
3,90,0.2674100995063782,0.19096305966377258,0.16464963555335999,0.13136525452136993,0.10696477442979813,0.06903903931379318,0.03570143133401871,0.01740877702832222,0.0027131305541843176,0.0021496752742677927,5,6,7,1
4,90,0.2884230315685272,0.18642759323120117,0.156795933842659,0.12036861479282379,0.10657510161399841,0.07075899094343185,0.03206310048699379,0.017089176923036575,0.0035140442196279764,0.0028540410567075014,5,6,7,1
5,90,0.29845014214515686,0.17794610559940338,0.15427511930465698,0.1186085194349289,0.10601025074720383,0.07016679644584656,0.0319078266620636,0.016550354659557343,0.004006371833384037,0.003103714669123292,5,6,7,1
6,90,0.30438315868377686,0.17222872376441956,0.15019360184669495,0.12385270744562149,0.10348228365182877,0.06746917217969894,0.031489502638578415,0.016135646030306816,0.0048419032245874405,0.0033346510026603937,5,6,7,1
