layer_from,layer_to,k_used,variance_threshold,residual_fro,rotation,boot_id
0,1,5,,0.8320796489715576,"[[ 0.99040836 -0.09312021  0.03970098 -0.09375852  0.00728768]
 [-0.01834036  0.34600472  0.91476333 -0.16030833 -0.13211252]
 [ 0.08688284  0.91498953 -0.36589515 -0.14393717  0.02546401]
 [-0.09800806 -0.18344435 -0.13448453 -0.9309135  -0.26843348]
 [-0.04000911 -0.02741764  0.09831892 -0.2796296   0.9538282 ]]",0
1,2,5,,0.8782113194465637,"[[ 0.9955305   0.01634834 -0.04579524 -0.01556322  0.07945063]
 [-0.00373715  0.9811959   0.16946378 -0.06095632 -0.06933271]
 [ 0.05892628 -0.1656265   0.9657523   0.14975722 -0.11828244]
 [-0.00902692  0.09384353 -0.10578986  0.9647408   0.22180085]
 [-0.07315274  0.02736096  0.15910916 -0.20709927  0.96213   ]]",0
2,3,5,,0.8784999251365662,"[[ 0.98881596  0.14568454 -0.02494283  0.00343959 -0.01962099]
 [-0.14552274  0.97321093 -0.07362374  0.16143729  0.0141818 ]
 [ 0.01379996  0.06613071  0.9930818   0.07223359 -0.06330115]
 [ 0.0184498  -0.1645816  -0.06333018  0.9833696  -0.03932053]
 [-0.02313543  0.01326952 -0.06111567 -0.04114359 -0.99692565]]",0
3,4,5,,0.781141996383667,"[[ 9.8511612e-01  1.4284424e-01 -6.4168759e-02 -6.9506653e-02
  -1.3893559e-02]
 [-1.3625534e-01  9.8696935e-01  6.3861012e-02  4.5179736e-02
  -3.4736302e-02]
 [-7.4032165e-02  5.1720034e-02 -9.9271524e-01 -1.0689834e-02
  -7.9034217e-02]
 [ 7.4099168e-02 -3.4187786e-02 -1.8099690e-02  9.9650002e-01
   7.7852834e-04]
 [-3.0566645e-03 -4.0537845e-02  7.7414170e-02  1.0209043e-03
  -9.9616933e-01]]",0
4,5,5,,0.7702068090438843,"[[-0.9911589   0.09516063 -0.00307269  0.09239954 -0.00120069]
 [ 0.08913683  0.97720397  0.09351513 -0.04922859 -0.1611164 ]
 [-0.01096244 -0.09618985  0.99506557  0.01434957 -0.01630456]
 [-0.02409317 -0.16184531 -0.03045298 -0.10551497 -0.9803902 ]
 [ 0.09464711  0.02388451 -0.01274741  0.98878694 -0.11229159]]",0
5,6,5,,0.7260571718215942,"[[ 0.9983115  -0.01092061  0.05013385  0.01250896  0.02418863]
 [ 0.00517287  0.99105734  0.1207016  -0.05528808  0.01236757]
 [-0.05231748 -0.1154037   0.98803645  0.08671416  0.01447274]
 [-0.00484995  0.06604782 -0.07744997  0.9875092  -0.12017195]
 [-0.02422455 -0.00240409 -0.02651722  0.11871408  0.99227583]]",0
6,7,5,,0.7615029215812683,"[[ 0.9962285  -0.00248598  0.06260736 -0.04270069 -0.0421852 ]
 [-0.00208873  0.9971875   0.04447984 -0.05795854  0.01658789]
 [-0.06220908 -0.04273892  0.99665415  0.02743247 -0.0152119 ]
 [ 0.05301591  0.05298134 -0.01728237  0.9664824   0.24493967]
 [ 0.02904778 -0.03126267  0.02199333 -0.24490154  0.9683586 ]]",0
7,8,5,,0.8059878945350647,"[[ 0.9980369   0.01448034 -0.00668773 -0.05491283 -0.02554071]
 [-0.01573082  0.99430233  0.08254031 -0.00329439 -0.0655112 ]
 [-0.03067082  0.07055168 -0.90932935 -0.40618074 -0.04710678]
 [-0.04482323 -0.03158575  0.4014519  -0.9104655   0.08295875]
 [ 0.02692344  0.07195868 -0.07140626  0.05516769  0.9929525 ]]",0
8,9,5,,0.8129465579986572,"[[ 0.9960867  -0.03373801  0.05071386 -0.05638148  0.03036816]
 [-0.02020564  0.7114625   0.67147833 -0.20174809 -0.04274739]
 [-0.06363357 -0.6992643   0.6875054  -0.14764366 -0.11188293]
 [ 0.04143529  0.03638885  0.25527772  0.96423393  0.04522343]
 [-0.04045817 -0.04886852  0.09335105 -0.06762471  0.99130595]]",0
9,10,5,,0.8597211837768555,"[[ 0.9982773  -0.01906041 -0.04384046  0.00412438 -0.03376747]
 [ 0.0208726   0.99219567  0.03092005 -0.11895663  0.00233401]
 [ 0.04354536 -0.01960547  0.99333394  0.10272745  0.02130738]
 [ 0.00476095 -0.12141901  0.10031912 -0.98663634 -0.04146764]
 [ 0.03298496 -0.00758924 -0.01858873 -0.04275642  0.99833894]]",0
10,11,5,,1.0903481245040894,"[[ 0.9044679  -0.37448037 -0.14203694 -0.11045739  0.09657586]
 [ 0.30076143  0.8990478  -0.21124683 -0.19733398  0.13300219]
 [ 0.16077656  0.10561074  0.8888589  -0.3625738  -0.20363556]
 [ 0.22077216  0.17953157  0.33217764  0.88921404  0.13410617]
 [ 0.12996477  0.08995686 -0.186516    0.16339244 -0.95578843]]",0
0,1,5,,0.8269755244255066,"[[ 0.98755974 -0.12083761  0.04501053 -0.08973289  0.00679193]
 [-0.02949025  0.21605699  0.9553241  -0.14655699 -0.13537553]
 [ 0.11263908  0.95246416 -0.23361543 -0.15872613  0.01882735]
 [-0.09776524 -0.17410807 -0.14383812 -0.93341327 -0.26111025]
 [-0.04013134 -0.03487404  0.10032081 -0.27205643  0.9555597 ]]",1
1,2,5,,0.8700528144836426,"[[ 0.9956805   0.03289147 -0.04283915 -0.00664499  0.07522669]
 [-0.02160937  0.9822364   0.1481173  -0.09108942 -0.06714692]
 [ 0.05634253 -0.14104201  0.972072    0.13388272 -0.11867663]
 [-0.02076705  0.11814974 -0.08119597  0.954335    0.2612689 ]
 [-0.06743544  0.016662    0.15719208 -0.25095585  0.952621  ]]",1
2,3,5,,0.8741129636764526,"[[ 9.9278355e-01  1.1566992e-01 -1.5314287e-02 -2.3559697e-03
  -2.7592240e-02]
 [-1.1519873e-01  9.8149484e-01 -7.6058283e-02  1.3270991e-01
   5.1231030e-04]
 [ 5.6042550e-03  6.5285109e-02  9.9039507e-01  8.9958400e-02
  -8.2045361e-02]
 [ 1.6886281e-02 -1.3776624e-01 -8.1406809e-02  9.8692781e-01
  -9.0432866e-03]
 [-2.8171554e-02 -6.8251383e-03 -8.0442794e-02 -1.6234333e-02
  -9.9620533e-01]]",1
3,4,5,,0.7957264184951782,"[[ 9.8150003e-01  1.4689066e-01 -8.3672456e-02 -8.9041077e-02
  -1.2305847e-02]
 [-1.3227612e-01  9.8292553e-01  1.0215747e-01  7.1416676e-02
  -2.8703777e-02]
 [-9.7072050e-02  8.6472072e-02 -9.8831904e-01  1.2218332e-02
  -7.8586444e-02]
 [ 9.8680004e-02 -5.8379762e-02 -3.0597940e-03  9.9337733e-01
   6.7973752e-03]
 [ 1.8069533e-05 -3.7348304e-02  7.6019108e-02  4.8554828e-03
  -9.9639481e-01]]",1
4,5,5,,0.7693254351615906,"[[-0.9885324   0.11080758 -0.01990796  0.10061723  0.00224516]
 [ 0.09932279  0.971929    0.10749193 -0.06947428 -0.1706099 ]
 [-0.03170765 -0.11232822  0.9924349   0.00937201 -0.03690744]
 [-0.04201661 -0.17319848 -0.05462953 -0.21146022 -0.95944625]
 [ 0.10083514  0.02145392 -0.01173817  0.96966296 -0.22133225]]",1
5,6,5,,0.7280028462409973,"[[ 9.9831992e-01 -1.2763566e-02  4.3974180e-02  1.0458797e-02
   3.3929430e-02]
 [ 1.0812605e-02  9.9810594e-01  5.1299535e-02 -3.2177966e-02
   7.5616443e-04]
 [-4.6008918e-02 -4.8622329e-02  9.9538046e-01  6.3841857e-02
   2.5708716e-02]
 [-2.6706036e-03  3.4984723e-02 -5.8246452e-02  9.8818183e-01
  -1.3737902e-01]
 [-3.3412009e-02  5.7947505e-03 -3.5491593e-02  1.3518919e-01
   9.8960310e-01]]",1
6,7,5,,0.7543507814407349,"[[ 0.99600625  0.01237603  0.06479824 -0.04950231  0.03419126]
 [-0.01993115  0.99494505  0.05517435 -0.08147714 -0.00206025]
 [-0.06479254 -0.05699098  0.996184   -0.00579159  0.01174044]
 [ 0.05481326  0.07806552  0.01677971  0.95805913 -0.26970777]
 [ 0.01927913 -0.02426647  0.00963552 -0.2701852  -0.96226114]]",1
7,8,5,,0.801427960395813,"[[ 0.99770015  0.01840585 -0.00772915 -0.06163462 -0.01992411]
 [-0.01551011  0.91940194  0.3833532   0.00339187 -0.08653428]
 [-0.03796141  0.35150993 -0.84837586 -0.39270505 -0.03226281]
 [-0.04691641 -0.12977718  0.3595468  -0.9037307   0.18695912]
 [-0.02667463 -0.11815153  0.06296938 -0.15888128 -0.977814  ]]",1
8,9,5,,0.7953388690948486,"[[ 0.9947997  -0.06778536  0.01501248 -0.06240747  0.04072696]
 [ 0.02977516  0.7417696   0.6517574  -0.15115584  0.03543282]
 [-0.05726151 -0.6584983   0.7367713  -0.09148279 -0.10908747]
 [ 0.05877586  0.04137194  0.17360708  0.9796638   0.07037812]
 [-0.05247449 -0.09925383  0.04489527 -0.07174158  0.990067  ]]",1
9,10,5,,0.8599897623062134,"[[ 0.9934487  -0.10060333 -0.0443855   0.01063229 -0.02925007]
 [ 0.09373643  0.98011667 -0.11600864 -0.11894842 -0.05457257]
 [ 0.05358211  0.09891835  0.98880583 -0.08357879 -0.05120378]
 [-0.00696738 -0.12997636 -0.07216991 -0.98808336 -0.03924717]
 [ 0.03679142  0.05071174  0.04033051 -0.04943739  0.99599403]]",1
10,11,5,,1.0978137254714966,"[[ 0.87378025 -0.37114134 -0.29994223 -0.05615463  0.07512269]
 [ 0.29803273  0.90732557 -0.18127224 -0.15305808  0.17790586]
 [ 0.2771861   0.02887396  0.81251794 -0.47462216 -0.19204801]
 [ 0.22641033  0.09821117  0.4570523   0.8073092   0.28008574]
 [ 0.1399669   0.16892414 -0.08995956  0.3104925  -0.9205301 ]]",1
0,1,5,,0.8285287618637085,"[[ 0.98994136 -0.09168317  0.03260481 -0.10237802  0.00811903]
 [-0.01344887  0.35678968  0.9092829  -0.17023939 -0.1293967 ]
 [ 0.08250697  0.91152704 -0.37792513 -0.13658299  0.02878572]
 [-0.10624947 -0.18068619 -0.14220688 -0.9315446  -0.26089358]
 [-0.04169933 -0.02767977  0.09534881 -0.27222615  0.95618856]]",2
1,2,5,,0.8755856156349182,"[[ 0.99553674  0.01506166 -0.04838371 -0.01214768  0.07868515]
 [-0.00268967  0.98411727  0.14991766 -0.06227959 -0.07177658]
 [ 0.06020465 -0.14693792  0.9700806   0.14320673 -0.1149785 ]
 [-0.01117333  0.09225278 -0.10337392  0.96786404  0.20956531]
 [-0.07176402  0.03442334  0.15310502 -0.19673516  0.9651523 ]]",2
2,3,5,,0.8805050849914551,"[[ 0.9887127   0.14546467  0.02844598  0.00457024 -0.02137946]
 [-0.14584513  0.9744143   0.06943959  0.15590543  0.01083917]
 [ 0.01795443  0.05930579 -0.9916148   0.09236768 -0.06579325]
 [ 0.01581515 -0.16045879  0.08470949  0.9825538  -0.0376195 ]
 [-0.02457298  0.00961683  0.0623968  -0.04157975 -0.9968357 ]]",2
3,4,5,,0.7877089977264404,"[[ 0.98437655  0.14598043 -0.06287858 -0.07496836 -0.0108896 ]
 [-0.13815749  0.98558474  0.07771432  0.04539307 -0.03788259]
 [ 0.07465106 -0.06508248  0.9917398   0.00992126  0.08090321]
 [ 0.07963052 -0.03427663 -0.01637132  0.9958465  -0.02248666]
 [-0.0012422  -0.0436088   0.07868306 -0.02259122 -0.99568844]]",2
4,5,5,,0.7753630876541138,"[[-0.990438    0.10068055 -0.00439136  0.09385989  0.00818203]
 [ 0.09263465  0.9755417   0.09580022 -0.04983545 -0.16755848]
 [-0.01288064 -0.10069264  0.99411184  0.02133154 -0.03133256]
 [-0.02833284 -0.1637521  -0.04711981 -0.03973688 -0.98416626]
 [ 0.09737886  0.03504193 -0.01801234  0.99331397 -0.04787776]]",2
5,6,5,,0.7311975359916687,"[[ 0.9983352  -0.0087789   0.04995533  0.01008296  0.02554612]
 [ 0.00305928  0.99165785  0.11929993 -0.04821108  0.00696457]
 [-0.05202539 -0.11456785  0.9877357   0.08828711  0.02740703]
 [-0.00173721  0.05817628 -0.07714503  0.9840057  -0.14964616]
 [-0.02465472  0.00522633 -0.04121682  0.14667046  0.9880049 ]]",2
6,7,5,,0.7582598924636841,"[[ 0.9964695  -0.00335646  0.06419962 -0.03482364  0.04126859]
 [-0.00159904  0.9965445   0.0526658  -0.06244189 -0.01495875]
 [-0.06384989 -0.05044     0.99601376  0.03289647  0.01592045]
 [ 0.04663985  0.0569085  -0.02122365  0.9565417  -0.28136045]
 [ 0.02817812 -0.03324104  0.02471668 -0.28077415 -0.9584654 ]]",2
7,8,5,,0.8061185479164124,"[[ 0.9980081   0.01221324 -0.00552324 -0.05650086 -0.02465591]
 [-0.01342025  0.9935747   0.0832745   0.00249339 -0.07542116]
 [-0.02900323  0.07422568 -0.9172111  -0.3880232  -0.04255826]
 [-0.04680018 -0.02212676  0.38224465 -0.91619676  0.10859368]
 [-0.02771971 -0.08161555  0.0751513  -0.08260059 -0.98999995]]",2
8,9,5,,0.8139344453811646,"[[ 0.99633276 -0.02916359  0.04773389 -0.05235656  0.03808971]
 [-0.01626377  0.7541772   0.6321157  -0.17468864 -0.02942485]
 [-0.05687067 -0.65245193  0.73455596 -0.1338757  -0.11652057]
 [ 0.03941386  0.04003508  0.22421782  0.97142035  0.05396909]
 [-0.04763235 -0.05540584  0.0911328  -0.07185072  0.99055225]]",2
