layer_from,layer_to,k_used,variance_threshold,residual_fro,rotation,boot_id
0,1,6,0.9,0.9042054414749146,"[[ 0.9895969  -0.09293794  0.03941057 -0.09679317  0.0074778   0.03289937]
 [-0.01804355  0.34593815  0.9148731  -0.15917177 -0.13217764 -0.01420697]
 [ 0.08749606  0.9148525  -0.36566317 -0.14155108  0.0253354  -0.03164105]
 [-0.09566079 -0.18396564 -0.13356885 -0.9215767  -0.2688939  -0.1325046 ]
 [-0.03888788 -0.0276677   0.09873824 -0.27530327  0.9535864  -0.05342371]
 [-0.04531526  0.0111926  -0.01243442 -0.14199726  0.01415373  0.98858637]]",0
1,2,6,0.9,0.9675726294517517,"[[ 9.95355666e-01  1.58203971e-02 -4.57512476e-02 -1.57504156e-02
   7.85613358e-02  2.24433076e-02]
 [-3.74521897e-03  9.80939090e-01  1.69509590e-01 -6.09307699e-02
  -6.96388036e-02  2.11861171e-02]
 [ 5.88891357e-02 -1.65606201e-01  9.65736687e-01  1.49697974e-01
  -1.18320316e-01 -7.07867509e-03]
 [-9.30915214e-03  9.29749236e-02 -1.05715849e-01  9.64440942e-01
   2.20346600e-01  3.73382308e-02]
 [-7.33806044e-02  2.64029894e-02  1.59217164e-01 -2.07303688e-01
   9.60663080e-01  5.21499030e-02]
 [-1.77138653e-02 -2.72278115e-02 -8.44324386e-05 -2.25534011e-02
  -5.96038699e-02  9.97438550e-01]]",0
2,3,6,0.9,0.9566131234169006,"[[ 0.98819834  0.1458418  -0.02474788  0.00459979 -0.02126829  0.03329184]
 [-0.14494441  0.9730497  -0.07382627  0.16038744  0.01572366 -0.0272701 ]
 [ 0.01474446  0.06582315  0.9926835   0.07063869 -0.06078213 -0.03667821]
 [ 0.01877199 -0.16454116 -0.06324854  0.9824369  -0.03846145 -0.04372689]
 [-0.02124556  0.01277337 -0.06173434 -0.04465389 -0.99188554 -0.0987091 ]
 [-0.03786932  0.01829647  0.02655911  0.04570335 -0.10143862  0.9925458 ]]",0
3,4,6,0.9,0.8450663685798645,"[[ 0.9844121   0.14222166 -0.06333494 -0.07016723 -0.01555364  0.03910589]
 [-0.13647865  0.9867544   0.06414474  0.04498355 -0.03529711  0.01747331]
 [-0.07445321  0.05133026 -0.99219716 -0.0110715  -0.0800615   0.02888326]
 [ 0.07317279 -0.03497814 -0.01703428  0.9956086  -0.00134938  0.04351577]
 [-0.00183352 -0.0394217   0.07592719  0.00214224 -0.9932171  -0.07869442]
 [-0.03749174 -0.02600657  0.03692928 -0.0411     -0.07496876  0.99460775]]",0
4,5,6,0.9,0.8307852149009705,"[[-0.9910662   0.09550249 -0.003252    0.09295587 -0.00126049  0.00375516]
 [ 0.08869262  0.97511184  0.09455215 -0.05258397 -0.16050383 -0.06183756]
 [-0.01057759 -0.09449109  0.994211    0.01708407 -0.0167522   0.04394859]
 [-0.02380165 -0.16073309 -0.03103237 -0.10370847 -0.9806032   0.01723927]
 [ 0.09372246  0.01964393 -0.01063317  0.9819758  -0.11109924 -0.1187333 ]
 [ 0.0214264   0.06990434 -0.03895742  0.11519688 -0.00552652  0.98986655]]",0
5,6,6,0.9,0.7980557680130005,"[[ 9.98057485e-01 -1.09239183e-02  5.01100235e-02  1.27045438e-02
   2.31926814e-02 -2.34857574e-02]
 [ 5.15489792e-03  9.91056859e-01  1.20700791e-01 -5.52738644e-02
   1.23016890e-02 -2.12558662e-03]
 [-5.24037629e-02 -1.15403131e-01  9.88022208e-01  8.67778435e-02
   1.41005395e-02 -4.34338441e-03]
 [-4.57054516e-03  6.60520121e-02 -7.74259418e-02  9.87292767e-01
  -1.19086616e-01  2.63201334e-02]
 [-2.53780931e-02 -2.41464656e-03 -2.66414713e-02  1.19595908e-01
   9.87658978e-01 -9.41645876e-02]
 [ 2.10610759e-02 -6.20239705e-04  5.28079038e-03 -1.42384814e-02
   9.72630605e-02  9.94919777e-01]]",0
6,7,6,0.9,0.8337798118591309,"[[ 0.99607617 -0.00296468  0.06304564 -0.04227452 -0.04234493 -0.01638559]
 [-0.00264899  0.9954269   0.04609218 -0.0563923   0.01599929 -0.05964689]
 [-0.06159386 -0.04080721  0.9948807   0.02572294 -0.01455597  0.0622891 ]
 [ 0.05327706  0.05380514 -0.01802845  0.96573246  0.24519594  0.0343709 ]
 [ 0.02867447 -0.03243295  0.02307245 -0.24387541  0.96795034 -0.03450081]
 [ 0.01925533  0.05919816 -0.05706051 -0.04750552  0.02626734  0.9949483 ]]",0
7,8,6,0.9,0.8775981068611145,"[[ 0.99803686  0.01450323 -0.00671169 -0.05487755 -0.02552316  0.00202252]
 [-0.0157431   0.99362963  0.08319647 -0.00433726 -0.06620252 -0.03360301]
 [-0.03066975  0.07048319 -0.90925574 -0.40628612 -0.04715278 -0.00732188]
 [-0.04479904 -0.03022489  0.40012264 -0.9083561   0.08435035  0.06896067]
 [ 0.02688654  0.07040875 -0.06991936  0.0527618   0.9912698  -0.06349322]
 [ 0.00203449  0.04063362 -0.03606066  0.06329783  0.05487815  0.99500054]]",0
8,9,6,0.9,0.8896626830101013,"[[ 0.9957527  -0.03301448  0.05119401 -0.05531295  0.03039031  0.02797699]
 [-0.01985841  0.7106543   0.6709788  -0.20288406 -0.04272463 -0.0370956 ]
 [-0.06368763 -0.6990831   0.68758357 -0.14744186 -0.11193182  0.01370045]
 [ 0.04235886  0.0343666   0.25395006  0.9612698   0.04517998 -0.08033116]
 [-0.04016651 -0.04940564  0.09293246 -0.06851514  0.9912092  -0.01092792]
 [-0.02486964  0.03925981  0.03561275  0.07283815  0.01362046  0.9955305 ]]",0
9,10,7,0.9,1.0008636713027954,"[[ 0.99807346 -0.01898614 -0.04366272  0.00387525 -0.03425794 -0.00651806
   0.01874468]
 [ 0.02124633  0.9909783   0.03126971 -0.12043195  0.00644917  0.04450738
  -0.00253377]
 [ 0.04351005 -0.0192398   0.9931247   0.10336883  0.02015539 -0.01404729
  -0.01230461]
 [ 0.00455549 -0.12051356  0.09986155 -0.9850372  -0.04464876 -0.0495203
  -0.02719266]
 [ 0.03173077 -0.00445054 -0.01930794 -0.03903801  0.9869948  -0.1499567
   0.02075823]
 [ 0.00992263 -0.05174051  0.01566215 -0.05014665  0.14566572  0.9837234
   0.07439242]
 [-0.01946264  0.00330643  0.0151235  -0.02142818 -0.03174703 -0.071612
   0.9963866 ]]",0
10,11,7,0.9,1.1948142051696777,"[[ 0.8921231  -0.38113102 -0.14051181 -0.11045782  0.0899318  -0.13483956
   0.02533171]
 [ 0.2879132   0.8918385  -0.20948906 -0.19719128  0.12694484 -0.15113711
   0.00160592]
 [ 0.16016445  0.10541353  0.88882595 -0.36263368 -0.20421857 -0.00322044
   0.00222262]
 [ 0.21608986  0.17706661  0.33272257  0.8891715   0.13116744 -0.05440952
   0.02137892]
 [ 0.1313914   0.09071649 -0.18675631  0.16343911 -0.95409226  0.02940354
  -0.04195324]
 [ 0.17550126  0.09297926 -0.02505578 -0.00256892  0.066106    0.97694594
   0.03356071]
 [-0.02847166  0.00489786 -0.01221149 -0.00816207 -0.0471724  -0.02677814
   0.9980017 ]]",0
0,1,6,0.9,0.8977281451225281,"[[ 0.9865963  -0.12059292  0.04481835 -0.09305938  0.00683526  0.03700776]
 [-0.02906193  0.21594884  0.9554124  -0.14505751 -0.13538906 -0.01835391]
 [ 0.11334232  0.9522875  -0.23346703 -0.15623768  0.01881208 -0.03211061]
 [-0.09512019 -0.17476381 -0.14325115 -0.9238391  -0.2611109  -0.13502339]
 [-0.03900462 -0.03515736  0.10055451 -0.26810014  0.95552605 -0.04715532]
 [-0.04865589  0.01391215 -0.00629381 -0.1432889   0.00775873  0.9883357 ]]",1
1,2,6,0.9,0.9579352140426636,"[[ 0.99552315  0.0321703  -0.04279044 -0.00675065  0.07423763  0.0226007 ]
 [-0.02160344  0.9817581   0.14816737 -0.09100449 -0.06762031  0.02960356]
 [ 0.05633127 -0.14089052  0.97205454  0.13384269 -0.11854222 -0.01097701]
 [-0.02101345  0.11698148 -0.08111579  0.95417565  0.25968066  0.03753426]
 [-0.0676205   0.01531677  0.15730026 -0.25100046  0.9509554   0.05596536]
 [-0.01671915 -0.03669631  0.00149686 -0.01750413 -0.06413898  0.99697113]]",1
2,3,6,0.9,0.9491745829582214,"[[ 0.9922502   0.11576392 -0.01511551 -0.00145967 -0.02910859  0.03098963]
 [-0.11472365  0.98138803 -0.07626908  0.1319585   0.00186717 -0.02196358]
 [ 0.00657177  0.065039    0.989921    0.08848979 -0.07927984 -0.04083257]
 [ 0.01707655 -0.13768831 -0.08130976  0.9863748  -0.00852386 -0.03363207]
 [-0.02637904 -0.00716039 -0.08113918 -0.01920765 -0.99110514 -0.1000549 ]
 [-0.03531851  0.01538589  0.02856558  0.03808113 -0.1024786   0.99284834]]",1
3,4,6,0.9,0.8604558110237122,"[[ 0.98081213  0.14608842 -0.08283495 -0.08949025 -0.01395739  0.04001093]
 [-0.13267145  0.98245376  0.10265012  0.07117129 -0.02967076  0.02645879]
 [-0.09752257  0.08593284 -0.98775595  0.01194052 -0.07969113  0.03081836]
 [ 0.09792279 -0.05922903 -0.00217332  0.9928427   0.00503582  0.03371136]
 [ 0.00126214 -0.03587548  0.07448126  0.00564163 -0.9933713  -0.07965854]
 [-0.03612234 -0.03554031  0.03724609 -0.03186257 -0.07590929  0.99461913]]",1
4,5,6,0.9,0.8327735066413879,"[[-0.9884054   0.11116958 -0.02009225  0.10122736  0.00222388  0.00635849]
 [ 0.0986096   0.96978074  0.10855243 -0.07309517 -0.17033266 -0.06051149]
 [-0.03104766 -0.11038256  0.9914625   0.01265138 -0.03710545  0.0481347 ]
 [-0.0412673  -0.17104357 -0.05572151 -0.20782825 -0.9595973   0.04377967]
 [ 0.09932894  0.01693636 -0.0095024   0.96204865 -0.2207738  -0.12441064]
 [ 0.02824311  0.07375307 -0.04024399  0.12457906  0.00608069  0.98822385]]",1
5,6,6,0.9,0.7978268265724182,"[[ 9.98195052e-01 -1.28369015e-02  4.38827053e-02  1.05675161e-02
   3.29687968e-02 -1.78179089e-02]
 [ 1.07518435e-02  9.98070240e-01  5.12557290e-02 -3.21239531e-02
   2.92936660e-04 -8.99474230e-03]
 [-4.61125560e-02 -4.86835502e-02  9.95302916e-01  6.39298931e-02
   2.48994939e-02 -1.29819838e-02]
 [-2.51499540e-03  3.50756869e-02 -5.81356585e-02  9.88041341e-01
  -1.36203602e-01  2.46279631e-02]
 [-3.42200510e-02  5.31884236e-03 -3.60848792e-02  1.35893017e-01
   9.83366787e-01 -1.09642401e-01]
 [ 1.36843808e-02  7.88818393e-03  1.17168138e-02 -8.76252633e-03
   1.12833366e-01  9.93380606e-01]]",1
6,7,6,0.9,0.8253251910209656,"[[ 0.9956709   0.01160096  0.06553151 -0.04873731  0.03455703 -0.02531791]
 [-0.02061754  0.9933447   0.05668544 -0.07988232 -0.00132009 -0.0569651 ]
 [-0.06404297 -0.05525039  0.994539   -0.00751846  0.01092794  0.05968196]
 [ 0.05512135  0.078807    0.01608434  0.9572955  -0.27002627  0.03411319]
 [ 0.0186797  -0.02564716  0.01094273 -0.26882762 -0.9616046  -0.04384036]
 [ 0.02693682  0.05666362 -0.05482632 -0.05004188 -0.03297225  0.99471927]]",1
7,8,6,0.9,0.8659746646881104,"[[ 0.9976826   0.01858901 -0.00788707 -0.06124824 -0.01965656  0.00916384]
 [-0.01548576  0.9191494   0.38357168  0.0028746  -0.08687463 -0.015554  ]
 [-0.03796533  0.35155192 -0.8484109  -0.39258957 -0.03215231 -0.00289746]
 [-0.04706242 -0.12825911  0.35823706 -0.90054715  0.18914175  0.07900076]
 [-0.02686233 -0.11619796  0.06128689 -0.15470791 -0.9748651   0.08788566]
 [-0.00343939  0.0357459  -0.03032476  0.08481762  0.0699721   0.9928246 ]]",1
