layer,level_from,level_to,G,boot_id
0,1,2,0.9925840298334757,0
0,2,3,0.992244229430244,0
0,3,4,0.9917786603882199,0
0,4,5,0.9902139930498033,0
0,5,6,0.990700227873666,0
0,6,7,0.9896345677829924,0
0,7,8,0.9913838221913293,0
0,8,9,0.992825931026822,0
0,9,10,0.9915076948347545,0
1,1,2,0.9924761596180144,0
1,2,3,0.9929959915933155,0
1,3,4,0.9926229317982992,0
1,4,5,0.9885840926851545,0
1,5,6,0.988903440180279,0
1,6,7,0.9912299201602027,0
1,7,8,0.9915098037038531,0
1,8,9,0.9917199100766864,0
1,9,10,0.989621102809906,0
2,1,2,0.9853290546508062,0
2,2,3,0.988256831963857,0
2,3,4,0.9848099975358873,0
2,4,5,0.9810120207922799,0
2,5,6,0.9829015561512539,0
2,6,7,0.986498426823389,0
2,7,8,0.98128551812399,0
2,8,9,0.9817289312680563,0
2,9,10,0.979159394900004,0
3,1,2,0.9750847447486151,0
3,2,3,0.9828003219195774,0
3,3,4,0.974990841888246,0
3,4,5,0.9724144765308925,0
3,5,6,0.9740044673283895,0
3,6,7,0.9736227421533494,0
3,7,8,0.9614536733854384,0
3,8,9,0.9684311463719323,0
3,9,10,0.9626740699722653,0
4,1,2,0.9616309375990004,0
4,2,3,0.9793899257977804,0
4,3,4,0.9690086784816924,0
4,4,5,0.9632228102002826,0
4,5,6,0.9675015409787496,0
4,6,7,0.9601616774286542,0
4,7,8,0.9472826435452416,0
4,8,9,0.9579011514073327,0
4,9,10,0.949709971745809,0
5,1,2,0.9450360848790124,0
5,2,3,0.976687110605694,0
5,3,4,0.9643978362991696,0
5,4,5,0.9548053400857108,0
5,5,6,0.9608798594701857,0
5,6,7,0.9448656950678144,0
5,7,8,0.9421070388385228,0
5,8,9,0.952262935184297,0
5,9,10,0.9410079433804467,0
6,1,2,0.9353857012022109,0
6,2,3,0.9724836150805155,0
6,3,4,0.9570005394163585,0
6,4,5,0.9402487249601454,0
6,5,6,0.9477568580990746,0
6,6,7,0.9374309721447173,0
6,7,8,0.9359192053476969,0
6,8,9,0.9412592734609332,0
6,9,10,0.9285269947279067,0
7,1,2,0.9307718787874494,0
7,2,3,0.9688551624615988,0
7,3,4,0.9530768309320722,0
7,4,5,0.9273475777535212,0
7,5,6,0.9377197793551854,0
7,6,7,0.9260984659194946,0
7,7,8,0.928828361488524,0
7,8,9,0.9359272093999953,0
7,9,10,0.9200449898129418,0
8,1,2,0.9184191879772005,0
