metric,mean_alt,mean_null,diff_mean,diff_ci_low,diff_ci_high,p_two_sided,cohens_d,n_alt,n_null,layer_from,layer_to,q_value
mean_angle,0.3709928348660469,0.3407360112667084,0.03025682359933851,0.029854675732552963,0.03066660046577455,0.0,20.41537708370077,100,100,0,1,0.0
mean_angle,0.3905564942955971,0.35458731234073637,0.03596918195486071,0.03531515976041557,0.03670458530634647,0.0,13.656991719872595,100,100,1,2,0.0
mean_angle,0.3882498428225517,0.37132709205150605,0.016922750771045658,0.01563916864991188,0.018216395087540162,0.0,3.6599450183654243,100,100,2,3,0.0
mean_angle,0.34962989449501036,0.33626076579093933,0.013369128704071032,0.012092419847846033,0.014475564137101183,0.0,3.184497374258757,100,100,3,4,0.0
mean_angle,0.3398080348968506,0.3380842101573944,0.001723824739456148,0.0005739589780569085,0.0027928043752908313,0.01,0.4131712616142585,100,100,4,5,0.011
mean_angle,0.32251588433980943,0.3502116107940674,-0.02769572645425794,-0.02867903628200294,-0.026665968090295825,0.0,-7.45018526779102,100,100,5,6,0.0
mean_angle,0.33783782571554183,0.3464569526910782,-0.008619126975536351,-0.009465808168053631,-0.007813971526920822,0.0,-2.655727163577831,100,100,6,7,0.0
mean_angle,0.36022008568048475,0.3548333233594894,0.005386762320995331,0.004503894887864598,0.0063385927453637305,0.0,1.5965701103069254,100,100,7,8,0.0
mean_angle,0.3589198738336563,0.35829699128866194,0.0006228825449943742,-0.0004686627984046898,0.0017008392587304201,0.288,0.15624581496692716,100,100,8,9,0.288
mean_angle,0.38387872993946076,0.3782295149564743,0.0056492149829864835,0.0048439258709549946,0.006481405511498425,0.0,1.8228582261541084,100,100,9,10,0.0
mean_angle,0.4552252560853958,0.4722757986187935,-0.01705054253339766,-0.022303235784172974,-0.011943791314959502,0.0,-0.8989547880547292,100,100,10,11,0.0
max_angle,0.4427004989981651,0.39479417592287064,0.047906323075294466,0.046911139190196995,0.048886300653219215,0.0,12.87818678275564,100,100,0,1,0.0
max_angle,0.465353901386261,0.4123953020572662,0.05295859932899477,0.051528344519436366,0.054242666810750934,0.0,10.320843080337566,100,100,1,2,0.0
max_angle,0.46062821000814436,0.46256271868944165,-0.0019345086812972978,-0.003964402489364175,0.00028788309544326674,0.094,-0.24256065942551852,100,100,2,3,0.094
max_angle,0.40026524275541303,0.4148532849550247,-0.014588042199611684,-0.016334161020815398,-0.012987842015922027,0.0,-2.3904964568563356,100,100,3,4,0.0
max_angle,0.44816056221723555,0.39199107080698015,0.0561694914102554,0.053409471064805994,0.05889755856245758,0.0,5.541394958427656,100,100,4,5,0.0
max_angle,0.36817771434783936,0.40422303348779676,-0.0360453191399574,-0.03755821823328734,-0.03462520118802785,0.0,-6.796306435139802,100,100,5,6,0.0
max_angle,0.37684725046157835,0.40958471536636354,-0.032737464904785185,-0.034163891144096833,-0.03109970600157975,0.0,-5.8897610291439095,100,100,6,7,0.0
max_angle,0.39815291404724124,0.4126512187719345,-0.014498304724693267,-0.01586340356618164,-0.01310669220983985,0.0,-2.937640509647417,100,100,7,8,0.0
max_angle,0.42786030083894727,0.4075181403756142,0.020342160463333092,0.01841705926507707,0.02223434539139268,0.0,3.0744012217313905,100,100,8,9,0.0
max_angle,0.42034464329481125,0.4523152446746826,-0.031970601379871344,-0.033442432969808575,-0.030403851702809355,0.0,-5.8340130973676505,100,100,9,10,0.0
max_angle,0.8636470156908035,0.7776128846406937,0.08603413105010982,0.06438951401412482,0.10403595049679282,0.0,1.1626627199823116,100,100,10,11,0.0
