metric,mean_alt,mean_null,diff_mean,diff_ci_low,diff_ci_high,p_two_sided,cohens_d,n_alt,n_null,layer,q_value
pc1,0.2424784767627716,0.26116094887256625,-0.01868247210979465,-0.018850221704691618,-0.018498965699225666,0.0,-29.31510323073998,100,100,0,0.0
pc1,0.25334335535764696,0.25076965436339377,0.002573700994253192,0.002346413157880263,0.0028083026595413867,0.0,3.113257329356523,100,100,1,0.0
pc1,0.25218843400478363,0.247500419318676,0.004688014686107633,0.004275697816163327,0.005059150483459228,0.0,3.2586983463623236,100,100,2,0.0
pc1,0.270064537525177,0.24551850140094758,0.024546036124229426,0.02396831913664938,0.025157378997653714,0.0,11.51962221459852,100,100,3,0.0
pc1,0.2925261071324348,0.25012353181838987,0.042402575314044955,0.041676864042878146,0.043066268682479834,0.0,16.316476717067797,100,100,4,0.0
pc1,0.30373491913080214,0.2570804676413536,0.04665445148944852,0.04570283474773171,0.04755116871744393,0.0,13.585136921258217,100,100,5,0.0
pc1,0.3112898004055023,0.2630822420120239,0.0482075583934784,0.04715703268349172,0.04931191910058256,0.0,12.021433888726223,100,100,6,0.0
pc1,0.3326665058732033,0.2638984808325768,0.06876802504062651,0.06740715108066801,0.06995097009837628,0.0,14.868141272483369,100,100,7,0.0
pc1,0.33244283854961393,0.26143993511796,0.07100290343165394,0.06941625383123752,0.07251628650352356,0.0,12.95548555636815,100,100,8,0.0
pc1,0.30355965465307233,0.27685231119394305,0.026707343459129285,0.02477678381651639,0.028759109906852258,0.0,3.8164854991062853,100,100,9,0.0
pc1,0.29069188237190247,0.3314981585741043,-0.04080627620220184,-0.043624617233872405,-0.038025234781205654,0.0,-4.011925551483201,100,100,10,0.0
pc1,0.44734077334403993,0.3717567405104637,0.07558403283357623,0.07047290632873775,0.0810794357359409,0.0,3.770814516059134,100,100,11,0.0
pc2,0.19503412619233132,0.21967508375644684,-0.024640957564115523,-0.024912721734493982,-0.02435440765321256,0.0,-24.5747417110823,100,100,0,0.0
pc2,0.1922553610801697,0.2248689267039299,-0.03261356562376022,-0.03297452194243671,-0.0322376853749156,0.0,-24.030084685659826,100,100,1,0.0
pc2,0.19210494458675384,0.2270633028447628,-0.03495835825800897,-0.035376266140490754,-0.0345301312841475,0.0,-22.707202637917298,100,100,2,0.0
pc2,0.18766704082489014,0.22320819184184074,-0.0355411510169506,-0.03615360642969609,-0.03496070739999413,0.0,-15.857063550027695,100,100,3,0.0
pc2,0.18257647320628168,0.22669245287775994,-0.04411597967147826,-0.04482921036705376,-0.043379068776965145,0.0,-16.876152406111498,100,100,4,0.0
pc2,0.17616910114884377,0.22406017512083054,-0.047891073971986775,-0.04858524110540747,-0.04723095957934857,0.0,-18.941756995450753,100,100,5,0.0
pc2,0.17091560885310172,0.2213030758500099,-0.05038746699690819,-0.05120223405957223,-0.04952118935063481,0.0,-16.999507605777076,100,100,6,0.0
