metric,mean_alt,mean_null,diff_mean,diff_ci_low,diff_ci_high,p_two_sided,cohens_d,n_alt,n_null,layer_from,layer_to,q_value
residual_fro,0.8303573518991471,0.7619821965694428,0.06837515532970428,0.06742856134474277,0.0693183953464031,0.0,19.965831088369512,100,100,0,1,0.0
residual_fro,0.8731405514478684,0.7919917893409729,0.08114876210689548,0.07964466197788707,0.08284206162393086,0.0,13.512876087743402,100,100,1,2,0.0
residual_fro,0.8704683524370194,0.8333175170421601,0.037150835394859305,0.0344419995546341,0.039958824887871704,0.0,3.7415703349757283,100,100,2,3,0.0
residual_fro,0.7815122407674789,0.7552624762058258,0.026249764561653177,0.023422832667827596,0.028670551761984776,0.0,2.855040037613126,100,100,3,4,0.0
residual_fro,0.7673452979326248,0.7556047356128692,0.01174056231975562,0.00907915458083157,0.014127976834774068,0.0,1.2324452675932944,100,100,4,5,0.0
residual_fro,0.7221233558654785,0.7821890181303024,-0.060065662264823905,-0.062266765564680145,-0.057768442079424935,0.0,-7.2456637989840225,100,100,5,6,0.0
residual_fro,0.7536756575107575,0.7763900375366211,-0.022714380025863568,-0.02463237515091892,-0.020877935439348155,0.0,-3.1730364950899963,100,100,6,7,0.0
residual_fro,0.8038823008537292,0.7936684399843216,0.010213860869407676,0.008280860304832476,0.012293787375092501,0.0,1.3837251533583181,100,100,7,8,0.0
residual_fro,0.8025309628248215,0.8008055078983307,0.0017254549264907881,-0.0006975351572037435,0.004113729521632211,0.176,0.1959535163692192,100,100,8,9,0.1936
residual_fro,0.8549384111166001,0.8472561198472977,0.0076822912693024215,0.005879991352558225,0.00949637010693547,0.0,1.1446308320211906,100,100,9,10,0.0
residual_fro,1.094955643415451,1.1036110997200013,-0.008655456304550224,-0.024539838090538873,0.00637412191927441,0.27,-0.15648153641498913,100,100,10,11,0.27
