metric,mean_alt,mean_null,diff_mean,diff_ci_low,diff_ci_high,p_two_sided,cohens_d,n_alt,n_null,layer_from,layer_to,q_value
residual_fro,0.9022919684648514,0.8309913116693497,0.07130065679550168,0.07046929094195364,0.07207706858217722,0.0,25.171001439363813,100,100,0,1,0.0
residual_fro,0.9607346260547638,0.8858446818590164,0.07488994419574735,0.07321078774332997,0.07674509769678112,0.0,11.592288985050818,100,100,1,2,0.0
residual_fro,0.9481229501962661,0.9099351865053177,0.03818776369094845,0.035329044148325855,0.04095214860141277,0.0,3.749854254529671,100,100,2,3,0.0
residual_fro,0.8455908113718033,0.8242219287157059,0.021368882656097377,0.0186169480532408,0.0238026345670223,0.0,2.37176100300268,100,100,3,4,0.0
residual_fro,0.8285498976707458,0.8398841810226441,-0.011334283351898233,-0.01813855038583275,-0.00471877142786982,0.002,-0.474241239464069,100,100,4,5,0.002
residual_fro,0.7935960447788238,0.8741319340467453,-0.08053588926792143,-0.0874126013368368,-0.07393322935700423,0.0,-3.23289955978182,100,100,5,6,0.0
residual_fro,0.8252098500728607,0.9018092143535614,-0.07659936428070069,-0.08459392091631893,-0.06895238909125334,0.0,-2.7249698369333504,100,100,6,7,0.0
residual_fro,0.8748314082622528,0.9271495032310486,-0.0523180949687958,-0.05876826335489746,-0.04561018508672712,0.0,-2.1412992057911566,100,100,7,8,0.0
residual_fro,0.9183325642347335,0.968368974328041,-0.050036410093307504,-0.07243936648964878,-0.03205103428661823,0.0,-0.7015699338978558,100,100,8,9,0.0
residual_fro,0.9939083653688431,1.104413464665413,-0.11050509929656982,-0.13237154130637646,-0.09204871413111684,0.0,-1.5499730651241659,100,100,9,10,0.0
residual_fro,1.2517188215255737,1.4985304915904998,-0.2468116700649261,-0.2741429370045663,-0.21781952735781657,0.0,-2.5007824911034033,100,100,10,11,0.0
k_used,6.0,6.0,0.0,0.0,0.0,2.0,,100,100,0,1,1.0
k_used,6.0,6.0,0.0,0.0,0.0,2.0,,100,100,1,2,1.0
k_used,6.0,6.0,0.0,0.0,0.0,2.0,,100,100,2,3,1.0
k_used,6.0,6.0,0.0,0.0,0.0,2.0,,100,100,3,4,1.0
k_used,6.0,6.29,-0.29000000000000004,-0.3799999999999999,-0.20000000000000018,0.0,-0.8992954989135648,100,100,4,5,0.0
k_used,6.0,6.45,-0.4500000000000002,-0.5499999999999998,-0.34999999999999964,0.0,-1.272792206135786,100,100,5,6,0.0
k_used,6.0,6.54,-0.54,-0.6399999999999997,-0.4500000000000002,0.0,-1.5245811969478562,100,100,6,7,0.0
k_used,6.01,6.81,-0.7999999999999998,-0.8702500000000001,-0.7199999999999998,0.0,-2.781413981460461,100,100,7,8,0.0
k_used,6.55,7.07,-0.5200000000000005,-0.6500000000000004,-0.3899999999999997,0.0,-1.0425304173657317,100,100,8,9,0.0
k_used,6.93,7.66,-0.7300000000000004,-0.8599999999999994,-0.6099999999999994,0.0,-1.5673784494260676,100,100,9,10,0.0
k_used,7.07,8.04,-0.9699999999999989,-1.129999999999999,-0.8100000000000005,0.0,-1.627317438887788,100,100,10,11,0.0
