metric,mean_alt,mean_null,diff_mean,diff_ci_low,diff_ci_high,p_two_sided,cohens_d,n_alt,n_null,layer,level_from,level_to,q_value
G,0.9925033213075193,0.9876311091213,0.004872212186219249,0.004626171729773104,0.005122481376926166,0.0,5.258836265141816,100,100,0,1,2,0.0
G,0.9922448795546616,0.989668290052149,0.002576589502512605,0.0022336859555352334,0.002914626986012975,0.0,2.0088182806661745,100,100,0,2,3,0.0
G,0.9915164673404087,0.9901105250801358,0.0014059422602729077,0.0010890391513350612,0.0017435809491527592,0.0,1.1789054885032073,100,100,0,3,4,0.0
G,0.9904035352998308,0.9908437899010524,-0.0004402546012215458,-0.0006821426990605894,-0.00020813241752365156,0.002,-0.4752694520396032,100,100,0,4,5,0.00225
G,0.9909731661852392,0.990493430334897,0.0004797358503422222,0.00018121249335167623,0.00077565833599805,0.002,0.46436673006517903,100,100,0,5,6,0.00225
G,0.9899645168062241,0.9884182314551068,0.001546285351117338,0.001254067078457488,0.0018678380843312552,0.0,1.3821656440982866,100,100,0,6,7,0.0
G,0.9916365178388266,0.9896156917436728,0.0020208260951537493,0.0017896875573768344,0.0022552123828305654,0.0,2.4223611254256245,100,100,0,7,8,0.0
G,0.9930311671467053,0.9918548968188347,0.0011762703278705988,0.0010089719304843454,0.0013469995912930687,0.0,1.9022437850730547,100,100,0,8,9,0.0
G,0.991175303016863,0.9895782235141785,0.0015970795026845064,0.0013628280411164234,0.0018277113189538868,0.0,1.9224088988718633,100,100,0,9,10,0.0
G,0.9918618865315875,0.9858536729495677,0.00600821358201975,0.0056682516795776156,0.006311437160687405,0.0,5.151305686440412,100,100,1,1,2,0.0
G,0.9924415668911404,0.9887431864317447,0.0036983804593956338,0.003443795843777381,0.003929152948527706,0.0,4.1681902164406495,100,100,1,2,3,0.0
G,0.9916984424647832,0.9888870250336708,0.002811417431112462,0.0025202193676717084,0.003097635683275454,0.0,2.6049351871890614,100,100,1,3,4,0.0
G,0.9887431760983809,0.9887481608707753,-4.984772394411863e-06,-0.0003356401365193079,0.00030981524403358995,0.974,-0.004207452888308787,100,100,1,4,5,0.974
G,0.9893071467356076,0.9875896617580974,0.0017174849775102308,0.0012576550507830437,0.0021479709614601297,0.0,1.0458931023752158,100,100,1,5,6,0.0
G,0.9908129447854701,0.98546664972012,0.005346295065350115,0.0048855546232253605,0.005792514325891171,0.0,3.344227780278408,100,100,1,6,7,0.0
G,0.9914287203408424,0.987381650821557,0.004047069519285351,0.0038093359332001336,0.004265391529635243,0.0,4.751226911790914,100,100,1,7,8,0.0
G,0.9915663926648715,0.9903412137935086,0.0012251788713628642,0.001017936663471608,0.0014300873896314014,0.0,1.6207611145525402,100,100,1,8,9,0.0
G,0.9892336648309987,0.9868629264490947,0.0023707383819040473,0.001981939704443958,0.0027643530517581618,0.0,1.7214867446466793,100,100,1,9,10,0.0
G,0.983836644492452,0.9689791201807205,0.014857524311731485,0.014002724544763251,0.0156548914776437,0.0,4.854991741032471,100,100,2,1,2,0.0
G,0.9861966659105014,0.9760068822995065,0.010189783610994874,0.009675587930352673,0.010717866858662686,0.0,4.906826365711725,100,100,2,2,3,0.0
G,0.9841953446174425,0.9743146962641724,0.009880648353270072,0.009312273772486734,0.010473762530833274,0.0,4.808270820799668,100,100,2,3,4,0.0
G,0.9810137907971466,0.9779219596584638,0.0030918311386827213,0.0025432497594919307,0.003698394180786965,0.0,1.4322588374440153,100,100,2,4,5,0.0
G,0.9829357963019892,0.972170767122318,0.01076502917967126,0.009682787740538318,0.011867643039271413,0.0,2.7304156233060692,100,100,2,5,6,0.0
G,0.9850636976607261,0.9708813521043648,0.014182345556361331,0.012910265558863421,0.01539567080783451,0.0,3.449997250034289,100,100,2,6,7,0.0
G,0.9798392161793178,0.9747574816114374,0.005081734567880414,0.004323850201425136,0.005810449941562814,0.0,1.9162182354045931,100,100,2,7,8,0.0
G,0.9803534641019884,0.9765332136565732,0.0038202504454152297,0.0032350150999329837,0.0043971199001939685,0.0,1.741582913850348,100,100,2,8,9,0.0
G,0.9771627112972358,0.9692335314906778,0.00792917980655794,0.006725262388563425,0.009039595499776842,0.0,1.9520950888671316,100,100,2,9,10,0.0
G,0.9705354350625522,0.9522497038103286,0.018285731252223658,0.016797039455482825,0.019603804484683976,0.0,3.641561836022538,100,100,3,1,2,0.0
G,0.9804076068387145,0.9569862182655977,0.02342138857311682,0.02241191245970247,0.024435842018468275,0.0,6.386920177735037,100,100,3,2,3,0.0
G,0.9743278470176553,0.9573309531746403,0.01699689384301495,0.01586076072311354,0.018022104770701836,0.0,4.372696548103856,100,100,3,3,4,0.0
G,0.9725113655418633,0.968178182154421,0.004333183387442374,0.0035402858117979164,0.00513502756356004,0.0,1.4216416348524115,100,100,3,4,5,0.0
G,0.9734122785925865,0.9563952343936951,0.017017044198891385,0.015542997833672426,0.01861540921889823,0.0,3.2208785888308515,100,100,3,5,6,0.0
G,0.9702103998542779,0.955610260066532,0.01460013978774588,0.012929706487733481,0.016227075977564558,0.0,2.4590895635315846,100,100,3,6,7,0.0
G,0.9596471631522218,0.9563498927572417,0.0032972703949800675,0.0019340353301474267,0.004785006139616729,0.0,0.6349542643779446,100,100,3,7,8,0.0
G,0.9661003067711045,0.9618299073837107,0.0042703993873938195,0.0031046832365174805,0.0055277967088988465,0.0,0.9679955188177294,100,100,3,8,9,0.0
G,0.9590091158066478,0.9470266985420196,0.011982417264628231,0.010428377686299067,0.013632134713717475,0.0,1.9852257183140862,100,100,3,9,10,0.0
G,0.960088455179381,0.938033918199558,0.02205453697982307,0.020330836581509755,0.023700323474679295,0.0,3.5319957736982133,100,100,4,1,2,0.0
G,0.9768760561522037,0.9426972803128144,0.03417877583938933,0.03281210723112499,0.03550457642382343,0.0,6.874215321346553,100,100,4,2,3,0.0
G,0.967483390497783,0.9443408084147508,0.023142582083032215,0.021707603771511267,0.024481049643007475,0.0,4.6973115561719005,100,100,4,3,4,0.0
G,0.962830570829293,0.9569362011367366,0.0058943696925564115,0.004875712135942639,0.007105914298894369,0.0,1.4677535691791472,100,100,4,4,5,0.0
G,0.96652112280471,0.9446836293869548,0.021837493417755205,0.020090205027340373,0.023728349978098414,0.0,3.270164732518839,100,100,4,5,6,0.0
G,0.9564312642708657,0.943787947806574,0.01264331646429162,0.01054542939368441,0.014696833668637211,0.0,1.6041098194882693,100,100,4,6,7,0.0
G,0.9453083636103168,0.9420604605599052,0.0032479030504115602,0.001319071435739136,0.005235130308651003,0.0,0.44625154708379616,100,100,4,7,8,0.0
G,0.9542083687006481,0.9489775725678791,0.005230796132769,0.0036274581755907447,0.006700351204403827,0.0,0.9708756374049319,100,100,4,8,9,0.0
G,0.943410330658867,0.9206564881205559,0.022753842538311142,0.020671484545240072,0.025013059954759477,0.0,2.99368629724251,100,100,4,9,10,0.0
G,0.9465937812938577,0.922969518869169,0.023624262424688736,0.021562182302146203,0.025660775851008944,0.0,3.065538450389997,100,100,5,1,2,0.0
G,0.9741095747011049,0.9207349032494757,0.05337467145162922,0.05134756227091881,0.05537092950508452,0.0,7.30641087129564,100,100,5,2,3,0.0
G,0.9624255199560098,0.9343498958481683,0.02807562410784148,0.026366366535023226,0.029624031952058934,0.0,4.898152964938637,100,100,5,3,4,0.0
G,0.9549615627853644,0.9446374796728294,0.010324083112534965,0.008932999834146051,0.01159971328339876,0.0,2.1238406290169007,100,100,5,4,5,0.0
G,0.9585756920722743,0.9372040930910716,0.021371598981202777,0.019269210974020644,0.0234745039039189,0.0,2.8489604968952453,100,100,5,5,6,0.0
G,0.9381910687770163,0.9371914378276894,0.0009996309493268685,-0.0012678143034971084,0.003293410774344032,0.398,0.11491655379511548,100,100,5,6,7,0.4093714285714286
G,0.9375433902636406,0.9355862080918418,0.0019571821717988547,5.653933309142106e-05,0.0038394678773035584,0.048,0.27958554449682216,100,100,5,7,8,0.05236363636363636
G,0.9487215690854051,0.9425254400358312,0.006196129049573895,0.004731468501757902,0.007712821471833267,0.0,1.0997734563062076,100,100,5,8,9,0.0
G,0.9346941211242524,0.9202851845423382,0.014408936581914222,0.011797072720870536,0.01674241409265089,0.0,1.6963380279964921,100,100,5,9,10,0.0
G,0.9389299590417316,0.9162032459969559,0.022726713044775693,0.02064350966514316,0.024959864053579348,0.0,2.9111547034397622,100,100,6,1,2,0.0
G,0.969826826903082,0.908972305149786,0.060854521753295976,0.058840548517685054,0.06281432889381827,0.0,8.034632665255067,100,100,6,2,3,0.0
G,0.9545352482535537,0.9307809466227652,0.02375430163078851,0.022264863838030724,0.025206354142205057,0.0,4.389025780883893,100,100,6,3,4,0.0
G,0.9406049406481166,0.9332229231245935,0.007382017523523077,0.0056263520260769005,0.008924286132021961,0.0,1.2602570149112708,100,100,6,4,5,0.0
G,0.9456252641110193,0.9272818425619413,0.018343421549077976,0.015582217449564761,0.021121470270755154,0.0,1.8272047879563655,100,100,6,5,6,0.0
G,0.9287935758176304,0.9291325917158807,-0.00033901589825025,-0.003060163851437231,0.0023089297540958946,0.812,-0.03415863977398014,100,100,6,6,7,0.819588785046729
