layer_from,layer_to,k_used,variance_threshold,mean_angle,max_angle,angles
0,1,5,,0.37041157484054565,0.4424017667770386,[0.31651524 0.33965376 0.35698944 0.39649773 0.44240177]
1,2,5,,0.38924112915992737,0.46402719616889954,[0.33783838 0.35355723 0.37905982 0.41172296 0.4640272 ]
2,3,5,,0.3858735263347626,0.4576791524887085,[0.31608176 0.34807867 0.36907738 0.43845072 0.45767915]
3,4,5,,0.3467561602592468,0.397705078125,[0.29811236 0.32356295 0.34273273 0.37166765 0.39770508]
4,5,5,,0.3374330401420593,0.4457818567752838,[0.27468055 0.29076868 0.32752177 0.34841228 0.44578186]
5,6,5,,0.3198522925376892,0.3643273115158081,[0.27402097 0.28861406 0.3207833  0.35151574 0.3643273 ]
6,7,5,,0.33530405163764954,0.3739885091781616,[0.30460802 0.3197941  0.3317261  0.34640354 0.3739885 ]
7,8,5,,0.3578198552131653,0.39405542612075806,[0.30590248 0.3472137  0.3659273  0.37600026 0.39405543]
8,9,5,,0.3562692701816559,0.42706459760665894,[0.31432387 0.3319987  0.34649235 0.36146683 0.4270646 ]
9,10,5,,0.38116350769996643,0.4163665473461151,[0.34560877 0.36237353 0.38694406 0.39452463 0.41636655]
10,11,5,,0.4529266953468323,0.8646493554115295,[0.3031299  0.3345388  0.3709738  0.39134157 0.86464936]
