layer_from,layer_to,k_used,variance_threshold,mean_angle,max_angle,angles
0,1,6,0.9,0.3674834668636322,0.4276241660118103,[0.30645975 0.33352488 0.34430212 0.38067374 0.41231608 0.42762417]
1,2,6,0.9,0.39020517468452454,0.4691978096961975,[0.31887478 0.3361932  0.3761718  0.40882522 0.4319683  0.4691978 ]
2,3,6,0.9,0.3828131854534149,0.4868009686470032,[0.3146651  0.3279149  0.35669783 0.37661335 0.4341868  0.48680097]
3,4,6,0.9,0.34216585755348206,0.391575425863266,[0.2852373  0.31182325 0.3293095  0.36040387 0.37464595 0.39157543]
4,5,6,0.9,0.33260780572891235,0.4421837031841278,[0.2525299  0.29029053 0.32425585 0.33897325 0.3474135  0.4421837 ]
5,6,6,0.9,0.32071229815483093,0.36466190218925476,[0.26427588 0.28368133 0.311647   0.34720004 0.3528076  0.3646619 ]
6,7,6,0.9,0.3349388539791107,0.3728979527950287,[0.29483598 0.31439134 0.32182172 0.342299   0.36338723 0.37289795]
7,8,6,0.9,0.35499903559684753,0.3955027461051941,[0.29692006 0.3294464  0.35083497 0.3731644  0.38412544 0.39550275]
8,9,7,0.9,0.35533425211906433,0.4380522668361664,"[0.26164165 0.32486463 0.34089318 0.35015586 0.35873958 0.41299278
 0.43805227]"
9,10,7,0.9,0.375394731760025,0.423064649105072,"[0.33583438 0.34957212 0.35892966 0.36364907 0.39064917 0.40606385
 0.42306465]"
10,11,8,0.9,0.431296706199646,0.9066137671470642,"[0.29086575 0.31150758 0.31555825 0.34145913 0.37263724 0.426742
 0.48498985 0.90661377]"
