layer,total_components,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,k85,k90,k95
0,90,0.24217939376831055,0.19489960372447968,0.18304988741874695,0.1380927711725235,0.11535239219665527,0.07354912906885147,0.03327689319849014,0.012013929896056652,0.0006620679632760584,0.0005028151208534837,5,6,7
1,90,0.25301963090896606,0.19212904572486877,0.17474807798862457,0.14359167218208313,0.10844562947750092,0.07168937474489212,0.03535132855176926,0.012687591835856438,0.0006991495029069483,0.0005268332315608859,5,6,7
2,90,0.25176316499710083,0.19170470535755157,0.16713804006576538,0.13928620517253876,0.11142886430025101,0.07288020849227905,0.03512527421116829,0.014906051568686962,0.0011727216187864542,0.0010639055399224162,5,6,7
3,90,0.2694741189479828,0.18690016865730286,0.16216957569122314,0.12993955612182617,0.10462771356105804,0.06828946620225906,0.03473140671849251,0.017525333911180496,0.002686877502128482,0.0019078643526881933,5,6,7
4,90,0.291927307844162,0.1814744919538498,0.15234534442424774,0.11866489052772522,0.10359442234039307,0.06909412890672684,0.031187498942017555,0.0170692540705204,0.003187271300703287,0.002552250400185585,6,6,8
5,90,0.3029530942440033,0.17517931759357452,0.14921624958515167,0.11347588896751404,0.10328088700771332,0.06810544431209564,0.031032634899020195,0.01639445498585701,0.0034592277370393276,0.002793234074488282,6,6,8
6,90,0.3101038336753845,0.16977351903915405,0.14485754072666168,0.11557590216398239,0.09999091178178787,0.06532253324985504,0.03052138350903988,0.015831060707569122,0.004289847332984209,0.0034596656914800406,6,6,8
7,90,0.3310086727142334,0.1590098887681961,0.13759471476078033,0.11891508847475052,0.09428541362285614,0.06034218147397041,0.02976006269454956,0.015312489122152328,0.004868329968303442,0.003584029385820031,6,6,9
8,90,0.3304597735404968,0.15141169726848602,0.13939529657363892,0.120354063808918,0.0916794165968895,0.05970628932118416,0.029028810560703278,0.015561055392026901,0.005648910999298096,0.004251342266798019,6,7,11
9,90,0.30100274085998535,0.15665897727012634,0.14630745351314545,0.12198962271213531,0.09555429965257645,0.05744045972824097,0.028607694432139397,0.01628289744257927,0.006876491010189056,0.00548024196177721,6,7,14
10,90,0.2878984212875366,0.16281291842460632,0.13775448501110077,0.11702374368906021,0.10274680703878403,0.056965965777635574,0.026022834703326225,0.018373649567365646,0.0086911516264081,0.006063274573534727,6,8,17
11,90,0.44593730568885803,0.12615622580051422,0.10675935447216034,0.09070689976215363,0.06794615834951401,0.04129048436880112,0.018727386370301247,0.017698844894766808,0.008290828205645084,0.006113279145210981,6,8,15
