layer,total_components,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,k85,k90,k95,left_out
0,81,0.24206529557704926,0.19482342898845673,0.18319378793239594,0.1379488855600357,0.11548593640327454,0.07348226010799408,0.03326667472720146,0.012011111713945866,0.0007052550790831447,0.0005409835721366107,5,6,7,sentence.1
1,81,0.25284436345100403,0.1922650933265686,0.17462414503097534,0.1434907466173172,0.10867327451705933,0.07165604829788208,0.03530190885066986,0.012686051428318024,0.0007702527800574899,0.0005458985106088221,5,6,7,sentence.1
2,81,0.2521408200263977,0.191461980342865,0.16678786277770996,0.13900765776634216,0.11161044985055923,0.07282955199480057,0.03500105068087578,0.014918729662895203,0.0012236378388479352,0.001151854987256229,5,6,7,sentence.1
3,81,0.2700231075286865,0.18690674006938934,0.16169781982898712,0.129545658826828,0.10466942936182022,0.06813765317201614,0.03466154634952545,0.01739770732820034,0.0027819352690130472,0.001996672013774514,5,6,7,sentence.1
4,81,0.29187169671058655,0.18174614012241364,0.1521538496017456,0.11832085996866226,0.10363345593214035,0.0691026896238327,0.031171660870313644,0.016966350376605988,0.0034386212937533855,0.002776471432298422,6,6,8,sentence.1
5,81,0.30321168899536133,0.17512255907058716,0.1488165706396103,0.11357186734676361,0.10298288613557816,0.06804710626602173,0.03118104487657547,0.01628360152244568,0.003702669171616435,0.002968053100630641,6,6,8,sentence.1
6,81,0.31014665961265564,0.169768825173378,0.1448148936033249,0.11521648615598679,0.10018858313560486,0.06539954245090485,0.030642319470643997,0.01587390899658203,0.004542099311947823,0.003649683902040124,6,6,8,sentence.1
7,81,0.3313259482383728,0.15864495933055878,0.13770227134227753,0.11896887421607971,0.0946943536400795,0.0605354979634285,0.029927825555205345,0.01536840945482254,0.005225145258009434,0.003848481923341751,6,6,9,sentence.1
8,81,0.33044591546058655,0.1512889564037323,0.14025047421455383,0.12022006511688232,0.09208282083272934,0.05986098200082779,0.029240332543849945,0.01564827375113964,0.005991606507450342,0.00464741000905633,6,7,11,sentence.1
9,81,0.300534725189209,0.15843409299850464,0.14621765911579132,0.122027188539505,0.09558184444904327,0.05728796496987343,0.028681453317403793,0.016516944393515587,0.007473848760128021,0.005894133355468512,6,7,13,sentence.1
10,81,0.2886750102043152,0.16472338140010834,0.1374618262052536,0.11730466037988663,0.10249096900224686,0.056368034332990646,0.026121215894818306,0.018654467537999153,0.00919436663389206,0.006367304362356663,6,8,16,sentence.1
11,81,0.450413316488266,0.12582196295261383,0.10672468692064285,0.0894431322813034,0.06786372512578964,0.04080384597182274,0.018567098304629326,0.017940379679203033,0.008821632713079453,0.0065461923368275166,6,8,14,sentence.1
0,81,0.24219578504562378,0.19500358402729034,0.18290074169635773,0.13813582062721252,0.11516409367322922,0.07354773581027985,0.03329775109887123,0.011981946416199207,0.0007286126492545009,0.0005506408051587641,5,6,7,sentence.10
1,81,0.25308647751808167,0.19186469912528992,0.17497272789478302,0.1435924619436264,0.10830569267272949,0.07170018553733826,0.03533512353897095,0.01265142485499382,0.0007525480468757451,0.0005770756979472935,5,6,7,sentence.10
2,81,0.2513982355594635,0.1923985481262207,0.16747137904167175,0.1388006955385208,0.11131404340267181,0.07302647829055786,0.035244397819042206,0.014843416400253773,0.0011227953946217895,0.0010759184369817376,5,6,7,sentence.10
3,81,0.26839861273765564,0.18744468688964844,0.1628836989402771,0.13011077046394348,0.10479649901390076,0.06855910271406174,0.03480019047856331,0.01760479249060154,0.002233045408502221,0.0018789175665006042,5,6,7,sentence.10
4,81,0.2914266586303711,0.18174414336681366,0.15295860171318054,0.1192309781908989,0.10370369255542755,0.06928535550832748,0.03126014396548271,0.01712939515709877,0.00264406343922019,0.002483659889549017,6,6,8,sentence.10
5,81,0.3021100163459778,0.1751248836517334,0.15012162923812866,0.11395424604415894,0.10379282385110855,0.0685226172208786,0.030896876007318497,0.016514107584953308,0.003092997008934617,0.0026426748372614384,6,6,8,sentence.10
6,81,0.3093389570713043,0.1692964732646942,0.14562422037124634,0.11659102141857147,0.10044962167739868,0.0655529573559761,0.03039684146642685,0.015926849097013474,0.003841128433123231,0.0035764595959335566,6,6,8,sentence.10
