layer_from,layer_to,k_used,variance_threshold,residual_fro,rotation
0,1,5,,0.8291058540344238,"[[ 0.98925644 -0.10089232  0.0339626  -0.09992471  0.0073566 ]
 [-0.01098815  0.35591882  0.9091578  -0.1690361  -0.1343877 ]
 [ 0.09201015  0.9112857  -0.37692568 -0.13538301  0.02628569]
 [-0.10513779 -0.1790887  -0.1438944  -0.92888737 -0.27080607]
 [-0.04160797 -0.02506123  0.09746897 -0.28334     0.9528163 ]]"
1,2,5,,0.870263934135437,"[[ 9.9566853e-01  1.1478973e-02 -4.2622831e-02 -7.7816732e-03
   8.1456594e-02]
 [-4.5908506e-05  9.8535430e-01  1.3931543e-01 -6.7163534e-02
  -7.1814448e-02]
 [ 5.4595314e-02 -1.3591222e-01  9.6927893e-01  1.5180303e-01
  -1.2649691e-01]
 [-1.4200149e-02  9.6105814e-02 -1.1228910e-01  9.6971714e-01
   1.9391200e-01]
 [-7.3904678e-02  3.5168473e-02  1.6329131e-01 -1.7897777e-01
   9.6674925e-01]]"
2,3,5,,0.8652870059013367,"[[ 0.9908555   0.13195218  0.01779943  0.00223879 -0.0217304 ]
 [-0.13130113  0.9755233   0.07541259  0.15877892  0.01471459]
 [ 0.00785081  0.06351335 -0.99185544  0.09284513 -0.05921981]
 [ 0.01761907 -0.16365516  0.08290907  0.9826406  -0.02121464]
 [-0.02435907  0.01122378  0.057836   -0.02411301 -0.9976744 ]]"
3,4,5,,0.775223433971405,"[[-9.8392463e-01  1.5469041e-01 -5.6317743e-02 -6.8723440e-02
  -8.2771918e-03]
 [ 1.4714810e-01  9.8443329e-01  6.9239073e-02  5.6626532e-02
  -3.5182890e-02]
 [-6.8748213e-02 -5.8154240e-02  9.9176896e-01  3.0302346e-02
   8.5836291e-02]
 [-7.4246652e-02 -4.4619471e-02 -3.5779871e-02  9.9521512e-01
  -2.7624238e-02]
 [-8.8717107e-04 -3.9863296e-02  8.4548190e-02 -2.6439503e-02
  -9.9527019e-01]]"
4,5,5,,0.7621451020240784,"[[ 0.991038   -0.09647983  0.0133852   0.09110787 -0.0074457 ]
 [ 0.09038156  0.97727925  0.09731495  0.02411279 -0.16341609]
 [-0.01959009 -0.10003331  0.99368316 -0.04073256 -0.02333291]
 [-0.01614237 -0.15731972 -0.04194583 -0.06528893 -0.98436165]
 [ 0.09502859  0.02933865 -0.0344264  -0.9925705   0.06105318]]"
5,6,5,,0.716192901134491,"[[ 0.9983837  -0.01144532  0.04707798 -0.01347623  0.02647578]
 [ 0.00658009  0.99360806  0.10658337  0.03526023  0.00982657]
 [-0.04983015 -0.10294361  0.9890363  -0.08810272  0.03105775]
 [ 0.00463856 -0.04486862  0.07777539  0.98182505  0.16713989]
 [-0.02611606  0.00125457 -0.04670921 -0.16380621  0.9850392 ]]"
6,7,5,,0.7480321526527405,"[[ 0.9961243  -0.01065092  0.0677859   0.02950294 -0.04644736]
 [ 0.00308371  0.99381757  0.09517563  0.05569542  0.01251807]
 [-0.06773175 -0.09140969  0.9917611  -0.05554631 -0.01952728]
 [-0.04371417 -0.05463928  0.04100112  0.96413106 -0.25273278]
 [ 0.03504467 -0.02952931  0.03279622  0.25178075  0.9661423 ]]"
7,8,5,,0.7985064387321472,"[[ 0.99795693  0.00772444 -0.00582994 -0.05906663 -0.02235058]
 [-0.00763971  0.98964     0.1232144   0.01530654 -0.0716816 ]
 [-0.03187431  0.11553279 -0.8982584  -0.42131308 -0.03554357]
 [ 0.04872973  0.03191671 -0.41737542  0.90246034 -0.08927456]
 [ 0.02516248  0.07865447 -0.06094122  0.06586035  0.9925366 ]]"
8,9,5,,0.7968276739120483,"[[ 0.9955245  -0.05260884  0.04300642 -0.05248011  0.03949016]
 [-0.00345446  0.6681831   0.72933257 -0.14648087 -0.01169784]
 [-0.06968567 -0.73761123  0.64412385 -0.14619607 -0.12167449]
 [ 0.03989179 -0.01738711  0.212618    0.9755011   0.03602181]
 [-0.04971421 -0.07994293  0.07824729 -0.05304288  0.99106073]]"
9,10,5,,0.8488370180130005,"[[ 9.9699813e-01 -4.2214423e-02 -5.1329050e-02  2.3186684e-02
  -3.2253582e-02]
 [ 4.5329850e-02  9.8835510e-01  2.2359040e-02 -1.4056107e-01
  -2.9016785e-02]
 [ 4.9565412e-02 -1.8462429e-02  9.9759960e-01  4.4685733e-02
   8.1482797e-04]
 [ 1.5934147e-02 -1.4431731e-01  4.0704869e-02 -9.8436838e-01
  -9.0998039e-02]
 [ 3.5060301e-02  1.4272506e-02  1.8941285e-03 -9.3418695e-02
   9.9490523e-01]]"
10,11,5,,1.091559648513794,"[[ 0.92045027 -0.30812174 -0.20120353 -0.09809815  0.08789878]
 [ 0.24847467  0.9335073  -0.16302304 -0.16784617  0.10988918]
 [ 0.18185668  0.05186508  0.8701525  -0.41281888 -0.19145091]
 [ 0.196377    0.1354792   0.40897465  0.8334745   0.2848533 ]
 [ 0.13926905  0.112163   -0.09227712  0.3116171  -0.92865676]]"
