layer_from,layer_to,k_used,variance_threshold,residual_fro,rotation
0,1,6,0.9,0.9009174704551697,"[[ 0.98829174 -0.1006303   0.03360321 -0.10310624  0.00730792  0.03660028]
 [-0.01062617  0.35582063  0.9092958  -0.1678238  -0.13436377 -0.01554215]
 [ 0.09271099  0.9110961  -0.37665257 -0.13300098  0.02634215 -0.03253059]
 [-0.102557   -0.17978406 -0.14285858 -0.91993964 -0.2705471  -0.13140228]
 [-0.0405702  -0.02534198  0.09786538 -0.27986035  0.95288503 -0.04269135]
 [-0.0490652   0.01430213 -0.01409815 -0.13749297  0.00367069  0.9890761 ]]"
1,2,6,0.9,0.9577645063400269,"[[ 9.95429337e-01  1.07736932e-02 -4.25238572e-02 -8.08592793e-03
   8.03135484e-02  2.60857958e-02]
 [-8.28475531e-05  9.84982312e-01  1.39395237e-01 -6.71896711e-02
  -7.22797513e-02  2.52986550e-02]
 [ 5.45659065e-02 -1.35844886e-01  9.69253242e-01  1.51753381e-01
  -1.26468301e-01 -9.67698824e-03]
 [-1.45732742e-02  9.49711725e-02 -1.12126306e-01  9.69245195e-01
   1.92091048e-01  4.31348085e-02]
 [-7.42329136e-02  3.39068919e-02  1.63499057e-01 -1.79372042e-01
   9.64858055e-01  5.90119921e-02]
 [-2.04965398e-02 -3.27225626e-02  2.15766998e-03 -2.79384498e-02
  -6.69408664e-02  9.96615708e-01]]"
2,3,6,0.9,0.9427301287651062,"[[ 0.99026424  0.13210349  0.01764392  0.00331577 -0.02323779  0.03260754]
 [-0.13072401  0.9753559   0.07559137  0.15777202  0.01618874 -0.02690399]
 [ 0.0087321   0.06321969 -0.99152726  0.09139587 -0.05696091 -0.03468306]
 [ 0.01792436 -0.163618    0.08282614  0.9818205  -0.02045743 -0.04071386]
 [-0.0225426   0.01073526  0.05834709 -0.02736753 -0.99303967 -0.09536948]
 [-0.03718068  0.01861673 -0.02416071  0.04498029 -0.09698965  0.9931047 ]]"
3,4,6,0.9,0.8386473655700684,"[[-0.9831824   0.15399347 -0.0555039  -0.06940181 -0.0098964   0.04053653]
 [ 0.14744194  0.98414326  0.0695761   0.05637155 -0.03584991  0.02047324]
 [-0.06914069 -0.05777028  0.99132246  0.03064632  0.08672078 -0.02650046]
 [-0.0733179  -0.04546271 -0.03479167  0.9943391  -0.02959749  0.04196307]
 [-0.00211557 -0.03868232  0.08317236 -0.02534322 -0.9925399  -0.07618391]
 [ 0.03811676 -0.02911185  0.03507394 -0.04139928 -0.07130957  0.9948218 ]]"
4,5,6,0.9,0.8227946758270264,"[[ 0.9908933  -0.09694586  0.01362432  0.09184155 -0.00747814 -0.0074576 ]
 [ 0.08973566  0.9749587   0.09846696  0.02777258 -0.16338266 -0.06513064]
 [-0.01908215 -0.09827556  0.99280035 -0.04350316 -0.02330857  0.04346739]
 [-0.01575382 -0.15610144 -0.04257686 -0.06720618 -0.98424894  0.01756799]
 [ 0.09374649  0.02479621 -0.0321619  -0.98540777  0.06107166 -0.12167196]
 [ 0.02602542  0.07359587 -0.04023564 -0.1155685   0.01520093  0.98929274]]"
5,6,6,0.9,0.7872441411018372,"[[ 9.9813581e-01 -1.1570078e-02  4.7032900e-02 -1.3753991e-02
   2.5465325e-02 -2.3267997e-02]
 [ 6.4669447e-03  9.9355036e-01  1.0656503e-01  3.5132688e-02
   9.3771070e-03 -1.1731177e-02]
 [-4.9930327e-02 -1.0299229e-01  9.8901260e-01 -8.8213287e-02
   3.0620132e-02 -5.8641518e-03]
 [ 4.2354874e-03 -4.5072224e-02  7.7703781e-02  9.8137271e-01
   1.6550468e-01 -3.7796997e-02]
 [-2.7207568e-02  7.0860458e-04 -4.6919771e-02 -1.6502643e-01
   9.8052138e-01 -9.1661476e-02]
 [ 2.0783748e-02  9.1922665e-03  6.8164663e-03  2.1655656e-02
   9.7529188e-02  9.9471408e-01]]"
6,7,6,0.9,0.8192011713981628,"[[ 0.9958378  -0.01137635  0.06821501  0.0287839  -0.04668091 -0.02273123]
 [ 0.00237421  0.9920137   0.09623717  0.05389919  0.01194828 -0.059947  ]
 [-0.06710198 -0.08981693  0.990818   -0.05396881 -0.01901283  0.04935257]
 [-0.04413081 -0.05571118  0.04162323  0.9630507  -0.25305414 -0.04139018]
 [ 0.03454135 -0.03079581  0.03355053  0.25053293  0.96572423 -0.03664551]
 [ 0.02565329  0.06049909 -0.03881421  0.05585944  0.02563234  0.9951874 ]]"
7,8,6,0.9,0.8687255382537842,"[[ 0.99795693  0.00773426 -0.00584485 -0.05905248 -0.02234633  0.00120425]
 [-0.00766511  0.9890475   0.12402474  0.0144199  -0.07218076 -0.03043064]
 [-0.03188625  0.11519644 -0.89778864 -0.4218129  -0.03580046 -0.02192673]
 [ 0.04867078  0.03052873 -0.41547444  0.9003838  -0.09043754 -0.07218174]
 [ 0.02510033  0.07735758 -0.05919283  0.06391004  0.9913738  -0.05454894]
 [ 0.00276142  0.03922594 -0.04936026  0.06002704  0.04481136  0.99519134]]"
8,9,7,0.9,0.9452205300331116,"[[ 0.9947258  -0.05219816  0.04288644 -0.05198869  0.03911816  0.02006674
  -0.03634503]
 [-0.00325522  0.66757977  0.728918   -0.1473778  -0.01152041 -0.03308327
  -0.00760395]
 [-0.07003696 -0.7374546   0.6440065  -0.14611758 -0.12183129  0.01168511
  -0.01346823]
 [ 0.03986025 -0.01879912  0.21120214  0.97288406  0.03638647 -0.07089105
  -0.02446452]
 [-0.04938155 -0.08006773  0.07830203 -0.05313627  0.99104065  0.0056331
   0.00164017]
 [-0.01693923  0.03111042  0.02992867  0.06696575 -0.00273289  0.99644023
  -0.02155239]
 [ 0.03592356 -0.00641964  0.02148679  0.02038021 -0.00110235  0.02039403
   0.9986862 ]]"
9,10,7,0.9,0.9902385473251343,"[[ 9.96703684e-01 -4.20359857e-02 -5.12357168e-02  2.32835039e-02
  -3.30801532e-02 -1.43959690e-02  1.85974073e-02]
 [ 4.58085015e-02  9.87481296e-01  2.24958602e-02 -1.42426401e-01
  -2.63156164e-02  3.59953605e-02 -1.68292632e-03]
 [ 4.95131239e-02 -1.82755608e-02  9.97533202e-01  4.51823361e-02
   3.09344206e-04 -6.42727176e-03 -7.69439153e-03]
 [ 1.53306723e-02 -1.43210709e-01  4.04350646e-02 -9.81365442e-01
  -9.46323127e-02 -6.95314556e-02 -2.74354275e-02]
 [ 3.36436927e-02  1.63104907e-02  1.68321305e-03 -8.89228955e-02
   9.87945855e-01 -1.20248511e-01  1.39703508e-02]
 [ 1.72291398e-02 -4.47640084e-02  8.51844065e-03 -7.53460079e-02
   1.12763666e-01  9.87832487e-01  5.84905408e-02]
 [-1.91810690e-02  7.66199373e-04  9.27588996e-03 -2.16517169e-02
  -2.24742740e-02 -5.78661002e-02  9.97608721e-01]]"
10,11,8,0.9,1.307253122329712,"[[ 0.8853424  -0.32350978 -0.20281865 -0.10181623  0.07367389 -0.13853543
   0.03495623 -0.18484162]
 [ 0.2230183   0.92184454 -0.16353333 -0.17033322  0.09964316 -0.13098566
   0.00831503 -0.13249113]
 [ 0.17006654  0.04766085  0.86787444 -0.41439673 -0.19501215  0.00878308
   0.00988339 -0.07530269]
 [ 0.17220598  0.12538725  0.4068553   0.8306961   0.275625   -0.06799449
   0.03536735 -0.13112111]
 [ 0.14165777  0.11346857 -0.09259425  0.31187272 -0.9266898   0.03485412
  -0.0345157   0.00771288]
 [ 0.15824859  0.08121922 -0.02751771  0.01271234  0.07654888  0.9785022
   0.02483365 -0.05915196]
 [-0.01849852  0.00829003 -0.01178325 -0.00675718 -0.03967093 -0.01423931
   0.9941497   0.09640723]
 [-0.24980474 -0.08950024 -0.06256472 -0.03698076 -0.06676058 -0.00813225
   0.08496274 -0.95528203]]"
