layer,level_from,level_to,G
0,1,2,0.9924930506282382
0,2,3,0.9923561890920003
0,3,4,0.9915836188528273
0,4,5,0.9903578387366401
0,5,6,0.9909220099449157
0,6,7,0.9899243315060934
0,7,8,0.991578839884864
0,8,9,0.9929546568128798
0,9,10,0.9910902433925205
1,1,2,0.9917628672387865
1,2,3,0.9924174653159248
1,3,4,0.9916418724589877
1,4,5,0.988543959458669
1,5,6,0.9891096764140659
1,6,7,0.9906439675225152
1,7,8,0.9913229770130582
1,8,9,0.9913966390821669
1,9,10,0.9890370302730136
2,1,2,0.9835886226760017
2,2,3,0.9859020657009548
2,3,4,0.9838650147120158
2,4,5,0.9806127534972297
2,5,6,0.9825462831391228
2,6,7,0.9847568975554573
2,7,8,0.9794104827774895
2,8,9,0.9799558493826125
2,9,10,0.9767222550180223
3,1,2,0.9700465599695841
3,2,3,0.9798765791787042
3,3,4,0.973747906419966
3,4,5,0.9719408604833815
3,5,6,0.9728859027226766
3,6,7,0.9696086300743951
3,7,8,0.9588074366251628
3,8,9,0.9655591991212633
3,9,10,0.95821160475413
4,1,2,0.9594961841901143
4,2,3,0.9762802229987251
4,3,4,0.9668971498807272
4,4,5,0.9622061080402798
4,5,6,0.9658222648832533
4,6,7,0.9557053234842089
4,7,8,0.9441431389914618
4,8,9,0.9535513997077942
4,9,10,0.9422133816613092
5,1,2,0.9459909359614055
5,2,3,0.9735962390899658
5,3,4,0.9618863728311327
5,4,5,0.9543459984991286
5,5,6,0.9579480555322435
5,6,7,0.9372684836387635
5,7,8,0.9363279965188768
5,8,9,0.9479373852411906
5,9,10,0.9331063138114082
6,1,2,0.9381984829902649
6,2,3,0.9693396727244059
6,3,4,0.9539074513647291
6,4,5,0.9396892971462674
6,5,6,0.9448110156589085
6,6,7,0.9277590009901259
6,7,8,0.9295927855703566
6,8,9,0.9369747201601665
6,9,10,0.9204504794544643
7,1,2,0.9328382876184251
7,2,3,0.9655946797794766
7,3,4,0.9502926217185126
7,4,5,0.9291173325644599
7,5,6,0.935796774758233
7,6,7,0.9183261924319797
7,7,8,0.9219245076179504
7,8,9,0.9304888910717435
7,9,10,0.9127838148011101
8,1,2,0.9211084564526876
8,2,3,0.9583940611945259
8,3,4,0.9384776883655124
8,4,5,0.918253407213423
8,5,6,0.924171249071757
8,6,7,0.9057765629556443
8,7,8,0.9132376326455011
8,8,9,0.9214810212453206
8,9,10,0.9041215327050951
9,1,2,0.9072372330559625
9,2,3,0.942528510093689
9,3,4,0.9147180888387892
9,4,5,0.9020995365248786
9,5,6,0.908883069621192
9,6,7,0.8884419785605536
9,7,8,0.9029766148991055
9,8,9,0.9044606884320577
9,9,10,0.8972700092527601
10,1,2,0.9020177880922954
10,2,3,0.9288558377159967
10,3,4,0.8906864285469055
10,4,5,0.8780707173877292
10,5,6,0.8874943627251519
10,6,7,0.8795967711342706
10,7,8,0.888878059387207
10,8,9,0.8815228819847107
10,9,10,0.8754791922039455
11,1,2,0.8629099289576213
11,2,3,0.951479951540629
11,3,4,0.8980396323733859
11,4,5,0.8128939840528701
11,5,6,0.8661140415403578
11,6,7,0.8270106686486138
11,7,8,0.8483300394482083
11,8,9,0.878559406598409
11,9,10,0.8282692379421658
