layer_from,layer_to,k_used,variance_threshold,residual_fro,rotation,boot_id
0,1,5,,0.7606666088104248,"[[ 0.98893577 -0.08525777  0.11780839  0.00678137 -0.02850225]
 [ 0.09125262  0.9944744  -0.03889544 -0.02348947  0.02507943]
 [-0.11513975  0.0500367   0.9894664  -0.03474458 -0.06315204]
 [-0.00734341  0.02407458  0.03697201  0.9969969   0.06321974]
 [-0.01918186  0.02585512 -0.0647888   0.06474758 -0.99527574]]",0
1,2,5,,0.7956134676933289,"[[ 0.9843127   0.06761754 -0.16281141 -0.00689717 -0.00105555]
 [-0.03258015  0.97588396  0.21038823 -0.04804429 -0.00418387]
 [ 0.17309666 -0.19860479  0.9613712   0.05324484  0.05936385]
 [-0.00465632  0.05907317 -0.04619915  0.99491847  0.06701889]
 [ 0.00909759 -0.01203374  0.05348141  0.07033049 -0.99597484]]",0
2,3,5,,0.7899958491325378,"[[ 0.9927627   0.07898674 -0.07600088  0.04585173  0.01746081]
 [-0.07806699  0.9929701  -0.03550801 -0.05684576 -0.05851041]
 [ 0.0754356   0.03983334  0.9926619  -0.07339647  0.04425072]
 [-0.04651481  0.06021018  0.07097986  0.9915505   0.07746354]
 [-0.02176456  0.05058961 -0.05047067 -0.07814582  0.9941393 ]]",0
3,4,5,,0.7500865459442139,"[[ 0.9821031   0.18343665  0.01068726  0.02555371 -0.03251678]
 [-0.1837183   0.9819433  -0.00609019 -0.02888663 -0.03411012]
 [-0.00985934  0.00531114  0.9987376  -0.02006343  0.04466777]
 [-0.02961748  0.02527593  0.01790693  0.99833924  0.03849607]
 [ 0.0273267   0.03835816 -0.04529018 -0.03779816  0.99714696]]",0
4,5,5,,0.7167797684669495,"[[ 0.9717069   0.21001212  0.09893028  0.04255673  0.00907453]
 [-0.2119989   0.97697544  0.00104166  0.01981679 -0.01347691]
 [-0.09251848 -0.0204722   0.9905839  -0.07571889 -0.06349262]
 [-0.04671963 -0.02785256  0.08067045  0.98144835  0.1652055 ]
 [-0.0099898   0.01479799  0.04947149 -0.16977024  0.9840791 ]]",0
5,6,5,,0.7744738459587097,"[[ 9.93877113e-01  1.04474045e-01  3.55476812e-02 -2.51410459e-03
  -4.84462315e-03]
 [-1.07558057e-01  9.88974392e-01  1.01281874e-01  1.01344781e-02
  -5.12150174e-04]
 [-2.46195551e-02 -1.03648990e-01  9.92135644e-01 -6.05989695e-02
   2.54037529e-02]
 [ 1.98340742e-03 -1.61474980e-02  5.98284155e-02  9.97871995e-01
  -2.01820154e-02]
 [ 5.42825554e-03  3.32162413e-03 -2.37852279e-02  2.16832161e-02
   9.99461651e-01]]",0
6,7,5,,0.7552189230918884,"[[ 0.9819884   0.15579621  0.08995305  0.02722644 -0.0509268 ]
 [-0.1560227   0.9876899  -0.01025583  0.0027604  -0.00356366]
 [-0.08462139 -0.00262504  0.98758435 -0.127135    0.03669075]
 [-0.03673284 -0.00722211  0.12378433  0.991434    0.01829223]
 [ 0.05334473  0.01170753 -0.03402805 -0.01210046  0.99785423]]",0
7,8,5,,0.7807415723800659,"[[ 9.7966737e-01 -1.7420004e-01  9.7177543e-02  2.1924749e-04
   2.1506887e-02]
 [ 1.4862633e-01  9.6315479e-01  2.1341632e-01  1.5728706e-02
   6.6702388e-02]
 [-1.3021898e-01 -1.9315065e-01  9.7180372e-01 -2.7888607e-02
  -2.3570113e-02]
 [-1.0571348e-02 -2.8811445e-02  2.4397591e-02  9.9102056e-01
   1.2783264e-01]
 [-3.3063773e-02 -6.2048040e-02  3.4996651e-03 -1.2981930e-01
   9.8903561e-01]]",0
8,9,5,,0.7984172701835632,"[[ 0.99348617 -0.05431107  0.08156775  0.04429786 -0.03768297]
 [ 0.05007322  0.99670064  0.00906282  0.05313174 -0.03428525]
 [-0.08168836 -0.00446683  0.9965741  -0.0115686  -0.00365759]
 [-0.03981137 -0.04398542  0.0086059   0.980828    0.18542579]
 [ 0.04711726  0.04103126  0.00553712 -0.18181674  0.9813299 ]]",0
9,10,5,,0.8502703905105591,"[[ 0.98264235 -0.07978681 -0.14656341 -0.07963251  0.01502502]
 [ 0.03312989  0.95140463 -0.30511966  0.01307811 -0.02151136]
 [-0.16655569 -0.2957256  -0.9388607  -0.0390349  -0.04268927]
 [-0.07456136  0.03172946  0.03298671 -0.9688766   0.23156826]
 [-0.0040098   0.00174259 -0.05360568  0.23074235  0.9715272 ]]",0
10,11,5,,1.004177212715149,"[[ 0.9636543   0.24967434  0.01564043 -0.03645245 -0.08636998]
 [ 0.1138057  -0.34813184 -0.92608225  0.05384619  0.07297198]
 [ 0.2203417  -0.9019775   0.3599172   0.01496714 -0.09012077]
 [ 0.02985063  0.03992366  0.04951362  0.99685305  0.03670592]
 [-0.09474804  0.03618904 -0.10067395  0.04279811 -0.98881054]]",0
0,1,5,,0.7675567865371704,"[[-0.98931885 -0.07831889  0.12004138  0.00530661  0.02600675]
 [-0.08320971  0.99565595 -0.03021814 -0.01551745 -0.02431972]
 [ 0.11823657  0.04076805  0.98877925 -0.04767937  0.06633621]
 [ 0.0088753   0.01674059  0.04922609  0.9976922  -0.04275525]
 [ 0.01630264  0.02435368 -0.06759779  0.04547483  0.9962448 ]]",1
1,2,5,,0.7936219573020935,"[[-0.9823231  -0.08327574  0.16759464  0.00411353 -0.00120351]
 [-0.05263121  0.9813877   0.1801227  -0.04062293 -0.00369314]
 [ 0.1791007  -0.16559924  0.96672416  0.04834245  0.0600597 ]
 [-0.00779405  0.04930839 -0.04499005  0.99427605  0.08306015]
 [-0.01154689  0.00942416 -0.05374083 -0.08608729  0.99472547]]",1
2,3,5,,0.8080377578735352,"[[ 0.9833552   0.15358488 -0.08703831  0.0306786   0.03012033]
 [-0.14915223  0.98489475  0.00976156 -0.05719694 -0.06609969]
 [ 0.08841503  0.00221945  0.9916871  -0.07963193  0.04892201]
 [-0.0356169   0.05726473  0.07827038  0.9907603   0.08786298]
 [-0.04099059  0.05576595 -0.05253133 -0.08854411  0.99227536]]",1
3,4,5,,0.7716497182846069,"[[ 9.8157096e-01  1.8695477e-01  2.1675874e-03  3.4573320e-02
  -1.9141713e-02]
 [-1.8710233e-01  9.8121089e-01 -2.2083592e-02 -1.4138129e-02
  -3.9119501e-02]
 [-5.6365025e-03  2.3238460e-02  9.9860978e-01 -2.2650529e-03
   4.6921376e-02]
 [-3.6282443e-02  8.5901590e-03  5.6148483e-04  9.9892163e-01
   2.7658688e-02]
 [ 1.2768698e-02  4.0734265e-02 -4.7810458e-02 -2.7480781e-02
   9.9756533e-01]]",1
4,5,5,,0.732281506061554,"[[ 0.9656119   0.2411343   0.08744393  0.03968561  0.0150531 ]
 [-0.24162926  0.9699895  -0.01304496  0.01940256 -0.01374775]
 [-0.08479049 -0.00747064  0.99296945 -0.05692625 -0.05937909]
 [-0.041795   -0.02701811  0.06211815  0.9841718   0.15833607]
 [-0.01651575  0.01374045  0.04833671 -0.16190666  0.9853873 ]]",1
5,6,5,,0.7884373068809509,"[[ 9.9120760e-01  1.2431345e-01  4.4730153e-02 -9.1553776e-04
   7.2081597e-03]
 [-1.2808415e-01  9.8699367e-01  9.5167831e-02  1.9276306e-02
   3.0738576e-03]
 [-3.2657284e-02 -9.8754801e-02  9.9212646e-01 -6.3336350e-02
   2.9233214e-02]
 [ 1.6110491e-03 -2.5135800e-02  6.2642947e-02  9.9645424e-01
  -5.0203346e-02]
 [-5.7253554e-03 -2.3088837e-03 -2.6518716e-02  5.1913477e-02
   9.9828029e-01]]",1
6,7,5,,0.7680252194404602,"[[ 0.980823    0.1412899   0.10813944  0.05180921 -0.06037479]
 [-0.15180872  0.98525155  0.0753095   0.00237696 -0.02359115]
 [-0.08633679 -0.08733831  0.98140925 -0.14512476  0.02632097]
 [-0.06187091 -0.02151451  0.13764408  0.98756254  0.03851692]
 [ 0.06048441  0.03501293 -0.0229009  -0.03113346  0.9968059 ]]",1
7,8,5,,0.7889094352722168,"[[ 0.9758372  -0.20244417  0.08021238  0.00362729  0.01763593]
 [ 0.1679967   0.93552506  0.29801005  0.03563538  0.0805608 ]
 [-0.13449876 -0.27497384  0.9511155  -0.01899    -0.03630773]
 [-0.01570195 -0.04609711  0.00806056  0.9939029   0.09859228]
 [-0.03438712 -0.07793352  0.00839077 -0.10253412  0.99104   ]]",1
8,9,5,,0.8017694354057312,"[[ 9.8622245e-01 -1.4088248e-01  5.8914263e-02  5.2384038e-02
   3.6088090e-02]
 [ 1.2631130e-01  9.7492814e-01  1.7897308e-01  1.9198140e-02
   3.4069434e-02]
 [-8.2560644e-02 -1.6948059e-01  9.8204839e-01 -6.3612419e-03
   6.3404109e-04]
 [-4.5666650e-02 -6.6126138e-03  1.4878805e-03  9.7856402e-01
  -2.0070153e-01]
 [ 5.0089475e-02  2.9998951e-02  8.7364167e-03 -1.9813974e-01
  -9.7839433e-01]]",1
9,10,5,,0.8562870621681213,"[[ 0.9863611  -0.13456897 -0.0709674  -0.05937224 -0.02053002]
 [ 0.09308566  0.8961664  -0.43275014  0.02964691  0.00832163]
 [-0.12251218 -0.41990373 -0.89695317 -0.03098698  0.05644948]
 [-0.05770216  0.04135789  0.00230136 -0.9504232  -0.30273825]
 [ 0.0093808   0.02733941  0.05622022 -0.30221117  0.95114255]]",1
10,11,5,,0.9960893392562866,"[[ 0.9741019   0.20944118 -0.04275546 -0.01459476 -0.07224119]
 [ 0.19117801 -0.7601998   0.6167024   0.07206393 -0.0056673 ]
 [ 0.09259997 -0.6051331  -0.78453654  0.08011951 -0.05764123]
 [-0.0055792   0.10647921  0.01705204  0.99389637  0.02258594]
 [ 0.0772691  -0.02658456 -0.04540714 -0.01856029  0.9954479 ]]",1
0,1,5,,0.760692834854126,"[[ 0.98893994 -0.09104767  0.1130873   0.00477745 -0.02994124]
 [ 0.09682465  0.99386847 -0.03854838 -0.02619441  0.02604698]
 [-0.1102884   0.04972228  0.99005264 -0.03843587 -0.06068389]
 [-0.00513871  0.02674669  0.04053244  0.9969364   0.06110031]
 [-0.02080309  0.0273535  -0.06227431  0.06270275 -0.9954945 ]]",2
1,2,5,,0.7943170070648193,"[[ 0.9829733   0.06880857 -0.17028631 -0.00530539 -0.00178782]
 [-0.0353849   0.97950476  0.1929987  -0.04519155 -0.00524597]
 [ 0.17999342 -0.18082067  0.9637859   0.04889136  0.06027146]
 [-0.00576698  0.05450767 -0.0429109   0.99582005  0.05913252]
 [ 0.00896787 -0.01298318  0.05504075  0.06230204 -0.9964135 ]]",2
2,3,5,,0.7939582467079163,"[[ 0.99107325  0.10015485 -0.07093069  0.04649568  0.02344783]
 [-0.09687806  0.9919908  -0.00985985 -0.05963547 -0.05399373]
 [ 0.07185237  0.01511663  0.9935863  -0.07204987  0.04694483]
 [-0.049397    0.05985718  0.07072665  0.9911951   0.08066717]
 [-0.02802889  0.0459554  -0.05153294 -0.08138167  0.9938933 ]]",2
3,4,5,,0.7508825659751892,"[[ 9.8247981e-01  1.8240553e-01  9.6716697e-04  2.4608048e-02
  -2.9242281e-02]
 [-1.8273412e-01  9.8202360e-01 -1.2179411e-02 -2.6920361e-02
  -3.6942229e-02]
 [-1.6431221e-03  1.3257591e-02  9.9873078e-01 -1.8622359e-02
   4.4850945e-02]
 [-2.8275695e-02  2.3783199e-02  1.6499108e-02  9.9841624e-01
   3.9083693e-02]
 [ 2.3225175e-02  4.0203873e-02 -4.5993097e-02 -3.8572680e-02
   9.9711633e-01]]",2
4,5,5,,0.7191633582115173,"[[ 0.9674882   0.22807136  0.10036225  0.04265279  0.00763162]
 [-0.23112379  0.97257334  0.00993535  0.02085477 -0.01221488]
 [-0.09145575 -0.03115215  0.98981994 -0.07496843 -0.07281222]
 [-0.04576284 -0.0306828   0.08125138  0.9814581   0.16462873]
 [-0.00948787  0.01313832  0.05902046 -0.16989888  0.983559  ]]",2
5,6,5,,0.7798460125923157,"[[ 9.9397415e-01  1.0428373e-01  3.3356249e-02 -5.2443631e-03
   3.0978958e-04]
 [-1.0685226e-01  9.9006087e-01  9.0658367e-02  1.1922639e-02
  -1.0211011e-03]
 [-2.3919258e-02 -9.2782244e-02  9.9321210e-01 -5.9531491e-02
   2.8375089e-02]
 [ 5.0548958e-03 -1.6963366e-02  5.9581149e-02  9.9705708e-01
  -4.4878107e-02]
 [ 4.8922043e-04  2.8540823e-03 -2.5462270e-02  4.6514723e-02
   9.9858886e-01]]",2
6,7,5,,0.758807897567749,"[[ 9.8468804e-01  1.3676164e-01  8.6508960e-02  3.2410081e-02
  -5.6138620e-02]
 [-1.3831171e-01  9.9029547e-01 -4.5397365e-04  1.1972137e-03
  -1.3536560e-02]
 [-7.8298002e-02 -9.7348085e-03  9.8623824e-01 -1.3893847e-01
   4.2483911e-02]
 [-4.1003756e-02 -6.2691863e-03  1.3416480e-01  9.8914278e-01
   4.3309957e-02]
 [ 5.8715310e-02  2.1844663e-02 -4.3010689e-02 -3.5225186e-02
   9.9648613e-01]]",2
7,8,5,,0.7873771786689758,"[[ 9.7986358e-01 -1.8267372e-01  7.7331416e-02 -6.2175356e-03
   2.1883426e-02]
 [ 1.5651716e-01  9.5288044e-01  2.4913126e-01  1.9707525e-02
   7.1179107e-02]
 [-1.1877969e-01 -2.3036031e-01  9.6500582e-01 -3.2090023e-02
  -2.3655826e-02]
 [-4.3606330e-03 -3.4163050e-02  2.6771264e-02  9.9423444e-01
   9.7954385e-02]
 [-3.5243962e-02 -6.6454366e-02  7.8663207e-04 -1.0020510e-01
   9.9211890e-01]]",2
