metric,mean_alt,mean_null,diff_mean,diff_ci_low,diff_ci_high,p_two_sided,cohens_d,n_alt,n_null,layer_from,layer_to,q_value
mean_angle,0.35918079286813737,0.3413546913862228,0.017826101481914547,0.01738681112974883,0.018329525314271414,0.0,10.651160682419404,100,100,0,1,0.0
mean_angle,0.36984021961688995,0.35554752707481385,0.014292692542076102,0.013336294338107135,0.01539658405631779,0.0,3.8697156440492204,100,100,1,2,0.0
mean_angle,0.33909669786691665,0.3544737109541893,-0.015377013087272628,-0.016404871836304655,-0.014341440968215475,0.0,-4.108577674864793,100,100,2,3,0.0
mean_angle,0.33101667106151583,0.3363042023777962,-0.005287531316280347,-0.006886618353426443,-0.0035234365984797103,0.0,-0.8567571307874708,100,100,3,4,0.0
mean_angle,0.31336758226156236,0.3234317633509636,-0.010064181089401214,-0.0111085118949413,-0.009145117223262821,0.0,-2.827696178210414,100,100,4,5,0.0
mean_angle,0.31655189841985704,0.3490071654319763,-0.03245526701211926,-0.03408274350315332,-0.030850900284945956,0.0,-5.371288144982325,100,100,5,6,0.0
mean_angle,0.31366316199302674,0.33874334454536437,-0.025080182552337627,-0.02613218798488377,-0.02381049678474661,0.0,-5.751377496271697,100,100,6,7,0.0
mean_angle,0.34997061103582383,0.351094613969326,-0.0011240029335021773,-0.002632288321852734,0.0003694229423999932,0.14,-0.2028827014608228,100,100,7,8,0.14
mean_angle,0.39821279913187024,0.3571132570505142,0.04109954208135602,0.0362893279492855,0.045554079227149435,0.0,2.41285301527306,100,100,8,9,0.0
mean_angle,0.43229147881269453,0.37923125088214876,0.05306022793054577,0.0462694660946727,0.060022700950503306,0.0,2.046225864482467,100,100,9,10,0.0
mean_angle,0.425605571269989,0.43002456814050677,-0.004418996870517777,-0.007427110455930248,-0.0010272325873375017,0.008,-0.37715507875129584,100,100,10,11,0.008799999999999999
max_angle,0.45249555438756944,0.391577650308609,0.060917904078960416,0.060084951914846856,0.061758973471820335,0.0,19.086706193625307,100,100,0,1,0.0
max_angle,0.4371443220973015,0.41156665325164793,0.025577668845653545,0.024341269299387944,0.026840736761689202,0.0,5.490687614553231,100,100,1,2,0.0
max_angle,0.43632457286119464,0.43008894711732865,0.006235625743865991,0.004771806590259095,0.007964656025171286,0.0,1.081327512871617,100,100,2,3,0.0
max_angle,0.4256683486700058,0.4262731346487999,-0.0006047859787940979,-0.0036326870769262483,0.0025637781396508036,0.694,-0.056559234779989885,100,100,3,4,0.694
max_angle,0.3761453449726105,0.3663738933205605,0.009771451652050012,0.008625138558447385,0.010882492713630187,0.0,2.4114335242373772,100,100,4,5,0.0
max_angle,0.3593886896967888,0.41497771710157394,-0.05558902740478516,-0.058554038390517205,-0.05253469073772427,0.0,-5.1698801449934155,100,100,5,6,0.0
max_angle,0.3549147918820381,0.38748604148626326,-0.03257124960422514,-0.03471288271993401,-0.03032638321071865,0.0,-4.222217214940118,100,100,6,7,0.0
max_angle,0.38313366323709486,0.4222391334176063,-0.03910547018051147,-0.04113169271498923,-0.037066992677748205,0.0,-5.213045063265707,100,100,7,8,0.0
max_angle,0.6042226040363312,0.402837495803833,0.20138510823249822,0.17874065625667565,0.22392494453489778,0.0,2.4956575131281906,100,100,8,9,0.0
max_angle,0.6608982083201408,0.4378616869449615,0.22303652137517926,0.1907825770825148,0.25668879701942204,0.0,1.8782101794610118,100,100,9,10,0.0
max_angle,0.6193900346755982,0.6429153007268905,-0.02352526605129235,-0.03514725846052172,-0.011254370212554992,0.0,-0.5249234834201909,100,100,10,11,0.0
