metric,mean_alt,mean_null,diff_mean,diff_ci_low,diff_ci_high,p_two_sided,cohens_d,n_alt,n_null,layer_from,layer_to,q_value
residual_fro,0.8062331044673919,0.7632288599014282,0.043004244565963745,0.041982774347066903,0.04413939520716664,0.0,11.329501834962029,100,100,0,1,0.0
residual_fro,0.8300878578424453,0.7937683087587356,0.03631954908370971,0.034197238698601806,0.038781893417239185,0.0,4.366635505294222,100,100,1,2,0.0
residual_fro,0.7653396928310394,0.7956640094518661,-0.030324316620826686,-0.03262670795619483,-0.02798380850255497,0.0,-3.6160627827959075,100,100,2,3,0.0
residual_fro,0.7465579152107239,0.7562991625070572,-0.0097412472963333,-0.013389515027403823,-0.005623234421014834,0.0,-0.6887680965629713,100,100,3,4,0.0
residual_fro,0.7041657137870788,0.7225940674543381,-0.018428353667259256,-0.020713179320096965,-0.016392732053995204,0.0,-2.3734165071119997,100,100,4,5,0.0
residual_fro,0.7096156477928162,0.7803511482477188,-0.07073550045490262,-0.07449389745295051,-0.06712715719640255,0.0,-5.1559673101463215,100,100,5,6,0.0
residual_fro,0.7008897984027862,0.7583867144584656,-0.057496916055679415,-0.05990151792764669,-0.054677474990487036,0.0,-5.8836521091797005,100,100,6,7,0.0
residual_fro,0.780478423833847,0.786892459988594,-0.006414036154747005,-0.009710194095969266,-0.003131235614419028,0.0,-0.5242270386959137,100,100,7,8,0.0
residual_fro,0.9152197295427322,0.797723588347435,0.11749614119529728,0.10263314293324947,0.1311590326875448,0.0,2.2798178325197016,100,100,8,9,0.0
residual_fro,0.9953684377670288,0.8484714692831039,0.14689696848392486,0.1262640106081962,0.16863844366371641,0.0,1.8339433654986053,100,100,9,10,0.0
residual_fro,0.9715020132064819,0.9903095299005509,-0.018807516694068993,-0.026801163777709025,-0.009599905684590373,0.0,-0.5953911261528242,100,100,10,11,0.0
