layer_from,layer_to,k_used,variance_threshold,mean_angle,max_angle,angles
0,1,5,,0.35832786560058594,0.45211875438690186,[0.3051233  0.32728544 0.34337598 0.36373585 0.45211875]
1,2,5,,0.3675382137298584,0.4346098303794861,[0.28682995 0.33594722 0.37418556 0.40611848 0.43460983]
2,3,5,,0.33605465292930603,0.4334309697151184,[0.26967344 0.29450557 0.3130122  0.3696511  0.43343097]
3,4,5,,0.3272629976272583,0.4203812777996063,[0.27791536 0.27999347 0.30294058 0.3550843  0.42038128]
4,5,5,,0.3098565638065338,0.3720889091491699,[0.25789467 0.27158484 0.30564153 0.34207287 0.3720889 ]
5,6,5,,0.3127424120903015,0.3516746163368225,[0.2605629  0.27720776 0.33563897 0.33862785 0.35167462]
6,7,5,,0.3098336458206177,0.34972453117370605,[0.27359796 0.29464722 0.31005764 0.32114092 0.34972453]
7,8,5,,0.3451527953147888,0.3780253529548645,[0.30526513 0.329221   0.35403582 0.35921684 0.37802535]
8,9,5,,0.40993252396583557,0.6740738153457642,[0.31344685 0.3290198  0.3612045  0.37191755 0.6740738 ]
9,10,5,,0.4137144088745117,0.5851268768310547,[0.32259196 0.34995288 0.3943672  0.41653305 0.5851269 ]
10,11,5,,0.41884326934814453,0.5915848016738892,[0.31812102 0.35145065 0.38089105 0.45216867 0.5915848 ]
