layer,G,boot_id
0,0.9876816471417745,0
1,0.983841081460317,0
2,0.9676997945422218,0
3,0.9536809438750857,0
4,0.9337212187903268,0
5,0.9288566595032102,0
6,0.9181192034766787,0
7,0.8993837208974929,0
8,0.8824973021234784,0
9,0.8514458962849208,0
10,0.8186752767789931,0
11,0.823987637247358,0
0,0.9873843391736349,1
1,0.9847742716471354,1
2,0.9693384170532227,1
3,0.9566652576128641,1
4,0.9398846824963888,1
5,0.9344021081924438,1
6,0.9262483417987823,1
7,0.9079325993855795,1
8,0.8960831165313721,1
9,0.8764052788416544,1
10,0.8608694275220236,1
11,0.8624193767706553,1
0,0.9888891719636463,2
1,0.9865354867208571,2
2,0.9720584466343835,2
3,0.956934928894043,2
4,0.9370527863502502,2
5,0.9338193848019555,2
6,0.9232845505078634,2
7,0.9025561582474482,2
8,0.888474410488492,2
9,0.8613213471003941,2
10,0.8292837880906605,2
11,0.8296328357287815,2
0,0.9882137338320415,3
1,0.9851702372233073,3
2,0.9720679004987081,3
3,0.9595587690671284,3
4,0.9414652903874715,3
5,0.9373871008555095,3
6,0.9300334413846334,3
7,0.9137012759844462,3
8,0.9007705648740133,3
9,0.879236622651418,3
10,0.8641919016838073,3
11,0.8669983228047689,3
0,0.9868827144304911,4
1,0.9818721691767375,4
2,0.9625395139058431,4
3,0.9485395630200704,4
4,0.9278964797655741,4
5,0.9226520578066508,4
6,0.9144424001375834,4
7,0.8981807112693787,4
8,0.8839811325073242,4
9,0.8623331228892008,4
10,0.8458486755688985,4
11,0.8474403222401937,4
0,0.9893448789914449,5
1,0.9876207669576009,5
2,0.9771004398663838,5
3,0.9657361030578613,5
4,0.9493276596069335,5
5,0.943833061059316,5
6,0.9333449085553487,5
7,0.9125210762023925,5
8,0.8950242360432943,5
9,0.8645342548688253,5
10,0.8323864221572876,5
11,0.8319706281026205,5
0,0.9895729303359986,6
1,0.9855988065401713,6
2,0.97229589621226,6
3,0.9622316400210063,6
4,0.9462231874465943,6
5,0.9408293962478638,6
6,0.9308676163355509,6
7,0.9110537926355998,6
8,0.8939505497614543,6
9,0.8611798405647277,6
10,0.8299028197924296,6
11,0.8375819087028503,6
0,0.9913216573851449,7
1,0.9914781678290594,7
2,0.9862962507066273,7
3,0.9792246506327674,7
4,0.9686092961402166,7
5,0.9649872354098729,7
6,0.9573894001188732,7
7,0.940377434094747,7
8,0.9262027229581561,7
9,0.9035564916474479,7
10,0.8785167960893541,7
11,0.8777693680354527,7
0,0.9884264707565308,8
1,0.9855426490306854,8
2,0.967977625131607,8
3,0.950366348028183,8
4,0.9278103291988373,8
5,0.9234819948673249,8
6,0.9119331121444703,8
7,0.8875480830669403,8
8,0.8731992900371551,8
9,0.8439406156539917,8
10,0.8061123311519622,8
11,0.8069901525974273,8
0,0.9884574333826701,9
1,0.9860394835472107,9
2,0.9709400018056233,9
3,0.9547028581301371,9
4,0.9336971799532573,9
5,0.9305769324302673,9
6,0.9198866407076518,9
7,0.8986244400342306,9
8,0.8844367543856303,9
9,0.8543156305948894,9
10,0.8185647447903951,9
11,0.8161467591921489,9
0,0.9887360306013198,10
1,0.9863945416041783,10
2,0.9721222576640901,10
3,0.9573802777699062,10
4,0.9374057224818638,10
5,0.9339296704246884,10
6,0.9235516218912034,10
7,0.9025700631595793,10
8,0.8878196023759388,10
9,0.860871053877331,10
10,0.830364567892892,10
11,0.8278760427520389,10
0,0.9887758493423462,11
1,0.9862448658261981,11
2,0.9744878695124671,11
3,0.9623988810039702,11
4,0.945314435731797,11
5,0.9420641149793353,11
6,0.9349654061453683,11
7,0.9174778489839464,11
8,0.9055867649260021,11
9,0.8851185043652853,11
10,0.871115593683152,11
11,0.8723672741935367,11
0,0.98745496571064,12
1,0.984104322535651,12
2,0.9690691977739334,12
3,0.9563801969800677,12
4,0.937963217496872,12
5,0.93343956555639,12
6,0.9254010000399181,12
7,0.9100081324577332,12
8,0.8960288954632623,12
9,0.8739130645990372,12
10,0.8580034311328616,12
11,0.8590956309012004,12
0,0.9885573160080683,13
1,0.9858044045312064,13
2,0.9748291061038062,13
3,0.9651163589386713,13
4,0.9510027340480259,13
5,0.9460858333678472,13
6,0.9375931734130496,13
7,0.9199651933851696,13
8,0.9033744817688352,13
9,0.8722138291313535,13
10,0.842017860639663,13
11,0.8404485611688524,13
0,0.9878166635831197,14
1,0.9839430212974548,14
2,0.969827139377594,14
3,0.9597039699554444,14
4,0.9441136121749878,14
5,0.9377622445424397,14
6,0.9307260950406392,14
7,0.9137303272883097,14
8,0.8988519390424092,14
9,0.8759277939796448,14
10,0.8633267919222514,14
11,0.8678227821985881,14
0,0.9891739547252655,15
1,0.9868582427501679,15
2,0.9749040544033051,15
3,0.965615302324295,15
4,0.9507201492786408,15
5,0.9443167746067047,15
6,0.9339027225971221,15
7,0.9170010626316071,15
8,0.8998092293739319,15
9,0.8748627305030823,15
10,0.8407483637332916,15
11,0.835973060131073,15
0,0.9892632365226746,16
1,0.9881271402041117,16
2,0.9765658537546794,16
3,0.9626293142636617,16
4,0.9443424542744955,16
5,0.9426213145256043,16
6,0.9354703148206075,16
7,0.9168624003728231,16
8,0.9060481270154317,16
9,0.888940175374349,16
10,0.8736954808235169,16
11,0.8723761995633443,16
0,0.9862935642401377,17
1,0.984342634677887,17
2,0.9705618917942047,17
3,0.9534891843795776,17
4,0.933029035727183,17
5,0.9314024150371552,17
6,0.9222218096256256,17
7,0.902040958404541,17
8,0.8888137539227804,17
9,0.8626416424910227,17
10,0.8465801477432251,17
11,0.8432557185490926,17
0,0.9867151856422425,18
1,0.9824976861476898,18
2,0.968660306930542,18
3,0.9582972764968872,18
4,0.9435489118099213,18
5,0.9380799293518066,18
6,0.9312351942062378,18
7,0.9182951390743256,18
8,0.903208750486374,18
9,0.8766114115715027,18
10,0.8611290395259857,18
11,0.8577664434909821,18
0,0.9898029327392578,19
1,0.9884051501750946,19
2,0.9818842947483063,19
3,0.975858497619629,19
4,0.9649085521697998,19
5,0.9596470952033996,19
6,0.9497899115085602,19
7,0.9333547115325928,19
8,0.9131051003932953,19
9,0.8796736359596252,19
10,0.8457540214061737,19
11,0.8536224246025086,19
0,0.9879961450894673,20
1,0.9860165198644002,20
2,0.9743159373601278,20
3,0.9616139769554138,20
4,0.942574429512024,20
5,0.9376017133394877,20
6,0.9263536294301351,20
7,0.9066725889841716,20
8,0.8868189096450806,20
9,0.8535954276720683,20
10,0.8206977844238281,20
11,0.8245173454284668,20
0,0.9887353522436959,21
1,0.9857008457183838,21
2,0.9743747860193253,21
3,0.9654246589967183,21
4,0.952027073928288,21
5,0.9470423928328923,21
6,0.9406194452728543,21
7,0.925720574600356,21
8,0.912271322948592,21
9,0.8906175792217255,21
10,0.8779024843658719,21
11,0.8793270885944366,21
0,0.9886436292103359,22
1,0.9857272250311715,22
2,0.9734548472222828,22
3,0.9638767100515819,22
4,0.9497958166258675,22
5,0.9445228179295858,22
6,0.9361412269728524,22
7,0.9182386511848086,22
8,0.9023758627119518,22
9,0.8739743147577558,22
10,0.8454515082495553,22
11,0.8447942705381484,22
0,0.9874549742255893,23
1,0.9841043118919645,23
2,0.9690691999026707,23
3,0.9563801969800677,23
4,0.9379632196256092,23
5,0.9334395953587123,23
6,0.9254009936537061,23
7,0.910008138843945,23
8,0.8960289039782116,23
9,0.8739130262817655,23
10,0.8580034290041242,23
11,0.8590956096138272,23
0,0.9882417188750373,24
1,0.9855723116132948,24
2,0.9720336960421668,24
3,0.9590518027544022,24
4,0.9404798034164641,24
5,0.9356525854931937,24
6,0.9258268723885218,24
7,0.9062550829516517,24
8,0.8900299883551068,24
9,0.8620157407389747,24
10,0.8355743636687597,24
11,0.8387687487734689,24
0,0.9876775244871775,25
1,0.984572152296702,25
2,0.9718344112237295,25
3,0.9532881776491801,25
4,0.9312770962715149,25
5,0.9286775688330332,25
6,0.918710877497991,25
7,0.8984923561414083,25
8,0.8853659828503927,25
9,0.8589783608913422,25
10,0.8389660914738973,25
11,0.8440361221631368,25
0,0.9892632246017456,26
1,0.9881272037823995,26
2,0.9765658458073934,26
3,0.9626293381055196,26
4,0.9443424542744955,26
5,0.9426212986310323,26
6,0.9354703307151795,26
7,0.916862420241038,26
8,0.9060481111208598,26
9,0.8889402190844218,26
10,0.8736954887708028,26
11,0.8723761598269145,26
0,0.9893449028333028,27
1,0.987620735168457,27
2,0.9771004398663838,27
3,0.9657361268997192,27
4,0.9493276476860046,27
5,0.9438330332438151,27
6,0.9333448886871338,27
7,0.9125210920969645,27
8,0.8950242360432943,27
9,0.8645342350006103,27
10,0.8323864181836446,27
11,0.8319706161816914,27
0,0.9883419502349127,28
1,0.9862253751073565,28
2,0.9746253972961789,28
3,0.9630597631136576,28
4,0.9461001924106053,28
5,0.9421810507774353,28
6,0.9347884058952332,28
7,0.9192012463297162,28
8,0.9057101919537499,28
9,0.8841410477956136,28
10,0.8689776715778169,28
11,0.8698180743626186,28
0,0.9908302783966064,29
1,0.9908281127611797,29
2,0.985410483678182,29
3,0.9784183104832967,29
4,0.9685272256533305,29
5,0.965203849474589,29
6,0.9603100339571635,29
7,0.946105682849884,29
8,0.93507874806722,29
9,0.9185190796852112,29
10,0.9065050840377807,29
11,0.9064339598019918,29
0,0.9871210575103759,30
1,0.9826790889104208,30
2,0.9641059160232544,30
3,0.9497557242711385,30
4,0.9290007829666138,30
5,0.9233900904655457,30
6,0.9125082969665528,30
7,0.8927357236544291,30
8,0.8752406438191732,30
9,0.8433396259943644,30
10,0.8081877509752909,30
11,0.8110501964886984,30
0,0.9882420613652184,31
1,0.9849429584684826,31
2,0.9733417147681827,31
3,0.9638992377689907,31
4,0.949938884803227,31
5,0.944940603914715,31
