layer,total_components,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,k80,k85,k90,k95,k99,boot_id
0,90,0.26617977023124695,0.2158864438533783,0.1895790994167328,0.12001805007457733,0.0897505059838295,0.059849813580513,0.0303376242518425,0.019340576604008675,0.0009091352694667876,0.00086087582167238,5,5,6,7,8,0
1,90,0.2579404413700104,0.22027653455734253,0.19012026488780975,0.12192095816135406,0.08920537680387497,0.05888030678033829,0.03188031539320946,0.01897382363677025,0.001174988690763712,0.0009256270714104176,5,5,6,7,9,0
2,90,0.2615850269794464,0.22171957790851593,0.18206804990768433,0.11345746368169785,0.08972775936126709,0.061640508472919464,0.0315450057387352,0.018533367663621902,0.0020461210515350103,0.0017350083217024803,5,5,6,7,16,0
3,90,0.25721725821495056,0.21314699947834015,0.1782526671886444,0.11554184556007385,0.09117598086595535,0.06589233130216599,0.030916795134544373,0.018241092562675476,0.0032191202044487,0.002745707519352436,5,5,6,7,20,0
4,90,0.26808393001556396,0.2165452390909195,0.16611340641975403,0.11073383688926697,0.08560309559106827,0.06524284929037094,0.0315893329679966,0.017311107367277145,0.004293021745979786,0.0036753893364220858,5,6,6,8,23,0
5,90,0.2676088213920593,0.2243957370519638,0.16213518381118774,0.10827126353979111,0.08660420030355453,0.06282514333724976,0.027445588260889053,0.01689227670431137,0.004540795926004648,0.004296177998185158,5,6,6,8,25,0
6,90,0.2680158019065857,0.22414742410182953,0.16400858759880066,0.10558777302503586,0.08663627505302429,0.060446612536907196,0.024837715551257133,0.015647461637854576,0.005715663079172373,0.0046738795936107635,5,6,6,9,27,0
7,90,0.26654425263404846,0.2071768045425415,0.16944736242294312,0.11042600870132446,0.0844057947397232,0.059545304626226425,0.025569459423422813,0.015160939656198025,0.0071960981003940105,0.00548209622502327,5,6,7,10,29,0
8,90,0.27036890387535095,0.2007015198469162,0.1714901328086853,0.1054883748292923,0.08519153296947479,0.056714728474617004,0.02455141581594944,0.014518224634230137,0.007954985834658146,0.006636627949774265,5,6,7,12,31,0
9,90,0.28622403740882874,0.18879522383213043,0.16288425028324127,0.09773862361907959,0.08591499924659729,0.055646657943725586,0.025327792391180992,0.014881507493555546,0.010294022038578987,0.008665207773447037,5,6,7,13,32,0
10,90,0.3401051163673401,0.16066907346248627,0.15374596416950226,0.09432326257228851,0.0729595199227333,0.0498487763106823,0.021931782364845276,0.014557604677975178,0.012858293019235134,0.010134287178516388,5,6,8,14,33,0
11,90,0.42921653389930725,0.14408087730407715,0.11921605467796326,0.07162993401288986,0.06584616005420685,0.0416799858212471,0.0267794169485569,0.013853988610208035,0.01007048413157463,0.008836465887725353,5,6,8,14,32,0
0,90,0.26583153009414673,0.21890337765216827,0.1887597143650055,0.11866626888513565,0.08920172601938248,0.05993899703025818,0.030048297718167305,0.01921587623655796,0.0017185311298817396,0.0012822684366255999,5,5,6,7,8,1
1,90,0.2559918463230133,0.2252507358789444,0.1874452382326126,0.12109002470970154,0.08936009556055069,0.059006210416555405,0.03125347942113876,0.018856922164559364,0.0023674597032368183,0.0018025351455435157,5,5,6,7,9,1
2,90,0.2576889097690582,0.22653554379940033,0.18082645535469055,0.11239217966794968,0.08972011506557465,0.06253647059202194,0.030915286391973495,0.01836547441780567,0.003992946352809668,0.0033359911758452654,5,5,6,7,12,1
3,90,0.2548655569553375,0.2179325670003891,0.17794398963451385,0.11514154821634293,0.0901516005396843,0.06642881035804749,0.030687900260090828,0.018017997965216637,0.005266677122563124,0.0042317528277635574,5,5,6,7,14,1
4,90,0.2654375731945038,0.22145719826221466,0.16557841002941132,0.1111319363117218,0.08489881455898285,0.06567945331335068,0.030833875760436058,0.017198797315359116,0.0063100773841142654,0.005610450636595488,5,6,6,8,16,1
5,90,0.26408833265304565,0.2282896637916565,0.1629435122013092,0.11038173735141754,0.0861629769206047,0.06307461112737656,0.02716403640806675,0.01641124114394188,0.006520104128867388,0.005811132490634918,5,5,6,8,17,1
6,90,0.2691589891910553,0.2252669483423233,0.1659841239452362,0.10763318091630936,0.08563929051160812,0.05989186838269234,0.024432821199297905,0.015354250557720661,0.006514206063002348,0.006350977811962366,5,5,6,8,18,1
7,90,0.270322322845459,0.20752328634262085,0.172715425491333,0.11251327395439148,0.0842394009232521,0.05831605941057205,0.02509394660592079,0.014782006852328777,0.007879666984081268,0.007144252769649029,5,6,6,9,19,1
8,90,0.27619898319244385,0.20285379886627197,0.1741614043712616,0.10704732686281204,0.08502066880464554,0.054747242480516434,0.024208813905715942,0.014138970524072647,0.008851622231304646,0.007867003791034222,5,6,6,10,20,1
9,90,0.2991042733192444,0.18976356089115143,0.1636953353881836,0.09857949614524841,0.0871398076415062,0.0531795471906662,0.024457719177007675,0.014149704948067665,0.00995034072548151,0.0081555787473917,5,6,7,11,20,1
10,90,0.36970701813697815,0.16380618512630463,0.14748376607894897,0.09103918075561523,0.07489890605211258,0.04506034404039383,0.021629055961966515,0.013265332207083702,0.010211564600467682,0.00880823377519846,5,6,7,11,21,1
11,90,0.4683725833892822,0.1384979486465454,0.11337021738290787,0.07151228934526443,0.0649150013923645,0.03711368888616562,0.02546723000705242,0.01381249725818634,0.009164389222860336,0.00804662611335516,5,5,7,10,20,1
0,90,0.265082985162735,0.21628016233444214,0.19016698002815247,0.12053010612726212,0.08985717594623566,0.060094207525253296,0.030355313792824745,0.0193676445633173,0.0008238500449806452,0.000722594209946692,5,5,6,7,8,2
1,90,0.25645068287849426,0.2210996448993683,0.19051457941532135,0.1224207654595375,0.0896325409412384,0.05896832421422005,0.03198625519871712,0.019016750156879425,0.0010837387526407838,0.0008255017455667257,5,5,6,7,8,2
2,90,0.2597402334213257,0.22339804470539093,0.18225666880607605,0.11402501165866852,0.09009607136249542,0.061781950294971466,0.0316302552819252,0.01857885718345642,0.0018894439563155174,0.00154556380584836,5,5,6,7,15,2
3,90,0.256652295589447,0.21486231684684753,0.17743174731731415,0.11624938249588013,0.09110642224550247,0.06594236195087433,0.030949736014008522,0.018289217725396156,0.0030307788401842117,0.0024009309709072113,5,5,6,7,20,2
4,90,0.2673584818840027,0.21848386526107788,0.16442880034446716,0.1115865409374237,0.08559209853410721,0.06500060856342316,0.031708601862192154,0.01733994670212269,0.004329102113842964,0.0032919764053076506,5,6,6,8,25,2
5,90,0.2672567367553711,0.2248576134443283,0.16100187599658966,0.10950001329183578,0.08720768243074417,0.06311075389385223,0.02757689170539379,0.01680408976972103,0.004285958129912615,0.003897804068401456,5,6,6,8,26,2
6,90,0.2698987126350403,0.2236935794353485,0.16349202394485474,0.10622259974479675,0.08668766915798187,0.060144662857055664,0.02483733743429184,0.015582099556922913,0.004711851477622986,0.004504743032157421,5,6,6,8,28,2
7,90,0.26720160245895386,0.20755980908870697,0.16959811747074127,0.11085588485002518,0.08438552170991898,0.0593278706073761,0.02545947954058647,0.014951326884329319,0.005877540912479162,0.005318772979080677,5,6,7,10,30,2
8,90,0.2709866464138031,0.20113183557987213,0.17184904217720032,0.10662008076906204,0.08494284003973007,0.0562349334359169,0.024388153105974197,0.014197087846696377,0.0067014931701123714,0.006266507785767317,5,6,7,12,32,2
9,90,0.2857602536678314,0.18975508213043213,0.1632579118013382,0.09861183911561966,0.08660998195409775,0.054752692580223083,0.0248451866209507,0.014325011521577835,0.008718895725905895,0.008322645910084248,5,6,7,13,34,2
10,90,0.3362956643104553,0.16417710483074188,0.1532101035118103,0.09405269473791122,0.07562258094549179,0.04865584149956703,0.021501734852790833,0.013636279851198196,0.012521487660706043,0.008574765175580978,5,6,8,15,34,2
11,90,0.4206203818321228,0.1407824456691742,0.12358268350362778,0.07403765618801117,0.06900955736637115,0.04106185957789421,0.025864699855446815,0.01404873188585043,0.010240058414638042,0.008640597574412823,5,6,8,14,34,2
0,90,0.26710447669029236,0.2155686914920807,0.19047382473945618,0.11933286488056183,0.0900942012667656,0.05934729799628258,0.03019843064248562,0.019400490447878838,0.0009311835165135562,0.0007430422119796276,5,5,6,7,8,3
1,90,0.2594088912010193,0.2195614129304886,0.19159351289272308,0.12127786874771118,0.08923033624887466,0.05843343958258629,0.03164541348814964,0.019116511568427086,0.0009647237020544708,0.0008065318688750267,5,5,6,7,8,3
2,90,0.2629779279232025,0.2213878631591797,0.1837867647409439,0.11322882026433945,0.09039832651615143,0.06090926751494408,0.03141683340072632,0.01866932399570942,0.0018119645537808537,0.0015985367354005575,5,5,6,7,14,3
3,90,0.25863465666770935,0.21258249878883362,0.18072368204593658,0.11595650017261505,0.09155891090631485,0.06524565815925598,0.03089275024831295,0.01847250945866108,0.0031272778287529945,0.0021903759334236383,5,5,6,7,18,3
4,90,0.2705764174461365,0.21535445749759674,0.16920475661754608,0.11213120073080063,0.08545242995023727,0.06481610983610153,0.03136126697063446,0.017408661544322968,0.004055792931467295,0.0031720020342618227,5,5,6,8,20,3
5,90,0.26980873942375183,0.22408565878868103,0.16514120995998383,0.11000487208366394,0.08596737682819366,0.06196833774447441,0.027121765539050102,0.017187463119626045,0.004809997510164976,0.003475125879049301,5,5,6,8,21,3
6,90,0.2704112231731415,0.2238011658191681,0.16819363832473755,0.1078106239438057,0.08516864478588104,0.0600162036716938,0.024619096890091896,0.016031021252274513,0.006000716704875231,0.004411639180034399,5,5,6,8,22,3
7,90,0.270609050989151,0.20651279389858246,0.17436090111732483,0.1134408637881279,0.08289541304111481,0.058800309896469116,0.02539667673408985,0.015611778013408184,0.00754819018766284,0.005284831393510103,5,6,6,9,24,3
8,90,0.27658188343048096,0.20168370008468628,0.17550605535507202,0.10800192505121231,0.08380246162414551,0.05602746084332466,0.024402376264333725,0.014797192066907883,0.008299163542687893,0.006121654529124498,5,6,6,10,25,3
9,90,0.29692989587783813,0.19124898314476013,0.16490620374679565,0.09991514682769775,0.08465155959129333,0.05491539463400841,0.02526366151869297,0.015100520104169846,0.010457368567585945,0.00682424008846283,5,6,7,10,26,3
10,90,0.35840660333633423,0.16272054612636566,0.15326561033725739,0.09578970819711685,0.07277687638998032,0.04779674857854843,0.021786492317914963,0.015822336077690125,0.010838129557669163,0.007301569450646639,5,6,7,11,27,3
11,90,0.45032748579978943,0.14073018729686737,0.12049426138401031,0.07676371932029724,0.06509044766426086,0.039613835513591766,0.025003239512443542,0.014177857898175716,0.009339866228401661,0.006857309490442276,5,5,7,11,26,3
0,90,0.2663888931274414,0.21615229547023773,0.18930098414421082,0.11888353526592255,0.08939013630151749,0.06003804877400398,0.03010657988488674,0.01921420358121395,0.001686082105152309,0.0011635726550593972,5,5,6,7,9,4
1,90,0.25791674852371216,0.221572607755661,0.18761099874973297,0.12093845754861832,0.08909913152456284,0.05910832807421684,0.03129115328192711,0.018924178555607796,0.0022577939089387655,0.0018619196489453316,5,5,6,7,10,4
