layer_from,layer_to,k_used,variance_threshold,mean_angle,max_angle,angles,boot_id
0,1,5,,0.3603588044643402,0.4571242928504944,[0.30559537 0.3292492  0.3441882  0.36563703 0.4571243 ],0
1,2,5,,0.3709930181503296,0.43837520480155945,[0.28793857 0.3406169  0.3762485  0.4117858  0.4383752 ],0
2,3,5,,0.3380972445011139,0.4384588897228241,[0.27162483 0.29521954 0.3153529  0.36983007 0.4384589 ],0
3,4,5,,0.33078262209892273,0.42763927578926086,[0.2744596  0.28195405 0.3089816  0.36087868 0.42763928],0
4,5,5,,0.3119194507598877,0.3771277368068695,[0.25987372 0.27479523 0.3042626  0.34353793 0.37712774],0
5,6,5,,0.31549072265625,0.3564818203449249,[0.26021448 0.27994084 0.33550522 0.3453113  0.35648182],0
6,7,5,,0.312429279088974,0.35322171449661255,[0.2749272  0.29652518 0.31359547 0.32387698 0.3532217 ],0
7,8,5,,0.3477255702018738,0.38288867473602295,[0.31025606 0.32771552 0.35402295 0.36374474 0.38288867],0
8,9,5,,0.3904217779636383,0.5665287971496582,[0.31431192 0.33053076 0.36718875 0.37354857 0.5665288 ],0
9,10,5,,0.4363078474998474,0.6707634329795837,[0.3310417  0.35584882 0.3984946  0.42539066 0.67076343],0
10,11,5,,0.4253438413143158,0.5952102541923523,[0.325386   0.34926692 0.39644247 0.4604134  0.59521025],0
0,1,5,,0.35780975222587585,0.4467386305332184,[0.30871096 0.32630453 0.34401312 0.36328158 0.44673863],1
1,2,5,,0.36956873536109924,0.4359038472175598,[0.2876914  0.33522362 0.3738193  0.41520548 0.43590385],1
2,3,5,,0.34021300077438354,0.4358968138694763,[0.27264357 0.3036919  0.3167773  0.37205562 0.4358968 ],1
3,4,5,,0.33118414878845215,0.41809746623039246,[0.27924728 0.28580213 0.30770063 0.36507314 0.41809747],1
4,5,5,,0.31141552329063416,0.3745977282524109,[0.2565721  0.27756125 0.30382183 0.34452474 0.37459773],1
5,6,5,,0.3146531879901886,0.3550170958042145,[0.26288906 0.2843159  0.32699645 0.3440474  0.3550171 ],1
6,7,5,,0.3100072741508484,0.33738237619400024,[0.27796206 0.29966757 0.3117972  0.3232272  0.33738238],1
7,8,5,,0.3516845107078552,0.38910147547721863,[0.31907016 0.33191586 0.35894546 0.35938957 0.38910148],1
8,9,5,,0.34350624680519104,0.37320607900619507,[0.30631903 0.3278975  0.3428815  0.3672271  0.37320608],1
9,10,5,,0.5610206127166748,1.2967884540557861,[0.32964993 0.3545933  0.39140874 0.4326627  1.2967885 ],1
10,11,5,,0.45272308588027954,0.7441297769546509,[0.3258127  0.3522405  0.39611354 0.4453188  0.7441298 ],1
0,1,5,,0.35878291726112366,0.4532548785209656,[0.30476815 0.3277679  0.3426978  0.3654259  0.45325488],2
1,2,5,,0.3687015175819397,0.4351969361305237,[0.2872003  0.3351803  0.37656876 0.4093612  0.43519694],2
2,3,5,,0.337839275598526,0.43771952390670776,[0.26947471 0.2960587  0.3143524  0.371591   0.43771952],2
3,4,5,,0.3288882374763489,0.42385590076446533,[0.27734843 0.27907664 0.3048758  0.3592845  0.4238559 ],2
4,5,5,,0.31210342049598694,0.37570488452911377,[0.2590499  0.2745592  0.30566034 0.3455428  0.37570488],2
5,6,5,,0.3135095536708832,0.35115548968315125,[0.2613246  0.2787287  0.33677953 0.33955944 0.3511555 ],2
6,7,5,,0.31243038177490234,0.35564106702804565,[0.274757   0.29686075 0.31215763 0.32273537 0.35564107],2
7,8,5,,0.3481427729129791,0.38062769174575806,[0.30570886 0.3332143  0.35860732 0.36255574 0.3806277 ],2
8,9,5,,0.39898762106895447,0.6049355864524841,[0.31593025 0.332278   0.36473894 0.37705523 0.6049356 ],2
9,10,5,,0.4184907078742981,0.598265528678894,[0.323382   0.34940884 0.39440054 0.42699668 0.5982655 ],2
10,11,5,,0.4234267771244049,0.6063956022262573,[0.32019505 0.354311   0.38223994 0.45399222 0.6063956 ],2
0,1,5,,0.36198776960372925,0.4577893316745758,[0.30547768 0.33075896 0.347971   0.36794198 0.45778933],3
1,2,5,,0.3747928738594055,0.44386059045791626,[0.28891674 0.34511667 0.38172346 0.41434687 0.4438606 ],3
2,3,5,,0.3437398374080658,0.4429861605167389,[0.2758868  0.29862273 0.31889302 0.38231054 0.44298616],3
3,4,5,,0.3420221507549286,0.44280216097831726,[0.28288445 0.29083833 0.3237468  0.36983898 0.44280216],3
4,5,5,,0.31816092133522034,0.3783975839614868,[0.26554278 0.2813607  0.31533462 0.3501689  0.37839758],3
5,6,5,,0.3275633454322815,0.37963348627090454,[0.26670858 0.2895464  0.34672657 0.35520172 0.3796335 ],3
6,7,5,,0.32092124223709106,0.36739954352378845,[0.27816966 0.30403614 0.3204347  0.3345662  0.36739954],3
7,8,5,,0.35888928174972534,0.3993408977985382,[0.32326585 0.33565727 0.3589078  0.3772745  0.3993409 ],3
8,9,5,,0.3756270408630371,0.479004442691803,[0.31599125 0.33768007 0.3661385  0.379321   0.47900444],3
9,10,5,,0.46726521849632263,0.7907429933547974,[0.3349588  0.3675512  0.39653584 0.44653744 0.790743  ],3
10,11,5,,0.4257686734199524,0.57939612865448,[0.33785832 0.35854736 0.42111865 0.43192303 0.5793961 ],3
0,1,5,,0.35964736342430115,0.45695897936820984,[0.30574453 0.3273027  0.344972   0.3632586  0.45695898],4
1,2,5,,0.3660183846950531,0.4342196583747864,[0.28570506 0.33739913 0.36712417 0.405644   0.43421966],4
2,3,5,,0.3368200659751892,0.4385510981082916,[0.26833364 0.2999237  0.31399578 0.36329615 0.4385511 ],4
3,4,5,,0.32416239380836487,0.4092699885368347,[0.27257273 0.28392997 0.30230397 0.35273516 0.40927   ],4
4,5,5,,0.30796900391578674,0.373218834400177,[0.25702456 0.2731509  0.3020544  0.33439627 0.37321883],4
5,6,5,,0.3097434639930725,0.3462525010108948,[0.26217985 0.27825907 0.3255243  0.33650166 0.3462525 ],4
6,7,5,,0.3101302981376648,0.339865505695343,[0.27665424 0.29785556 0.31010687 0.3261693  0.3398655 ],4
7,8,5,,0.3499438166618347,0.38695937395095825,[0.31542474 0.32825285 0.35234174 0.36674052 0.38695937],4
8,9,5,,0.3531181514263153,0.40027299523353577,[0.3087253  0.3339325  0.3570682  0.36559185 0.400273  ],4
9,10,5,,0.48529601097106934,0.9295218586921692,[0.32330075 0.36222923 0.38694105 0.4244872  0.92952186],4
10,11,5,,0.4594391882419586,0.7958504557609558,[0.33173308 0.34798673 0.40286526 0.41876024 0.79585046],4
0,1,5,,0.35843709111213684,0.4526773989200592,[0.30613378 0.32885486 0.34138936 0.36313006 0.4526774 ],5
1,2,5,,0.36881911754608154,0.4358702600002289,[0.28907275 0.33581844 0.3737563  0.40957785 0.43587026],5
2,3,5,,0.3320232033729553,0.4221194088459015,[0.2682264  0.29613736 0.3107722  0.36286065 0.4221194 ],5
3,4,5,,0.3219743072986603,0.4055417478084564,[0.27680802 0.2822185  0.2962499  0.34905332 0.40554175],5
4,5,5,,0.31186962127685547,0.37836161255836487,[0.25974286 0.27254438 0.30385908 0.34484014 0.3783616 ],5
5,6,5,,0.310697466135025,0.34667572379112244,[0.2619309  0.27896604 0.32497665 0.34093794 0.34667572],5
6,7,5,,0.30993303656578064,0.3449113667011261,[0.27837646 0.2942457  0.31148154 0.32065016 0.34491137],5
7,8,5,,0.3441633880138397,0.37333667278289795,[0.3081954  0.33010498 0.3517957  0.35738423 0.37333667],5
8,9,5,,0.4337690472602844,0.8036550879478455,[0.3158562  0.32182795 0.35597405 0.3715319  0.8036551 ],5
9,10,5,,0.400188148021698,0.5315057635307312,[0.32173446 0.3432081  0.39781895 0.40667352 0.53150576],5
10,11,5,,0.40766826272010803,0.5592365860939026,[0.31194854 0.3386456  0.35234    0.4761706  0.5592366 ],5
0,1,5,,0.35836711525917053,0.4480433762073517,[0.30498597 0.32928073 0.3424847  0.36704078 0.44804338],6
1,2,5,,0.3699680268764496,0.4339846968650818,[0.28909618 0.3365049  0.37785074 0.41240352 0.4339847 ],6
2,3,5,,0.3402039110660553,0.4355635344982147,[0.27455944 0.29765746 0.31339523 0.3798438  0.43556353],6
3,4,5,,0.33496761322021484,0.44379714131355286,[0.2793206  0.28476605 0.29983085 0.36712348 0.44379714],6
4,5,5,,0.31581541895866394,0.3859906494617462,[0.26190835 0.27652937 0.30975646 0.34489232 0.38599065],6
5,6,5,,0.3201621472835541,0.36707085371017456,[0.2668074  0.28351158 0.33563825 0.3477827  0.36707085],6
6,7,5,,0.31552404165267944,0.3611992597579956,[0.27640447 0.2991458  0.3159807  0.32488984 0.36119926],6
