layer,total_components,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,k80,k85,k90,k95,k99,boot_id
0,90,0.31971222162246704,0.1869148164987564,0.14093336462974548,0.1190270334482193,0.08159899711608887,0.06791771948337555,0.04063154757022858,0.033871009945869446,0.0011935437796637416,0.0009894478134810925,5,6,6,7,8,0
1,90,0.362429678440094,0.18299120664596558,0.13023057579994202,0.1185416728258133,0.07204173505306244,0.05703779682517052,0.036187976598739624,0.030277101323008537,0.0013733130181208253,0.0010307645425200462,5,5,6,7,9,0
2,90,0.37352728843688965,0.18762481212615967,0.12668778002262115,0.11246217042207718,0.06329914182424545,0.050408218055963516,0.03320859372615814,0.031016496941447258,0.003222828730940819,0.0024683878291398287,4,5,6,8,15,0
3,90,0.347059041261673,0.19971348345279694,0.12613146007061005,0.11255441606044769,0.06294543296098709,0.050641294568777084,0.03304549679160118,0.030973203480243683,0.005615944974124432,0.004620015621185303,5,6,7,8,21,0
4,90,0.3261644244194031,0.2032558172941208,0.12756602466106415,0.1166936531662941,0.06269016116857529,0.05161895975470543,0.034113723784685135,0.03232208266854286,0.006539247930049896,0.004198457580059767,5,6,7,8,24,0
5,90,0.3185376226902008,0.2086169421672821,0.12474329024553299,0.11391846835613251,0.06303632259368896,0.051504652947187424,0.03801693767309189,0.029989376664161682,0.006574532482773066,0.005013581831008196,5,6,7,9,26,0
6,90,0.31800487637519836,0.20855003595352173,0.12411690503358841,0.11108434200286865,0.06322287768125534,0.04883715510368347,0.03945546597242355,0.028989046812057495,0.007380537688732147,0.005495046731084585,5,6,7,10,28,0
7,90,0.2991940677165985,0.21714818477630615,0.12915454804897308,0.1079634577035904,0.0629839152097702,0.048303134739398956,0.038494739681482315,0.027654318138957024,0.008206573314964771,0.00584458839148283,5,6,7,11,30,0
8,90,0.27543511986732483,0.22497135400772095,0.1252577006816864,0.10747375339269638,0.06374145299196243,0.05336232855916023,0.03923134505748749,0.0269189290702343,0.010009019635617733,0.0061917672865092754,6,6,8,14,33,0
9,90,0.27593958377838135,0.22328539192676544,0.12333907932043076,0.10006193071603775,0.060024555772542953,0.054369598627090454,0.038567785173654556,0.02564164623618126,0.012061364017426968,0.007965193130075932,6,7,8,15,34,0
10,90,0.27816012501716614,0.20826059579849243,0.12141671031713486,0.09047023206949234,0.0637105330824852,0.051480382680892944,0.038014329969882965,0.02506408467888832,0.016287624835968018,0.011581758968532085,6,7,10,17,36,0
11,90,0.3271692395210266,0.1758943796157837,0.11204712837934494,0.07584471255540848,0.06030718982219696,0.04248151555657387,0.03700922802090645,0.030829988420009613,0.02010609209537506,0.017096370458602905,7,8,11,17,36,0
0,90,0.3173367977142334,0.18698064982891083,0.14148052036762238,0.11955469846725464,0.08224044740200043,0.06810686737298965,0.040225282311439514,0.034081898629665375,0.0022127872798591852,0.0013144189724698663,5,6,6,7,8,1
1,90,0.3607284128665924,0.18205496668815613,0.1302773654460907,0.11857724189758301,0.07325968146324158,0.05759740620851517,0.035870812833309174,0.030529677867889404,0.0027125184424221516,0.0014839202631264925,5,5,6,7,9,1
2,90,0.3704212009906769,0.18689970672130585,0.12805141508579254,0.11231347918510437,0.06515208631753922,0.051172398030757904,0.03355728089809418,0.031149884685873985,0.004969117231667042,0.0030803491827100515,5,5,6,8,12,1
3,90,0.34626278281211853,0.20010654628276825,0.12749896943569183,0.11176611483097076,0.06506165117025375,0.05139940604567528,0.033370234072208405,0.03139888122677803,0.007645792327821255,0.004662076476961374,5,5,6,8,15,1
4,90,0.3235924243927002,0.2051507979631424,0.1298632174730301,0.11531699448823929,0.06516727805137634,0.052648305892944336,0.03469817712903023,0.032726503908634186,0.008068493567407131,0.005147973541170359,5,6,7,8,17,1
5,90,0.3178997337818146,0.20937083661556244,0.12897007167339325,0.11099878698587418,0.06561272591352463,0.05209355801343918,0.038273099809885025,0.030695339664816856,0.008316416293382645,0.005335283000022173,5,6,7,8,18,1
6,90,0.31574127078056335,0.21043308079242706,0.12915316224098206,0.10766711831092834,0.06545723974704742,0.049676068127155304,0.039998020976781845,0.030127057805657387,0.008613422513008118,0.006373932585120201,5,6,7,9,19,1
7,90,0.30078503489494324,0.21747225522994995,0.13230788707733154,0.10462208092212677,0.06565355509519577,0.04928220063447952,0.03987879306077957,0.028606517240405083,0.01017036009579897,0.007084206212311983,5,6,7,10,21,1
8,90,0.27962934970855713,0.22501303255558014,0.12737716734409332,0.10382299870252609,0.06662378460168839,0.055699337273836136,0.04115692526102066,0.027763215824961662,0.01135207898914814,0.008024577051401138,5,6,8,11,22,1
9,90,0.2788662612438202,0.22318418323993683,0.1253998577594757,0.09710990637540817,0.06285848468542099,0.05894672870635986,0.040624573826789856,0.026646582409739494,0.013150866143405437,0.009416859596967697,6,7,8,12,23,1
10,90,0.28158867359161377,0.21165849268436432,0.12170463055372238,0.09312033653259277,0.06443922966718674,0.056724898517131805,0.039893340319395065,0.026619108393788338,0.01536340918391943,0.011544600129127502,6,7,9,14,24,1
11,90,0.3102278709411621,0.18419356644153595,0.11666418612003326,0.08098654448986053,0.06828566640615463,0.0479174479842186,0.04645223543047905,0.031426165252923965,0.018477685749530792,0.012733335606753826,6,7,9,14,24,1
0,90,0.31972160935401917,0.18729355931282043,0.14047183096408844,0.11909089237451553,0.08198417723178864,0.06808901578187943,0.04072422906756401,0.033854883164167404,0.0010989680886268616,0.0008449706947430968,5,6,6,7,8,2
1,90,0.36152026057243347,0.18325175344944,0.13000793755054474,0.11871721595525742,0.07267571985721588,0.0575375035405159,0.036384325474500656,0.030305050313472748,0.0012347397860139608,0.0008974428055807948,5,5,6,7,8,2
2,90,0.372294545173645,0.1877536028623581,0.12672609090805054,0.11232857406139374,0.06394084542989731,0.05133175104856491,0.03356068208813667,0.03113696351647377,0.002909668954089284,0.0023423421662300825,5,5,6,8,15,2
3,90,0.34727737307548523,0.1991494596004486,0.12565943598747253,0.11214897036552429,0.06345950812101364,0.05169880762696266,0.03339448571205139,0.030895229429006577,0.005473296623677015,0.004343061242252588,5,6,7,8,21,2
4,90,0.3270872235298157,0.20244397222995758,0.12709347903728485,0.11624941229820251,0.06274156272411346,0.05265648663043976,0.03438702970743179,0.03212643414735794,0.006311225239187479,0.0039024879224598408,5,6,7,8,25,2
5,90,0.32069411873817444,0.2062869518995285,0.12545835971832275,0.11409518122673035,0.06300635635852814,0.05211242288351059,0.0378292016685009,0.02971269190311432,0.006224424112588167,0.0044451626017689705,5,6,7,9,27,2
6,90,0.32011958956718445,0.20684011280536652,0.12464288622140884,0.11123204231262207,0.06335914880037308,0.04946686327457428,0.03915271908044815,0.02879432402551174,0.0063230376690626144,0.004984606523066759,5,6,7,10,29,2
7,90,0.302243173122406,0.21431785821914673,0.12880203127861023,0.10838275402784348,0.06357074528932571,0.048843614757061005,0.03865331783890724,0.02724458836019039,0.006975919473916292,0.005336608272045851,5,6,7,12,32,2
8,90,0.2769259512424469,0.2222973108291626,0.12487097084522247,0.1097082793712616,0.06373908370733261,0.05413123592734337,0.03941482678055763,0.026319125667214394,0.008120055310428143,0.0056428853422403336,6,6,8,14,34,2
9,90,0.2761537730693817,0.22011205554008484,0.12314353138208389,0.10303623974323273,0.061285268515348434,0.05469689518213272,0.038953859359025955,0.024769408628344536,0.00950983352959156,0.007799678947776556,6,7,8,16,36,2
10,90,0.27999454736709595,0.2047966867685318,0.12056930363178253,0.09393438696861267,0.06525223702192307,0.05112891644239426,0.03776805102825165,0.024273183196783066,0.013039539568126202,0.011561388149857521,6,7,10,18,38,2
11,90,0.33826521039009094,0.17112278938293457,0.10925626009702682,0.07625878602266312,0.06094488501548767,0.04182421788573265,0.036278605461120605,0.03000989370048046,0.01830695942044258,0.015525647439062595,7,8,11,18,38,2
0,90,0.32152092456817627,0.185618594288826,0.14153075218200684,0.11894126981496811,0.08150889724493027,0.06743545830249786,0.04058627411723137,0.033880554139614105,0.001049577840603888,0.0009234198369085789,5,6,6,7,8,3
1,90,0.3640885353088379,0.18193918466567993,0.13064943253993988,0.1190919578075409,0.07189767807722092,0.056730564683675766,0.036069341003894806,0.030344873666763306,0.0010661539854481816,0.0009287971770390868,5,5,6,7,8,3
2,90,0.37503740191459656,0.18789710104465485,0.12685401737689972,0.11302319169044495,0.0635794848203659,0.05032460018992424,0.0330682173371315,0.03118474967777729,0.002536039100959897,0.002219325164332986,4,5,6,8,14,3
3,90,0.35102930665016174,0.1997111588716507,0.1263938546180725,0.1141948327422142,0.06333324313163757,0.050137367099523544,0.03291434049606323,0.0310744047164917,0.005301978904753923,0.0034279166720807552,5,5,6,8,18,3
4,90,0.3259337246417999,0.20540085434913635,0.1290542632341385,0.1184082105755806,0.06397337466478348,0.05136870592832565,0.03434416279196739,0.03252610191702843,0.005858948919922113,0.004072290845215321,5,6,7,8,20,3
5,90,0.3163410425186157,0.21182672679424286,0.12719808518886566,0.11485100537538528,0.06406903266906738,0.05138974264264107,0.038489148020744324,0.030414024367928505,0.006092901807278395,0.005185136571526527,5,6,7,8,22,3
6,90,0.3151991367340088,0.212189182639122,0.12728004157543182,0.11290419846773148,0.06382934749126434,0.04903445765376091,0.03975420072674751,0.02929098531603813,0.007328112609684467,0.0055002798326313496,5,6,7,9,23,3
7,90,0.2997121810913086,0.22029447555541992,0.13079708814620972,0.11088959127664566,0.06424486637115479,0.04868301749229431,0.039082471281290054,0.028042130172252655,0.0084688700735569,0.00577904237434268,5,6,7,9,25,3
8,90,0.27727073431015015,0.2297975867986679,0.12621986865997314,0.11145880818367004,0.06515613198280334,0.053761083632707596,0.03962576389312744,0.027534088119864464,0.010794002562761307,0.006095248740166426,5,6,7,11,27,3
9,90,0.2781595289707184,0.2306230515241623,0.12421144545078278,0.10379250347614288,0.06139485538005829,0.05504327267408371,0.03930916637182236,0.02678229846060276,0.013597361743450165,0.0075992620550096035,6,6,8,12,28,3
10,90,0.2849534749984741,0.21756629645824432,0.12271400541067123,0.09564556181430817,0.06204848736524582,0.05473614111542702,0.038656558841466904,0.02683824487030506,0.017607005313038826,0.00938474666327238,6,7,8,14,30,3
11,90,0.33492159843444824,0.18687224388122559,0.11983790248632431,0.0788210928440094,0.05755223333835602,0.04837997257709503,0.040983133018016815,0.03125295788049698,0.017797082662582397,0.010972773656249046,6,7,9,14,30,3
0,90,0.3161955773830414,0.1873435080051422,0.14147673547267914,0.11957011371850967,0.08192538470029831,0.0678018257021904,0.04048007354140282,0.03396129980683327,0.0019167554564774036,0.001194075564853847,5,6,6,7,9,4
1,90,0.3595243990421295,0.1825227290391922,0.13061612844467163,0.11859529465436935,0.07231614738702774,0.05685142055153847,0.03609847277402878,0.030406910926103592,0.0024756714701652527,0.0016138599021360278,5,5,6,7,10,4
2,90,0.3677540123462677,0.1859758496284485,0.127203106880188,0.11301887035369873,0.06411157548427582,0.05020545423030853,0.0330716073513031,0.031179310753941536,0.005216621328145266,0.003595205955207348,5,5,6,8,16,4
3,90,0.34343430399894714,0.19813314080238342,0.12584452331066132,0.1115337684750557,0.06411909312009811,0.05005297437310219,0.032698992639780045,0.030764061957597733,0.008023731410503387,0.005652459803968668,5,6,7,8,20,4
4,90,0.323036789894104,0.20114605128765106,0.12834873795509338,0.11492662876844406,0.06426215916872025,0.05126548558473587,0.03404397517442703,0.031977590173482895,0.008133839815855026,0.00632296409457922,5,6,7,9,23,4
5,90,0.3125339448451996,0.20567002892494202,0.12659232318401337,0.11288660764694214,0.06534788012504578,0.05125126987695694,0.03807711973786354,0.030106699094176292,0.008141857571899891,0.00639713928103447,5,6,7,9,24,4
6,90,0.31140926480293274,0.2061290144920349,0.12713658809661865,0.10869243741035461,0.06441392004489899,0.049325622618198395,0.03957146033644676,0.02961556613445282,0.008591677062213421,0.007011044770479202,5,6,7,10,25,4
7,90,0.2941555678844452,0.21472838521003723,0.1310146450996399,0.1056172326207161,0.06446412205696106,0.04883723706007004,0.03888848051428795,0.02845141850411892,0.010028926655650139,0.008102408610284328,5,6,8,11,27,4
8,90,0.2747434675693512,0.22199633717536926,0.12571066617965698,0.10398024320602417,0.06536092609167099,0.05468273535370827,0.03938043490052223,0.02769598923623562,0.011260532774031162,0.009517345577478409,6,7,8,13,29,4
9,90,0.2754761278629303,0.22041623294353485,0.12420877069234848,0.09746067970991135,0.06128731369972229,0.056615445762872696,0.038528330624103546,0.026912346482276917,0.01283301506191492,0.011714507825672626,6,7,8,14,30,4
