layer_from,layer_to,k_used,variance_threshold,residual_fro,rotation,boot_id
0,1,6,0.9,0.8966319561004639,"[[ 9.9822026e-01 -1.0078310e-02  2.7499391e-02 -1.5000224e-02
  -3.2031912e-02 -3.8045667e-02]
 [ 1.2426188e-02  9.8742133e-01 -1.4837099e-02  1.5544556e-01
   1.2105449e-02 -1.7739778e-02]
 [-2.5126513e-02  4.8679579e-03  9.9682981e-01  6.3071668e-02
   4.1195933e-02  4.1257532e-04]
 [ 1.1090785e-02 -1.5681663e-01 -6.0121931e-02  9.8230821e-01
  -2.3058856e-02 -7.8801014e-02]
 [ 3.7427645e-02 -1.5475975e-02 -4.1704770e-02  2.6691610e-02
   9.9182838e-01  1.1038330e-01]
 [-3.5309013e-02 -6.5484834e-03 -2.4001705e-04 -7.7405512e-02
   1.1346866e-01 -9.8987049e-01]]",0
1,2,6,0.9,0.9003987908363342,"[[ 0.98359835  0.17843106  0.00810945 -0.00349596 -0.02321029  0.00894478]
 [-0.17316124  0.96632326 -0.09928989 -0.14327814  0.07642629 -0.00255128]
 [-0.03221798  0.14946814  0.88371146  0.4397589   0.00808266 -0.04713993]
 [ 0.00918682 -0.08467841  0.45388192 -0.88625854  0.01863085 -0.03057986]
 [ 0.03410453 -0.06779547  0.00116189  0.02250859  0.9835875   0.16213709]
 [-0.01624902  0.01656435  0.05585443 -0.01051157 -0.16051057  0.9851232 ]]",0
2,3,6,0.9,0.832313597202301,"[[ 9.9711728e-01  6.3857831e-02 -4.6420889e-03 -2.7301285e-02
  -2.7558500e-02 -1.2362245e-02]
 [-6.0541108e-02  9.9490649e-01 -1.2539714e-02  4.7116209e-02
   5.9177719e-02  2.4833057e-02]
 [ 4.9184507e-04  1.7610855e-02  9.9263412e-01 -1.1755876e-01
   1.5654860e-02 -1.7377131e-02]
 [ 2.9732965e-02 -4.2198446e-02  1.1869364e-01  9.9117440e-01
  -2.7497837e-02  8.0061117e-03]
 [ 3.1355288e-02 -5.7675783e-02 -1.2376031e-02  2.6080383e-02
   9.9648780e-01 -4.3232903e-02]
 [ 1.4978635e-02 -2.5805568e-02  1.6041966e-02 -1.0373896e-02
   4.1825887e-02  9.9849653e-01]]",0
3,4,7,0.9,0.9503379464149475,"[[ 9.93470669e-01  1.03702627e-01 -1.26753123e-02 -3.66408229e-02
  -2.02440098e-02 -1.86748710e-02 -2.43578746e-04]
 [-1.03658296e-01  9.93963838e-01 -2.51127835e-02  1.58955287e-02
  -1.71113126e-02  9.56514012e-03 -4.82628681e-03]
 [ 2.08076183e-02  2.21465994e-02  9.60962117e-01  2.73159921e-01
   1.47727197e-02  2.55516768e-02  1.18649323e-02]
 [ 3.40439975e-02 -1.98692977e-02 -2.73568392e-01  9.58868802e-01
  -4.11989205e-02  4.97128554e-02  2.89794686e-03]
 [ 2.12640353e-02  1.70978308e-02 -2.73017399e-02  2.85946131e-02
   9.92456496e-01  1.12665884e-01  5.38269803e-03]
 [ 1.50542306e-02 -9.19888914e-03 -7.82298297e-03 -5.91176860e-02
  -1.11199826e-01  9.91777956e-01 -1.19856587e-02]
 [-5.37948043e-04  4.41570906e-03 -1.06818993e-02 -6.81564258e-03
  -6.81946427e-03  1.08769303e-02  9.99827385e-01]]",0
4,5,7,0.9,0.9073089957237244,"[[ 9.9554956e-01  5.8811963e-02  4.8887525e-03 -2.8926428e-02
  -5.1734138e-02  1.6901728e-02  3.9992869e-02]
 [-5.8394015e-02  9.9256903e-01 -9.5347583e-02  3.7185706e-02
   3.4332785e-04  1.1272754e-02  2.8210621e-02]
 [-1.1715240e-02  9.4738983e-02  9.9477065e-01  4.3632546e-03
  -2.6417814e-02  2.2484472e-02 -9.8112756e-03]
 [ 2.9998252e-02 -3.4513045e-02  7.6076289e-04  9.9229771e-01
  -4.0663768e-02 -1.0677121e-01  1.4148776e-02]
 [ 4.8891731e-02  1.1205468e-03  2.7406786e-02  3.8738694e-02
   9.9371821e-01  6.8662693e-03  8.8506944e-02]
 [ 8.3125532e-03  1.4820040e-02  2.2565199e-02 -1.0758119e-01
   3.0069993e-04 -9.8784542e-01  1.0858034e-01]
 [-4.4435371e-02 -3.0991290e-02  7.4512884e-03 -5.7005822e-03
  -8.6579591e-02  1.0860883e-01  9.8877960e-01]]",0
5,6,7,0.9,0.8460097908973694,"[[ 9.9018770e-01 -1.3033450e-01  1.5102255e-02 -2.3802720e-02
   4.8988801e-04 -6.8495865e-03  4.1224632e-02]
 [ 1.2989868e-01  9.9075335e-01  2.2880413e-02  2.1598414e-02
  -8.5717365e-03 -1.6867854e-02  1.3643556e-02]
 [-1.0583529e-02 -2.5285618e-02  9.6681720e-01  2.4927121e-01
   2.6415943e-03  3.8650956e-02 -2.9600361e-02]
 [ 2.5631007e-02 -1.8434152e-02 -2.5036690e-01  9.6721476e-01
  -1.6603500e-02  3.3324480e-03 -2.2989044e-02]
 [ 8.8958754e-05  1.0382165e-02 -1.0986132e-02  1.5093313e-02
   9.8483849e-01  1.6186631e-01  5.8618378e-02]
 [ 7.9479599e-03  1.5046276e-02 -3.3964731e-02 -1.4292835e-02
  -1.6383855e-01  9.8529518e-01  2.6511997e-02]
 [-4.2691261e-02 -1.0362713e-02  2.3559837e-02  2.9905923e-02
  -5.3792868e-02 -3.4003843e-02  9.9627841e-01]]",0
6,7,7,0.9,0.8627117872238159,"[[ 9.9759883e-01 -5.0348647e-02 -2.7153866e-02  3.1164527e-02
  -2.4552331e-03  2.3349578e-02  1.3908910e-03]
 [ 4.7328450e-02  9.9567872e-01 -5.7851139e-02  4.1784447e-02
   3.5483968e-02  5.5041714e-03  1.2956955e-03]
 [ 3.8159266e-02  6.6580549e-02  9.5492178e-01 -2.8536090e-01
  -2.6791528e-02  1.2405773e-03  9.2193121e-03]
 [ 2.3204068e-02  2.0859618e-02 -2.8700027e-01 -9.5649016e-01
   4.2095568e-02  1.0777002e-03 -3.2504131e-03]
 [-2.9865454e-03  3.3983361e-02 -3.9919246e-02 -3.1106764e-02
  -9.9333435e-01  8.9123122e-02  4.0235598e-02]
 [-2.3465905e-02 -7.4810199e-03  3.6235116e-03  3.2154908e-03
   8.8893868e-02  9.9572468e-01 -2.9596494e-04]
 [-1.6134196e-03 -3.1383317e-03 -8.0234902e-03  6.7748758e-04
   4.0369637e-02 -3.3416532e-03  9.9914056e-01]]",0
7,8,7,0.9,0.9438196420669556,"[[ 9.9748743e-01  4.2083126e-02 -1.6743751e-02  4.3177925e-02
   1.3506082e-02  7.0042317e-03 -2.9524427e-02]
 [-4.4176929e-02  9.9635863e-01  4.2992532e-02  5.5349201e-02
   1.4777260e-03 -9.9395225e-03 -1.7466672e-02]
 [ 2.7780453e-02 -2.7260665e-02  9.6914506e-01 -2.4304567e-01
   8.1004603e-03 -9.5398417e-03 -3.9066989e-03]
 [-3.5217330e-02 -6.5368712e-02  2.4170171e-01  9.6694630e-01
   2.4073670e-02  2.0137491e-02  9.8280190e-03]
 [-1.4149321e-02 -4.5738753e-04 -1.3319667e-02 -2.2649588e-02
   9.9780065e-01  4.6341356e-02 -3.6817219e-02]
 [-1.4831269e-03  1.3430029e-02  5.6601078e-03 -2.1634763e-02
  -4.0766805e-02  9.8752797e-01  1.4981297e-01]
 [ 2.9203173e-02  1.7371988e-02  3.3313670e-04 -5.8780145e-03
   4.3613814e-02 -1.4831260e-01  9.8737633e-01]]",0
8,9,8,0.9,0.9823693037033081,"[[ 9.99273062e-01 -1.55060366e-02 -1.21863149e-02  1.91081967e-02
   1.30410148e-02  2.08071340e-02 -6.05115155e-03 -7.72867678e-03]
 [ 1.36935292e-02  9.97593522e-01 -3.53659410e-03  6.16046526e-02
   5.74186631e-03  1.35888839e-02 -3.41895549e-03 -2.41398290e-02]
 [ 1.53276781e-02  1.30288666e-02  9.87648904e-01 -1.54337525e-01
   1.18734585e-02 -9.38316248e-03  8.48895591e-03  4.89783613e-03]
 [-1.95535403e-02 -6.13622703e-02  1.55727223e-01  9.82392311e-01
  -9.31403134e-03  7.48613328e-02 -2.05356218e-02 -1.98488776e-02]
 [-3.66168516e-03 -1.83421792e-03 -8.26027058e-03  4.27439809e-02
   9.01342690e-01 -4.30789411e-01  8.97558779e-03  3.03398818e-03]
 [-2.36689020e-02 -1.10899005e-02 -6.08407659e-03 -6.55037686e-02
   4.32519436e-01  8.98222446e-01 -2.00636927e-02 -2.66463626e-02]
 [ 4.60597873e-03  1.21400917e-04 -5.15956199e-03  1.86253153e-02
  -2.40273584e-04  2.16598473e-02  9.96888638e-01 -7.31367469e-02]
 [ 7.33390404e-03  2.24793125e-02 -2.44902866e-03  2.14538109e-02
   8.80059879e-03  2.89495923e-02  7.20260143e-02  9.96429265e-01]]",0
9,10,8,0.9,1.1036323308944702,"[[ 9.9829650e-01 -3.7381581e-03 -1.2039441e-03 -1.1994463e-03
   3.4548953e-02  1.6596533e-02  3.7436627e-02 -2.2728400e-02]
 [ 2.5321383e-03  9.9468994e-01  9.3745045e-02 -1.7365612e-02
   1.9173866e-02  9.4404921e-04  2.7680432e-02  1.8999817e-02]
 [-1.2786302e-03  9.0330273e-02 -9.8448753e-01 -1.3177848e-01
   2.7727878e-02 -6.4845949e-02  1.6628490e-04 -1.6843036e-02]
 [-5.8072607e-04  3.0853437e-02 -1.3166380e-01  9.8813927e-01
   3.6469812e-03  4.9000565e-02 -1.0982298e-02 -5.2518297e-02]
 [ 3.8897421e-02  1.7513730e-02  5.5166967e-03  2.7475581e-02
  -8.7101680e-01 -4.8838761e-01 -1.4220490e-02 -2.0065597e-04]
 [ 1.9846077e-03  1.2719726e-02 -6.3580841e-02 -4.8812702e-02
  -4.8873940e-01  8.6812007e-01  2.2870656e-02  1.9681510e-02]
 [-3.5470169e-02 -2.8133402e-02 -3.8467539e-03  1.6179692e-02
  -2.3181585e-03 -2.7872058e-02  9.9642974e-01  6.3398473e-02]
 [ 2.4910964e-02 -1.4365249e-02 -2.3908408e-02  5.0128106e-02
   1.0715515e-02 -1.3633257e-02 -6.4141728e-02  9.9582821e-01]]",0
