,layer_from,layer_to,k_used,variance_threshold,residual_fro,rotation
0,0,1,5,,0.8044250011444092,"[[ 0.99897563 -0.01177345  0.02501123 -0.01439609  0.03280549]
 [ 0.01436145  0.98761934 -0.00395035  0.15573451 -0.0115316 ]
 [-0.0234594   0.00140217  0.99881035  0.01566359 -0.03975182]
 [ 0.01158824 -0.15546307 -0.01360184  0.9870649   0.03485332]
 [ 0.03401082 -0.01728383 -0.03939148  0.03157494 -0.9979959 ]]"
1,1,2,5,,0.8249291181564331,"[[ 9.8413157e-01  1.7537065e-01  9.1121467e-03 -7.5740111e-03
  -2.4287291e-02]
 [-1.7099854e-01  9.6838808e-01 -8.5848577e-02 -1.4121769e-01
   7.5310744e-02]
 [-2.9265182e-02  1.3570511e-01  8.9656609e-01  4.2059058e-01
  -7.4087724e-04]
 [ 5.9343362e-03 -9.2328221e-02  4.3441477e-01 -8.9580345e-01
   1.6131671e-02]
 [-3.6782689e-02  6.7300692e-02 -3.4410311e-04 -2.5296316e-02
  -9.9673349e-01]]"
2,2,3,5,,0.7586848139762878,"[[ 0.99745095  0.05895832 -0.00497195 -0.02626661 -0.03001404]
 [-0.05594588  0.99546814 -0.01785819  0.04542024  0.05942526]
 [ 0.00250268  0.02011436  0.99726963 -0.0687755   0.01766997]
 [ 0.02836284 -0.04129815  0.0698404   0.9960605  -0.02181429]
 [ 0.03392525 -0.05879638 -0.01522598  0.01950719  0.9973864 ]]"
3,3,4,5,,0.7379704117774963,"[[ 0.9934338   0.10745738 -0.00638524 -0.03282481 -0.02058791]
 [-0.10748412  0.9935052  -0.03015207  0.01525803 -0.01589359]
 [ 0.01012089  0.02813501  0.9799998   0.1958129   0.0190753 ]
 [ 0.03241111 -0.01795362 -0.19494888  0.97961724 -0.03117881]
 [ 0.01958158  0.01692326 -0.02540833  0.02640142  0.9989933 ]]"
4,4,5,5,,0.6963329911231995,"[[ 9.9674881e-01  5.8062114e-02  7.3919711e-03 -2.7136367e-02
  -4.8265610e-02]
 [-5.5815257e-02  9.9293715e-01 -9.2627011e-02  4.8792437e-02
   1.9650500e-04]
 [-1.5428451e-02  9.3978502e-02  9.9410337e-01 -4.2820394e-02
  -2.9240927e-02]
 [ 2.7731463e-02 -4.3093067e-02  4.6493176e-02  9.9707013e-01
  -3.2610137e-02]
 [ 4.8676353e-02  3.9584595e-03  3.1025570e-02  3.0006917e-02
   9.9787372e-01]]"
5,5,6,5,,0.7010334730148315,"[[ 9.9166220e-01 -1.2462648e-01  1.0449422e-02 -3.1062249e-02
  -4.3438855e-04]
 [ 1.2488685e-01  9.9171191e-01  2.4229856e-02  1.6153786e-02
   7.9167914e-03]
 [-7.4115703e-03 -2.6239280e-02  9.7977197e-01  1.9825016e-01
   6.5629318e-04]
 [ 3.0873602e-02 -1.5130232e-02 -1.9835389e-01  9.7937989e-01
   1.6990179e-02]
 [ 1.0778171e-03  7.6323701e-03 -2.5402373e-03  1.6914327e-02
  -9.9982399e-01]]"
6,6,7,5,,0.6922885179519653,"[[ 9.9769205e-01 -5.3356938e-02 -3.1266652e-02  2.8021913e-02
  -9.7740453e-04]
 [ 5.0448090e-02  9.9582213e-01 -5.9609771e-02  3.4618616e-02
   3.2272983e-02]
 [ 4.1147027e-02  6.5398857e-02  9.5933950e-01 -2.7074176e-01
  -1.9914078e-02]
 [ 1.9293355e-02  1.4764090e-02 -2.7216578e-01 -9.6100754e-01
   4.2428482e-02]
 [-6.5318355e-04 -3.1565491e-02  3.2598045e-02  3.4348357e-02
   9.9837905e-01]]"
7,7,8,5,,0.7699199318885803,"[[ 0.9977811   0.04713556 -0.02446324  0.03658215  0.01656301]
 [-0.04850557  0.99718684  0.02362255  0.05182804  0.00464303]
 [ 0.03057661 -0.0135442   0.98631537 -0.16117321  0.00931134]
 [-0.02986511 -0.05654517  0.16083361  0.98464286  0.0228406 ]
 [-0.01591082 -0.00399483 -0.01256763 -0.02184554  0.9995478 ]]"
8,8,9,5,,0.9528633952140808,"[[ 0.99965805  0.00492931 -0.009929    0.01919298  0.01388047]
 [-0.00625045  0.99823886 -0.01277243  0.05709193  0.00757416]
 [ 0.01368125  0.02502408  0.9753806  -0.21860018  0.00578096]
 [-0.0161701  -0.0529437   0.21989654  0.97393245 -0.00603754]
 [-0.01400733 -0.00809485 -0.0040771   0.00644607  0.99984   ]]"
9,9,10,5,,0.9389535188674927,"[[ 9.9912506e-01  7.5705391e-03 -3.2409565e-03 -1.5976366e-03
  -4.0972639e-02]
 [-8.1881033e-03  9.9520248e-01  9.3774453e-02 -1.4078331e-02
  -2.2652222e-02]
 [-5.0504897e-03  8.9273252e-02 -9.7985101e-01 -1.7720585e-01
  -2.2245850e-02]
 [ 8.8997663e-04  3.0505780e-02 -1.7525402e-01  9.8404604e-01
   2.8303249e-03]
 [ 4.0691309e-02  2.4786765e-02 -1.9336266e-02 -7.1212347e-03
   9.9865168e-01]]"
10,10,11,5,,0.9522693157196045,"[[ 9.6529663e-01 -2.5438508e-01  2.3891520e-02  2.4230696e-02
  -4.8298515e-02]
 [ 2.5168309e-01  9.6383345e-01  8.5267611e-02 -1.6151464e-02
  -1.2219673e-02]
 [-4.6144657e-02 -7.4486524e-02  9.9307537e-01  7.8251548e-02
   5.6190329e-04]
 [-8.2718546e-04  2.6353754e-02 -7.3449194e-02  9.5466435e-01
   2.8727341e-01]
 [ 5.2230727e-02 -8.4026493e-03  2.3770610e-02 -2.8573534e-01
   9.5655197e-01]]"
