,layer_from,layer_to,k_used,variance_threshold,residual_fro,rotation
0,0,1,6,0.9,0.8915980458259583,"[[ 0.9982188  -0.01193032  0.02498371 -0.01611656  0.03085046 -0.03976311]
 [ 0.01408955  0.9875596  -0.00396029  0.15510707 -0.0122264  -0.01743773]
 [-0.02343863  0.00140771  0.9988107   0.015715   -0.03970312  0.00156325]
 [ 0.01019164 -0.15576124 -0.0136522   0.9838644   0.03126886 -0.08050573]
 [ 0.03612031 -0.01685931 -0.03931291  0.0363305  -0.9925059   0.10236073]
 [-0.03745241 -0.00598696 -0.00230988 -0.07826826 -0.10619201 -0.99053186]]"
1,1,2,6,0.9,0.8938456773757935,"[[ 0.98404384  0.17549014  0.00946991 -0.00763636 -0.02530158  0.00853045]
 [-0.1709113   0.9682688  -0.08620536 -0.14115566  0.07632182 -0.007965  ]
 [-0.02902954  0.13535252  0.8953994   0.42075786  0.00262801 -0.0453083 ]
 [ 0.00611836 -0.09259443  0.43356317 -0.8956728   0.01857592 -0.02893166]
 [-0.03601721  0.06615767 -0.00412065 -0.02475267 -0.98582995 -0.14776815]
 [-0.01642152  0.01969122  0.05239177 -0.01171285 -0.14602065  0.98749095]]"
2,2,3,6,0.9,0.8269988894462585,"[[ 0.99739206  0.05907818 -0.0050221  -0.02619751 -0.03029503 -0.0094686 ]
 [-0.05583553  0.99524045 -0.01776716  0.04529264  0.05994862  0.02044221]
 [ 0.0023837   0.02035009  0.99716234 -0.06863283  0.01709782 -0.01564482]
 [ 0.0284601  -0.0414948   0.06992397  0.9959459  -0.02135005  0.01465875]
 [ 0.03352764 -0.05799123 -0.01556738  0.01997492  0.99548906 -0.06223501]
 [ 0.01232187 -0.02252255  0.0139561  -0.01564174  0.06117062  0.9975769 ]]"
3,3,4,7,0.9,0.9226276278495789,"[[ 9.9330497e-01  1.0763837e-01 -6.3327136e-03 -3.2157432e-02
  -1.9463465e-02 -1.7449541e-02 -1.3468642e-03]
 [-1.0748524e-01  9.9343401e-01 -3.0091569e-02  1.5170619e-02
  -1.6100900e-02  1.0812412e-02 -4.9077603e-03]
 [ 1.0253096e-02  2.7925964e-02  9.7991872e-01  1.9513693e-01
   1.7896399e-02  2.0044820e-02  8.5921772e-03]
 [ 3.2739293e-02 -1.8462257e-02 -1.9508523e-01  9.7782534e-01
  -3.4268443e-02  5.6647498e-02  1.8073029e-03]
 [ 1.9966573e-02  1.6173705e-02 -2.5546985e-02  2.4118846e-02
   9.9487758e-01  9.1117240e-02  4.6485933e-03]
 [ 1.4696918e-02 -9.9773696e-03 -5.9721847e-03 -6.2556945e-02
  -8.9711905e-02  9.9371624e-01 -1.4664982e-02]
 [ 7.8591832e-04  4.5932001e-03 -8.1934761e-03 -4.4429959e-03
  -6.1385278e-03  1.3906580e-02  9.9983013e-01]]"
4,4,5,7,0.9,0.9075961709022522,"[[ 9.95970309e-01  5.76074943e-02  7.37981172e-03 -2.64447797e-02
  -4.96968105e-02  1.36955343e-02  3.62413041e-02]
 [-5.64089380e-02  9.92565811e-01 -9.26702991e-02  4.94287275e-02
  -9.44366562e-04  1.01014171e-02  2.22988073e-02]
 [-1.53917726e-02  9.38999280e-02  9.93786037e-01 -4.18010093e-02
  -2.91477367e-02  2.57009510e-02 -8.81594699e-03]
 [ 2.78968997e-02 -4.24284749e-02  4.81024943e-02  9.90898907e-01
  -3.25218812e-02 -1.09771952e-01  1.09265940e-02]
 [ 4.62837480e-02  2.59728893e-03  3.11996732e-02  3.12249418e-02
   9.93254662e-01  2.14098971e-02  9.42842066e-02]
 [ 7.17348419e-03  1.59702860e-02  2.07709335e-02 -1.10602528e-01
   1.54559435e-02 -9.89497423e-01  8.76644924e-02]
 [-4.06500474e-02 -2.48058494e-02  5.32170990e-03 -4.63081338e-03
  -9.39597115e-02  8.62345845e-02  9.90665257e-01]]"
5,5,6,7,0.9,0.8415965437889099,"[[ 9.90798473e-01 -1.24828249e-01  1.10143982e-02 -3.06778383e-02
  -3.46956804e-04 -1.23517662e-02  3.90025750e-02]
 [ 1.24364875e-01  9.91490781e-01  2.46879179e-02  1.64455734e-02
   7.50457728e-03 -1.85147151e-02  1.41535029e-02]
 [-6.51596673e-03 -2.57409774e-02  9.78746891e-01  1.97694868e-01
   2.65453220e-03  4.04769965e-02 -2.49151625e-02]
 [ 3.12200896e-02 -1.51069975e-02 -1.98456764e-01  9.79250908e-01
   1.62709374e-02  1.32720394e-03 -1.45984655e-02]
 [ 1.70830637e-03  9.53311473e-03 -5.83020551e-03  1.57193653e-02
  -9.85622823e-01  1.62064180e-01  4.36806343e-02]
 [ 1.34093212e-02  1.62305739e-02 -3.76823284e-02 -1.14705786e-02
   1.63383618e-01  9.85197961e-01  2.63798367e-02]
 [-4.06438187e-02 -1.08990548e-02  2.20150761e-02  1.98521204e-02
   3.90544273e-02 -3.13778520e-02  9.97417033e-01]]"
6,6,7,7,0.9,0.8556511402130127,"[[ 9.9740362e-01 -5.3370681e-02 -3.1451892e-02  2.8107252e-02
   3.5396774e-04  2.3571324e-02  1.6540873e-03]
 [ 5.0380491e-02  9.9581063e-01 -5.9639387e-02  3.4628268e-02
   3.2626446e-02  1.5220176e-03  5.5787043e-04]
 [ 4.1264921e-02  6.5430373e-02  9.5930362e-01 -2.7074346e-01
  -2.0153020e-02  4.9088444e-03  4.5184288e-03]
 [ 1.9306790e-02  1.4757987e-02 -2.7215642e-01 -9.6101093e-01
   4.2331532e-02 -1.2208070e-03 -2.2041190e-03]
 [ 9.7495227e-05 -3.1631410e-02  3.3231009e-02  3.4078520e-02
   9.9432373e-01 -8.4940173e-02 -2.8968820e-02]
 [-2.3824664e-02 -3.2388219e-03 -1.3419857e-03  2.3437638e-03
   8.4501304e-02  9.9601150e-01 -1.5338373e-02]
 [-2.1855859e-03 -1.6972700e-03 -3.9092079e-03  6.2569503e-05
   3.0282790e-02  1.2758914e-02  9.9944842e-01]]"
7,7,8,8,0.9,0.9859363436698914,"[[ 9.95013058e-01  4.63395305e-02 -2.34953091e-02  3.61478850e-02
   1.68655161e-02 -5.16899861e-04 -3.58611569e-02 -6.61239624e-02]
 [-4.89323959e-02  9.96978760e-01  2.37099100e-02  5.17934710e-02
   4.84748930e-03 -1.05256252e-02 -1.31869419e-02 -9.27934889e-03]
 [ 3.11561674e-02 -1.35055725e-02  9.85976636e-01 -1.60995618e-01
   9.48955677e-03 -1.42939799e-02  3.37676262e-03  2.17139721e-02]
 [-3.03567611e-02 -5.64044043e-02  1.61229655e-01  9.84271288e-01
   2.27116495e-02  1.72536317e-02  8.98301322e-03 -1.47591280e-02]
 [-1.54271005e-02 -3.92644340e-03 -1.26716765e-02 -2.15967242e-02
   9.97855604e-01  3.88293900e-02 -3.21015455e-02  2.94205416e-02]
 [-6.39457663e-04  1.21206306e-02  1.32392570e-02 -2.09484138e-02
  -3.07234544e-02  9.83016670e-01  1.41376868e-01 -1.09477974e-01]
 [ 2.57930756e-02  1.17011610e-02 -4.99259913e-03 -6.78329729e-03
   4.13813069e-02 -1.53590500e-01  9.78908956e-01 -1.24746569e-01]
 [ 6.89845532e-02  1.49310930e-02 -1.94939431e-02  1.87060703e-02
  -2.67216861e-02  8.92601907e-02  1.38446242e-01  9.83076572e-01]]"
8,8,9,8,0.9,0.973097562789917,"[[ 9.9937624e-01  4.7636013e-03 -9.8601030e-03  1.8608121e-02
   1.8133081e-02  1.8714277e-02 -3.9933533e-03 -9.2688343e-03]
 [-6.5682880e-03  9.9793839e-01 -1.2686167e-02  5.6448981e-02
   1.1124521e-02  1.2098066e-02 -2.4140519e-03 -2.1270636e-02]
 [ 1.4119344e-02  2.5327839e-02  9.7519022e-01 -2.1763350e-01
  -3.7331521e-04 -2.1363376e-02  1.5112705e-02  1.0680203e-02]
 [-1.7428007e-02 -5.3630173e-02  2.2027531e-01  9.7100335e-01
   1.5331045e-02  6.8555944e-02 -1.5694279e-02 -1.6436243e-02]
 [-5.3552175e-03 -4.1909390e-03 -5.7993494e-03  2.6766077e-02
   8.3608162e-01 -5.4764235e-01  1.5706684e-02  3.5265584e-03]
 [-2.4444738e-02 -1.2923927e-02  4.0841820e-03 -7.0306756e-02
   5.4785711e-01  8.3243287e-01 -2.3466852e-02 -2.5159959e-02]
 [ 2.4359282e-03 -4.0003198e-04 -1.0659200e-02  1.5412738e-02
  -7.2206964e-04  2.7886780e-02  9.9698299e-01 -6.9924697e-02]
 [ 8.2870685e-03  1.9844795e-02 -7.8033549e-03  1.8932860e-02
   1.1482912e-02  2.6697341e-02  6.8782650e-02  9.9676609e-01]]"
9,9,10,9,0.9,1.2425755262374878,"[[ 9.96795356e-01  7.87396263e-03 -3.58207221e-03 -3.76845663e-03
  -3.64267454e-02  2.26721279e-02  3.27812135e-02 -3.05148754e-02
  -4.96334508e-02]
 [-8.83822516e-03  9.94774342e-01  9.31800380e-02 -1.37733053e-02
  -2.06883568e-02 -5.68649557e-05  2.97679249e-02  1.25055602e-02
   1.76423369e-03]
 [-4.93193790e-03  8.85541514e-02 -9.77473915e-01 -1.76351219e-01
  -3.44495140e-02 -6.54415116e-02 -2.37611146e-03 -1.01361834e-02
  -1.01336441e-03]
 [ 5.68682444e-05  3.12532485e-02 -1.75533280e-01  9.81903255e-01
   7.82202650e-03  2.27324404e-02 -1.22167869e-02 -5.06033711e-02
  -2.80972756e-02]
 [ 4.10523638e-02  2.07480248e-02 -5.41423867e-03 -1.70716736e-03
   9.25251424e-01 -3.74699712e-01 -1.87937152e-02 -4.82153706e-03
  -3.13919112e-02]
 [-5.09186322e-03  1.20149655e-02 -6.82089999e-02 -3.30982208e-02
   3.75273287e-01  9.20206666e-01  4.21251282e-02  2.83626318e-02
   6.23897314e-02]
 [-3.00448928e-02 -2.98212953e-02 -5.06520132e-03  1.55132683e-02
   3.16144433e-03 -4.78559956e-02  9.97134209e-01  3.68382260e-02
   2.80570239e-03]
 [ 2.64675263e-02 -8.79306626e-03 -1.76885817e-02  4.51071262e-02
  -7.50690140e-03 -1.78278629e-02 -3.74152958e-02  9.91578102e-01
  -1.08964950e-01]
 [ 5.46106137e-02 -1.38300576e-03 -4.13396070e-03  3.44770923e-02
   3.25144175e-03 -6.99885339e-02 -8.95396061e-03  1.04101419e-01
   9.89941299e-01]]"
