layer_from,layer_to,k_used,variance_threshold,mean_angle,max_angle,angles,boot_id
0,1,5,,0.4516518712043762,0.6182000041007996,[0.3693068  0.38570637 0.41282    0.47222614 0.6182    ],0
1,2,5,,0.610857367515564,0.7094096541404724,[0.51799965 0.573669   0.58293563 0.67027277 0.70940965],0
2,3,5,,0.574195921421051,0.757610559463501,[0.4746257  0.5250478  0.5359834  0.57771194 0.75761056],0
3,4,5,,0.4814949631690979,0.5791807770729065,[0.40235278 0.44407636 0.48626557 0.49559945 0.5791808 ],0
4,5,5,,0.5041632652282715,0.6798432469367981,[0.42349517 0.45070377 0.45861766 0.5081565  0.67984325],0
5,6,5,,0.5181155800819397,0.7525157928466797,[0.42887145 0.46389255 0.46808392 0.4772141  0.7525158 ],0
6,7,5,,0.5124317407608032,0.6203855872154236,[0.43922356 0.4575823  0.46753615 0.57743114 0.6203856 ],0
7,8,5,,0.5921257138252258,0.7942756414413452,[0.46592128 0.5490044  0.5618655  0.5895616  0.79427564],0
8,9,5,,0.6932507753372192,0.9883727431297302,[0.545742   0.61204463 0.6197395  0.7003548  0.98837274],0
9,10,5,,0.576496422290802,0.8569318056106567,[0.42680174 0.45795575 0.5333565  0.60743624 0.8569318 ],0
10,11,5,,0.7413158416748047,1.3492913246154785,[0.4493693 0.4589354 0.6105951 0.8383882 1.3492913],0
0,1,5,,0.4522036612033844,0.6020370125770569,[0.38585922 0.3904826  0.42324072 0.4593986  0.602037  ],1
1,2,5,,0.6002976298332214,0.6895939707756042,[0.51003885 0.5537092  0.5866155  0.66153044 0.689594  ],1
2,3,5,,0.5752626657485962,0.7495067715644836,[0.4744077 0.5257202 0.5469259 0.5797527 0.7495068],1
3,4,5,,0.4775179326534271,0.583193302154541,[0.39392483 0.44016495 0.4737468  0.4965598  0.5831933 ],1
4,5,5,,0.524440586566925,0.7302640676498413,[0.4358419  0.45893165 0.4951049  0.5020604  0.73026407],1
5,6,5,,0.5378382802009583,0.8226043581962585,[0.43617904 0.46118882 0.47320276 0.4960163  0.82260436],1
6,7,5,,0.515640139579773,0.6029064655303955,[0.43713266 0.4519527  0.51003605 0.5761727  0.60290647],1
7,8,5,,0.5872517824172974,0.81658935546875,[0.44173956 0.5240296  0.5676262  0.58627427 0.81658936],1
8,9,5,,0.6976167559623718,1.0674294233322144,[0.5596852  0.5891721  0.6036934  0.66810346 1.0674294 ],1
9,10,5,,0.5809170603752136,0.8308420181274414,[0.42521745 0.48078746 0.5262901  0.6414484  0.830842  ],1
10,11,5,,0.7601290941238403,1.3817720413208008,[0.4599411  0.5223048  0.651858   0.78476965 1.381772  ],1
0,1,5,,0.45198917388916016,0.6189131140708923,[0.36726245 0.38962373 0.41084212 0.47330448 0.6189131 ],2
1,2,5,,0.6097452044487,0.712354302406311,[0.5179774  0.56786305 0.58310324 0.6674281  0.7123543 ],2
2,3,5,,0.5724489092826843,0.7540913224220276,[0.47533327 0.5252583  0.5328975  0.5746645  0.7540913 ],2
