layer_from,layer_to,k_used,variance_threshold,mean_angle,max_angle,angles,boot_id
0,1,6,0.9,0.4526388645172119,0.6290035843849182,[0.34184074 0.37965134 0.4095271  0.46535882 0.49045157 0.6290036 ],0
1,2,6,0.9,0.6108460426330566,0.7413161993026733,[0.50746936 0.5408671  0.582699   0.61646086 0.6762638  0.7413162 ],0
2,3,7,0.9,0.5795406699180603,0.7595177292823792,"[0.46712905 0.4853789  0.5051913  0.51626366 0.62052214 0.70278144
 0.7595177 ]",0
3,4,7,0.9,0.47767356038093567,0.5886397957801819,"[0.3912115  0.42309803 0.43762812 0.4744591  0.49258825 0.5360902
 0.5886398 ]",0
4,5,7,0.9,0.5413638353347778,0.8420832753181458,"[0.4132741  0.43285626 0.4546265  0.49368972 0.5356495  0.6173673
 0.8420833 ]",0
5,6,8,0.9,0.6135334372520447,1.51082181930542,"[0.41408667 0.4539774  0.46072933 0.46396792 0.48050773 0.5369907
 0.58718574 1.5108218 ]",0
6,7,9,0.9,0.5217809677124023,0.7282309532165527,"[0.40489975 0.42432043 0.43559968 0.45555744 0.458926   0.52911264
 0.57433355 0.6850482  0.72823095]",0
7,8,9,0.9,0.620836615562439,1.133320689201355,"[0.45545012 0.4838473  0.49870288 0.53431845 0.5732988  0.59917897
 0.6222398  0.68717253 1.1333207 ]",0
8,9,9,0.9,0.7531630396842957,1.5417945384979248,"[0.47314873 0.54374677 0.5847083  0.60934854 0.6284937  0.6546427
 0.7029162  1.0396681  1.5417945 ]",0
9,10,8,0.9,0.6096560955047607,1.0701408386230469,"[0.36093658 0.42485797 0.45316735 0.47657862 0.57171696 0.68039715
 0.8394536  1.0701408 ]",0
10,11,7,0.9,0.6827357411384583,1.4196875095367432,"[0.42156753 0.4507418  0.45804027 0.5807312  0.616915   0.8314664
 1.4196875 ]",0
0,1,6,0.9,0.4554067552089691,0.6175738573074341,[0.36526358 0.38528788 0.41537404 0.4557606  0.49318057 0.61757386],1
1,2,6,0.9,0.6072897911071777,0.7276071310043335,[0.504767   0.53485054 0.58466756 0.6104271  0.68141943 0.72760713],1
2,3,7,0.9,0.6333327293395996,0.9485296607017517,"[0.46569967 0.4975392  0.5223694  0.5654555  0.68525845 0.74847746
 0.94852966]",1
3,4,7,0.9,0.5220535397529602,0.7880101799964905,"[0.38085562 0.42648947 0.4487597  0.48973864 0.5246914  0.5958299
 0.7880102 ]",1
4,5,7,0.9,0.5423165559768677,0.812264621257782,"[0.4201072  0.43192902 0.47678918 0.494553   0.544428   0.6161449
 0.8122646 ]",1
5,6,8,0.9,0.6287451386451721,1.5633862018585205,"[0.41449592 0.4304594  0.4589642  0.46806356 0.49404946 0.5772533
 0.62328905 1.5633862 ]",1
6,7,8,0.9,0.5277247428894043,0.7676905989646912,"[0.4205959  0.42311674 0.44816253 0.46411908 0.48060688 0.556004
 0.6615024  0.7676906 ]",1
7,8,7,0.9,0.5818909406661987,0.8154459595680237,"[0.4320607  0.5023283  0.5287402  0.5438399  0.58188003 0.6689412
 0.81544596]",1
8,9,7,0.9,0.6832801103591919,1.0184872150421143,"[0.51503754 0.5597636  0.58705497 0.6045064  0.7028339  0.7952768
 1.0184872 ]",1
9,10,6,0.9,0.5743489861488342,0.8780324459075928,[0.38960144 0.4694295  0.4795699  0.5006547  0.72880596 0.87803245],1
10,11,6,0.9,0.7343743443489075,1.3770447969436646,[0.43909726 0.4845592  0.55607253 0.69181675 0.85765576 1.3770448 ],1
0,1,6,0.9,0.45398393273353577,0.6325337886810303,[0.34389132 0.38175976 0.40898547 0.4647283  0.49200502 0.6325338 ],2
1,2,6,0.9,0.6104132533073425,0.7429792881011963,[0.5084297  0.5388473  0.5828516  0.6151196  0.67425203 0.7429793 ],2
2,3,7,0.9,0.576549232006073,0.7542107701301575,"[0.4642401  0.48770344 0.5013775  0.5135811  0.6152805  0.6994514
 0.75421077]",2
3,4,7,0.9,0.4761259853839874,0.5866414308547974,"[0.39183208 0.4186459  0.43791032 0.47135165 0.49230826 0.5341925
 0.58664143]",2
4,5,7,0.9,0.5385318994522095,0.8482963442802429,"[0.41194868 0.42861453 0.4512601  0.48357263 0.5335962  0.6124347
 0.84829634]",2
5,6,8,0.9,0.6051371693611145,1.470646858215332,"[0.40875143 0.4502179  0.45617738 0.46074247 0.47708106 0.5317803
 0.58570015 1.4706469 ]",2
6,7,9,0.9,0.5168641805648804,0.7204532027244568,"[0.39960143 0.4213567  0.4359215  0.4485977  0.45764056 0.5168887
 0.57941705 0.6719008  0.7204532 ]",2
7,8,9,0.9,0.6205461621284485,1.1364389657974243,"[0.45626804 0.48841897 0.4947298  0.5355225  0.5716302  0.59533596
 0.6307022  0.67586875 1.136439  ]",2
8,9,9,0.9,0.7317390441894531,1.3867225646972656,"[0.47379082 0.53477126 0.5654501  0.601071   0.61269957 0.6575407
 0.72131824 1.032287   1.3867226 ]",2
9,10,8,0.9,0.5865491628646851,0.9946961402893066,"[0.35716745 0.4288455  0.4548192  0.47833863 0.5164885  0.6881632
 0.7738746  0.99469614]",2
10,11,7,0.9,0.6774269342422485,1.4126802682876587,"[0.42382386 0.44306585 0.4518271  0.5704597  0.61374664 0.8263856
 1.4126803 ]",2
0,1,6,0.9,0.4557340443134308,0.6326279640197754,[0.34116727 0.3836015  0.41019735 0.46845487 0.49835545 0.63262796],3
1,2,7,0.9,0.6070040464401245,0.7484399676322937,"[0.5040451  0.53846097 0.57594323 0.5879212  0.61029065 0.6839269
 0.74843997]",3
2,3,7,0.9,0.5807576179504395,0.7600969076156616,"[0.4640935  0.48720664 0.5096325  0.51731586 0.6219484  0.7050095
 0.7600969 ]",3
3,4,7,0.9,0.47694024443626404,0.5911217331886292,"[0.38660306 0.4220347  0.44330505 0.4693507  0.48895106 0.53721565
 0.59112173]",3
4,5,7,0.9,0.5711892247200012,1.0382100343704224,"[0.41309714 0.4354536  0.4523179  0.5015717  0.5437559  0.6139183
 1.03821   ]",3
5,6,8,0.9,0.6049549579620361,1.3828030824661255,"[0.4176601  0.44836524 0.46154752 0.4696528  0.4871198  0.57100165
 0.6014892  1.3828031 ]",3
6,7,9,0.9,0.5465375781059265,0.8749443888664246,"[0.41387728 0.43105024 0.44244412 0.45324317 0.45831865 0.5291645
 0.58047086 0.73532516 0.8749444 ]",3
7,8,9,0.9,0.6273148655891418,1.1448662281036377,"[0.45656785 0.4813049  0.5028033  0.5353767  0.5642489  0.6064988
 0.63347816 0.7206893  1.1448662 ]",3
8,9,8,0.9,0.7281163334846497,1.4357233047485352,"[0.4857111  0.53241086 0.56796104 0.6114941  0.64188    0.7173727
 0.83237773 1.4357233 ]",3
9,10,8,0.9,0.6297311782836914,1.1816164255142212,"[0.35479102 0.42050758 0.45414358 0.4860335  0.57256484 0.6705937
 0.8975985  1.1816164 ]",3
10,11,7,0.9,0.6807023286819458,1.4149165153503418,"[0.41637745 0.43502894 0.45349535 0.55948293 0.6491176  0.8364981
 1.4149165 ]",3
0,1,6,0.9,0.4585219919681549,0.6244573593139648,[0.35566622 0.38498056 0.41350082 0.46571094 0.5068162  0.62445736],4
1,2,7,0.9,0.6057896614074707,0.7439457774162292,"[0.50506693 0.535936   0.575237   0.5908739  0.6081891  0.681279
 0.7439458 ]",4
2,3,7,0.9,0.6443260908126831,1.019873023033142,"[0.4717938  0.49173343 0.5131654  0.5667643  0.68702    0.7599323
 1.019873  ]",4
3,4,7,0.9,0.5217076539993286,0.8205274343490601,"[0.37646875 0.4223668  0.4484898  0.47673815 0.5168705  0.5904923
 0.82052743]",4
4,5,7,0.9,0.6054406762123108,1.260648250579834,"[0.4099091  0.4391703  0.45351166 0.5018226  0.55596244 0.6170604
 1.2606483 ]",4
5,6,8,0.9,0.5633070468902588,1.070278525352478,"[0.41184923 0.44421536 0.46017185 0.4679863  0.48469302 0.5785532
 0.5887088  1.0702785 ]",4
6,7,8,0.9,0.5207347869873047,0.7550798654556274,"[0.41503552 0.42942467 0.43812686 0.4572777  0.48374414 0.5521256
 0.635064   0.75507987]",4
7,8,8,0.9,0.6041594743728638,1.0730222463607788,"[0.43345425 0.46845898 0.4927356  0.5444106  0.55239373 0.6076286
 0.66117215 1.0730222 ]",4
8,9,8,0.9,0.7311620712280273,1.4884765148162842,"[0.47998366 0.5401736  0.5607468  0.60029626 0.6099765  0.6858436
 0.8837998  1.4884765 ]",4
9,10,7,0.9,0.5712431073188782,0.9374536871910095,"[0.36423898 0.43051767 0.4595229  0.47991356 0.6176382  0.70941633
 0.9374537 ]",4
10,11,7,0.9,0.6789320707321167,1.415764570236206,"[0.4030934  0.44304582 0.46543226 0.5537772  0.6629633  0.80844796
 1.4157646 ]",4
0,1,6,0.9,0.45274052023887634,0.6156470775604248,[0.36100763 0.384373   0.40657103 0.45614696 0.49269727 0.6156471 ],5
1,2,6,0.9,0.6124947667121887,0.736762523651123,[0.5130429  0.53962064 0.5891265  0.6114164  0.6849995  0.7367625 ],5
2,3,7,0.9,0.5819724202156067,0.7680583000183105,"[0.4599353  0.4952449  0.50791585 0.5250178  0.62024283 0.69739157
 0.7680583 ]",5
3,4,7,0.9,0.47974488139152527,0.5907526612281799,"[0.39542446 0.4259288  0.44037113 0.4703615  0.49529243 0.5400831
 0.59075266]",5
4,5,7,0.9,0.5409712195396423,0.844845175743103,"[0.41435173 0.43126047 0.47995603 0.48804525 0.5294206  0.59891945
 0.8448452 ]",5
5,6,7,0.9,0.5279291868209839,0.8319255113601685,"[0.42374793 0.4368618  0.4532666  0.4772486  0.5023477  0.57010597
 0.8319255 ]",5
6,7,8,0.9,0.5666497349739075,0.9609302282333374,"[0.4226373  0.4360625  0.45417634 0.46748695 0.50331914 0.5888716
 0.6997138  0.9609302 ]",5
7,8,8,0.9,0.6612616777420044,1.294885516166687,"[0.44631502 0.47192666 0.5303055  0.5383609  0.5645457  0.63308984
 0.81066406 1.2948855 ]",5
8,9,7,0.9,0.6823915839195251,1.0518161058425903,[0.5198638 0.5372199 0.5922532 0.6121507 0.6671379 0.7962997 1.0518161],5
9,10,6,0.9,0.5689385533332825,0.8891700506210327,[0.36703247 0.46641353 0.48074958 0.48375347 0.7265123  0.88917005],5
10,11,6,0.9,0.7345017790794373,1.3892208337783813,[0.4517975  0.46969113 0.5353385  0.7117411  0.8492216  1.3892208 ],5
0,1,6,0.9,0.44909611344337463,0.6323366761207581,[0.3375176  0.38136744 0.40646538 0.46078673 0.47610298 0.6323367 ],6
1,2,6,0.9,0.6080690622329712,0.7434561848640442,[0.5079725  0.537629   0.5794579  0.610791   0.66910785 0.7434562 ],6
2,3,7,0.9,0.5751452445983887,0.7525169253349304,"[0.46355993 0.48765117 0.50265956 0.5178371  0.60923636 0.69255596
 0.7525169 ]",6
3,4,7,0.9,0.479147344827652,0.5876450538635254,"[0.39834082 0.4171206  0.44350958 0.4763122  0.5029066  0.5281965
 0.58764505]",6
4,5,7,0.9,0.5294644832611084,0.7610905766487122,"[0.42102125 0.43374282 0.4603957  0.4814894  0.53403974 0.61447185
 0.7610906 ]",6
5,6,8,0.9,0.5591443777084351,1.0757691860198975,"[0.41206598 0.4468018  0.45899218 0.460016   0.49073154 0.5496637
 0.5791147  1.0757692 ]",6
6,7,8,0.9,0.5242974758148193,0.820319652557373,"[0.39730245 0.4280026  0.4430714  0.4629119  0.46651468 0.56775546
 0.60850155 0.82031965]",6
7,8,8,0.9,0.614709198474884,1.0316276550292969,"[0.46108192 0.4997839  0.5138184  0.53340256 0.57664865 0.62527555
 0.6760349  1.0316277 ]",6
8,9,8,0.9,0.7314617037773132,1.451172113418579,"[0.4839212  0.54374665 0.60242057 0.6354252  0.6369827  0.70806885
 0.78995645 1.4511721 ]",6
9,10,8,0.9,0.6004218459129333,0.9765012264251709,"[0.37611613 0.42323637 0.46171534 0.48470518 0.5316554  0.5928658
 0.95657915 0.9765012 ]",6
10,11,7,0.9,0.6975736618041992,1.43073308467865,"[0.4377066  0.44941446 0.47625628 0.61751527 0.6379645  0.83342546
 1.4307331 ]",6
0,1,6,0.9,0.4463425576686859,0.626853346824646,[0.33934572 0.3817268  0.39665622 0.44900516 0.48446795 0.62685335],7
1,2,7,0.9,0.6063362956047058,0.7498525977134705,"[0.50341046 0.53571385 0.5746988  0.59203684 0.6076533  0.68098843
 0.7498526 ]",7
2,3,7,0.9,0.575143039226532,0.7603461146354675,"[0.45615777 0.48518082 0.4984405  0.5165528  0.61447126 0.6948523
 0.7603461 ]",7
3,4,7,0.9,0.47872790694236755,0.5928439497947693,"[0.39730075 0.42032972 0.4412001  0.4734827  0.49551973 0.53041846
 0.59284395]",7
4,5,7,0.9,0.543208122253418,0.8616830110549927,"[0.41496012 0.42862055 0.46728694 0.48722407 0.5338243  0.60885817
 0.861683  ]",7
5,6,8,0.9,0.5953400731086731,1.3127100467681885,"[0.41605753 0.4391306  0.45657137 0.4701747  0.49978504 0.5561855
 0.6121059  1.31271   ]",7
6,7,9,0.9,0.5619997978210449,0.9976171255111694,"[0.40904945 0.43533757 0.44019923 0.44332784 0.46146092 0.5217578
 0.59114474 0.7581034  0.9976171 ]",7
7,8,9,0.9,0.6513105034828186,1.1477563381195068,"[0.44657692 0.48659056 0.5113949  0.53102154 0.5568362  0.63362086
 0.67461115 0.8733857  1.1477563 ]",7
8,9,9,0.9,0.7350464463233948,1.4365798234939575,"[0.4847121  0.5316746  0.57349336 0.6175518  0.61865693 0.65377635
 0.7269855  0.9719876  1.4365798 ]",7
9,10,7,0.9,0.5655730962753296,0.8819935917854309,"[0.35775924 0.42792776 0.45587137 0.4868401  0.5998236  0.7487963
 0.8819936 ]",7
10,11,7,0.9,0.6963926553726196,1.442157506942749,"[0.4315407  0.44123542 0.45534375 0.5857564  0.6876785  0.83103627
 1.4421575 ]",7
0,1,6,0.9,0.44861331582069397,0.630348265171051,[0.34716132 0.3825862  0.40467244 0.4467538  0.48015815 0.63034827],8
1,2,6,0.9,0.6060084700584412,0.746013343334198,[0.5051664  0.5324031  0.5774068  0.6102903  0.66477054 0.74601334],8
2,3,7,0.9,0.5731410980224609,0.7509387731552124,"[0.46063322 0.4824704  0.5004273  0.51337874 0.6157446  0.6883948
 0.7509388 ]",8
3,4,7,0.9,0.4752051830291748,0.5972835421562195,"[0.39021614 0.41209677 0.4364001  0.46933964 0.49337882 0.52772105
 0.59728354]",8
4,5,7,0.9,0.5298749208450317,0.7685824632644653,"[0.41495138 0.42801008 0.46614334 0.47951707 0.5358695  0.6160504
 0.76858246]",8
5,6,8,0.9,0.5856884717941284,1.2864662408828735,"[0.41463074 0.4393281  0.45117494 0.45876303 0.49036866 0.5505871
 0.5941891  1.2864662 ]",8
6,7,8,0.9,0.5407178401947021,0.8766489028930664,"[0.41071388 0.4298102  0.43857047 0.45314163 0.47176692 0.6102748
 0.6348156  0.8766489 ]",8
