layer,total_components,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,k85,k90,k95,boot_id
0,90,0.2514263689517975,0.22147108614444733,0.19336384534835815,0.11714264750480652,0.07981783896684647,0.05405956879258156,0.034032005816698074,0.018597116693854332,0.007033753674477339,0.005881892517209053,5,6,7,0
1,90,0.30702924728393555,0.19388443231582642,0.1751919537782669,0.10304288566112518,0.07129920274019241,0.05377405136823654,0.02813774347305298,0.015470026060938835,0.009108333848416805,0.007024956401437521,5,6,9,0
2,90,0.27158892154693604,0.21474383771419525,0.1669749617576599,0.1075008288025856,0.07440420240163803,0.055331941694021225,0.027831556275486946,0.015439924784004688,0.01094195619225502,0.007775298785418272,6,7,10,0
3,90,0.2737998366355896,0.21995210647583008,0.1520744264125824,0.10013767331838608,0.07145149260759354,0.05827492102980614,0.025052327662706375,0.016084538772702217,0.015580170787870884,0.009206517599523067,6,7,12,0
4,90,0.26341965794563293,0.23178675770759583,0.1562236100435257,0.0961637869477272,0.07482126355171204,0.056697674095630646,0.02535845898091793,0.01658134162425995,0.011074107140302658,0.009359695017337799,6,7,12,0
5,90,0.24959097802639008,0.23195402324199677,0.1484517753124237,0.0976518988609314,0.07661907374858856,0.05740656703710556,0.02599724568426609,0.020442573353648186,0.014624068513512611,0.010120116174221039,6,8,13,0
6,90,0.2531340420246124,0.22165536880493164,0.14904963970184326,0.0907846987247467,0.08952467143535614,0.053769562393426895,0.025085583329200745,0.01637527532875538,0.012588181532919407,0.01077045314013958,6,9,15,0
7,90,0.2949760854244232,0.2207755297422409,0.1289755403995514,0.08362600207328796,0.07654549181461334,0.04656743258237839,0.0300957839936018,0.017194349318742752,0.01297233160585165,0.011615896597504616,6,9,15,0
8,90,0.3458322286605835,0.18641924858093262,0.12000659108161926,0.08132081478834152,0.07786907255649567,0.044044725596904755,0.024732138961553574,0.016713356599211693,0.01267903484404087,0.0098954439163208,6,9,15,0
9,90,0.3091401755809784,0.23292796313762665,0.12355203181505203,0.08814386278390884,0.06023930758237839,0.039230477064847946,0.027709774672985077,0.01458476297557354,0.012225460261106491,0.010812480933964252,6,9,15,0
10,90,0.37838107347488403,0.22103607654571533,0.11456328630447388,0.06739480048418045,0.050648901611566544,0.0374358706176281,0.025207147002220154,0.01181216724216938,0.010123380459845066,0.009441274218261242,6,8,14,0
11,90,0.5456966161727905,0.138433575630188,0.08483626693487167,0.05826515331864357,0.038431353867053986,0.023237444460392,0.0200478695333004,0.010932167991995811,0.007825878448784351,0.006537056062370539,5,7,13,0
0,90,0.24391011893749237,0.2243214249610901,0.19574342668056488,0.11871267110109329,0.0815625935792923,0.05485423654317856,0.03453686460852623,0.018698332831263542,0.011591563001275063,0.003977145068347454,5,6,7,1
1,90,0.29500171542167664,0.20036999881267548,0.17470493912696838,0.10644076019525528,0.07177577912807465,0.05370735749602318,0.028772735968232155,0.015808651223778725,0.012436380609869957,0.009349153377115726,6,6,9,1
2,90,0.260311484336853,0.21570709347724915,0.1737855225801468,0.10995471477508545,0.07550032436847687,0.055391885340213776,0.028498291969299316,0.01593753509223461,0.013766594231128693,0.010263871401548386,6,7,10,1
3,90,0.2651611566543579,0.2179122269153595,0.15724287927150726,0.10292137414216995,0.07344363629817963,0.05792620778083801,0.026431171223521233,0.023026207461953163,0.015916086733341217,0.010545407421886921,6,7,10,1
4,90,0.25701695680618286,0.22575223445892334,0.16229933500289917,0.10209471732378006,0.07466386258602142,0.05889955535531044,0.025797251611948013,0.01699056290090084,0.015680881217122078,0.011759446002542973,6,7,10,1
5,90,0.25650259852409363,0.22030159831047058,0.1571696698665619,0.10202746838331223,0.07755669206380844,0.05973706766963005,0.025747710838913918,0.017994502559304237,0.015224373899400234,0.01423884928226471,6,8,11,1
6,90,0.25138580799102783,0.2153475433588028,0.16005350649356842,0.09941257536411285,0.08054842054843903,0.06039625406265259,0.025323212146759033,0.0185514148324728,0.01480445172637701,0.012803235091269016,6,8,12,1
7,90,0.2982969880104065,0.21719782054424286,0.13960877060890198,0.09490378946065903,0.07089751213788986,0.050774216651916504,0.025480827316641808,0.01732037588953972,0.013884419575333595,0.013216408900916576,6,8,11,1
8,90,0.37245601415634155,0.18643850088119507,0.12233541905879974,0.08378206938505173,0.06582368910312653,0.04566138610243797,0.024668635800480843,0.013382652774453163,0.012804743833839893,0.011096552014350891,6,7,12,1
9,90,0.30704137682914734,0.28818368911743164,0.116642527282238,0.0645025372505188,0.06264976412057877,0.038020092993974686,0.02550070732831955,0.015575049445033073,0.013748140074312687,0.010235900059342384,6,7,11,1
10,90,0.5134603977203369,0.1777278482913971,0.09572496265172958,0.047198519110679626,0.04274195432662964,0.030214466154575348,0.017063522711396217,0.010383376851677895,0.009427133947610855,0.007532203570008278,5,6,10,1
11,90,0.6103759407997131,0.11932530254125595,0.07680186629295349,0.04115595668554306,0.038309596478939056,0.022728407755494118,0.017947828397154808,0.010495850816369057,0.008989082649350166,0.007842366583645344,5,6,10,1
0,90,0.25094345211982727,0.22151358425617218,0.19424262642860413,0.11695266515016556,0.08000745624303818,0.05391054227948189,0.03395448625087738,0.01862245425581932,0.00671056192368269,0.005827043671160936,5,6,7,2
1,90,0.3073740601539612,0.19409112632274628,0.17473044991493225,0.10314994305372238,0.07116492837667465,0.053799811750650406,0.02805946208536625,0.015480713918805122,0.008534369058907032,0.006817226763814688,5,6,9,2
2,90,0.26844844222068787,0.21452686190605164,0.16913412511348724,0.10801374167203903,0.07456941902637482,0.05539853125810623,0.02780330926179886,0.015417342074215412,0.009292983449995518,0.007833295501768589,6,7,10,2
3,90,0.27133116126060486,0.2193220853805542,0.1535339206457138,0.10059959441423416,0.07214157283306122,0.05803705006837845,0.024929432198405266,0.015589832328259945,0.014799853786826134,0.00884063821285963,6,8,12,2
4,90,0.2625930607318878,0.22986789047718048,0.15786822140216827,0.09637631475925446,0.07496416568756104,0.056901805102825165,0.02514387108385563,0.01650610938668251,0.009900469332933426,0.008718002587556839,6,7,12,2
5,90,0.24852757155895233,0.23138993978500366,0.15014241635799408,0.09599606692790985,0.07748729735612869,0.057221669703722,0.025898734107613564,0.020156817510724068,0.01447061263024807,0.009653991088271141,6,8,14,2
6,90,0.2551853656768799,0.217947319149971,0.14883270859718323,0.0898374542593956,0.08948135375976562,0.05430292710661888,0.024620678275823593,0.016322853043675423,0.012204400263726711,0.010258454829454422,6,9,15,2
