layer_from,layer_to,k_used,variance_threshold,residual_fro,rotation,boot_id
0,1,5,,1.019230604171753,"[[-0.9546633  -0.03366266  0.27904093 -0.09624576  0.01891535]
 [ 0.02496199  0.97796434  0.20660469  0.00632416 -0.01540177]
 [ 0.27518004 -0.20528883  0.9372029   0.06101018  0.00780661]
 [-0.10885473  0.00376355 -0.03216431  0.9927747   0.03873244]
 [ 0.02053238  0.01717449 -0.00817548 -0.0370509   0.99892133]]",0
1,2,5,,1.3520539999008179,"[[ 9.3950087e-01  2.0684531e-01  2.7082720e-01 -3.3417035e-02
  -9.4392588e-03]
 [-2.6457921e-01  9.4265896e-01  2.0123626e-01  2.9183047e-02
  -6.6523449e-03]
 [-2.1345793e-01 -2.6029354e-01  9.4054061e-01 -2.6566715e-03
   4.5378689e-02]
 [ 4.0594872e-02 -1.8223781e-02  7.2576986e-05  9.8875010e-01
   1.4280474e-01]
 [ 1.1123784e-02  2.2897646e-02 -3.9241444e-02 -1.4282103e-01
   9.8864257e-01]]",0
2,3,5,,1.2816205024719238,"[[ 0.9570884  -0.24975538  0.14453551  0.00365587 -0.02645893]
 [ 0.25202838  0.9631185   0.00345246  0.07664787  0.05475106]
 [-0.14182252  0.02358516  0.98388296  0.10014523  0.03571227]
 [-0.00628071 -0.08365167 -0.10366598  0.98225754  0.13185775]
 [ 0.01761575 -0.0497111  -0.01803508 -0.1387545   0.98875695]]",0
3,4,5,,1.0734708309173584,"[[ 0.98236376  0.1517005  -0.09640927 -0.02934201 -0.04233946]
 [-0.16140497  0.9795421  -0.06958059 -0.09756684 -0.00921943]
 [-0.08627202 -0.08983681 -0.9903849  -0.04970444 -0.03396628]
 [ 0.01256038  0.09697662 -0.06282322  0.98848385  0.09690475]
 [-0.03618259 -0.00302365  0.03247755  0.10024344 -0.99376965]]",0
4,5,5,,1.1315650939941406,"[[ 0.9887858  -0.12651144 -0.05476335 -0.01796402 -0.05455038]
 [ 0.12943691  0.9889293   0.00239603  0.06676992  0.02830057]
 [-0.05753345  0.0090637  -0.993795    0.04766387 -0.08189932]
 [ 0.02196837 -0.07494573  0.02594016  0.9705622   0.22635521]
 [-0.04190464  0.01773795  0.0932413   0.22573495 -0.96864814]]",0
5,6,5,,1.1709498167037964,"[[-0.5373748  -0.837058   -0.07916865 -0.06462718 -0.01086102]
 [ 0.8388796  -0.5425336   0.0171677   0.02531819  0.03166442]
 [ 0.06828692  0.06238782 -0.9790735  -0.16324353 -0.07881182]
 [-0.0533134  -0.01859933 -0.18500471  0.8204067   0.5380686 ]
 [-0.00199036 -0.02744324 -0.02501874  0.54356843 -0.8385406 ]]",0
6,7,5,,1.1433223485946655,"[[ 9.08759534e-01 -4.16044176e-01 -2.15841942e-02  2.32464056e-02
  -7.55632250e-03]
 [-4.09898400e-01 -8.98258865e-01 -8.71974528e-02 -1.08801156e-01
   7.53202438e-02]
 [-2.03043874e-02 -9.31917801e-02  9.94234800e-01  4.89918888e-02
  -1.05897285e-04]
 [-2.63458267e-02 -2.39679161e-02 -4.06548381e-02  7.69907534e-01
   6.35862470e-01]
 [-7.09438846e-02 -1.03822023e-01 -4.21320200e-02  6.26469612e-01
  -7.68081188e-01]]",0
7,8,5,,1.3231017589569092,"[[ 9.9954838e-01 -3.4904070e-04  2.9013939e-02 -3.9442023e-03
  -6.7337425e-03]
 [ 4.7545643e-03  9.8661309e-01 -1.5339518e-01 -5.0112713e-02
   2.3035429e-02]
 [-2.8866094e-02  1.5500006e-01  9.8630691e-01  7.8511201e-03
  -4.7736987e-02]
 [ 6.8483660e-03  1.7402992e-02  3.0829204e-02  6.1204952e-01
   7.8999686e-01]
 [-2.7344699e-04 -4.7608912e-02  4.3317284e-02 -7.8918117e-01
   6.1077833e-01]]",0
8,9,5,,1.5479594469070435,"[[ 0.9204796   0.3593425  -0.14480309  0.02200526  0.04623957]
 [-0.23446338  0.7917741   0.51355827  0.23289894  0.0116889 ]
 [ 0.27978733 -0.3973988   0.8264728  -0.19988273  0.20194753]
 [-0.12014778  0.29280415 -0.09828967 -0.9118162   0.24240603]
 [-0.07090639 -0.01750996 -0.15023933  0.27186772  0.9477245 ]]",0
9,10,5,,1.3082575798034668,"[[-1.26063615e-01  9.74975288e-01 -1.17196508e-01 -1.39404789e-01
  -1.90402940e-02]
 [ 9.61350858e-01  1.56520873e-01  2.14228466e-01  5.23000956e-02
  -5.17362989e-02]
 [-2.31795207e-01  9.12550688e-02  9.67868865e-01  3.28148156e-02
   9.82135534e-03]
 [-6.02196492e-02  1.26578659e-01 -6.00072481e-02  9.88201261e-01
   1.44537212e-02]
 [ 5.05680107e-02  2.39759758e-02  2.13857318e-04 -1.45783685e-02
   9.98326361e-01]]",0
