layer_from,layer_to,k_used,variance_threshold,residual_fro,rotation,boot_id
0,1,6,0.9,1.1201443672180176,"[[-0.9488414  -0.0311138   0.28135657 -0.09860897  0.01602929 -0.09792726]
 [ 0.02131023  0.97636515  0.20515321  0.00781908 -0.01357315  0.06263992]
 [ 0.27213988 -0.20662424  0.9359783   0.06221806  0.00928992  0.05686469]
 [-0.10248584  0.00653144 -0.02972064  0.98995453  0.03530924 -0.08552217]
 [ 0.02678494  0.01988658 -0.00580233 -0.03989743  0.9954687  -0.07939614]
 [-0.11817364 -0.05110102 -0.04217004  0.06886465  0.08525205  0.98470056]]",0
1,2,6,0.9,1.4834778308868408,"[[ 9.3906152e-01  2.0589072e-01  2.6852369e-01 -3.3982817e-02
   6.9144554e-04 -5.0122075e-02]
 [-2.6430732e-01  9.4249225e-01  2.0102304e-01  2.9432930e-02
  -4.9225795e-03 -2.3434462e-02]
 [-2.1349238e-01 -2.6077980e-01  9.3946534e-01 -2.7540352e-03
   5.0543491e-02 -3.5461243e-02]
 [ 3.9989430e-02 -1.8660413e-02 -1.1923481e-03  9.8808408e-01
   1.4743848e-01 -1.7077508e-03]
 [ 1.0284311e-02  2.5276795e-02 -3.4516733e-02 -1.4335606e-01
   9.6342796e-01  2.2208001e-01]
 [ 3.1956341e-02  1.8003089e-02  6.0801066e-02  3.3318643e-02
  -2.1791998e-01  9.7280961e-01]]",0
2,3,7,0.9,1.5336852073669434,"[[ 0.9531342  -0.25065303  0.14683188  0.00543545 -0.02361606 -0.02105838
  -0.07821841]
 [ 0.25023365  0.9628466   0.00453492  0.07645259  0.05499661 -0.00943242
  -0.03647379]
 [-0.14369015  0.02321795  0.9828954   0.10066349  0.03649998  0.0350084
   0.00629881]
 [-0.00527759 -0.08132751 -0.10810678  0.9717185   0.12103323  0.15009089
  -0.0160583 ]
 [ 0.01850975 -0.04773655 -0.02189127 -0.1480411   0.9791301   0.12759133
  -0.00283131]
 [ 0.03135527  0.02251357 -0.01227522 -0.13108325 -0.14684048  0.97782904
   0.05886211]
 [ 0.08317456  0.01267169  0.00440863  0.02562456  0.01336313 -0.05731973
   0.9943748 ]]",0
3,4,7,0.9,1.2616734504699707,"[[ 0.98156726  0.15210807 -0.09660203 -0.02953322 -0.04454334 -0.00837853
   0.0336203 ]
 [-0.16105008  0.97822344 -0.06870837 -0.09609785 -0.00434351  0.05621785
   0.00261409]
 [-0.08607193 -0.08967099 -0.99021304 -0.04998675 -0.03384541  0.01599974
  -0.01134299]
 [ 0.01249676  0.09829022 -0.06369188  0.9869088   0.09239484 -0.05739177
  -0.01750779]
 [-0.03513295 -0.00585401  0.03456386  0.10326704 -0.9824771   0.1451557
  -0.02326252]
 [ 0.02203414 -0.04685179  0.00969231  0.04973209  0.14834207  0.9828904
   0.08168945]
 [-0.03611336 -0.00329075 -0.0089468   0.01636744 -0.03237281 -0.07794688
   0.99559695]]",0
4,5,7,0.9,1.4533734321594238,"[[ 0.9836838  -0.12860823 -0.05655939 -0.01217945 -0.05608111 -0.00730046
   0.09633538]
 [ 0.12566093  0.9869599   0.00131573  0.07184847  0.02639619 -0.03118513
   0.05732746]
 [-0.05599917  0.01007827 -0.99326986  0.04475055 -0.08036229  0.0171467
  -0.03771931]
 [ 0.0248192  -0.07362466  0.02666954  0.9659111   0.22814028  0.04692331
  -0.07757664]
 [-0.0412772   0.0185823   0.09300619  0.22261597 -0.96659255  0.0680394
  -0.02850045]
 [-0.00343515  0.02345888  0.00448124 -0.04529342  0.05476449  0.98264307
   0.16964586]
 [-0.10539491 -0.05433657 -0.02885756  0.08996249 -0.01875336 -0.16205426
   0.9748847 ]]",0
5,6,8,0.9,1.874747395515442,"[[-5.3075790e-01 -8.1574613e-01 -6.7004271e-02 -6.5674648e-02
   1.7025849e-02 -8.6191155e-02 -3.0823639e-02 -1.8810256e-01]
 [ 8.4010637e-01 -5.3768671e-01  1.9928170e-02  2.4754681e-02
   3.8027842e-02 -3.9944187e-02 -5.4890459e-04 -3.2594219e-02]
 [ 7.0956148e-02  7.1085550e-02 -9.7393572e-01 -1.6318427e-01
  -6.8030328e-02 -4.1670196e-02 -1.1299026e-03 -9.1467343e-02]
 [-5.5551823e-02 -2.2281412e-02 -1.8700698e-01  8.1805104e-01
   5.3206235e-01 -1.6089054e-02  4.5829874e-02  8.2394011e-02]
 [ 9.3004443e-03  6.6121183e-03 -6.0087056e-03  5.4149944e-01
  -7.9106867e-01 -1.0780250e-01 -7.7787757e-02 -2.5129688e-01]
 [ 2.2680964e-02  1.2445683e-01  6.7125298e-02 -6.9131270e-02
   1.3560326e-01 -9.6565741e-01 -7.0856459e-02 -1.3714242e-01]
 [-3.3759378e-02 -7.4435756e-02 -2.3477454e-02  1.1379007e-02
  -1.6618256e-01 -1.4958420e-01  9.1449839e-01  3.2609737e-01]
 [ 5.1535312e-02  1.3721389e-01  8.0608398e-02 -3.3274923e-02
   1.9685256e-01  1.4996417e-01  3.8674146e-01 -8.7183845e-01]]",0
6,7,9,0.9,1.5778640508651733,"[[ 8.9934349e-01 -4.2515492e-01 -1.0570575e-02  2.6356021e-02
  -5.7576378e-03 -1.6906642e-04  7.8217790e-02  5.8872949e-02
  -1.0540274e-03]
 [-3.9869058e-01 -8.8561904e-01 -1.0182791e-01 -1.1118244e-01
   7.5665228e-02  2.8427670e-02 -1.5205775e-01 -6.4411052e-02
  -1.3806242e-02]
 [-7.7921264e-03 -7.6488636e-02  9.7167867e-01  3.9777603e-02
  -4.9055656e-03  1.3048798e-01 -1.6441864e-01 -5.8845859e-02
  -2.8276127e-02]
 [-2.0271538e-02 -1.6127544e-02 -4.8457261e-02  7.6538539e-01
   6.3135523e-01  8.5796028e-02 -2.8154330e-02 -5.8175035e-02
   3.1916577e-02]
 [-6.4906500e-02 -9.7450592e-02 -5.0310720e-02  6.2378800e-01
  -7.6727229e-01  1.1399401e-02 -7.3040895e-02  2.1441199e-02
  -4.0500248e-03]
 [-2.6522756e-02 -4.8169933e-02  1.3164036e-01  8.1096537e-02
   4.4816993e-02 -9.8240936e-01  5.8373075e-02 -3.2054678e-02
  -3.8715672e-02]
 [-8.1255712e-02 -8.4996298e-02  8.6709842e-02  3.3758663e-02
  -5.2054673e-02  8.9973293e-02  8.3826184e-01 -4.9320450e-01
  -1.4414002e-01]
 [-1.1310748e-01 -6.6766486e-02  7.7493235e-02  5.0542016e-02
   4.6353243e-02  3.7652358e-02  3.4267130e-01  7.7740127e-01
  -4.9884528e-01]
 [-8.6275712e-02 -7.2887152e-02  9.8120444e-02  1.2824667e-02
  -5.8685211e-03 -5.7395836e-03  3.3776516e-01  3.6938784e-01
   8.5255599e-01]]",0
7,8,9,0.9,1.8987983465194702,"[[ 9.8900020e-01 -7.0781577e-03  3.6169149e-02  5.6466232e-03
  -1.2832402e-02  6.7401351e-03  8.9337572e-02  1.0851886e-01
  -2.2820091e-02]
 [ 1.3275252e-02  9.7832882e-01 -1.5020271e-01 -6.1476119e-02
   2.1170082e-02 -1.0307216e-02 -9.4724506e-02  6.7055650e-02
  -4.8296887e-02]
 [-3.1359069e-02  1.6004537e-01  9.8336059e-01  1.0963833e-02
  -4.4011034e-02 -5.0644684e-03  2.8263716e-02 -5.9099283e-02
   5.4565407e-03]
 [ 1.9327452e-02  2.0885151e-02  2.5740413e-02  5.9228593e-01
   7.9296446e-01 -7.4178658e-02 -8.2441859e-02 -3.2201961e-02
   7.4809007e-02]
 [-8.5368343e-03 -5.4225210e-02  5.0123557e-02 -7.7319854e-01
   5.9983468e-01  1.4057590e-01  5.5478986e-02  1.1739922e-01
   1.4654905e-02]
 [ 6.9249789e-03  1.3873361e-02 -8.6591003e-04  1.4209576e-01
  -2.3640802e-02  9.8263252e-01 -8.9293838e-02 -6.6451550e-02
  -3.2447577e-02]
 [-9.4921932e-02  9.0335406e-02 -4.1069232e-02  1.1106946e-01
   3.3415560e-02  7.6050378e-02  9.7783494e-01  6.4871885e-02
  -3.9197538e-02]
 [-1.0345111e-01 -5.2893449e-02  6.2650755e-02  1.1791792e-01
  -5.4425571e-02  4.3201182e-02 -8.0760129e-02  9.7769141e-01
   3.7937451e-02]
 [-2.2633689e-02 -5.1775876e-02  1.8588223e-02  3.1588078e-02
   6.4948648e-02 -3.6632676e-02 -4.1423481e-02  3.0171018e-02
  -9.9361825e-01]]",0
8,9,9,0.9,2.3235952854156494,"[[ 0.881665    0.40807208 -0.16316816  0.00102514  0.05504986  0.0874867
   0.00747096 -0.02612102  0.1345236 ]
 [-0.22065297  0.736807    0.5121318   0.21849248  0.00453854 -0.08033944
   0.26545838  0.08884555 -0.11650348]
 [ 0.24897362 -0.3068925   0.8095924  -0.20457529  0.20758185 -0.01151004
  -0.23898306 -0.02763188  0.21316437]
 [-0.05594915  0.11300132 -0.05120732 -0.8392203   0.2229222  -0.01916154
   0.40680048 -0.18228205 -0.16856076]
 [-0.05782935 -0.02128302 -0.15344353  0.26388898  0.9400566  -0.12665974
   0.00438034  0.04156574 -0.03904457]
 [-0.00575829 -0.08689997  0.08608679  0.08368877  0.0996943   0.9386444
   0.14621568  0.10433418 -0.23397309]
 [ 0.17049034 -0.36247185  0.06817544  0.20073304 -0.07198683 -0.15459487
   0.7971051   0.29582164  0.20648713]
 [ 0.27595392 -0.20085423  0.12068344  0.13463962 -0.07163485 -0.24473658
   0.01119948 -0.08390664 -0.88239527]
 [ 0.01630978  0.06251012 -0.05354272 -0.26656228  0.01433063 -0.06708415
  -0.22355409  0.9221007  -0.13020122]]",0
9,10,8,0.9,1.788595199584961,"[[-0.12878704  0.9499206  -0.12293581 -0.13419782 -0.01497328  0.10397642
   0.05713364 -0.18342006]
 [ 0.94627744  0.15252711  0.215277    0.06753384 -0.0457341  -0.04346655
   0.1574972  -0.04003979]
 [-0.2153798   0.09154013  0.9632565   0.01913002  0.00438183  0.0624121
  -0.10943057 -0.03336775]
 [-0.05754714  0.11070301 -0.05572379  0.95613784  0.00142705  0.24366456
  -0.00526553  0.08789895]
 [ 0.05120981  0.02368357  0.00295496 -0.02649276  0.9928832   0.0760159
   0.00305451  0.06709202]
 [ 0.02673006 -0.08430289  0.00755783 -0.23449391 -0.09317382  0.8645212
   0.2996108   0.30214074]
 [-0.1868966  -0.03013212  0.08337717  0.0775869   0.0325743  -0.2905008
   0.9303293  -0.01502112]
 [ 0.00235216 -0.21254581 -0.02359646  0.03399375  0.04586446  0.29405057
   0.068109   -0.927307  ]]",0
