layer,level_from,level_to,G,boot_id
0,1,2,0.9724253501210894,0
0,2,3,0.9731322839146569,0
0,3,4,0.9757552345593771,0
0,4,5,0.9725130909965152,0
0,5,6,0.9618099246706281,0
0,6,7,0.9346742459705898,0
0,7,8,0.9438673314594087,0
0,8,9,0.9748710081690833,0
0,9,10,0.9656684285118466,0
1,1,2,0.9241764204842704,0
1,2,3,0.9302438412393842,0
1,3,4,0.9349267340841747,0
1,4,5,0.9373271976198468,0
1,5,6,0.9339563278924852,0
1,6,7,0.9269722189222064,0
1,7,8,0.9413987767128718,0
1,8,9,0.9299666171982175,0
1,9,10,0.9321481188138326,0
2,1,2,0.9120500286420187,0
2,2,3,0.9180877038410732,0
2,3,4,0.9229509802091689,0
2,4,5,0.9272580856368655,0
2,5,6,0.9210589840298608,0
2,6,7,0.9043931194714138,0
2,7,8,0.9176657767522902,0
2,8,9,0.9219309176717486,0
2,9,10,0.9145555865196955,0
3,1,2,0.8918436396689642,0
3,2,3,0.899821298463004,0
3,3,4,0.9075549159731183,0
3,4,5,0.916786633786701,0
3,5,6,0.916429653054192,0
3,6,7,0.867587285382407,0
3,7,8,0.8765753479230971,0
3,8,9,0.9167253204754421,0
3,9,10,0.8766395988918486,0
4,1,2,0.8886530711537316,0
4,2,3,0.8982430639721098,0
4,3,4,0.902370518162137,0
4,4,5,0.918705267565591,0
4,5,6,0.9217570878210521,0
4,6,7,0.8868273383095151,0
4,7,8,0.8935811888603937,0
4,8,9,0.9105586324419294,0
4,9,10,0.8814380367596945,0
5,1,2,0.8614762794403803,0
5,2,3,0.8682889881588164,0
5,3,4,0.8863024456160409,0
5,4,5,0.9082440137863159,0
5,5,6,0.9095186874980018,0
5,6,7,0.8746159559204465,0
5,7,8,0.8652574874105907,0
5,8,9,0.845519380910056,0
5,9,10,0.8795242479869297,0
6,1,2,0.8437738191513788,0
6,2,3,0.8405563235282898,0
6,3,4,0.8718927985145932,0
6,4,5,0.8951320648193359,0
6,5,6,0.8838521753038678,0
6,6,7,0.8530363667578924,0
6,7,8,0.8824812911805653,0
6,8,9,0.8743248468353635,0
6,9,10,0.8577266562552679,0
7,1,2,0.8538189643905276,0
7,2,3,0.8270975351333618,0
7,3,4,0.8527644673983256,0
7,4,5,0.87852053131376,0
7,5,6,0.8594555173601423,0
7,6,7,0.8374720244180589,0
7,7,8,0.8668887501671201,0
7,8,9,0.8808013881955828,0
7,9,10,0.8517654424621945,0
8,1,2,0.8635072821662539,0
8,2,3,0.811842021488008,0
8,3,4,0.8394457300504049,0
8,4,5,0.8611684384800139,0
8,5,6,0.8484737844694228,0
8,6,7,0.8288999739147368,0
8,7,8,0.8621899854569208,0
8,8,9,0.899463971455892,0
8,9,10,0.8668997798647199,0
9,1,2,0.7979647857802254,0
9,2,3,0.7213036134129479,0
9,3,4,0.8124731154668898,0
9,4,5,0.803056367806026,0
9,5,6,0.8392203790800912,0
9,6,7,0.8500930326325553,0
9,7,8,0.8563625471932548,0
9,8,9,0.8888928634779794,0
9,9,10,0.8336474952243623,0
