layer_from,layer_to,k_used,variance_threshold,mean_angle,max_angle,angles,boot_id
0,1,5,,0.527812123298645,0.7575968503952026,[0.35340655 0.43879697 0.54014057 0.5491195  0.75759685],0
1,2,5,,0.6238015294075012,0.7399146556854248,[0.48547828 0.5372292  0.65615153 0.70023394 0.73991466],0
2,3,5,,0.6040270924568176,0.8063188791275024,[0.46554446 0.5361549  0.5782115  0.6339055  0.8063189 ],0
3,4,5,,0.48568621277809143,0.60025954246521,[0.3963253  0.41977313 0.4807729  0.53129995 0.60025954],0
4,5,5,,0.4827495515346527,0.5981255769729614,[0.41286635 0.44433478 0.47368577 0.48473525 0.5981256 ],0
5,6,5,,0.4925878643989563,0.6721795201301575,[0.4113764  0.43052983 0.45768306 0.4911706  0.6721795 ],0
6,7,5,,0.5072768330574036,0.7020857334136963,[0.42637002 0.44546226 0.4793124  0.48315376 0.70208573],0
7,8,5,,0.5381596684455872,0.5969342589378357,[0.46985754 0.5053601  0.54335594 0.5752903  0.59693426],0
8,9,5,,0.8236201405525208,1.5614224672317505,[0.4921727 0.6210303 0.6686602 0.774815  1.5614225],0
9,10,5,,0.6423678994178772,1.0375065803527832,[0.4232516  0.50029135 0.53759307 0.7131968  1.0375066 ],0
10,11,5,,0.8094620704650879,1.3263030052185059,[0.43096235 0.49398094 0.8750649  0.920999   1.326303  ],0
0,1,5,,0.5441524386405945,0.7755051255226135,[0.3729979  0.46077332 0.54745024 0.5640357  0.7755051 ],1
1,2,5,,0.6381615400314331,0.7439150810241699,[0.5072548  0.53752923 0.67435896 0.7277495  0.7439151 ],1
2,3,5,,0.6004034280776978,0.797410249710083,[0.46895668 0.53789467 0.5558303  0.6419251  0.79741025],1
3,4,5,,0.47579264640808105,0.5758423209190369,[0.38564077 0.4030603  0.48330757 0.53111225 0.5758423 ],1
4,5,5,,0.47736939787864685,0.5578048229217529,[0.419227   0.4314716  0.4861293  0.49221417 0.5578048 ],1
5,6,5,,0.48016786575317383,0.6377898454666138,[0.40682915 0.41736168 0.45518947 0.48366916 0.63778985],1
6,7,5,,0.49530935287475586,0.6515631675720215,[0.40201366 0.44410038 0.477211   0.5016586  0.65156317],1
7,8,5,,0.5573247671127319,0.6574556827545166,[0.468815   0.5075982  0.5422807  0.61047435 0.6574557 ],1
8,9,5,,0.7313752174377441,1.0440009832382202,[0.47696513 0.6498516  0.6863895  0.79966885 1.044001  ],1
9,10,5,,0.6009310483932495,0.8388054370880127,[0.41282937 0.5230646  0.58353025 0.6464255  0.83880544],1
10,11,5,,0.7578309774398804,1.2250291109085083,[0.4281423 0.4957516 0.6105015 1.0297303 1.2250291],1
0,1,5,,0.530087411403656,0.7627303004264832,[0.3523001  0.44271857 0.54041487 0.5522733  0.7627303 ],2
1,2,5,,0.6211206316947937,0.7341524362564087,[0.48551023 0.5355078  0.6537201  0.6967128  0.73415244],2
