layer_from,layer_to,k_used,variance_threshold,mean_angle,max_angle,angles,boot_id
0,1,7,0.9,0.4958449900150299,0.7437344789505005,"[0.3379955  0.40548915 0.45396993 0.4757072  0.5190284  0.53499025
 0.7437345 ]",0
1,2,7,0.9,0.6188003420829773,0.7689657807350159,"[0.4574583  0.5197173  0.5851443  0.61027616 0.65375775 0.7362828
 0.7689658 ]",0
2,3,7,0.9,0.6041656732559204,0.8188679218292236,"[0.43795347 0.49447426 0.5345779  0.5563047  0.65090066 0.7360809
 0.8188679 ]",0
3,4,7,0.9,0.4791273772716522,0.5757381319999695,"[0.3899003  0.4138826  0.439897   0.48449332 0.5094689  0.540511
 0.57573813]",0
4,5,7,0.9,0.4894772469997406,0.632138192653656,"[0.40625787 0.4269339  0.45440954 0.45986092 0.48084444 0.56589603
 0.6321382 ]",0
5,6,8,0.9,0.49268120527267456,0.6760328412055969,"[0.38933444 0.4216951  0.44393927 0.46724233 0.4817053  0.5006686
 0.56083184 0.67603284]",0
6,7,8,0.9,0.5034599304199219,0.7042974233627319,"[0.40952724 0.4283385  0.43350178 0.45284036 0.47256753 0.52903295
 0.5975737  0.7042974 ]",0
7,8,8,0.9,0.5790776014328003,0.8229120373725891,"[0.45885494 0.48350763 0.50352955 0.5482984  0.56240714 0.5762506
 0.6768602  0.82291204]",0
8,9,9,0.9,0.6554300785064697,0.9331849813461304,"[0.46860576 0.522411   0.5463341  0.5753893  0.63107085 0.66039306
 0.7493183  0.81216305 0.933185  ]",0
9,10,11,0.9,0.5924708247184753,1.30270254611969,"[0.3658272  0.3947057  0.4215359  0.4621754  0.47970542 0.5001257
 0.5339138  0.5587605  0.6621431  0.8355839  1.3027025 ]",0
10,11,5,0.9,0.8094620704650879,1.3263030052185059,[0.43096235 0.49398094 0.8750649  0.920999   1.326303  ],0
0,1,7,0.9,0.5126349329948425,0.7508028149604797,"[0.36056727 0.43541586 0.46402773 0.48280993 0.5302445  0.5645765
 0.7508028 ]",1
1,2,7,0.9,0.622265636920929,0.7667815685272217,"[0.47412437 0.5197336  0.6022067  0.6179798  0.6399525  0.7350808
 0.76678157]",1
2,3,7,0.9,0.6000433564186096,0.8058382868766785,"[0.43871614 0.5067245  0.535167   0.5504695  0.6426957  0.72069246
 0.8058383 ]",1
3,4,7,0.9,0.4753395617008209,0.5722345113754272,"[0.37881154 0.4005718  0.44843164 0.4784382  0.5174688  0.5314203
 0.5722345 ]",1
4,5,7,0.9,0.4808730185031891,0.6170629858970642,"[0.40924317 0.41545245 0.42964137 0.4521069  0.47914565 0.5634587
 0.617063  ]",1
5,6,7,0.9,0.47915413975715637,0.6443767547607422,"[0.38041103 0.40486994 0.44875833 0.46575913 0.47352976 0.53637415
 0.64437675]",1
6,7,7,0.9,0.4864794611930847,0.6777867674827576,"[0.39953494 0.43321407 0.4416124  0.44913873 0.4928171  0.51125216
 0.67778677]",1
7,8,8,0.9,0.5745066404342651,0.8624525666236877,"[0.46185726 0.4677341  0.505748   0.53187907 0.558215   0.5843434
 0.623824   0.86245257]",1
8,9,8,0.9,0.652866005897522,0.9789581298828125,"[0.47028968 0.5107098  0.5408225  0.5790283  0.63912994 0.70394635
 0.80004346 0.97895813]",1
9,10,9,0.9,0.5632367134094238,0.8707396388053894,"[0.3982068  0.4194902  0.43679547 0.4846237  0.5091951  0.54886293
 0.58957374 0.8116428  0.87073964]",1
10,11,5,0.9,0.7578309774398804,1.2250291109085083,[0.4281423 0.4957516 0.6105015 1.0297303 1.2250291],1
0,1,7,0.9,0.49675244092941284,0.7488829493522644,"[0.33781427 0.40750164 0.45457166 0.47322774 0.5201426  0.5351262
 0.74888295]",2
1,2,7,0.9,0.6167028546333313,0.766795814037323,"[0.45701584 0.52051365 0.58512515 0.6063286  0.6475544  0.73358613
 0.7667958 ]",2
2,3,7,0.9,0.6047273278236389,0.8260893821716309,"[0.43996152 0.4956071  0.53805274 0.5526809  0.6444418  0.7362579
 0.8260894 ]",2
3,4,7,0.9,0.4795977771282196,0.5734182596206665,"[0.39077127 0.4118781  0.439201   0.48588395 0.5129324  0.5430995
 0.57341826]",2
4,5,7,0.9,0.4883347153663635,0.6249141693115234,"[0.40432078 0.4266596  0.4537195  0.46179345 0.4786369  0.56829846
 0.62491417]",2
5,6,8,0.9,0.4916197955608368,0.6832155585289001,"[0.38810477 0.4167712  0.44327712 0.46201962 0.47531518 0.5043605
 0.5598945  0.68321556]",2
6,7,8,0.9,0.5049328804016113,0.6999421119689941,"[0.40469167 0.4264641  0.42831412 0.45748082 0.47147477 0.54252166
 0.6085738  0.6999421 ]",2
7,8,8,0.9,0.5770376920700073,0.8314025402069092,"[0.45791987 0.48362672 0.5042201  0.55268025 0.5613988  0.5747308
 0.6503227  0.83140254]",2
8,9,10,0.9,0.6714790463447571,1.1069506406784058,"[0.46776938 0.52004546 0.5432139  0.5597027  0.58951634 0.62417495
 0.6833917  0.77466756 0.84535784 1.1069506 ]",2
9,10,11,0.9,0.5945654511451721,1.3272432088851929,"[0.3717261  0.39610922 0.4286743  0.4634878  0.47363546 0.5004521
 0.5308973  0.5439488  0.6739396  0.8301058  1.3272432 ]",2
10,11,5,0.9,0.8694882392883301,1.495844841003418,[0.4330414  0.5076979  0.87959373 1.0312632  1.4958448 ],2
0,1,7,0.9,0.5015093088150024,0.7460537552833557,"[0.34738985 0.4145992  0.45944577 0.48316595 0.51794463 0.54196596
 0.74605376]",3
1,2,7,0.9,0.6182176470756531,0.7632836103439331,"[0.45988256 0.5189495  0.5857199  0.60631955 0.65280503 0.7405634
 0.7632836 ]",3
2,3,7,0.9,0.6038058996200562,0.8190470337867737,"[0.44116563 0.49394676 0.532802   0.554346   0.6487747  0.7365589
 0.81904703]",3
3,4,8,0.9,0.4892532527446747,0.6266444325447083,"[0.36421722 0.39910474 0.4310909  0.48401165 0.50710076 0.52926815
 0.5725881  0.62664443]",3
4,5,8,0.9,0.4939696490764618,0.6994657516479492,"[0.3922232  0.40839154 0.43729115 0.4543661  0.4712642  0.5234337
 0.56532145 0.69946575]",3
5,6,8,0.9,0.4950871169567108,0.6577050685882568,"[0.40069267 0.42280033 0.4472925  0.4765612  0.4838843  0.5160387
 0.5557223  0.65770507]",3
6,7,8,0.9,0.506072998046875,0.6951624751091003,"[0.40878847 0.42449299 0.44056067 0.45769116 0.47759497 0.54137754
 0.60291594 0.6951625 ]",3
7,8,8,0.9,0.5796082019805908,0.84620600938797,"[0.4569926  0.47766915 0.5078041  0.5468053  0.5607767  0.58335596
 0.6572557  0.846206  ]",3
