layer,total_components,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,k85,k90,k95,boot_id
0,90,0.21925972402095795,0.18878154456615448,0.16507770121097565,0.12266441434621811,0.10714798420667648,0.08978632837533951,0.05468915030360222,0.022282671183347702,0.006411904003471136,0.005277931224554777,6,7,8,0
1,90,0.26897120475769043,0.17594589293003082,0.15450763702392578,0.10982801020145416,0.09480918198823929,0.0788469985127449,0.0479324609041214,0.019404195249080658,0.008624899201095104,0.0054920087568461895,6,7,8,0
2,90,0.2182273119688034,0.18773998320102692,0.17395533621311188,0.1133197546005249,0.095393605530262,0.07827192544937134,0.05147130787372589,0.019757047295570374,0.007840651087462902,0.006011859513819218,6,7,10,0
3,90,0.20618762075901031,0.19288647174835205,0.1645127683877945,0.11561237275600433,0.09105239063501358,0.07349742949008942,0.052052196115255356,0.021444350481033325,0.01416120957583189,0.009041119366884232,7,8,12,0
4,90,0.21238398551940918,0.18230105936527252,0.16067826747894287,0.13031834363937378,0.08829841017723083,0.07297228276729584,0.05408502370119095,0.020647427067160606,0.010557958856225014,0.007802851032465696,7,7,12,0
5,90,0.22091224789619446,0.19330525398254395,0.14330704510211945,0.13503825664520264,0.08565646409988403,0.0641995370388031,0.05284251272678375,0.0211376640945673,0.012152675539255142,0.008296657353639603,7,8,13,0
6,90,0.24460852146148682,0.1878470927476883,0.13987842202186584,0.12145953625440598,0.08127308636903763,0.06109480932354927,0.05119836702942848,0.021997034549713135,0.011661447584629059,0.009093965403735638,7,8,14,0
7,90,0.25431376695632935,0.17164599895477295,0.13987770676612854,0.12376222014427185,0.07702251523733139,0.0594184510409832,0.052985839545726776,0.025697307661175728,0.01296216156333685,0.008115862496197224,7,8,15,0
8,90,0.24616459012031555,0.17154431343078613,0.16190022230148315,0.1062721535563469,0.07227721065282822,0.05998111888766289,0.04464217275381088,0.0250115767121315,0.014988225884735584,0.012163790874183178,7,9,16,0
9,90,0.26954910159111023,0.17041772603988647,0.13210463523864746,0.1177961528301239,0.06336434930562973,0.054833460599184036,0.03843774273991585,0.02337522991001606,0.015548254363238811,0.014390731230378151,8,11,18,0
10,90,0.2743273377418518,0.1836719512939453,0.1441977471113205,0.09986144304275513,0.05021427199244499,0.0485372319817543,0.03427770733833313,0.03160964325070381,0.01672731526196003,0.014356400817632675,8,11,18,0
11,90,0.7746867537498474,0.04772648587822914,0.03919410705566406,0.030509790405631065,0.02037663944065571,0.016586940735578537,0.012897402048110962,0.008111201226711273,0.006045954767614603,0.005307628773152828,3,5,8,0
0,90,0.2206382304430008,0.18995948135852814,0.16444343328475952,0.1216626986861229,0.10768585652112961,0.09113150089979172,0.05504694581031799,0.022724758833646774,0.01141522079706192,0.0032441304065287113,6,7,7,1
1,90,0.24724192917346954,0.18198686838150024,0.16137240827083588,0.10969127714633942,0.09743007272481918,0.08413535356521606,0.0485757552087307,0.020437519997358322,0.01308379601687193,0.006847916170954704,6,7,8,1
2,90,0.20886021852493286,0.1897415965795517,0.179735466837883,0.11207886040210724,0.09678737819194794,0.08209726214408875,0.0520213320851326,0.020134441554546356,0.01052518654614687,0.007932526990771294,6,7,9,1
3,90,0.20967325568199158,0.18598666787147522,0.16583475470542908,0.11651729047298431,0.09360137581825256,0.07485008239746094,0.05130436271429062,0.023054832592606544,0.020614992827177048,0.008747197687625885,7,8,10,1
4,90,0.219984769821167,0.1834704577922821,0.15512675046920776,0.13271404802799225,0.08858456462621689,0.07615970820188522,0.052306003868579865,0.02026382088661194,0.013588164933025837,0.008786767721176147,6,7,10,1
5,90,0.21991683542728424,0.20131345093250275,0.1464894562959671,0.13283881545066833,0.08563432842493057,0.06737314164638519,0.051245447248220444,0.02132364735007286,0.01323404535651207,0.00897251907736063,6,7,11,1
6,90,0.23293980956077576,0.20046719908714294,0.14736562967300415,0.12299752235412598,0.08262953162193298,0.06432019174098969,0.05043073371052742,0.021769030019640923,0.011761127039790154,0.010100074112415314,6,7,11,1
