layer_from,layer_to,k_used,variance_threshold,residual_fro,rotation,boot_id
0,1,5,,1.1995223760604858,"[[ 0.40778992  0.8472092   0.33011475  0.05228578  0.06507138]
 [ 0.7621978  -0.49862424  0.32375672  0.23030189 -0.11212082]
 [-0.4280158  -0.13994373  0.8842838  -0.08675042  0.08794708]
 [-0.2381856   0.05697111 -0.01767439  0.96731526  0.06333014]
 [ 0.11327864 -0.10382852 -0.06273403 -0.03166676  0.9856213 ]]",0
1,2,5,,1.3862563371658325,"[[ 0.94069976 -0.30891457 -0.01778171  0.13620578  0.02806359]
 [ 0.01574771  0.01253424  0.99535954  0.06385224 -0.06911727]
 [ 0.31980422  0.9148285   0.0067223  -0.16982354  0.17868657]
 [ 0.08116403 -0.19267894  0.0576099  -0.97247547 -0.08520465]
 [-0.07728943 -0.17429389  0.07469354 -0.05312573  0.9773671 ]]",0
2,3,5,,1.3501267433166504,"[[-0.8856894  -0.44508383  0.12122746 -0.00700025  0.05205406]
 [-0.31782168  0.7832175   0.5314927   0.01496821  0.05339514]
 [ 0.33103445 -0.4327986   0.8381751  -0.01010679 -0.02148827]
 [ 0.00168937 -0.01913161  0.00141546  0.99980766 -0.0036806 ]
 [ 0.07040624 -0.02810704 -0.0167239   0.00303707  0.99697745]]",0
3,4,5,,1.0866053104400635,"[[ 9.8789126e-01 -9.3945637e-02  1.0790916e-01 -4.0220376e-02
  -4.4531271e-02]
 [-1.3652141e-01 -3.8065937e-01  9.1439652e-01 -1.7426910e-02
   5.9654075e-03]
 [ 4.3652888e-02  9.1983539e-01  3.8928106e-01 -1.3942458e-02
  -1.6223079e-02]
 [ 4.6010867e-02  4.8560286e-03  2.6349027e-02  9.8060054e-01
   1.8864739e-01]
 [ 3.7552733e-02  1.2329430e-02  7.0885720e-04 -1.9054374e-01
   9.8088247e-01]]",0
4,5,5,,1.0770748853683472,"[[ 0.69777894  0.7084089  -0.07186152  0.07521475 -0.02097845]
 [-0.6518776   0.688345    0.21959423 -0.22980127 -0.01437193]
 [-0.28414533  0.14455666 -0.42206877  0.8422356  -0.10422021]
 [-0.08508198  0.0477156  -0.87367684 -0.4586919   0.12951761]
 [-0.01351697  0.03412598  0.0718401   0.1475636   0.98575693]]",0
5,6,5,,1.1075725555419922,"[[ 9.62428927e-01  1.04255714e-01 -1.96869597e-01  1.14725076e-01
  -1.04602583e-01]
 [-9.01807025e-02  9.88867104e-01  1.53071203e-04 -1.14498861e-01
   2.99850982e-02]
 [-2.21366525e-01  4.53337803e-02 -7.67407358e-01  5.91397405e-01
   1.01374559e-01]
 [-2.06665546e-02 -9.29660350e-02 -6.07662678e-01 -7.88454890e-01
  -3.89664550e-03]
 [-1.27152026e-01  2.39705518e-02 -5.54470457e-02  4.81267422e-02
  -9.88871694e-01]]",0
6,7,5,,1.140851616859436,"[[ 9.2231727e-01 -3.4708634e-01 -3.6279235e-02  5.0371204e-02
  -1.5814120e-01]
 [ 3.4390765e-01  8.9976150e-01  2.3523992e-01  1.2844501e-01
   1.7912295e-02]
 [-4.5799945e-02 -2.2777703e-01  9.7083002e-01 -5.8611263e-02
  -8.5814809e-03]
 [-9.9968448e-02 -1.0968945e-01  2.8888097e-02  9.8791027e-01
  -3.4252394e-02]
 [-1.3772134e-01  7.7757426e-02  6.3881889e-04 -3.9529148e-02
  -9.8662227e-01]]",0
7,8,5,,1.1927204132080078,"[[ 0.99573964  0.08955188  0.00409123  0.01910071  0.01007247]
 [ 0.06386375 -0.74531436  0.6612102   0.04301046 -0.03713527]
 [ 0.06614873 -0.64397043 -0.72044504 -0.23959316 -0.06693652]
 [ 0.00638813  0.13418452  0.20902061 -0.96544486 -0.07861468]
 [-0.00274469 -0.06151028 -0.00732358 -0.09108548  0.99391085]]",0
8,9,5,,1.8956972360610962,"[[ 0.800861    0.5678648   0.09288248 -0.0492487   0.15842578]
 [ 0.07223399 -0.27228564  0.8946689  -0.34606066 -0.02127202]
 [-0.5356326   0.7715759   0.22532667 -0.12233393 -0.22810204]
 [-0.0904649   0.05769617  0.36914915  0.8713357   0.30494317]
 [-0.24149075  0.06878828 -0.06242863 -0.32190862  0.91072935]]",0
9,10,5,,1.4745919704437256,"[[ 0.9778941  -0.18990166  0.02593553  0.08275663  0.01179692]
 [-0.00719327 -0.1430566  -0.98212564  0.04854836  0.11204994]
 [ 0.14120336  0.89362615 -0.10718074  0.41104016  0.03243694]
 [ 0.15393452  0.38046446 -0.10807461 -0.90346354 -0.06020461]
 [-0.00609595  0.01229623  0.1076503  -0.07479414  0.9912764 ]]",0
10,11,5,,1.8563116788864136,"[[ 0.84234023 -0.20468244  0.261268    0.29537892  0.30505475]
 [-0.30467477  0.16688837  0.74015594  0.5389609  -0.20251393]
 [ 0.24638824  0.9635994  -0.08030654 -0.02615056  0.06030065]
 [ 0.06566913  0.00923746  0.6129878  -0.7850161   0.05998302]
 [-0.36416563  0.04055086  0.04129302  0.07306352  0.9266583 ]]",0
0,1,5,,1.232901930809021,"[[ 0.23966506  0.85223854  0.4601161  -0.03191634  0.05936897]
 [-0.7758731   0.43239725 -0.41648954 -0.18661572  0.05257883]
 [ 0.5331891   0.28274608 -0.77522683  0.13113433 -0.13263167]
 [-0.20674028  0.07056396  0.03358601  0.97167057  0.08371037]
 [ 0.11640172 -0.04239723 -0.11280504 -0.05306541  0.9844349 ]]",1
1,2,5,,1.416571021080017,"[[-0.827568   -0.5485892   0.02622285  0.11498562  0.01648539]
 [ 0.19035614 -0.22061348  0.9428759   0.11823236 -0.1100017 ]
 [-0.50861645  0.7487069   0.32478905 -0.19087149  0.19704688]
 [ 0.00728706 -0.21507706  0.04833445 -0.959836   -0.17339954]
 [ 0.1419576  -0.20870903  0.04973174 -0.12281027  0.9585056 ]]",1
2,3,5,,1.3417893648147583,"[[-7.2504842e-01 -6.7969632e-01 -8.4893614e-02  2.7369097e-02
  -6.6043139e-02]
 [ 6.2403697e-01 -7.0823544e-01  3.2767379e-01  2.8232949e-02
   2.8516870e-02]
 [-2.8386477e-01  1.8506233e-01  9.4082886e-01 -3.5922709e-03
   9.2078367e-04]
 [-1.2155806e-04  3.8780075e-02 -3.8710935e-03  9.9901527e-01
   2.1201903e-02]
 [-6.5600887e-02 -2.5757767e-02 -1.5779538e-02 -2.0232288e-02
   9.9718338e-01]]",1
3,4,5,,1.0650211572647095,"[[ 0.94786686  0.07989837 -0.3051685   0.00755299  0.04449333]
 [ 0.28593352  0.17334045  0.9405729  -0.02663445  0.05299338]
 [-0.12694465  0.9812414  -0.14146625 -0.02104577 -0.02438673]
 [-0.01427696  0.02642041  0.01594243  0.9792426   0.19981948]
 [-0.05891957  0.00604771 -0.04390794 -0.19968593  0.9770822 ]]",1
4,5,5,,1.0624381303787231,"[[ 8.7485600e-01 -4.7956410e-01 -6.8135664e-02  8.8910887e-04
  -1.3923086e-03]
 [ 4.6827072e-01  8.6671609e-01 -8.4813312e-02  1.3987343e-01
  -5.2609533e-02]
 [-5.0964274e-02 -1.1035042e-01  1.3276300e-01  9.7721237e-01
   1.1249609e-01]
 [ 1.1023794e-01  6.1234046e-02  9.8142183e-01 -1.2834001e-01
   6.6618703e-02]
 [ 2.4487371e-02  5.3801510e-02 -8.5728914e-02 -9.4970755e-02
   9.9001855e-01]]",1
5,6,5,,1.0775641202926636,"[[-0.8228275  -0.52250147  0.19899508 -0.0862869  -0.05387514]
 [-0.512317    0.84889627  0.04959544 -0.10907965 -0.05048171]
 [ 0.19105737  0.06108738  0.96825117 -0.04719811  0.14151862]
 [-0.10871802  0.05006588  0.08114586  0.98424184 -0.1017694 ]
 [-0.11028914  0.01135946 -0.11767043  0.09847032  0.9819188 ]]",1
6,7,5,,1.1104282140731812,"[[-0.84270436 -0.52068967 -0.05836746  0.04292192 -0.1161138 ]
 [-0.51326865  0.81486785  0.23924631  0.12366931 -0.00357956]
 [ 0.08690656 -0.23807134  0.9650478   0.06167956 -0.02545107]
 [ 0.09377107 -0.06538086 -0.08722141  0.9893593   0.022202  ]
 [-0.10029364 -0.06260984  0.02072937 -0.01508018  0.99265504]]",1
7,8,5,,1.2381614446640015,"[[-0.94910884 -0.3128271   0.02776925 -0.0055695   0.0230084 ]
 [ 0.22143689 -0.60537845  0.76323354  0.0436754  -0.00705181]
 [ 0.22131824 -0.73098844 -0.64130235 -0.055216   -0.04854556]
 [ 0.00333775  0.01513383  0.06828924 -0.9973525   0.01960662]
 [ 0.03413429 -0.03290896 -0.0277742   0.01733922  0.9983385 ]]",1
8,9,5,,1.638405203819275,"[[-0.455071    0.8811739   0.05067284 -0.11771233  0.00435915]
 [-0.23492008 -0.1170461   0.8736752   0.4089709   0.02338867]
 [ 0.8396432   0.4430441   0.2158982   0.15734167 -0.16535662]
 [ 0.12266301 -0.07969194  0.43080923 -0.8803475   0.13414457]
 [ 0.1329515   0.08481647 -0.04376174  0.13827     0.97677857]]",1
9,10,5,,1.353958249092102,"[[ 0.53902155  0.81743777 -0.17025587 -0.10991439  0.01352361]
 [ 0.3535487  -0.41145965 -0.81969905 -0.03431055  0.1806113 ]
 [-0.70949906  0.39021245 -0.5309059   0.23427272 -0.08718071]
 [ 0.24816318 -0.01768511  0.07881902  0.9652278   0.01500953]
 [-0.13958895  0.09958807  0.10503753  0.01390517  0.97947484]]",1
10,11,5,,1.753465175628662,"[[-0.40570825 -0.266663   -0.614415   -0.5774456  -0.23096013]
 [-0.8942577   0.26669866  0.27212605  0.23142076 -0.03958306]
 [ 0.14093424  0.9219406  -0.31453782 -0.16062288 -0.07368348]
 [ 0.03414444  0.08570457  0.65738046 -0.7467861  -0.04062595]
 [-0.12114306  0.02104456 -0.13175224 -0.17179048  0.9685096 ]]",1
0,1,5,,1.2050269842147827,"[[ 0.41479057  0.8455278   0.3235063   0.06496177  0.06446127]
 [-0.7486106   0.507023   -0.3382081  -0.23904288  0.10480233]
 [-0.43774417 -0.12147098  0.88155013 -0.0972323   0.08390452]
 [-0.2507336   0.04972604 -0.02066181  0.9618221   0.09555738]
 [ 0.11420851 -0.10383923 -0.05832055 -0.06389447  0.9842205 ]]",2
1,2,5,,1.3801251649856567,"[[ 9.37786400e-01 -3.14918518e-01  4.60661203e-02  1.35545850e-01
   2.98012570e-02]
 [-6.87530730e-04  1.64781734e-01  9.81344521e-01  6.95805624e-02
  -7.04845041e-02]
 [ 3.28521341e-01  9.02250469e-01 -1.26118958e-01 -1.73209682e-01
   1.79193303e-01]
 [ 7.95225278e-02 -1.78523004e-01  9.01088491e-02 -9.69134390e-01
  -1.20268926e-01]
 [-7.94102103e-02 -1.66574091e-01  1.03996746e-01 -8.69643316e-02
   9.73431528e-01]]",2
2,3,5,,1.3550703525543213,"[[-0.87850344 -0.45357722  0.13988192 -0.0124133   0.05270999]
 [-0.27617362  0.73171777  0.6215061   0.00355397  0.04510892]
 [ 0.3835083  -0.5079668   0.7706013  -0.01643141 -0.028192  ]
 [-0.00230834 -0.0170204   0.01193174  0.9996044   0.01880826]
 [ 0.06982755 -0.02316855 -0.0139499  -0.01882626  0.99701476]]",2
3,4,5,,1.0927294492721558,"[[ 9.9118698e-01 -9.1014691e-02 -7.1100123e-02 -3.9462134e-02
  -5.1498573e-02]
 [-9.5710091e-02 -2.7370408e-01 -9.5564342e-01 -5.1681980e-02
   5.8915495e-04]
 [ 6.6146031e-02  9.5743686e-01 -2.7950895e-01 -2.4817478e-02
  -1.4082247e-02]
 [ 4.4909492e-02  7.5924592e-03 -5.9583701e-02  9.8044974e-01
   1.8191664e-01]
 [ 4.4673022e-02  7.7157491e-03  3.8748675e-03 -1.8404946e-01
   9.8186332e-01]]",2
4,5,5,,1.071690559387207,"[[ 0.6206785   0.777289    0.05614683  0.08112804 -0.02908335]
 [-0.745582    0.6243699  -0.14449678 -0.18232186 -0.01221433]
 [ 0.23017739 -0.06185916 -0.31201732 -0.9131643   0.10939831]
 [-0.07648082  0.03260468  0.9325572  -0.32380202  0.13629682]
 [-0.00590617  0.0330817  -0.09460628  0.14649308  0.98410374]]",2
5,6,5,,1.1166657209396362,"[[ 0.96314013  0.05964478 -0.20946328  0.11784824 -0.1050739 ]
 [-0.05193033  0.99538463 -0.00670937 -0.07928624  0.01346605]
 [ 0.22959454 -0.01488056  0.86603713 -0.42951506 -0.11207752]
 [ 0.0152326  -0.07307935 -0.44810084 -0.8908276  -0.00770322]
 [-0.12930061  0.00948123 -0.072563    0.04205516 -0.98800683]]",2
6,7,5,,1.1340301036834717,"[[ 0.9174445  -0.36055812 -0.02847267  0.03794128 -0.16137865]
 [ 0.35444537  0.894928    0.22379199  0.15247117  0.01191876]
 [-0.05298933 -0.20916983  0.97322    -0.07572509 -0.0234243 ]
 [-0.10079867 -0.1372378   0.0405343   0.9836524  -0.042311  ]
 [-0.14034134  0.08071865 -0.01750124 -0.04479465 -0.98563474]]",2
7,8,5,,1.1871806383132935,"[[ 0.99568355 -0.0836716  -0.02348636  0.03190174  0.00663548]
 [ 0.05593529  0.8380686  -0.53642935  0.06720454 -0.04732225]
 [ 0.07109309  0.529478    0.8140904  -0.21556476 -0.07339989]
 [ 0.02050849 -0.07060061 -0.2208473  -0.96769416 -0.09689914]
 [ 0.00327361  0.07286117  0.01323844 -0.10754393  0.99143314]]",2
8,9,5,,1.8650151491165161,"[[ 0.8299859   0.52290845  0.10812858 -0.05377519  0.1520084 ]
 [-0.1565707   0.42375147 -0.8407245   0.2828788   0.09530032]
 [ 0.5120476  -0.73348993 -0.3836078   0.21623614  0.07672569]
 [-0.0480613   0.06066774  0.36302552  0.92061883  0.12117421]
 [ 0.1486823   0.0728929  -0.05047771  0.15096666 -0.97326326]]",2
9,10,5,,1.6661784648895264,"[[ 0.9841923  -0.14606205  0.0403159   0.08990323 -0.01798216]
 [ 0.0084774  -0.17776532 -0.97555953  0.03083395 -0.12514184]
 [ 0.10020555  0.8930769  -0.14490347  0.41285017 -0.03050057]
 [ 0.1449348   0.38635397 -0.10326117 -0.90398616  0.04324944]
 [-0.01569487  0.01447926  0.12246771 -0.05770892 -0.99056315]]",2
