layer_from,layer_to,k_used,variance_threshold,residual_fro,rotation,boot_id
0,1,7,0.9,1.3307634592056274,"[[ 0.4062605   0.8475369   0.33076543  0.05289332  0.06386653  0.0082265
   0.01683619]
 [ 0.7562357  -0.49536407  0.32329884  0.23438078 -0.11965422  0.09420612
   0.0085734 ]
 [-0.42435864 -0.13915585  0.88010925 -0.08684207  0.08807126 -0.00829314
  -0.10293774]
 [-0.22907327  0.05268797 -0.01805281  0.9615879   0.07513726 -0.11737285
  -0.01871542]
 [ 0.08315884 -0.09160919 -0.05878123 -0.01421374  0.9461688   0.2825614
   0.07719375]
 [ 0.13396877 -0.07484462  0.01398833 -0.09860229  0.25913835 -0.9470537
   0.04969064]
 [-0.07511422 -0.01269578  0.08661927  0.01227579 -0.07624841  0.02146405
   0.99008507]]",0
1,2,7,0.9,1.6299290657043457,"[[ 0.9384673  -0.3122989  -0.01830831  0.14349121  0.02698677 -0.00481887
  -0.00847828]
 [ 0.01597773  0.01395598  0.9936585   0.06726128 -0.07019773 -0.03166537
   0.04169291]
 [ 0.31704798  0.9058504   0.00310392 -0.14444412  0.17854924 -0.14372203
  -0.07420232]
 [ 0.07964024 -0.19953793  0.05128454 -0.94048315 -0.08630936 -0.24341927
   0.00106413]
 [-0.07924568 -0.17730819  0.07298504 -0.04203745  0.97582626 -0.0486823
   0.02410985]
 [-0.06773664 -0.07241397 -0.05159121  0.25931287 -0.05250514 -0.95674187
   0.04638369]
 [ 0.03596504  0.07219633 -0.0409811  -0.02243238 -0.00461873  0.03660928
   0.9949623 ]]",0
2,3,7,0.9,1.6029794216156006,"[[-8.84254992e-01 -4.43821341e-01  1.18689105e-01 -7.82797113e-03
   4.91216071e-02  5.84458373e-02 -3.37415524e-02]
 [-3.18437040e-01  7.78192878e-01  5.32292187e-01  1.88282970e-02
   5.79154305e-02 -6.20761476e-02 -4.60067727e-02]
 [ 3.30332816e-01 -4.32127982e-01  8.37772250e-01 -9.99340042e-03
  -2.21526548e-02  3.93001288e-02  1.21675860e-02]
 [ 2.73751677e-03 -1.14549892e-02 -9.00273386e-04  9.93527293e-01
  -1.01912320e-02  1.10408589e-01  2.16781888e-02]
 [ 7.18395337e-02 -2.97097228e-02 -1.90679226e-02  5.03359595e-03
   9.95223463e-01  4.73063551e-02 -2.93217935e-02]
 [ 1.42645882e-02  9.56134200e-02 -5.44791343e-03 -1.09671243e-01
  -4.40380909e-02  9.88013208e-01  2.20826883e-02]
 [-4.68961857e-02  2.34118160e-02  1.79276988e-02 -1.82925668e-02
   3.50583270e-02 -2.42497493e-02  9.97386336e-01]]",0
3,4,7,0.9,1.2653366327285767,"[[ 0.9872752  -0.09391599  0.10623928 -0.04104878 -0.04386538 -0.01477002
   0.03678821]
 [-0.13728882 -0.38040993  0.90915865 -0.01918211  0.0129704   0.02721402
   0.09270315]
 [ 0.04270287  0.91965234  0.38737217 -0.01488503 -0.0170376  -0.01270643
   0.04105587]
 [ 0.04558695  0.00484505  0.02677708  0.980266    0.18628873 -0.03740513
   0.01253818]
 [ 0.03544097  0.01093396  0.00947569 -0.18958132  0.95329326 -0.20539168
  -0.10788721]
 [ 0.02719205  0.02372649 -0.02168695 -0.00428635  0.21208386  0.9757661
   0.03331384]
 [-0.02328747  0.00130769 -0.10396869 -0.02906068  0.09573989 -0.05635015
   0.9876541 ]]",0
4,5,7,0.9,1.2954076528549194,"[[ 0.6970366   0.7085891  -0.07187248  0.0739402  -0.02083949 -0.01719006
   0.02605656]
 [-0.64874846  0.6861171   0.21983789 -0.23145    -0.01561815 -0.03002654
  -0.07297556]
 [-0.28352004  0.14276278 -0.42164558  0.83543473 -0.10496276 -0.11117308
   0.01106705]
 [-0.08574333  0.04913257 -0.8736551  -0.45383242  0.13041681  0.05964763
  -0.0207514 ]
 [-0.00968886  0.03144723  0.07195286  0.14578001  0.98350894 -0.04637172
  -0.05520942]
 [-0.03083421  0.04563492  0.01355485  0.12371588  0.02215882  0.98863477
  -0.05989652]
 [-0.06697172  0.0357522   0.00929825 -0.02216841  0.05928982  0.05776279
   0.9933815 ]]",0
5,6,8,0.9,1.3972982168197632,"[[ 9.50772583e-01  1.02465130e-01 -2.04556257e-01  1.18059956e-01
  -1.12340286e-01 -6.63540289e-02  9.48067904e-02 -6.11509420e-02]
 [-9.34748426e-02  9.88185942e-01 -2.09622015e-03 -1.13594033e-01
   2.75363680e-02 -2.75515933e-02  9.99309774e-03 -1.50247850e-02]
 [-2.09846288e-01  4.58169729e-02 -7.58299172e-01  5.87055624e-01
   1.04920082e-01  1.40218213e-02 -1.39165759e-01  6.03443719e-02]
 [-1.58144701e-02 -9.24371779e-02 -6.03824317e-01 -7.89576590e-01
  -2.60326487e-04  2.67078578e-02 -4.86882515e-02 -9.28556640e-03]
 [-1.12674728e-01  2.71243621e-02 -4.63261604e-02  4.50190827e-02
  -9.75175142e-01  1.52091742e-01 -8.69662985e-02  2.70978697e-02]
 [-4.93743829e-02 -2.74119209e-02  7.31100375e-03 -1.97813418e-02
  -1.24477044e-01 -9.61639464e-01 -2.34732285e-01  3.19661126e-02]
 [-1.46386415e-01 -2.25931369e-02 -1.23233646e-01  3.34828757e-02
  -9.32130516e-02 -2.12424278e-01  9.51990008e-01  4.06851210e-02]
 [ 8.02867338e-02  1.86542552e-02  3.38357203e-02 -3.94136906e-02
   2.15267017e-02  3.03603690e-02 -1.50621906e-02  9.94432449e-01]]",0
6,7,8,0.9,1.4309831857681274,"[[ 9.20749784e-01 -3.37200612e-01 -3.53383906e-02  5.29936925e-02
  -1.50576890e-01  5.50122783e-02 -9.35879499e-02  1.28344545e-04]
 [ 3.43385667e-01  8.84493470e-01  2.34927490e-01  1.23387493e-01
   8.63875076e-03 -6.48723915e-02  1.20471366e-01 -1.02692038e-01]
 [-4.57271039e-02 -2.25594968e-01  9.70775247e-01 -5.71896695e-02
  -7.97059014e-03  3.10256821e-03 -2.13088412e-02  2.85198037e-02]
 [-1.00492820e-01 -1.08851023e-01  2.89047025e-02  9.86341238e-01
  -3.13203260e-02  4.61210124e-02  2.85829026e-02 -2.05690172e-02]
 [-1.38378993e-01  8.60045627e-02  9.69049754e-04 -3.80849354e-02
  -9.79035854e-01  9.69258398e-02 -6.10223450e-02  1.93262696e-02]
 [-2.99059767e-02  1.19857535e-01  1.71263423e-02 -1.69704910e-02
   1.27357811e-01  8.79210234e-01 -4.30385470e-01 -9.84686762e-02]
 [ 2.75417902e-02 -9.66468528e-02 -4.82398970e-03 -5.61393015e-02
  -2.27505695e-02  4.43513840e-01  8.86444449e-01 -6.09920397e-02]
 [ 3.62578705e-02  1.00608766e-01 -1.60934229e-03  3.06181759e-02
   3.09622735e-02  1.07324652e-01  2.67897490e-02  9.87131357e-01]]",0
7,8,8,0.9,1.63991117477417,"[[ 0.9949968   0.08597688  0.00258125  0.01629723  0.0100467  -0.02025016
   0.00250868  0.0424235 ]
 [ 0.06386236 -0.74004436  0.6607589   0.04190692 -0.03890631 -0.05651607
  -0.00755414 -0.07164229]
 [ 0.06823596 -0.63226426 -0.7157653  -0.23285536 -0.06796703  0.04945244
  -0.03391661 -0.144322  ]
 [ 0.00689486  0.13852817  0.21040235 -0.9620973  -0.07898737  0.04904155
   0.01551462 -0.04446661]
 [-0.00105905 -0.04904107 -0.00478275 -0.08751199  0.9893659  -0.03901931
  -0.02986488 -0.0930234 ]
 [-0.01943379  0.01636471 -0.06402603 -0.05577491 -0.04166804 -0.98748
   0.12190618 -0.02074324]
 [ 0.00595574 -0.01503103 -0.00897463  0.02169702  0.02412617  0.12205081
   0.9842061  -0.12266728]
 [-0.02801762 -0.15197198 -0.05098213 -0.08297847  0.07977275 -0.00309827
   0.11887398  0.9726925 ]]",0
8,9,9,0.9,1.9673618078231812,"[[ 7.96525300e-01  5.66914022e-01  9.09705833e-02 -5.39617427e-02
   1.58752844e-01 -1.43029040e-03 -5.46353832e-02 -4.23766151e-02
  -5.46181872e-02]
 [ 8.98159593e-02 -2.73145258e-01  8.94117951e-01 -3.23550344e-01
  -7.04791695e-02  1.89096760e-02  1.06917657e-02  8.80520418e-02
  -7.82242161e-04]
 [-5.46655118e-01  7.72688448e-01  2.24366024e-01 -1.28285289e-01
  -1.56922445e-01 -6.14399314e-02  2.48422963e-03  9.23222750e-02
   1.98558234e-02]
 [-5.50882183e-02  5.55100329e-02  3.68857652e-01  8.99935305e-01
   1.37923136e-01  1.03884675e-01  3.01170368e-02 -1.26195297e-01
  -3.60180177e-02]
 [-3.11637484e-02  5.21796271e-02 -4.10952494e-02 -1.10104956e-01
  -1.43375969e-03  9.80738282e-01  1.39738634e-01 -2.25852001e-02
  -2.46494003e-02]
 [ 1.94819972e-01 -1.00295302e-02 -3.30547057e-02  1.73397854e-01
  -9.31615174e-01  5.89403398e-02 -2.41251633e-01  1.42008923e-02
   3.16293389e-02]
 [-1.01181835e-01 -1.99796148e-02  2.17823107e-02 -3.64631414e-02
   2.28172258e-01  1.31280378e-01 -9.56488669e-01 -4.30091023e-02
   3.92634608e-02]
 [-6.58299252e-02  1.47728631e-02  4.85023297e-02 -1.49221286e-01
  -7.14303032e-02 -4.62125763e-02  3.17790471e-02 -9.79469955e-01
  -5.67401163e-02]
 [ 4.60072681e-02  2.07481328e-02  1.65193938e-02  1.66191086e-02
   3.33028398e-02  1.95402708e-02  4.87630032e-02 -6.38702363e-02
   9.94462490e-01]]",0
9,10,11,0.9,2.067756414413452,"[[ 0.97441363 -0.19653521  0.02393466  0.08376604  0.01644504  0.01204956
  -0.01854769  0.03959195 -0.0436244  -0.00258066  0.00808932]
 [-0.0103364  -0.14728186 -0.9698337   0.04869706  0.03349701 -0.09715664
  -0.07643445 -0.05576011 -0.05859044 -0.0038879  -0.11086713]
 [ 0.10935298  0.79828507 -0.10904709  0.40484634  0.0535956   0.09245753
   0.1000855   0.3170922  -0.1673521  -0.07088794 -0.1413283 ]
 [ 0.14224035  0.35237113 -0.10607342 -0.901261   -0.02863308  0.10647029
  -0.0372075   0.09890357 -0.07863136 -0.03899407 -0.0324623 ]
 [-0.00796491 -0.00320324  0.11215466 -0.08479676  0.58639145 -0.75058717
  -0.07999296  0.17059997 -0.08818696 -0.06293341 -0.16025107]
 [-0.02496429 -0.05688888 -0.01957614 -0.00250724  0.7990197   0.5720936
   0.0542504  -0.15407974 -0.0165027   0.04261268  0.03543346]
 [ 0.01732468 -0.0504415  -0.05206816 -0.07193477 -0.00400766 -0.12840211
   0.97511715 -0.10314512 -0.09459323  0.038672    0.02882795]
 [ 0.06038911  0.22351032  0.0777045   0.03418262 -0.04478126 -0.10905486
  -0.10571261 -0.844318   -0.34265757 -0.21006078 -0.19925825]
 [ 0.05337012  0.08645204 -0.04561705  0.00108199  0.04711039 -0.01431927
   0.08701295 -0.09095404  0.7041475  -0.6858466  -0.05583754]
 [ 0.07829233  0.18801084  0.00158716 -0.00945454  0.01655074 -0.07039128
   0.0138236  -0.22503087  0.54514265  0.6574243  -0.4159137 ]
 [ 0.06789039  0.28228998 -0.10914411  0.02845239  0.09007239 -0.21521828
  -0.05726665 -0.22299275  0.18182048  0.19860195  0.8503192 ]]",0
