metric,mean_alt,mean_null,diff_mean,diff_ci_low,diff_ci_high,p_two_sided,cohens_d,n_alt,n_null,layer,q_value
G,0.9545765179811962,0.9665313728442269,-0.011954854863030606,-0.012781132336351178,-0.011176453905907524,0.0,-4.122417063649255,100,100,0,0.0
G,0.9420034383511733,0.935205802930726,0.006797635420447312,0.005589937788827648,0.007916867375279323,0.0,1.6058299020503224,100,100,1,0.0
G,0.927686273259303,0.9176972084953671,0.009989064763935906,0.008615509913069497,0.011269316967919635,0.0,2.0307331819930905,100,100,2,0.0
G,0.8813204890844366,0.8811085686574849,0.0002119204269517283,-0.0018882172849797457,0.0022458982514839067,0.86,0.029436577241149182,100,100,3,0.86
G,0.9066924350181269,0.8834011486215251,0.02329128639660183,0.02147889278969825,0.024862570480482304,0.0,3.770376171672064,100,100,4,0.0
G,0.8992011695915746,0.878759967541411,0.020441202050163643,0.018438530992231746,0.022301833027412135,0.0,2.9709228824498193,100,100,5,0.0
G,0.8870845594212178,0.8643966303297452,0.022687929091472547,0.019979585064131444,0.025374829424976715,0.0,2.328820323323337,100,100,6,0.0
G,0.8887454238704272,0.8695295660935698,0.019215857776857415,0.017390527545128327,0.020891142296566394,0.0,2.9163476395002257,100,100,7,0.0
G,0.8607295099397502,0.8650780081848305,-0.004348498245080323,-0.00710181323278043,-0.0018614176593247365,0.0,-0.45427636461046544,100,100,8,0.0
G,0.8328098964459366,0.8376998312610483,-0.004889934815111685,-0.008976914123836102,-0.0006702395152714829,0.024,-0.3117956665465055,100,100,9,0.026181818181818185
G,0.8205816723827333,0.8033529246189292,0.01722874776380412,0.012333423643239838,0.021547961127261393,0.0,1.0154322185976354,100,100,10,0.0
G,0.9385229719806284,0.9062587969109179,0.032264175069710466,0.029039625514972533,0.035484322026123664,0.0,2.837195538194164,100,100,11,0.0
