metric,mean_alt,mean_null,diff_mean,diff_ci_low,diff_ci_high,p_two_sided,cohens_d,n_alt,n_null,layer,q_value
pc1,0.2196930940449238,0.24714302599430085,-0.02744993194937706,-0.0279394244812429,-0.026953763410449024,0.0,-15.729901057564419,100,100,0,0.0
pc1,0.2568426278233528,0.30012187868356704,-0.043279250860214225,-0.045053297795355336,-0.04140465072169896,0.0,-6.416970735493496,100,100,1,0.0
pc1,0.21313297674059867,0.2639719691872597,-0.05083899244666101,-0.0518380185626447,-0.04980674062669275,0.0,-13.388136944907963,100,100,2,0.0
pc1,0.20617683202028275,0.2675144770741463,-0.06133764505386352,-0.06238269200921058,-0.06029319595918057,0.0,-16.437240460328667,100,100,3,0.0
pc1,0.21404591649770738,0.2597581726312637,-0.04571225613355634,-0.046661086719483144,-0.04474864841997625,0.0,-13.347013845780456,100,100,4,0.0
pc1,0.21951230213046075,0.25067623391747473,-0.031163931787013988,-0.03243845151364802,-0.030031879954040063,0.0,-7.168845066992089,100,100,5,0.0
pc1,0.2379997305572033,0.2512157449126244,-0.01321601435542108,-0.014379947587847728,-0.012015117138624177,0.0,-2.957639021542096,100,100,6,0.0
pc1,0.24542049661278725,0.29221927374601364,-0.04679877713322639,-0.048611535571515534,-0.045117521900683626,0.0,-7.444379314438529,100,100,7,0.0
pc1,0.23861818850040437,0.35210057884454726,-0.1134823903441429,-0.11629291165992617,-0.11067893899232151,0.0,-10.940825613582136,100,100,8,0.0
pc1,0.2532643035054207,0.30003774374723435,-0.04677344024181368,-0.050433832015842193,-0.043260924927890305,0.0,-3.5963633180632693,100,100,9,0.0
pc1,0.2669096581637859,0.43857872873544695,-0.17166907057166103,-0.18098800153657796,-0.1623919152133167,0.0,-4.912501073263866,100,100,10,0.0
pc1,0.750976933836937,0.5674995148181915,0.18347741901874548,0.17510308285802598,0.19218424762785438,0.0,5.738236764050352,100,100,11,0.0
pc2,0.18955034345388413,0.2221127539873123,-0.03256241053342818,-0.0328145024776459,-0.03234116382151842,0.0,-39.330416953047724,100,100,0,0.0
pc2,0.1793889531493187,0.19662437871098518,-0.01723542556166649,-0.017890316516160985,-0.016570263303816314,0.0,-7.026292294515429,100,100,1,0.0
pc2,0.1890316788852215,0.2159958863258362,-0.0269642074406147,-0.02773388442397117,-0.026206580985337496,0.0,-10.020806572276872,100,100,2,0.0
pc2,0.18943634793162345,0.21993052572011948,-0.03049417778849603,-0.03158111248165368,-0.02935849137231706,0.0,-7.668189866877074,100,100,3,0.0
pc2,0.18240332424640657,0.22903270199894904,-0.04662937775254247,-0.04733250415697693,-0.045957951422780766,0.0,-18.6262112392892,100,100,4,0.0
pc2,0.19661660984158516,0.22664114013314246,-0.0300245302915573,-0.031063796941190974,-0.02900053948909044,0.0,-8.316953654480512,100,100,5,0.0
pc2,0.1919670109450817,0.2166318964958191,-0.024664885550737398,-0.025690718222409502,-0.023472898833453666,0.0,-6.232971075914085,100,100,6,0.0
pc2,0.1739601717889309,0.21676306262612344,-0.04280289083719255,-0.04413033393025399,-0.041622563276439886,0.0,-9.126109941223454,100,100,7,0.0
pc2,0.1787769813835621,0.18346363693475723,-0.004686655551195129,-0.006057404004037394,-0.0032636814899742674,0.0,-0.9302853130894493,100,100,8,0.0
pc2,0.17486610129475594,0.25900594785809516,-0.08413984656333923,-0.08800292226299646,-0.08042341686785222,0.0,-5.8765351079433366,100,100,9,0.0
pc2,0.19395169168710708,0.19377236738801001,0.00017932429909706116,-0.003342692848294992,0.00338208144903184,0.946,0.014718558159691857,100,100,10,0.9460000000000001
pc2,0.051408429145812944,0.12450762934982773,-0.07309920020401478,-0.07612561391014608,-0.0696693730261177,0.0,-6.294922900938046,100,100,11,0.0
pc3,0.16474066749215127,0.19482609912753104,-0.030085431635379772,-0.030387389544397597,-0.0298030669651926,0.0,-27.92127308259451,100,100,0,0.0
pc3,0.15760806158185,0.17483504191040994,-0.017226980328559932,-0.017635607786476666,-0.01682145340740685,0.0,-11.452007964315412,100,100,1,0.0
pc3,0.17630259990692138,0.16987801268696784,0.006424587219953537,0.005915147427469486,0.0069226708561181995,0.0,3.3438453335523044,100,100,2,0.0
pc3,0.16544798985123632,0.15472673833370204,0.01072125151753428,0.010213594023138284,0.011224414736032518,0.0,5.817051784181678,100,100,3,0.0
pc3,0.15836196005344388,0.15886865496635436,-0.0005066949129104714,-0.0010940422303974706,9.212722256778585e-05,0.082,-0.24505241954341098,100,100,4,0.082
pc3,0.14352882355451582,0.15171970158815382,-0.008190878033637994,-0.008720305934548376,-0.007639032226055817,0.0,-4.082600331552088,100,100,5,0.0
pc3,0.14142745569348336,0.15192690953612326,-0.010499453842639894,-0.011257551595568661,-0.009658186454325923,0.0,-3.6363350037821816,100,100,6,0.0
pc3,0.1409888608753681,0.1342423130571842,0.006746547818183901,0.005665503874421134,0.007803853690624244,0.0,1.6683758370131438,100,100,7,0.0
pc3,0.16118568584322926,0.12035885319113727,0.040826832652091985,0.04016988980211317,0.0415239943638444,0.0,16.047058933213783,100,100,8,0.0
pc3,0.13673732325434682,0.11847447484731671,0.018262848407030102,0.016949109077453638,0.019417910803109416,0.0,3.8955172185737337,100,100,9,0.0
pc3,0.13661577910184858,0.1042239065468311,0.03239187255501748,0.030602700045332342,0.034191533831879534,0.0,4.734633577741421,100,100,10,0.0
pc3,0.043790565319359265,0.08230205990374083,-0.038511494584381564,-0.03993890246190129,-0.037162733162753286,0.0,-7.393216456539665,100,100,11,0.0
pc4,0.1220290450006723,0.11805545128881928,0.0039735937118530185,0.0038125685863196843,0.004129707185551525,0.0,6.697967769037559,100,100,0,0.0
pc4,0.11024863801896569,0.1049103386700153,0.005338299348950387,0.004997212823480363,0.005644676165655255,0.0,4.310415368943344,100,100,1,0.0
pc4,0.11261025279760357,0.10937115043401714,0.0032391023635864324,0.0028417443875223434,0.0036269198041409293,0.0,2.2616255679333093,100,100,2,0.0
pc4,0.1157460086792707,0.10220025390386578,0.013545754775404928,0.013087718136608611,0.013969600521028048,0.0,9.044675595523229,100,100,3,0.0
pc4,0.13097445964813229,0.09869293823838231,0.03228152140974998,0.031792520256713086,0.032761357329785815,0.0,17.942195845736222,100,100,4,0.0
pc4,0.1336352744698524,0.09982150524854656,0.03381376922130584,0.033172826711088406,0.03447750313580036,0.0,13.935689691678553,100,100,5,0.0
pc4,0.12280713640153404,0.09451050035655495,0.02829663604497909,0.027549394151195887,0.02902260847575963,0.0,10.836423061416829,100,100,6,0.0
pc4,0.12532674923539158,0.08858410671353337,0.036742642521858215,0.03603288150019943,0.03743070586770773,0.0,14.720627077089706,100,100,7,0.0
pc4,0.10702379986643788,0.0818587855249643,0.025165014341473585,0.02448064110614361,0.02591274715960026,0.0,9.577446390468682,100,100,8,0.0
pc4,0.12023721560835834,0.07948257058858868,0.040754645019769664,0.03902695796266198,0.042440276615321654,0.0,6.609901934917696,100,100,9,0.0
pc4,0.10407442115247247,0.06032328933477398,0.043751131817698484,0.04186002929974348,0.04555688197910788,0.0,6.555215322029273,100,100,10,0.0
pc4,0.03502082956954832,0.05388228051364417,-0.018861450944095845,-0.020618983468972132,-0.017040442933328466,0.0,-2.9480090185071886,100,100,11,0.0
pc5,0.10748851574957367,0.08059637494385238,0.02689214080572129,0.026767475599423052,0.027020550074055807,0.0,59.87207607152323,100,100,0,0.0
pc5,0.09662574566900727,0.07170611418783661,0.024919631481170657,0.024639135826379072,0.025206912038847812,0.0,24.289982403012537,100,100,1,0.0
pc5,0.09604033626615997,0.07502091906964775,0.021019417196512222,0.020764812678098703,0.021262759359553456,0.0,22.811997682861122,100,100,2,0.0
pc5,0.09178374052047726,0.07225070647895332,0.019533034041523942,0.019232660332694648,0.019822550300508734,0.0,17.896731075424412,100,100,3,0.0
pc5,0.08829949349164959,0.07467218063771719,0.0136273128539324,0.013365489192307012,0.013905009495094435,0.0,13.607379349094751,100,100,4,0.0
pc5,0.08559866003692146,0.07703535765409467,0.008563302382826793,0.00821129128709436,0.00894305222667754,0.0,6.437337851978138,100,100,5,0.0
pc5,0.08203047633171076,0.08579667702317234,-0.0037662006914615798,-0.0043975268229842265,-0.0031584187950939027,0.0,-1.5451312182429038,100,100,6,0.0
pc5,0.07858989059925076,0.0730603830516338,0.005529507547616955,0.004817120462656002,0.006210304422304025,0.0,2.196404750812855,100,100,7,0.0
pc5,0.07248325318098064,0.0744606045633554,-0.001977351382374759,-0.002800103275105363,-0.0011313046384602704,0.0,-0.6870047441134266,100,100,8,0.0
pc5,0.06584173027426,0.06199202068150038,0.003849709592759626,0.0030687418952584393,0.00457657951489093,0.0,1.3932054815124957,100,100,9,0.0
pc5,0.05173318978399034,0.04857388243079181,0.003159307353198526,0.0025026111900806414,0.0038520049368962624,0.0,1.272620794697334,100,100,10,0.0
pc5,0.022789897322654674,0.039468859918415505,-0.01667896259576083,-0.017433738800697027,-0.015918454028200357,0.0,-6.107867110380895,100,100,11,0.0
pc6,0.09035624414682385,0.054185508266091295,0.03617073588073255,0.036061532777734114,0.036288632282987246,0.0,91.97401856794083,100,100,0,0.0
pc6,0.08114798791706558,0.05381494734436269,0.027333040572702888,0.026999074177816506,0.02771341124828906,0.0,21.071601075526132,100,100,1,0.0
pc6,0.07977375566959377,0.055431121028959696,0.024342634640634075,0.024102232360281053,0.02460724834073335,0.0,26.57913807339555,100,100,2,0.0
pc6,0.07453858695924279,0.0583290001749992,0.016209586784243585,0.0158896412095055,0.016510948020033542,0.0,13.852560974732972,100,100,3,0.0
pc6,0.07440727323293682,0.05767007458955046,0.01673719864338636,0.016479537788778555,0.01696612840052696,0.0,19.14466857647502,100,100,4,0.0
pc6,0.06581111408770081,0.05806557577103373,0.007745538316667078,0.007467410682700576,0.007992743620648985,0.0,7.920112552840994,100,100,5,0.0
