layer_from,layer_to,k_used,variance_threshold,mean_angle,max_angle,angles
0,1,5,,0.5337615609169006,0.7664498686790466,[0.3572839  0.4478331  0.54724646 0.5499944  0.76644987]
1,2,5,,0.6256769895553589,0.7376408576965332,[0.4926069  0.53378886 0.6610705  0.70327795 0.73764086]
2,3,5,,0.6033190488815308,0.8051418662071228,[0.46673235 0.540478   0.5697128  0.63453037 0.80514187]
3,4,5,,0.48216086626052856,0.591215968132019,[0.39291668 0.41414607 0.47898826 0.53353715 0.59121597]
4,5,5,,0.4753389358520508,0.5785860419273376,[0.4090697  0.43676248 0.4675897  0.48468676 0.57858604]
5,6,5,,0.48697367310523987,0.657552182674408,[0.41167468 0.42407164 0.4529428  0.488627   0.6575522 ]
6,7,5,,0.5007636547088623,0.6854677796363831,[0.42116416 0.444365   0.47115684 0.48166442 0.6854678 ]
7,8,5,,0.533038318157196,0.5977507829666138,[0.46918768 0.4933315  0.54249036 0.56243116 0.5977508 ]
8,9,5,,0.8119282722473145,1.486764669418335,[0.48880777 0.63053083 0.67033243 0.7832057  1.4867647 ]
9,10,5,,0.5976477265357971,0.7841528058052063,[0.40635273 0.5089462  0.54411465 0.74467224 0.7841528 ]
10,11,5,,0.7682860493659973,1.2558945417404175,[0.42605746 0.4804479  0.69671375 0.98231643 1.2558945 ]
