layer_from,layer_to,k_used,variance_threshold,mean_angle,max_angle,angles
0,1,7,0.9,0.5006374716758728,0.7468934059143066,"[0.34340113 0.41460988 0.45753208 0.4747514  0.5216853  0.54558897
 0.7468934 ]"
1,2,7,0.9,0.6171665787696838,0.7624908685684204,"[0.46458066 0.51576936 0.5892576  0.6077952  0.6447067  0.735566
 0.76249087]"
2,3,7,0.9,0.6014775037765503,0.8159063458442688,"[0.43909404 0.4960084  0.53348815 0.5510363  0.6443981  0.73041105
 0.81590635]"
3,4,8,0.9,0.48562589287757874,0.623795211315155,"[0.3593994  0.3906786  0.42995793 0.48082548 0.50593126 0.53084886
 0.56357026 0.6237952 ]"
4,5,8,0.9,0.4856964647769928,0.6878505945205688,"[0.38272175 0.40236372 0.4272056  0.44557944 0.46154833 0.51121294
 0.5670895  0.6878506 ]"
5,6,8,0.9,0.4880698323249817,0.664602518081665,"[0.38942754 0.41131034 0.44137597 0.46906045 0.47624704 0.4967183
 0.55581653 0.6646025 ]"
6,7,8,0.9,0.5027137994766235,0.6950643062591553,"[0.40355098 0.42546257 0.43323168 0.45138487 0.46323884 0.53511846
 0.6146588  0.6950643 ]"
7,8,9,0.9,0.6057639122009277,1.0274807214736938,"[0.45019543 0.47641551 0.500991   0.53589785 0.5508532  0.565826
 0.6151179  0.7290976  1.0274807 ]"
8,9,10,0.9,0.7170052528381348,1.523680567741394,"[0.4759924  0.49865976 0.5389578  0.5496263  0.5677407  0.6221196
 0.6725397  0.73655146 0.9841842  1.5236806 ]"
9,10,12,0.9,0.5933420062065125,1.1142101287841797,"[0.36473593 0.4046137  0.42355812 0.45223758 0.48399    0.5046721
 0.53262955 0.57261044 0.64372885 0.7653221  0.8577954  1.1142101 ]"
10,11,6,0.9,0.700421154499054,1.251222848892212,[0.4168083  0.44150904 0.48700148 0.631186   0.9747992  1.2512228 ]
