layer,total_components,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,k85,k90,k95
0,90,0.2192433774471283,0.18933406472206116,0.16369174420833588,0.12167586386203766,0.10725117474794388,0.09014201164245605,0.05446017533540726,0.022404490038752556,0.008421416394412518,0.004313408862799406,6,7,8
1,90,0.25471383333206177,0.1788371354341507,0.15670067071914673,0.10963059216737747,0.09635776281356812,0.08085131645202637,0.04847374185919762,0.019819678738713264,0.00958233792334795,0.006398433353751898,6,7,9
2,90,0.211396262049675,0.1874602735042572,0.17585298418998718,0.1116684228181839,0.09555216133594513,0.07926423847675323,0.05174446851015091,0.019889669492840767,0.008532657288014889,0.006516110617667437,6,7,11
3,90,0.20459525287151337,0.18620379269123077,0.16444094479084015,0.11477562040090561,0.09116484969854355,0.07405617088079453,0.05222679674625397,0.021411070600152016,0.016694998368620872,0.006706760730594397,7,8,14
4,90,0.21261955797672272,0.1811545044183731,0.15638767182826996,0.12971478700637817,0.08755137771368027,0.07387110590934753,0.0537722110748291,0.02024788409471512,0.01099659688770771,0.0067439936101436615,7,8,14
5,90,0.21749600768089294,0.19571250677108765,0.14179976284503937,0.13236285746097565,0.08455052226781845,0.0650041475892067,0.052537448704242706,0.02122914232313633,0.00960961077362299,0.007128046825528145,7,8,15
6,90,0.23531970381736755,0.19084227085113525,0.1395152062177658,0.12171898037195206,0.08095663040876389,0.06230135262012482,0.050384216010570526,0.02184181846678257,0.00884607620537281,0.007489985786378384,7,8,16
7,90,0.24340829253196716,0.17274823784828186,0.13821600377559662,0.12440558522939682,0.07722537964582443,0.06024051830172539,0.05342627689242363,0.026387639343738556,0.009748549200594425,0.00788839627057314,7,9,18
8,90,0.23526035249233246,0.17655867338180542,0.1599183976650238,0.10575014352798462,0.0711059719324112,0.06072505936026573,0.04401236027479172,0.025090279057621956,0.01290627010166645,0.009361961856484413,7,10,20
9,90,0.24673105776309967,0.17286258935928345,0.13512225449085236,0.1199607327580452,0.06447404623031616,0.05422589182853699,0.039913348853588104,0.02502119354903698,0.015718594193458557,0.011745092459022999,8,12,22
10,90,0.2551739811897278,0.19942976534366608,0.13344866037368774,0.10368917137384415,0.05032249912619591,0.04688962176442146,0.03860042244195938,0.03104335442185402,0.017408201470971107,0.01170468982309103,8,12,22
11,90,0.7478474974632263,0.050567541271448135,0.043050479143857956,0.0346587710082531,0.022428572177886963,0.018518386408686638,0.014625171199440956,0.009217261336743832,0.005989226512610912,0.004512864630669355,4,6,10
