layer,total_components,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,k85,k90,k95,left_out
0,81,0.2192312628030777,0.18948237597942352,0.16377994418144226,0.12150366604328156,0.10728228837251663,0.09014986455440521,0.0544171966612339,0.022427918389439583,0.008474936708807945,0.004306127782911062,6,7,8,sentence.1
1,81,0.2500215470790863,0.180375874042511,0.15770994126796722,0.1101955845952034,0.09718085080385208,0.08161362260580063,0.04883045330643654,0.01996428892016411,0.009190252050757408,0.006480570416897535,6,7,9,sentence.1
2,81,0.20931215584278107,0.1877284049987793,0.1767687201499939,0.1115526333451271,0.09626767784357071,0.08013340085744858,0.05193440616130829,0.020027829334139824,0.008058040402829647,0.006374675314873457,6,7,11,sentence.1
3,81,0.20406140387058258,0.1843436360359192,0.16516263782978058,0.1149299219250679,0.09190589934587479,0.07491608709096909,0.05240573734045029,0.021509278565645218,0.01651640795171261,0.0068776351399719715,7,8,14,sentence.1
4,81,0.2121848315000534,0.18165522813796997,0.15586858987808228,0.12991853058338165,0.08775173127651215,0.07448909431695938,0.05391678586602211,0.020193906500935555,0.010745489038527012,0.0067574274726212025,7,8,14,sentence.1
5,81,0.21715208888053894,0.196482315659523,0.14120908081531525,0.13214771449565887,0.08460164815187454,0.06561265885829926,0.05248105898499489,0.021208176389336586,0.010076728649437428,0.006761582568287849,7,8,15,sentence.1
6,81,0.23441439867019653,0.19116199016571045,0.1389482468366623,0.12251760810613632,0.08133391290903091,0.0629996657371521,0.049862440675497055,0.021752262488007545,0.008962664753198624,0.007541213650256395,7,8,16,sentence.1
7,81,0.24099573493003845,0.17325209081172943,0.13805453479290009,0.12522843480110168,0.07750926911830902,0.06057565659284592,0.05357896909117699,0.026367774233222008,0.00965047162026167,0.008378474973142147,7,9,18,sentence.1
8,81,0.23207032680511475,0.17854681611061096,0.1592991054058075,0.10671332478523254,0.07114265114068985,0.06129106134176254,0.04416327178478241,0.02508716471493244,0.012358877807855606,0.009768359363079071,7,10,20,sentence.1
9,81,0.24006755650043488,0.1730765998363495,0.13655900955200195,0.1214577704668045,0.06584984809160233,0.05430086702108383,0.040807031095027924,0.025116166099905968,0.01540854386985302,0.012277623638510704,8,12,22,sentence.1
10,81,0.2544400691986084,0.19832631945610046,0.13192643225193024,0.10581419616937637,0.051160793751478195,0.046892471611499786,0.0404607318341732,0.030081894248723984,0.016232606023550034,0.012324368581175804,8,12,21,sentence.1
