layer_from,layer_to,k_used,variance_threshold,residual_fro,rotation
0,1,5,,1.2123503684997559,"[[ 0.3175671   0.8635127   0.3857459   0.01468883  0.066943  ]
 [-0.7855041   0.44685698 -0.36008686 -0.21565612  0.08445123]
 [-0.4653109  -0.21303658  0.8440682  -0.11057954  0.11585396]
 [-0.22698155  0.05833078  0.00571614  0.96893495  0.07879855]
 [ 0.11874159 -0.07666618 -0.09515058 -0.04705137  0.98425364]]"
1,2,5,,1.389887809753418,"[[-0.9173699  -0.37642637  0.01878403  0.12489732  0.02798897]
 [ 0.07028921 -0.09835347  0.98438114  0.09178771 -0.08918996]
 [-0.37675098  0.8768844   0.14820935 -0.18692224  0.17951734]
 [-0.04683167 -0.2124108   0.06155738 -0.9669005  -0.1183325 ]
 [ 0.09673313 -0.18597086  0.06989744 -0.07835311  0.972128  ]]"
2,3,5,,1.3483917713165283,"[[ 0.79655236  0.59117913 -0.10417702  0.01902557 -0.06925829]
 [-0.48058176  0.7352761   0.4765413   0.01002037  0.03490311]
 [ 0.35915446 -0.3303814   0.8727043  -0.01437982 -0.00604389]
 [-0.00445762 -0.02324381  0.00957889  0.99961865  0.01051772]
 [ 0.07438876  0.01357024 -0.01873191 -0.00966249  0.9969142 ]]"
3,4,5,,1.0788928270339966,"[[ 9.9231923e-01 -4.9523342e-02  9.8694727e-02 -1.5639927e-02
  -5.3522632e-02]
 [ 8.0816410e-02 -2.5595403e-01 -9.6084851e-01 -6.6574171e-02
  -1.7153094e-02]
 [ 7.1587920e-02  9.6531636e-01 -2.4874076e-01 -3.0324750e-02
  -1.5745902e-02]
 [ 3.4028217e-02  1.2922145e-02 -7.1812451e-02  9.7622615e-01
   2.0124750e-01]
 [ 4.9884342e-02  5.6844042e-03 -6.7876739e-04 -2.0343591e-01
   9.7779989e-01]]"
4,5,5,,1.0598764419555664,"[[ 0.6983588   0.7105306   0.07655286  0.03601306 -0.01685381]
 [-0.68299216  0.6949024  -0.1494452  -0.16453719 -0.03501432]
 [ 0.19075273 -0.09893498 -0.37537938 -0.89384484  0.1181397 ]
 [-0.09407824  0.01696594  0.9091065  -0.38834363  0.11651567]
 [-0.0240705   0.04670125 -0.06649315  0.14785539  0.98537153]]"
5,6,5,,1.0940711498260498,"[[ 0.9291952   0.26318178 -0.21662867  0.1130802  -0.08727197]
 [-0.25523996  0.9619846   0.01453446 -0.09173218  0.02850113]
 [ 0.23453283  0.01602066  0.87931204 -0.38923472 -0.14157835]
 [ 0.03152192 -0.07103813 -0.41311786 -0.90691483 -0.0282664 ]
 [-0.12429582  0.00425175 -0.09489349  0.06928077 -0.98525524]]"
6,7,5,,1.1252647638320923,"[[-0.8667524  -0.47348517 -0.05143815  0.04887794 -0.13970347]
 [-0.46746412  0.85249317  0.18020676  0.14915818 -0.00319386]
 [ 0.04821765 -0.1856629   0.9808248   0.02678992 -0.02166388]
 [ 0.11431017 -0.09916466 -0.0515459   0.98709947 -0.00878117]
 [ 0.12176129  0.06901393 -0.01432986 -0.01672176 -0.9899123 ]]"
7,8,5,,1.181789517402649,"[[-9.94534910e-01 -1.04232185e-01 -4.54580178e-04 -5.66532928e-03
   1.90976786e-03]
 [ 7.63049200e-02 -7.33696699e-01  6.73236251e-01  3.80242094e-02
  -3.42616327e-02]
 [ 7.08563626e-02 -6.68568611e-01 -7.33410537e-01 -9.25479606e-02
  -3.92354168e-02]
 [ 1.48376473e-03  3.81745957e-02  9.41363648e-02 -9.92630422e-01
  -6.60594478e-02]
 [ 7.41807884e-03 -4.88215238e-02  5.11770719e-04 -6.81318492e-02
   9.96453285e-01]]"
8,9,5,,1.8618208169937134,"[[ 0.7188238   0.6796982   0.12739602  0.01181158  0.07023773]
 [ 0.14428562 -0.2966182   0.688892    0.6444681   0.03588737]
 [-0.65227836  0.663843    0.21923518  0.22749445 -0.18446584]
 [-0.11712752 -0.01526736  0.652882   -0.69422626  0.27900392]
 [-0.1526043   0.09543224 -0.18675949  0.22542754  0.9390995 ]]"
9,10,5,,1.3485463857650757,"[[-0.76530147 -0.6325009   0.06933818  0.09596978  0.01544   ]
 [ 0.20055716 -0.33670232 -0.91071403  0.01744179  0.12924457]
 [-0.58128846  0.6889628  -0.38561913  0.19130933 -0.04618044]
 [ 0.18365078 -0.06330554  0.08886856  0.9758984   0.0446041 ]
 [-0.04966628  0.088864    0.09587748 -0.03884162  0.9894116 ]]"
10,11,5,,1.772474765777588,"[[-0.58385587 -0.0577351  -0.5232552  -0.6002937  -0.14707312]
 [-0.72967094  0.37268278  0.3410456   0.4219605  -0.18527046]
 [ 0.2691996   0.9240924  -0.20494285 -0.17670442  0.0189403 ]
 [-0.00801768  0.04371403  0.75333065 -0.6560266   0.0121147 ]
 [-0.23272292  0.04377745 -0.0195765   0.00121909  0.9713593 ]]"
