layer_from,layer_to,k_used,variance_threshold,residual_fro,rotation
0,1,7,0.9,1.3423525094985962,"[[ 0.3176873   0.8632068   0.3860457   0.01440265  0.06762234 -0.0059822
   0.0100675 ]
 [-0.7787237   0.4432272  -0.35997376 -0.22074391  0.09225359 -0.10113513
   0.00953791]
 [-0.46087512 -0.21238737  0.83986646 -0.11218404  0.11778711 -0.02854621
  -0.09917729]
 [-0.21357793  0.05346354  0.0025859   0.95980805  0.0940238  -0.14267176
  -0.03305213]
 [ 0.0856279  -0.06550257 -0.0863063  -0.02464418  0.94506705  0.2842097
   0.07996444]
 [-0.15154108  0.07527889  0.01256658  0.12471522 -0.25436133  0.941679
  -0.06478712]
 [-0.06592318 -0.02234363  0.09164399  0.03296851 -0.07969219  0.03211068
   0.989084  ]]"
1,2,7,0.9,1.624790072441101,"[[-0.9153215  -0.37896964  0.01767834  0.13227206  0.02663851 -0.00512435
  -0.00491037]
 [ 0.0698446  -0.09629499  0.98290145  0.09484752 -0.09036452 -0.02656352
   0.04343432]
 [-0.37387735  0.8697115   0.14286885 -0.15876135  0.17797168 -0.14451912
  -0.07510852]
 [-0.04528764 -0.21713845  0.05314808 -0.9285069  -0.12116043 -0.26677528
   0.00105719]
 [ 0.0987149  -0.18830694  0.06663135 -0.06250456  0.9697805  -0.07300823
   0.02539532]
 [ 0.06396874 -0.05018418 -0.07023418  0.28592682 -0.06536883 -0.9493445
   0.03427028]
 [-0.04045086  0.07472686 -0.03136287 -0.02273112 -0.0048595   0.02506207
   0.99530274]]"
2,3,7,0.9,1.595483422279358,"[[ 7.9510993e-01  5.8954138e-01 -1.0150923e-01  1.9604942e-02
  -6.5806687e-02 -5.6755267e-02  4.4733014e-02]
 [-4.8002821e-01  7.2971088e-01  4.7761407e-01  1.4725203e-02
   4.0776994e-02 -7.3712699e-02 -4.0823530e-02]
 [ 3.5858256e-01 -3.3051080e-01  8.7215251e-01 -1.4029367e-02
  -6.4847996e-03  3.5795305e-02  3.3231140e-03]
 [-5.8824681e-03 -1.4171374e-02  7.6834564e-03  9.9115562e-01
   1.8173044e-03  1.2621574e-01  3.7180755e-02]
 [ 7.6105803e-02  1.3226658e-02 -2.1437474e-02 -7.7561839e-03
   9.9434167e-01  6.2016882e-02 -3.0851983e-02]
 [-9.3845641e-03  1.0172097e-01 -6.0436170e-04 -1.2521869e-01
  -6.1847083e-02  9.8420370e-01  3.7452880e-02]
 [-5.3636748e-02  1.6470861e-03  2.0291397e-02 -3.2752305e-02
   3.7696131e-02 -4.0380057e-02  9.9628520e-01]]"
3,4,8,0.9,1.3780579566955566,"[[ 9.90508974e-01 -4.87302728e-02  9.57733840e-02 -1.57190915e-02
  -5.71441352e-02 -2.89475769e-02  1.04312170e-02 -5.37156835e-02]
 [ 8.11275020e-02 -2.57110059e-01 -9.51812088e-01 -6.84497580e-02
  -7.37429084e-03  2.85312813e-02  1.07331082e-01  6.55186102e-02]
 [ 7.01306239e-02  9.64855313e-01 -2.47634232e-01 -3.09813507e-02
  -1.66640803e-02 -1.11463312e-02  3.46250944e-02  1.58937238e-02]
 [ 3.35788988e-02  1.30284522e-02 -7.19456300e-02  9.75828350e-01
   1.99919909e-01 -3.42244394e-02  1.19855525e-02  1.62317953e-03]
 [ 4.65651974e-02  6.49902225e-03 -1.19250752e-02 -2.02774927e-01
   9.55671847e-01 -1.67065710e-01 -1.09762654e-01 -5.71153276e-02]
 [ 3.38978767e-02  1.83049403e-02  2.47897413e-02 -2.14519478e-05
   1.69559255e-01  9.82788920e-01  2.09648218e-02 -5.32673039e-02]
 [-1.69092100e-02 -5.19416621e-03  1.11300260e-01 -2.58393418e-02
   1.03167325e-01 -4.08291556e-02  9.87072885e-01  2.84877047e-03]
 [-5.15851900e-02 -2.34270978e-04 -7.23725110e-02  9.02153552e-03
  -6.10905476e-02 -4.00050431e-02  1.51086096e-02 -9.93206441e-01]]"
4,5,8,0.9,1.3828434944152832,"[[ 0.69498485  0.7120872   0.07835301  0.03674015 -0.01764664 -0.01729918
   0.01285147 -0.04077763]
 [-0.6794164   0.69058007 -0.14961322 -0.16660742 -0.03710506 -0.03922703
  -0.07643321  0.05091907]
 [ 0.18577637 -0.09425707 -0.3738996  -0.8838183   0.11877921  0.10675222
  -0.02249246 -0.09826808]
 [-0.09268971  0.01725363  0.9074027  -0.38287842  0.11880355  0.06995527
  -0.03714971  0.0273378 ]
 [-0.0184123   0.04148894 -0.06698239  0.14389694  0.979666   -0.0828343
  -0.07833493 -0.0018529 ]
 [-0.02364324  0.04814754 -0.03512044  0.13055554  0.05218861  0.9839094
  -0.08731804  0.02046384]
 [-0.05152832  0.0471935  -0.00266517 -0.03452848  0.08725727  0.08014621
   0.97899437  0.14646184]
 [ 0.09344434 -0.02412584 -0.05068507 -0.06494769 -0.00248427 -0.02257269
  -0.14112414  0.9815637 ]]"
5,6,8,0.9,1.383918285369873,"[[ 0.91859436  0.2606951  -0.22521417  0.11593974 -0.0939845  -0.07514644
   0.07814422 -0.05892871]
 [-0.25669408  0.9614296   0.01323612 -0.09138451  0.02740107 -0.01592757
  -0.00819987 -0.01277648]
 [ 0.22174749  0.01476201  0.86733526 -0.3845054  -0.14540039 -0.04474479
   0.15688834 -0.05232686]
 [ 0.03376932 -0.07065421 -0.41088432 -0.90723205 -0.02589221  0.02957946
  -0.01373259 -0.01541892]
 [-0.11188561  0.00776649 -0.08490267  0.06677306 -0.97410583  0.14976226
  -0.05983847  0.02937213]
 [-0.05986168 -0.03181055 -0.01373937 -0.01734596 -0.12366584 -0.9543995
  -0.2619389   0.0114568 ]
 [-0.13607045 -0.02424128 -0.13926922  0.03880157 -0.06356858 -0.24042356
   0.946703    0.04364158]
 [ 0.07323555  0.02866001  0.03484226 -0.03205254  0.01970064  0.01056131
  -0.0241744   0.99523354]]"
6,7,8,0.9,1.4298397302627563,"[[-0.8649626  -0.46257108 -0.0527985   0.05093531 -0.13408272 -0.07294299
  -0.09524848  0.01070274]
 [-0.4673482   0.83779436  0.18270677  0.14543763 -0.00868265  0.05715485
   0.1090839  -0.09955399]
 [ 0.0483814  -0.18289591  0.9800106   0.02827457 -0.02155988 -0.0044135
  -0.04256715  0.02629939]
 [ 0.11490526 -0.09864493 -0.05124471  0.98587006 -0.00653245 -0.03833001
   0.02819896 -0.0138925 ]
 [ 0.12242985  0.07593755 -0.01524259 -0.01607634 -0.9852876  -0.08203284
  -0.02862551  0.02032487]
 [ 0.03553651  0.12481495  0.00511527 -0.01532325  0.09852214 -0.89521676
  -0.4036065  -0.09423059]
 [-0.01570429 -0.09924365  0.02210541 -0.04951388 -0.00164085 -0.41542074
   0.90136385 -0.04393171]
 [-0.03718849  0.09875315 -0.00603555  0.02385948  0.03062527 -0.09595318
   0.01571343  0.9888717 ]]"
7,8,9,0.9,1.843037724494934,"[[-9.92130816e-01 -9.73206013e-02  4.63288836e-03 -4.07475792e-03
   1.11416087e-03 -2.93837686e-04  9.48446058e-03 -4.52629291e-02
   6.34590760e-02]
 [ 7.50644878e-02 -7.30017364e-01  6.69660866e-01  3.97686623e-02
  -3.44480239e-02  5.51450998e-02  1.98949780e-02 -6.96138442e-02
  -4.40817066e-02]
 [ 7.19167069e-02 -6.53221965e-01 -7.26564705e-01 -8.69336501e-02
  -4.07023542e-02 -4.38909084e-02 -4.09112778e-04 -1.61245748e-01
   5.56038059e-02]
 [ 1.64761150e-03  4.44784574e-02  9.52607244e-02 -9.89149570e-01
  -6.72407523e-02 -1.23882378e-02  3.26927118e-02 -6.41008019e-02
  -2.59814057e-02]
 [ 9.34085809e-03 -3.44721787e-02  4.60581575e-03 -6.19502477e-02
   9.92503524e-01  1.18959285e-02  1.36520378e-02 -9.73356739e-02
   1.92557673e-05]
 [ 2.02145102e-03 -1.70369633e-02  7.13603348e-02  9.89517476e-03
   1.55311078e-02 -9.83051598e-01 -1.62463531e-01  1.87483151e-02
   3.37310769e-02]
 [ 7.22910371e-03  1.83649994e-02 -4.84794704e-03  3.87671664e-02
  -1.19484793e-02 -1.64752275e-01  9.84273851e-01 -3.46382968e-02
  -2.83378232e-02]
 [-2.42090411e-02 -1.63161650e-01 -6.31505921e-02 -8.25104490e-02
   8.44976604e-02  1.17966300e-02  4.51035723e-02  9.74365115e-01
   5.74067011e-02]
 [ 6.43222556e-02  2.21011229e-02  7.37354159e-02 -1.34524368e-02
  -6.85689086e-03  3.26265842e-02  3.21718156e-02 -5.08250035e-02
   9.92485046e-01]]"
8,9,10,0.9,2.342024803161621,"[[ 0.7030227   0.68041694  0.1238739   0.02086178  0.10696127 -0.03353215
   0.06266791 -0.04107837  0.0247084  -0.09067323]
 [ 0.12919848 -0.2988084   0.67953116  0.6120556  -0.03537107  0.02852247
   0.03132692  0.0639122   0.03029514 -0.2227062 ]
 [-0.64954525  0.6624889   0.22054678  0.21531068 -0.17166765 -0.01770981
   0.01738941  0.10375201  0.00811841  0.05730287]
 [-0.10299321 -0.0168176   0.6504679  -0.7060648   0.14285073  0.06550961
  -0.08558888 -0.14480695 -0.09510391 -0.07373278]
 [-0.00946236  0.05793485 -0.07757486  0.05133207  0.09708833  0.9688783
  -0.16441372  0.01900058  0.08022971 -0.07694153]
 [-0.13491148  0.02882661 -0.01093448  0.15930758  0.9138869  -0.14491493
  -0.24183756  0.10916798  0.1030335   0.1351325 ]
 [-0.05077938 -0.03960439  0.05057061 -0.02163815  0.23254052  0.1584762
   0.9267239  -0.00129256  0.01372201  0.23373167]
 [-0.01826248  0.00471901  0.05594076  0.154707   -0.0380522   0.00537935
  -0.09004932 -0.85816956  0.30207476  0.36781877]
 [-0.05585341 -0.01121669 -0.02619942 -0.15350078 -0.0355115  -0.07987823
   0.09201723  0.13111743  0.9036199  -0.35025156]
 [-0.17952134  0.05165219 -0.1965522   0.06393462  0.1898221  -0.04697946
   0.16295122 -0.44335893 -0.25365704 -0.772452  ]]"
9,10,12,0.9,2.124600410461426,"[[-7.59096801e-01 -6.35618448e-01  6.63737431e-02  9.42735150e-02
   1.66752990e-02  7.99303222e-03 -2.69239880e-02  3.63994017e-02
  -2.68247146e-02  9.02628712e-03  5.27918749e-02 -2.20986754e-02]
 [ 1.83397844e-01 -3.23381454e-01 -8.94783258e-01  2.40669008e-02
   9.29149315e-02 -1.12604909e-01  1.69586286e-01 -1.35659203e-02
   1.10040698e-02 -5.98485842e-02 -4.74199653e-02  6.60696104e-02]
 [-5.10224938e-01  6.16500914e-01 -3.85823339e-01  1.87104061e-01
  -4.48612012e-02  6.52896613e-02 -3.00188780e-01  1.87756389e-01
  -1.72631040e-01 -4.02727351e-02 -1.04856566e-01  4.08680923e-02]
 [ 1.81070790e-01 -6.26029596e-02  8.41107741e-02  9.69663978e-01
   3.84149440e-02 -4.14608084e-02 -4.80639152e-02 -7.07728118e-02
   5.06981686e-02  1.26266386e-03  5.30953035e-02 -8.17593094e-03]
 [-9.04107653e-03  3.97051498e-02  1.01234600e-01 -4.92329076e-02
   8.40176046e-01 -4.70561713e-01 -1.58073604e-01  1.61477417e-01
  -1.05912797e-02  2.56450363e-02 -7.15131387e-02  3.74053046e-02]
 [ 1.39111578e-02 -7.09598477e-04 -3.61111499e-02  8.21410585e-03
   5.16277015e-01  8.41129124e-01  5.57156317e-02 -1.29678652e-01
  -2.49138903e-02 -4.29887399e-02  4.47613709e-02  1.08178798e-03]
 [-6.95464164e-02  1.12977006e-01  7.93200508e-02  9.79556963e-02
   2.53059603e-02  3.56510505e-02  7.33028591e-01  6.49980783e-01
  -9.93964914e-03 -6.77147955e-02  7.51110958e-03  7.38960458e-03]
 [-2.03705922e-01  1.88594848e-01  4.40164097e-02  4.38082628e-02
   8.52256641e-02 -1.83182493e-01  5.23969114e-01 -6.57546163e-01
  -3.40182334e-01 -4.00337838e-02 -2.32192397e-01  1.04555413e-02]
 [-1.32803902e-01  9.48247612e-02  1.47849787e-02 -5.34009887e-03
   2.04419866e-02 -3.38734128e-02  4.72022146e-02 -1.36147648e-01
   7.09103823e-01 -6.34021878e-01 -2.09926680e-01 -4.37442325e-02]
 [-1.39878049e-01  2.04165444e-01 -1.17655195e-01 -2.62643900e-02
   7.94902518e-02 -1.19317770e-01  1.48495018e-01 -1.84890047e-01
   2.51800388e-01  1.37548387e-01  8.39615703e-01 -2.45254889e-01]
 [-9.26205739e-02  6.65662140e-02 -6.45211264e-02  2.35169958e-02
   1.88088063e-02  4.61644530e-02  1.01639234e-01 -4.46437486e-02
   4.84388053e-01  7.29365289e-01 -3.91451448e-01 -2.18234181e-01]
 [-6.80567026e-02  4.90494780e-02  3.18950266e-02 -1.25127917e-04
  -1.29810115e-02  2.42982921e-03  5.93018346e-02 -7.60438517e-02
   2.22189844e-01  1.82051077e-01  1.33435160e-01  9.39231336e-01]]"
