layer,level_from,level_to,G
0,1,2,0.9748248842027453
0,2,3,0.9857269724210104
0,3,4,0.9825943734910753
0,4,5,0.9539219339688619
0,5,6,0.9167111476262411
0,6,7,0.9693406436178419
0,7,8,0.9642543964915805
0,8,9,0.975820717546675
0,9,10,0.9553415523635016
1,1,2,0.940351763036516
1,2,3,0.9602277239163717
1,3,4,0.9541492660840353
1,4,5,0.9424108452267117
1,5,6,0.899850622812907
1,6,7,0.9089963807000054
1,7,8,0.9286792371008131
1,8,9,0.9344328204790752
1,9,10,0.949303862783644
2,1,2,0.9236152529716491
2,2,3,0.9405441906717088
2,3,4,0.93186344438129
2,4,5,0.9349038031366136
2,5,6,0.9067921929889255
2,6,7,0.8916409810384115
2,7,8,0.9155130227406819
2,8,9,0.926163473394182
2,9,10,0.9367039852672153
3,1,2,0.9105143666267395
3,2,3,0.9331713358561198
3,3,4,0.927418483628167
3,4,5,0.8912316825654771
3,5,6,0.8438357008828057
3,6,7,0.8923548499743144
3,7,8,0.9066990945074294
3,8,9,0.9205227904849582
3,9,10,0.8748300486140781
4,1,2,0.9142545488145616
4,2,3,0.9289401200082567
4,3,4,0.9179284665319655
4,4,5,0.8976236157947116
4,5,6,0.8668704549471538
4,6,7,0.8879857407675849
4,7,8,0.9069312002923754
4,8,9,0.9180348926120334
4,9,10,0.8987516389952765
5,1,2,0.9091275970141093
5,2,3,0.9085183911853366
5,3,4,0.8900092482566834
5,4,5,0.8910696771409776
5,5,6,0.865799793932173
5,6,7,0.8839325759145948
5,7,8,0.9183750324779086
5,8,9,0.9070167382558186
5,9,10,0.8846152597003513
6,1,2,0.8965064803759257
6,2,3,0.9001875268088446
6,3,4,0.8763784594006009
6,4,5,0.8697737468613519
6,5,6,0.8677210715081957
6,6,7,0.8672937472661336
6,7,8,0.9127566470040216
6,8,9,0.8927703433566623
6,9,10,0.8712408807542589
7,1,2,0.9037445743878683
7,2,3,0.8900122152434455
7,3,4,0.8647246347533332
7,4,5,0.8790513184335497
7,5,6,0.8493180261717902
7,6,7,0.8490541881985134
7,7,8,0.8908553428120083
7,8,9,0.8829858488506741
7,9,10,0.8630522992875841
8,1,2,0.8852274749014113
8,2,3,0.866127786371443
8,3,4,0.858038251929813
8,4,5,0.8559300237231784
8,5,6,0.8306312375598484
8,6,7,0.8261473351054721
8,7,8,0.8739713086022272
8,8,9,0.8529702239566379
8,9,10,0.8315172857708402
9,1,2,0.8560529510180156
9,2,3,0.8516976382997301
9,3,4,0.7815658807754516
9,4,5,0.8138794382413228
9,5,6,0.8017946786350674
9,6,7,0.7840889639324612
9,7,8,0.8267600735028585
9,8,9,0.824058026737637
9,9,10,0.8180867976612515
10,1,2,0.8347688436508178
10,2,3,0.852757900291019
10,3,4,0.7779018693500095
10,4,5,0.7991709934340583
10,5,6,0.7244257635540432
10,6,7,0.7516847570737203
10,7,8,0.7581443084610833
10,8,9,0.8225175182024638
10,9,10,0.7723113271925185
11,1,2,0.6601693970875607
11,2,3,0.9663965755038791
11,3,4,0.6236718212150865
11,4,5,0.6980298628409703
11,5,6,0.9061097211307949
11,6,7,0.7668143603536818
11,7,8,0.723724537425571
11,8,9,0.920126740137736
11,9,10,0.9307913992140028
