layer,G,boot_id
0,0.9665936174846831,0
1,0.9171939776057288,0
2,0.9151322784877959,0
3,0.8823299152510506,0
4,0.8930075055076963,0
5,0.8796794272604442,0
6,0.8739184879121327,0
7,0.8618276261147999,0
8,0.8366423078945705,0
9,0.8244713090714955,0
10,0.8238113834744408,0
11,0.901502251625061,0
0,0.9593488971392313,1
1,0.9197204907735189,1
2,0.9214276075363159,1
3,0.8858012855052948,1
4,0.8992850184440613,1
5,0.8905616501967112,1
6,0.8807264566421509,1
7,0.867968887090683,1
8,0.826030949751536,1
9,0.815374900897344,1
10,0.762270579735438,1
11,0.7496044933795929,1
0,0.9648925463358561,2
1,0.9163608721324376,2
2,0.9131968901270912,2
3,0.8797895000094459,2
4,0.8929129186130705,2
5,0.8784567146074205,2
6,0.875749199163346,2
7,0.8642278625851586,2
8,0.8373953983897254,2
9,0.8308827224231902,2
10,0.813955429054442,2
11,0.9030075016475859,2
0,0.9583084464073182,3
1,0.9052814324696858,3
2,0.8955782175064086,3
3,0.8543969233830769,3
4,0.8649933497111003,3
5,0.8576545715332031,3
6,0.8497545083363851,3
7,0.8348265767097474,3
8,0.7975564360618591,3
9,0.767280391852061,3
10,0.7563195347785949,3
11,0.8085182070732116,3
0,0.9566680630048116,4
1,0.9121580680211385,4
2,0.9035848538080852,4
3,0.8601750612258912,4
4,0.8715218067169189,4
5,0.8662382324536642,4
6,0.8541936794916789,4
7,0.8368746717770894,4
8,0.8026244203249614,4
9,0.7746001640955608,4
10,0.7663459022839864,4
11,0.8135128339131673,4
0,0.969187331199646,5
1,0.9280772089958191,5
2,0.919171134630839,5
3,0.8735361456871032,5
4,0.8839642365773519,5
5,0.8665337880452474,5
6,0.8682469487190246,5
7,0.858002491792043,5
8,0.8171210447947185,5
9,0.8026960452397665,5
10,0.7522896528244019,5
11,0.7511744817097982,5
0,0.9620957215627034,6
1,0.9151000142097473,6
2,0.9148902813593547,6
3,0.8826052983601888,6
4,0.8941351970036825,6
5,0.8784596920013428,6
6,0.8778860092163085,6
7,0.868064288298289,6
8,0.8414974013964335,6
9,0.8381061911582947,6
10,0.8263977607091267,6
11,0.9287654995918274,6
0,0.9652481221017384,7
1,0.9236722333090646,7
2,0.9153091254688445,7
3,0.8692548785890851,7
4,0.8812849124272665,7
5,0.8657455784933907,7
6,0.8659675802503314,7
7,0.8517855008443197,7
8,0.8125825609479632,7
9,0.7869169797216143,7
10,0.751201107388451,7
11,0.76765566496622,7
0,0.9598130822181702,8
1,0.9211410999298095,8
2,0.9172825694084168,8
3,0.8793609023094178,8
4,0.8949584841728211,8
5,0.8800558090209961,8
6,0.8797569513320923,8
7,0.8708528935909271,8
8,0.8449413895606994,8
9,0.841271162033081,8
10,0.8219645202159882,8
11,0.9043153166770935,8
0,0.9685818036397298,9
1,0.9208464423815409,9
2,0.9140261888504029,9
3,0.8813434680302937,9
4,0.8949499169985453,9
5,0.8780910611152649,9
6,0.8753507852554321,9
7,0.8667612234751384,9
8,0.8426944732666015,9
9,0.8438410997390747,9
10,0.8174185117085775,9
11,0.8998875419298807,9
0,0.9642221643811181,10
1,0.9178961231594994,10
2,0.9061754090445382,10
3,0.8605965375900269,10
4,0.8751588861147562,10
5,0.861375751949492,10
6,0.8594084013076055,10
7,0.8500632445017496,10
8,0.8144273644401914,10
9,0.801969900017693,10
10,0.7733153161548433,10
11,0.829873780409495,10
0,0.9578864886647179,11
1,0.9102213978767395,11
2,0.9009107635134742,11
3,0.8600464548383441,11
4,0.8732513671829587,11
5,0.8654677328609285,11
6,0.8582564563978285,11
7,0.8437969258853367,11
8,0.8057588424001422,11
9,0.7826086112431118,11
10,0.7620497005326408,11
11,0.8253780631791978,11
0,0.9627039687974113,12
1,0.9136751357998166,12
2,0.9069422164133617,12
3,0.8668077758380345,12
4,0.876148379274777,12
5,0.867856183222362,12
6,0.8584319331816265,12
7,0.8446031212806702,12
8,0.8082326799631119,12
9,0.7859886139631271,12
10,0.7649072578975132,12
11,0.7773090302944183,12
0,0.9718253669284639,13
1,0.9310715397198995,13
2,0.9272684454917908,13
3,0.895427093619392,13
4,0.9053716631162734,13
5,0.8895799006734576,13
6,0.8847661046754747,13
7,0.8741137129919869,13
8,0.8462856326784406,13
9,0.8421984314918518,13
10,0.8117547091983613,13
11,0.8384077293532235,13
0,0.9558135827382406,14
1,0.9168859402338664,14
2,0.9092845638593038,14
3,0.8624769290288289,14
4,0.875146496295929,14
5,0.8670937856038411,14
6,0.8585192362467448,14
7,0.8426888068517049,14
8,0.801235294342041,14
9,0.7754519859949748,14
10,0.7357908646265666,14
11,0.735330335299174,14
0,0.9790735900402069,15
1,0.9483182251453399,15
2,0.9382133662700654,15
3,0.8914849281311035,15
4,0.8945595800876618,15
5,0.8837664008140564,15
6,0.8771734237670898,15
7,0.8625817000865936,15
8,0.8293953597545624,15
9,0.8015757322311401,15
10,0.7667861878871918,15
11,0.7376838147640228,15
0,0.9565011739730835,16
